parasite_load	None	None	Moderate	Moderate	None	Moderate	Moderate	Moderate	Low	Low	None	None	Moderate	Low	None	Low	Low	Low	None	Low	Moderate	None	Low	Moderate	Low	Moderate	Low	None	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	Low	None	Low	None	None	None	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	None	Low	Moderate	Moderate	Low	None	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	None	Moderate	None	Low	None	Moderate	None	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	None	None	None	Low	Low	None	None	Low	Low	Low	Low	Low	Moderate
subject_id	AGMB1	AGMB2	AGMB3	AGMB4	AGMB5	AGMB6	AGMB7	FRCMB1	FRCMB2	FRCMB3	FRCMB4	FRCMB5	G12MB1	G12MB10	G12MB11	G12MB13	G12MB14	G12MB16	G12MB17	G12MB2	G12MB3	G12MB4	G12MB5	G12MB6	G12MB7	G12MB8	G12MB9	G2MB1	G2MB10	G2MB11	G2MB12	G2MB13	G2MB14	G2MB15	G2MB2	G2MB3	G2MB4	G2MB6	G2MB7	G2MB8	G2MB9	LFGMB1	LSGMB1	LSGMB10	LSGMB11	LSGMB13	LSGMB14	LSGMB15	LSGMB16	LSGMB17	LSGMB19	LSGMB20	RSGMB1	RSGMB3	RSGMB4	RSGMB5	RSGMB6	RSGMB7	UNKGMB10	UNKGMB11	UNKGMB12	UNKGMB13	UNKGMB14	UNKGMB15	UNKGMB17	UNKGMB18	UNKGMB19	UNKGMB20	UNKGMB21	UNKGMB22	UNKGMB23	UNKGMB24	UNKGMB25	UNKGMB26	UNKGMB27	UNKGMB28	UNKGMB29	UNKGMB30	UNKGMB33	UNKGMB34	UNKGMB35	UNKGMB36	UNKGMB37	UNKGMB38	UNKGMB4	UNKGMB5	UNKGMB6	UNKGMB7	UNKGMB8	UNKGMB9	URGMB1	URGMB10	URGMB11	URGMB12	URGMB13	URGMB14	URGMB2	URGMB3	URGMB4	URGMB5	URGMB6	URGMB7	URGMB8	URGMB9
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__	1.39797842	0.59856667	2.19450244	1.48860875	0.07664372	1.46905919	0.48734431	-1.17531117	-0.92735919	-1.08704151	-0.87477051	1.91821944	1.81073043	0.81411254	2.99843318	1.79981613	1.82463215	-1.21546826	1.61543917	3.16506204	1.49701988	1.64881836	1.51137394	1.39915971	0.20951734	0.41702228	0.1093292	1.5135046	0.46447229	0.4659694	1.00203102	0.10346483	-1.91945101	-1.3457614	2.56261368	2.04589396	-1.26124323	-0.61229869	2.04337855	2.21347128	1.78145637	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	1.86566378	0.61182573	1.15205645	-0.52914514	1.37838782	1.52391856	1.02318017	0.7392771	1.81091097	0.51825638	0.60799997	1.13365193
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter	5.4648661	4.2936767	5.8251393	4.5171308	4.8084466	5.3959708	4.3654658	-1.1753112	-0.9273592	-1.0870415	-0.8747705	6.0176791	5.4153918	4.0004652	5.8135092	5.0482508	5.147868	2.3099589	4.3690999	6.850289	4.9470074	4.5078396	4.9482894	5.3819518	5.2464699	2.8737581	3.4415337	4.0590359	4.1901657	3.6122745	3.8699299	3.348658	3.4171848	1.6484639	5.2645848	5.3486513	3.1440249	3.5773561	5.6046613	5.1010614	5.3078169	-1.4431439	0.8383274	-1.6503841	-0.7653905	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-0.8406585	-1.55441	-1.3942466	-1.4650755	-0.6797132	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-0.7597401	-1.4940972	-1.483453	-1.2938091	3.9317571	1.7602208	5.9261068	4.0879244	4.4037221	2.9048421	4.5013819	5.2734226	5.6142514	4.7735177	5.3874612	5.457515	4.590792	4.5868091
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera	5.2717802	5.2186255	6.0948789	4.3789805	4.5929827	4.5657674	4.2940068	-1.1753112	-0.9273592	-1.0870415	-0.8747705	5.6631884	5.8856569	5.0217858	5.8995495	5.7267278	5.1080465	1.5561871	5.4109284	6.9218922	5.8178358	5.7357279	5.1024401	5.1680819	5.1110815	4.5759054	3.3480077	6.2873622	4.2314695	5.3786243	5.4208716	5.281496	4.0559976	3.0347583	6.1282977	5.8893704	4.4276651	4.2239832	6.0089423	5.4830402	5.6477434	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-0.7174462	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	5.0577684	2.8916229	5.914546	4.5758085	5.3187217	4.5768003	5.2315703	5.255618	5.4444275	5.0991859	5.9540457	5.5573711	4.2543198	5.3233067
k__Bacteria.p__Acidobacteria.c__Acidobacteria.6.o__iii1.15.f__.g__	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-0.5850858	-1.3770746	-1.3524663	-1.2154683	-0.6871459	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-0.9218221	-1.6123478	-1.2992151	-1.6873738	-1.2272061	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	-1.1346753	-1.47417	-1.051757	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-1.232962	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	0.0191515	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Geodermatophilaceae.g__Geodermatophilus	-1.37335889	-1.47973567	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-1.61403844	-0.92032496	-1.29921509	-0.99514746	-1.22720613	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-1.74398181	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	0.04612992	0.0191515	-0.58035591	-1.18226547	-1.16745335
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Microbacteriaceae.g__Curtobacterium	-0.68146312	-1.47973567	-1.44182822	-1.40054638	-0.61650346	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-1.27680541	-1.37707463	-1.35246633	0.57535781	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-0.52842877	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-1.74398181	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-0.88861029	-0.09105332	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Arthrobacter	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-0.706139	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-0.9218221	1.0255852	-1.2992151	0.6142905	-0.1285938	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	-1.1346753	-1.47417	-1.051757	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-1.232962	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-0.6470173	-0.6739957	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micromonosporaceae.g__	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-0.6602745	-1.2154683	-1.3788431	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-1.6140384	-1.6123478	-1.2992151	-0.9951475	-0.534059	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	-1.1346753	-0.782261	-1.7439818	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-0.5423643	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-1.3659894	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardioidaceae.g__	-1.37335889	-1.47973567	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-0.39622769	-0.87477051	-1.33792241	-1.44608486	-0.79532537	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-0.22867489	-1.6123478	-1.29921509	0.10346483	-0.53405895	-0.65412118	-1.22018331	-1.41868298	-1.26124323	-1.30374333	0.25161908	-0.08911381	-1.74398181	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-0.86200846	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-0.61924287	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-0.58625775	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
