	shannon	pielou_e	faith_pd	observed_otus
UNKGMB37	7.507095439	0.746180532	58.93211	1068
UNKGMB10	7.542615644	0.759862052	53.74456	973
UNKGMB19	7.037194727	0.719691063	51.71894	878
UNKGMB7	7.326684059	0.752897324	49.44182	850
UNKGMB6	7.519822845	0.755663521	54.08436	990
UNKGMB38	7.22009921	0.735950919	50.86692	898
LSGMB16	7.127843088	0.727866407	50.36501	887
UNKGMB5	7.477843924	0.742478466	55.83233	1076
UNKGMB24	6.932497113	0.711034867	49.07872	861
UNKGMB26	6.842111455	0.706867661	47.90508	820
LSGMB10	7.296915123	0.739044556	53.94238	938
UNKGMB28	6.773433537	0.704351805	45.49746	785
RSGMB3	7.250720963	0.730783834	54.40503	970
LFGMB1	7.016782106	0.724126272	50.51045	826
RSGMB4	7.131352522	0.733724379	48.83801	843
UNKGMB36	7.175152863	0.734294693	50.37073	874
RSGMB5	7.012026226	0.724290212	48.52091	821
UNKGMB12	7.345590119	0.741462727	53.95622	960
G12MB13	6.648349272	0.704054755	42.49309	696
UNKGMB25	7.013648154	0.717042248	48.73006	880
RSGMB6	6.928157672	0.716279261	47.05161	816
G12MB10	6.657951453	0.699680693	47.07405	732
UNKGMB30	7.530922336	0.761448039	55.04261	949
UNKGMB14	7.557148744	0.764570859	53.09293	945
UNKGMB13	7.337689055	0.739438365	53.98033	971
G2MB7	5.952053827	0.645617207	42.14395	596
UNKGMB8	7.446779499	0.75648509	52.89066	919
G12MB2	5.84305452	0.639315246	38.36381	564
AGMB6	5.35492772	0.580999824	37.7559	595
UNKGMB21	7.14236323	0.737219106	48.84851	825
G12MB17	6.176738689	0.65703839	42.2545	676
G2MB14	6.794098234	0.710371397	49.09811	757
LSGMB14	7.142079756	0.73177885	50.10681	867
G12MB7	5.802037063	0.637540087	36.0878	549
LSGMB11	6.607070047	0.695055862	45.47768	727
UNKGMB34	7.4760146	0.751813124	53.96625	985
UNKGMB20	7.272460135	0.748771163	49.5401	839
G2MB6	6.731530596	0.712239999	43.8013	700
RSGMB7	6.886752817	0.712520793	47.35318	812
LSGMB15	7.065256476	0.72452695	49.94339	862
UNKGMB27	6.884588632	0.709465895	49.32963	834
UNKGMB29	6.898840091	0.707339975	50.01917	863
RSGMB1	7.01051862	0.719408739	49.73719	858
URGMB11	6.119243383	0.667499102	38.15227	575
G2MB12	6.086045524	0.652716396	39.19256	641
LSGMB13	7.685925272	0.767409561	56.51157	1035
URGMB13	6.448025975	0.689885679	42.65793	651
URGMB12	6.690854245	0.705502342	44.18209	716
LSGMB20	7.378862975	0.749705377	53.60307	918
UNKGMB33	7.221693419	0.729067266	51.8639	959
LSGMB1	7.089547938	0.721936735	51.89699	904
LSGMB17	7.230725159	0.732683673	53.17869	935
G2MB9	6.35259435	0.675438469	45.40336	678
G2MB11	7.132148138	0.753972165	45.27205	704
G12MB14	3.479962403	0.391502185	33.25356	474
URGMB2	6.751261852	0.718478856	42.55686	674
G2MB3	6.678275966	0.714520532	41.45113	651
URGMB5	6.635187802	0.701132849	43.95687	706
G12MB3	5.847893408	0.633490769	38.61059	601
G2MB13	7.132639057	0.745619775	47.0884	758
G12MB11	5.993169867	0.647064187	40.0798	614
G2MB10	6.338407098	0.677516753	42.07858	655
G12MB4	5.432433608	0.594221176	37.32906	565
URGMB4	6.395898646	0.685617057	41.25294	643
URGMB6	6.267183653	0.674114245	41.28469	629
G12MB1	5.217563545	0.578292046	35.62966	520
G2MB15	6.79922503	0.712048575	46.9223	749
URGMB14	6.966364717	0.733006361	45.85205	726
AGMB2	6.505918377	0.694932434	42.88354	658
AGMB7	5.88063361	0.636377708	39.41232	605
UNKGMB35	7.477914345	0.75278309	54.50138	978
URGMB3	6.571248338	0.701092814	41.45569	663
LSGMB19	6.922627379	0.719044717	48.66305	791
FRCMB4	3.133198556	0.401645784	20.29285	223
AGMB1	5.029826352	0.564711815	33.76443	480
FRCMB1	4.25189108	0.495055577	29.55103	385
UNKGMB18	7.57232977	0.750371922	57.64517	1091
UNKGMB23	7.285165562	0.745805497	51.5362	872
UNKGMB17	7.196820112	0.73393923	51.28937	895
AGMB5	5.751588214	0.628258054	37.79484	570
UNKGMB22	7.344779112	0.750518777	50.4714	883
UNKGMB4	7.047405675	0.722944835	49.97994	860
UNKGMB15	7.376826865	0.751190675	52.22285	904
G12MB5	6.878547808	0.71948832	48.42836	755
G12MB16	2.669561734	0.309488969	29.85436	395
G2MB4	6.833795335	0.714095971	46.5797	760
UNKGMB9	7.290312956	0.744457171	50.8235	887
G2MB8	6.717436166	0.719394749	41.84079	647
G2MB2	6.030194907	0.654956612	38.79424	591
UNKGMB11	7.291155723	0.740557929	52.2588	920
URGMB8	6.345307049	0.672110474	43.2326	695
URGMB7	6.066555794	0.659607792	39.8439	587
G12MB9	6.325538985	0.672106635	42.90883	681
URGMB9	6.353626925	0.678983875	41.86966	656
AGMB3	6.774620855	0.715712147	44.00644	707
G12MB6	6.971736896	0.730114873	46.67259	749
G12MB8	4.75342856	0.512823778	40.63839	617
FRCMB2	3.318609168	0.441095479	17.671	184
URGMB10	5.603569518	0.643289409	32.39368	419
FRCMB3	4.15286648	0.515199496	22.38601	267
AGMB4	4.98212078	0.544812135	38.29479	566
URGMB1	6.425405584	0.689278604	42.02074	640
FRCMB5	5.533433957	0.617172328	36.35486	500
G2MB1	6.463300046	0.693848231	41.78097	637
