	pielou_e
UNKGMB37	0.7461805315937521
UNKGMB10	0.759862052094588
UNKGMB19	0.7196910633366187
UNKGMB7	0.7528973241947885
UNKGMB6	0.7556635208726405
UNKGMB38	0.7359509189578207
LSGMB16	0.7278664071609421
UNKGMB5	0.7424784658845001
UNKGMB24	0.7110348671615861
UNKGMB26	0.7068676606871278
LSGMB10	0.739044556294969
UNKGMB28	0.7043518051161712
RSGMB3	0.7307838342317432
LFGMB1	0.7241262719696
RSGMB4	0.7337243785138392
UNKGMB36	0.7342946932952247
RSGMB5	0.7242902124611773
UNKGMB12	0.7414627271675807
G12MB13	0.7040547552594841
UNKGMB25	0.7170422476854064
RSGMB6	0.716279260563198
G12MB10	0.6996806926039205
UNKGMB30	0.7614480386772817
UNKGMB14	0.7645708589586326
UNKGMB13	0.7394383653811678
G2MB7	0.6456172065087399
UNKGMB8	0.7564850896791037
G12MB2	0.6393152459077007
AGMB6	0.5809998238281553
UNKGMB21	0.7372191058066151
G12MB17	0.6570383899757793
G2MB14	0.71037139700198
LSGMB14	0.7317788504778824
G12MB7	0.6375400873794979
LSGMB11	0.6950558623804917
UNKGMB34	0.7518131235807496
UNKGMB20	0.7487711627312463
G2MB6	0.7122399993861904
RSGMB7	0.7125207934515622
LSGMB15	0.7245269501439361
UNKGMB27	0.7094658948342154
UNKGMB29	0.7073399749736476
RSGMB1	0.719408738663058
URGMB11	0.6674991022764808
G2MB12	0.652716396256715
LSGMB13	0.7674095613377289
URGMB13	0.6898856792200019
URGMB12	0.7055023422879112
LSGMB20	0.7497053770342832
UNKGMB33	0.7290672656679268
LSGMB1	0.721936735074152
LSGMB17	0.7326836731004535
G2MB9	0.6754384689552762
G2MB11	0.7539721650490381
G12MB14	0.3915021848666912
URGMB2	0.718478855895968
G2MB3	0.7145205320626327
URGMB5	0.7011328486572566
G12MB3	0.63349076941258
G2MB13	0.7456197747755953
G12MB11	0.6470641865183969
G2MB10	0.67751675299069
G12MB4	0.5942211761240755
URGMB4	0.685617056663508
URGMB6	0.6741142453914734
G12MB1	0.5782920463277084
G2MB15	0.7120485747316447
URGMB14	0.733006360745668
AGMB2	0.6949324343592083
AGMB7	0.6363777082315248
UNKGMB35	0.7527830899032749
URGMB3	0.7010928137455269
LSGMB19	0.71904471714524
FRCMB4	0.40164578394004935
AGMB1	0.5647118147592811
FRCMB1	0.4950555770385458
UNKGMB18	0.7503719223582153
UNKGMB23	0.7458054967252783
UNKGMB17	0.7339392304871233
AGMB5	0.6282580544858671
UNKGMB22	0.7505187769815269
UNKGMB4	0.72294483535687
UNKGMB15	0.7511906751768015
G12MB5	0.7194883198221257
G12MB16	0.3094889686665238
G2MB4	0.7140959711656519
UNKGMB9	0.7444571707637995
G2MB8	0.7193947491383993
G2MB2	0.6549566121473658
UNKGMB11	0.7405579291184364
URGMB8	0.672110473803759
URGMB7	0.6596077918773663
G12MB9	0.6721066354355157
URGMB9	0.6789838754897186
AGMB3	0.7157121470596464
G12MB6	0.7301148731118852
G12MB8	0.5128237777494723
FRCMB2	0.4410954793628889
URGMB10	0.6432894085150294
FRCMB3	0.5151994958578296
AGMB4	0.5448121348460424
URGMB1	0.6892786040545554
FRCMB5	0.6171723277337121
G2MB1	0.6938482310819247
