	faith_pd
UNKGMB37	58.932109999999994
UNKGMB10	53.74455999999999
UNKGMB19	51.71894
UNKGMB7	49.44182
UNKGMB6	54.08436
UNKGMB38	50.86691999999999
LSGMB16	50.36501
UNKGMB5	55.83233
UNKGMB24	49.078720000000004
UNKGMB26	47.905080000000005
LSGMB10	53.94238
UNKGMB28	45.497460000000004
RSGMB3	54.405030000000004
LFGMB1	50.51045
RSGMB4	48.838010000000004
UNKGMB36	50.370729999999995
RSGMB5	48.52091
UNKGMB12	53.95622000000001
G12MB13	42.493089999999995
UNKGMB25	48.730059999999995
RSGMB6	47.051610000000004
G12MB10	47.07405
UNKGMB30	55.04261000000001
UNKGMB14	53.09293
UNKGMB13	53.980329999999995
G2MB7	42.14395
UNKGMB8	52.89066
G12MB2	38.36381
AGMB6	37.7559
UNKGMB21	48.84851
G12MB17	42.2545
G2MB14	49.09811
LSGMB14	50.10681
G12MB7	36.08780000000001
LSGMB11	45.47768000000001
UNKGMB34	53.96624999999999
UNKGMB20	49.540099999999995
G2MB6	43.8013
RSGMB7	47.35318
LSGMB15	49.94339
UNKGMB27	49.32963000000001
UNKGMB29	50.01917
RSGMB1	49.73719
URGMB11	38.15226999999999
G2MB12	39.19256000000001
LSGMB13	56.511570000000006
URGMB13	42.65793000000001
URGMB12	44.182089999999995
LSGMB20	53.60307
UNKGMB33	51.8639
LSGMB1	51.89699
LSGMB17	53.17869
G2MB9	45.40336
G2MB11	45.27205
G12MB14	33.25356
URGMB2	42.55686
G2MB3	41.45113
URGMB5	43.956869999999995
G12MB3	38.61059
G2MB13	47.0884
G12MB11	40.0798
G2MB10	42.07858
G12MB4	37.32906
URGMB4	41.252939999999995
URGMB6	41.28469
G12MB1	35.62966
G2MB15	46.9223
URGMB14	45.85205
AGMB2	42.883539999999996
AGMB7	39.41232
UNKGMB35	54.50138000000001
URGMB3	41.45569
LSGMB19	48.66304999999999
FRCMB4	20.29285
AGMB1	33.76443
FRCMB1	29.551029999999997
UNKGMB18	57.64517000000001
UNKGMB23	51.5362
UNKGMB17	51.28937
AGMB5	37.79484000000001
UNKGMB22	50.4714
UNKGMB4	49.979940000000006
UNKGMB15	52.22285
G12MB5	48.428360000000005
G12MB16	29.85436
G2MB4	46.57969999999999
UNKGMB9	50.82350000000001
G2MB8	41.84079
G2MB2	38.79424
UNKGMB11	52.2588
URGMB8	43.23260000000001
URGMB7	39.8439
G12MB9	42.90883
URGMB9	41.869659999999996
AGMB3	44.00644
G12MB6	46.67259000000001
G12MB8	40.63839000000001
FRCMB2	17.671
URGMB10	32.393679999999996
FRCMB3	22.386010000000002
AGMB4	38.294790000000006
URGMB1	42.02074
FRCMB5	36.354859999999995
G2MB1	41.780969999999996
