	observed_otus
UNKGMB37	1068
UNKGMB10	973
UNKGMB19	878
UNKGMB7	850
UNKGMB6	990
UNKGMB38	898
LSGMB16	887
UNKGMB5	1076
UNKGMB24	861
UNKGMB26	820
LSGMB10	938
UNKGMB28	785
RSGMB3	970
LFGMB1	826
RSGMB4	843
UNKGMB36	874
RSGMB5	821
UNKGMB12	960
G12MB13	696
UNKGMB25	880
RSGMB6	816
G12MB10	732
UNKGMB30	949
UNKGMB14	945
UNKGMB13	971
G2MB7	596
UNKGMB8	919
G12MB2	564
AGMB6	595
UNKGMB21	825
G12MB17	676
G2MB14	757
LSGMB14	867
G12MB7	549
LSGMB11	727
UNKGMB34	985
UNKGMB20	839
G2MB6	700
RSGMB7	812
LSGMB15	862
UNKGMB27	834
UNKGMB29	863
RSGMB1	858
URGMB11	575
G2MB12	641
LSGMB13	1035
URGMB13	651
URGMB12	716
LSGMB20	918
UNKGMB33	959
LSGMB1	904
LSGMB17	935
G2MB9	678
G2MB11	704
G12MB14	474
URGMB2	674
G2MB3	651
URGMB5	706
G12MB3	601
G2MB13	758
G12MB11	614
G2MB10	655
G12MB4	565
URGMB4	643
URGMB6	629
G12MB1	520
G2MB15	749
URGMB14	726
AGMB2	658
AGMB7	605
UNKGMB35	978
URGMB3	663
LSGMB19	791
FRCMB4	223
AGMB1	480
FRCMB1	385
UNKGMB18	1091
UNKGMB23	872
UNKGMB17	895
AGMB5	570
UNKGMB22	883
UNKGMB4	860
UNKGMB15	904
G12MB5	755
G12MB16	395
G2MB4	760
UNKGMB9	887
G2MB8	647
G2MB2	591
UNKGMB11	920
URGMB8	695
URGMB7	587
G12MB9	681
URGMB9	656
AGMB3	707
G12MB6	749
G12MB8	617
FRCMB2	184
URGMB10	419
FRCMB3	267
AGMB4	566
URGMB1	640
FRCMB5	500
G2MB1	637
