	shannon
UNKGMB37	7.507095438509719
UNKGMB10	7.542615644292665
UNKGMB19	7.037194726742775
UNKGMB7	7.326684059344593
UNKGMB6	7.519822844918033
UNKGMB38	7.220099210089277
LSGMB16	7.127843087593459
UNKGMB5	7.477843924164525
UNKGMB24	6.932497113151925
UNKGMB26	6.842111454605021
LSGMB10	7.296915123237101
UNKGMB28	6.7734335371035606
RSGMB3	7.250720962632768
LFGMB1	7.016782106436949
RSGMB4	7.1313525221800855
UNKGMB36	7.17515286304446
RSGMB5	7.012026226153857
UNKGMB12	7.34559011877075
G12MB13	6.648349271898915
UNKGMB25	7.013648154405205
RSGMB6	6.928157671800081
G12MB10	6.657951453461593
UNKGMB30	7.530922335737708
UNKGMB14	7.55714874388833
UNKGMB13	7.337689054960382
G2MB7	5.952053826514094
UNKGMB8	7.446779499278401
G12MB2	5.843054520344894
AGMB6	5.3549277198803535
UNKGMB21	7.142363229729824
G12MB17	6.176738689171259
G2MB14	6.794098234336939
LSGMB14	7.142079755510743
G12MB7	5.80203706282068
LSGMB11	6.607070047236025
UNKGMB34	7.476014600227002
UNKGMB20	7.272460135177951
G2MB6	6.731530596490214
RSGMB7	6.886752816688664
LSGMB15	7.065256476326042
UNKGMB27	6.884588632118859
UNKGMB29	6.898840091276804
RSGMB1	7.010518619516635
URGMB11	6.119243382535805
G2MB12	6.086045524435952
LSGMB13	7.6859252719673545
URGMB13	6.44802597514405
URGMB12	6.690854244686981
LSGMB20	7.378862975112556
UNKGMB33	7.221693419131183
LSGMB1	7.089547937969895
LSGMB17	7.2307251586091486
G2MB9	6.352594350168598
G2MB11	7.13214813763729
G12MB14	3.4799624026627196
URGMB2	6.751261852490125
G2MB3	6.6782759655522135
URGMB5	6.635187802169002
G12MB3	5.847893408386434
G2MB13	7.132639057432303
G12MB11	5.993169866575692
G2MB10	6.338407097937631
G12MB4	5.432433607842533
URGMB4	6.395898646245252
URGMB6	6.267183653268191
G12MB1	5.217563545317476
G2MB15	6.799225030284357
URGMB14	6.966364717369278
AGMB2	6.505918377015865
AGMB7	5.880633610206965
UNKGMB35	7.47791434537823
URGMB3	6.571248337851471
LSGMB19	6.922627378766953
FRCMB4	3.1331985557413438
AGMB1	5.029826352108461
FRCMB1	4.2518910799375815
UNKGMB18	7.572329770189364
UNKGMB23	7.285165562444333
UNKGMB17	7.1968201118807835
AGMB5	5.751588214365061
UNKGMB22	7.344779112154189
UNKGMB4	7.04740567467347
UNKGMB15	7.376826865133686
G12MB5	6.87854780782781
G12MB16	2.6695617338577358
G2MB4	6.833795334546149
UNKGMB9	7.290312956378565
G2MB8	6.717436165733123
G2MB2	6.03019490713576
UNKGMB11	7.291155723283536
URGMB8	6.345307049362241
URGMB7	6.066555794359974
G12MB9	6.32553898451718
URGMB9	6.353626925192171
AGMB3	6.774620854721793
G12MB6	6.9717368960623505
G12MB8	4.753428560039826
FRCMB2	3.318609167523362
URGMB10	5.6035695184233685
FRCMB3	4.1528664802686865
AGMB4	4.9821207797146965
URGMB1	6.425405584340903
FRCMB5	5.533433956923235
G2MB1	6.4633000460350996
