sampleID	pielou_e	faith_pd	observed_otus	shannon
UNKGMB37	0.7462539846596021	57.95907999999999	1047	7.486454098009451
UNKGMB10	0.7588708974755298	53.67936	993	7.555052980278232
UNKGMB19	0.721651258025385	49.97354	853	7.026286702376633
UNKGMB7	0.7532663554667623	48.52907	828	7.301777592240112
UNKGMB6	0.7531390004139855	54.292840000000005	998	7.503445538688194
UNKGMB38	0.7345666636574986	50.465390000000006	892	7.1994143403255695
LSGMB16	0.7282236035000756	51.06916	888	7.13252481637179
UNKGMB5	0.7453654637446446	56.44393	1061	7.491824013439253
UNKGMB24	0.7142012462945131	48.21611	844	6.942821155927253
UNKGMB26	0.7060728871381025	48.91656	851	6.872218228742197
LSGMB10	0.7383096802277952	54.12142000000001	954	7.307675113567567
UNKGMB28	0.7005579843465775	47.26599	836	6.8005679468989255
RSGMB3	0.7356695164340489	53.61073999999999	946	7.272605470588424
LFGMB1	0.7235343466845036	49.554190000000006	852	7.043396765233452
RSGMB4	0.7348544108905579	47.99452	826	7.120737750818138
UNKGMB36	0.7360642435390382	49.73455	849	7.161625932525103
RSGMB5	0.7250852732889773	49.80235	833	7.03490253306513
UNKGMB12	0.7407346350534134	53.2355	938	7.3136020214043524
G12MB13	0.7088388035117027	42.43831	684	6.6757393083014
UNKGMB25	0.7146991923844221	49.58528	888	7.00006110955759
RSGMB6	0.7165773125312956	47.063959999999994	815	6.929772865407273
G12MB10	0.7000430031797367	46.02566	743	6.676463011094084
UNKGMB30	0.7610794085248859	54.577740000000006	951	7.529588077465706
UNKGMB14	0.7673006139175388	52.67296999999999	927	7.562841359146872
UNKGMB13	0.74081972318274	53.97445999999999	947	7.324648039397969
G2MB7	0.6512363144260382	41.3716	581	5.979908656317631
UNKGMB8	0.7567990593471258	52.10512	899	7.425846554960549
G12MB2	0.6398209713889342	37.47177	549	5.8227946180249965
AGMB6	0.5785385230478339	39.48781999999999	610	5.3530233935455165
UNKGMB21	0.7353995395619202	50.04909000000001	848	7.153908223180762
G12MB17	0.6582754925354796	42.7909	688	6.205079074171356
G2MB14	0.7069574190829111	49.584590000000006	767	6.774831460171795
LSGMB14	0.7293069581949844	52.11293000000001	874	7.1264152620358026
G12MB7	0.6373832601419669	35.77881	559	5.817208651253064
LSGMB11	0.691455736358732	44.82615	733	6.5810470951910265
UNKGMB34	0.7541214450343261	54.42632	992	7.506672905744307
UNKGMB20	0.7471932971153376	49.31071	843	7.262262179065667
G2MB6	0.7131937895251058	43.49003	705	6.747868381523918
RSGMB7	0.7100067801854081	48.68105	830	6.884912690864067
LSGMB15	0.7231697351905574	50.51887000000002	875	7.067638492103933
UNKGMB27	0.7073337368363422	49.70383	849	6.882088998537762
UNKGMB29	0.7104140639251815	49.989059999999995	845	6.907219210980519
RSGMB1	0.7198313422908468	50.0987	857	7.013425746166936
URGMB11	0.6670271112076712	38.51252	584	6.129862128015049
G2MB12	0.6520093315775377	40.27463	660	6.106929486250258
LSGMB13	0.7638410010738059	57.10038000000001	1045	7.66078079550416
URGMB13	0.6904299174245674	42.78116	648	6.448511866249478
URGMB12	0.7073017187566775	43.85833	718	6.7107655632114565
LSGMB20	0.7470303370655134	53.97264000000001	925	7.36072115838405
UNKGMB33	0.7283620101555083	51.353629999999995	928	7.180178853685918
LSGMB1	0.7227177226892246	51.96581000000001	902	7.094908047876543
LSGMB17	0.7345341479048025	52.70022999999999	930	7.243305067910532
G2MB9	0.6727041111722031	46.12539	691	6.345309715195247
G2MB11	0.7523381822970844	45.21232000000001	702	7.113603693948077
G12MB14	0.3967983231273345	33.96905	472	3.524617866925451
URGMB2	0.716521953634884	42.41677	674	6.732873615347318
G2MB3	0.7130545757141583	42.71652	661	6.680256399985717
URGMB5	0.7006846171099648	42.50379	691	6.609237009847248
G12MB3	0.6337373758384875	39.77167	615	5.871223542073901
G2MB13	0.7436109792555853	48.26467	777	7.13998217855553
G12MB11	0.6497990808651369	38.9112	607	6.0077516506151225
G2MB10	0.6797475008448639	42.16183999999999	638	6.333487938547082
G12MB4	0.5948315524979783	36.33622	568	5.442558284058875
URGMB4	0.6869146967080895	41.78977	645	6.4110815767881
URGMB6	0.6754724422922089	40.36642000000001	631	6.282904351796553
G12MB1	0.5774770204090252	36.11005	517	5.205389683103428
G2MB15	0.7117564810213083	47.36972	748	6.795064005451449
URGMB14	0.7322964423635733	46.54025	728	6.962524189740956
AGMB2	0.6900505338582116	43.83141000000001	673	6.482653997726902
AGMB7	0.6391453794994986	39.378209999999996	595	5.89084052928667
UNKGMB35	0.7568019089275926	52.89238	944	7.4792031250070465
URGMB3	0.7051192790247939	41.7675	651	6.590407024925088
LSGMB19	0.7171145464348839	49.069320000000005	804	6.920909556139398
FRCMB4	0.39695069601899496	22.181059999999995	246	3.1527866610353747
AGMB1	0.5623004086136172	34.14191999999999	473	4.996430701545278
FRCMB1	0.4976323154034322	30.85344	394	4.290611610444452
UNKGMB18	0.7523775670037361	56.87375	1070	7.5714727070572145
UNKGMB23	0.7432018250671475	51.72438999999999	881	7.2707421234982865
UNKGMB17	0.7314798191277859	50.848040000000005	892	7.169160486083242
AGMB5	0.6241355537943678	39.13535	586	5.738774661339389
UNKGMB22	0.7493828629713895	51.58795	891	7.343413716599017
UNKGMB4	0.7206419303520738	50.25524	863	7.0285769452705
UNKGMB15	0.7551347405933203	51.82123	897	7.407089617716827
G12MB5	0.7188601398235218	47.33042	748	6.8628818863152325
G12MB16	0.3018117528725081	30.36785	405	2.6142264306812617
G2MB4	0.7157851493876094	45.116620000000005	740	6.822421302585959
UNKGMB9	0.7465116550102994	50.22767999999999	876	7.29699246523613
G2MB8	0.7163377605046507	42.39864	658	6.706313836847961
G2MB2	0.6540419451126479	39.829809999999995	602	6.039174573818335
UNKGMB11	0.7439192321238215	51.418040000000005	908	7.310158405092957
URGMB8	0.6742969162339937	41.94604999999999	678	6.3418578853373075
URGMB7	0.6543173783712158	41.10334	619	6.068005624028396
G12MB9	0.6739534949214163	42.621590000000005	670	6.327087059841022
URGMB9	0.6824538176886625	40.57105	638	6.358703809244335
AGMB3	0.7132869811592768	45.12332	722	6.773269765654493
G12MB6	0.7274756749077329	46.50217	736	6.928159661508187
G12MB8	0.5117064671358651	41.84033	619	4.745461183014066
FRCMB2	0.4340633745924238	17.93985	202	3.3241491195456936
URGMB10	0.6432936923456691	32.39368	419	5.603606834042866
FRCMB3	0.5132616036661772	23.02385	278	4.1671407150572595
AGMB4	0.5405574470909411	39.2925	583	4.966291582214924
URGMB1	0.6879372419391958	42.05385	638	6.409795135522878
FRCMB5	0.6146679398699039	36.38343	503	5.516284927454174
