	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	G12MB14	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G12MB16	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	G12MB8	FRCMB2	URGMB10	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.4142337426102774	0.4291950886766712	0.4481582537517053	0.4004092769440655	0.523556161891769	0.2842201000454752	0.4929058663028649	0.34483856298317417	0.32833105957253295	0.4239199636198272	0.27826284674852203	0.38108231014097316	0.3877216916780355	0.4345156889495225	0.36543883583447023	0.5115961800818554	0.4150068212824011	0.8761709868121873	0.3376534788540246	0.5289677125966349	0.8621191450659391	0.3149613460663938	0.4952705775352433	0.4447930877671669	0.9257389722601183	0.49549795361527965	0.9083219645293316	0.8633469758981355	0.3459299681673488	0.8610277398817644	0.8419736243747158	0.30222828558435655	0.8810823101409732	0.3599818099135971	0.32055479763528877	0.37257844474761254	0.8382901318781264	0.5532969531605275	0.28831286948613005	0.37085038653933605	0.35202364711232376	0.536243747157799	0.9011823556161892	0.8784902228285585	0.3531605275125057	0.8755343337880855	0.8612096407457935	0.4383356070941337	0.3337426102773988	0.44888585720782176	0.29417917235106866	0.8852205547976353	0.8586175534333788	0.9587539790814006	0.8701227830832197	0.8663028649386084	0.875943610732151	0.8536607548885857	0.8490677580718509	0.9151887221464302	0.8666211914506594	0.8620736698499318	0.8904956798544793	0.8809458844929513	0.9068667576170987	0.8381991814461118	0.8516143701682583	0.8787175989085948	0.8703956343792633	0.33306048203728966	0.8939517962710323	0.5070941336971351	0.9898135516143701	0.9398817644383811	0.9742610277398818	0.34442928603910866	0.36589358799454297	0.4064574806730332	0.8781264211005002	0.39495225102319237	0.47239654388358343	0.44638472032742155	0.8816734879490677	0.9269668030923147	0.838699408822192	0.4419281491587085	0.8926330150068212	0.8370168258299227	0.4028194633924511	0.8605729877216917	0.9403819918144611	0.8739427012278308	0.8712596634834016	0.853706230104593	0.9007730786721236	0.8974079126875852	0.9900409276944065	0.9429740791268758	0.9831741700773079	0.8849022282855844	0.876443838108231	0.9307867212369259	0.8771714415643475
UNKGMB10	0.4142337426102774	0.0	0.41236925875397906	0.3712141882673943	0.3570713960891314	0.4440200090950432	0.36234652114597543	0.4660300136425648	0.4525693497044111	0.3906775807185084	0.38262846748522056	0.4682128240109141	0.41700773078672126	0.44679399727148705	0.39245111414279216	0.392587539790814	0.4400636653024102	0.38494770350159163	0.8826284674852205	0.4747612551159618	0.4453842655752615	0.8866757617098682	0.3381537062301046	0.41414279217826283	0.398681218735789	0.902455661664393	0.3980445657116871	0.9089131423374261	0.9091859936334697	0.384674852205548	0.886493860845839	0.8838108231014097	0.3696680309231469	0.9050477489768076	0.5705775352432924	0.3855388813096862	0.34806730331969077	0.882537517053206	0.49799909049567986	0.35943610732150977	0.40695770804911324	0.4294679399727149	0.47280582082764894	0.9181900864029104	0.9008640291041382	0.33146884947703503	0.893906321055025	0.8961800818553888	0.407412460209186	0.3602091859936335	0.38585720782173716	0.3497044110959527	0.895225102319236	0.8606639381537062	0.9472942246475671	0.8991359708958617	0.8640291041382446	0.8997271487039563	0.8852205547976353	0.8619827194179173	0.902637562528422	0.8854024556616644	0.9064120054570259	0.9207821737153251	0.9120054570259208	0.9264211005002274	0.8903137789904502	0.8732150977717145	0.8864029104138245	0.8984538426557526	0.3563892678490223	0.9169167803547067	0.45798090040927697	0.9895407003183265	0.9285129604365621	0.9735788994997726	0.4084129149613461	0.36989540700318324	0.41564347430650295	0.9020009095043201	0.3647112323783538	0.4034106412005457	0.37221464301955437	0.884174624829468	0.9422010004547522	0.8894952251023193	0.3647567075943611	0.9133242382901319	0.9009549795361528	0.34438381082310143	0.9005911778080946	0.9231468849477035	0.909231468849477	0.9065029558890405	0.9003183265120509	0.8862664847658026	0.9209640745793543	0.9926784902228286	0.9550704865848113	0.9842201000454752	0.9211459754433834	0.9088221919054116	0.951068667576171	0.8963165075034106
UNKGMB19	0.4291950886766712	0.41236925875397906	0.0	0.33742610277398816	0.35147794452023645	0.4134606639381537	0.34452023647112323	0.5579354251932697	0.38549340609367894	0.34774897680763983	0.3855388813096862	0.46903137789904503	0.4235106866757617	0.3096407457935425	0.39818099135970897	0.3754888585720782	0.3602546612096407	0.3599818099135971	0.8910868576625739	0.4918144611186903	0.4510231923601637	0.8750795816280127	0.3417462482946794	0.3569349704411096	0.36762164620281945	0.8741246020918599	0.42000909504320144	0.8924511141427922	0.8849022282855844	0.3939517962710323	0.8730331969076853	0.8631650750341064	0.3538426557526148	0.9109140518417462	0.5525238744884038	0.37994542974079126	0.398681218735789	0.8569349704411096	0.4055479763528877	0.3393360618462938	0.35147794452023645	0.3737608003638017	0.3171896316507503	0.9348794906775807	0.881718963165075	0.35452478399272397	0.9213278763074124	0.9148249204183719	0.3424738517507958	0.35147794452023645	0.33087767166894044	0.3285129604365621	0.8704865848112778	0.893406093678945	0.9029104138244657	0.9328331059572533	0.8561164165529787	0.918281036834925	0.8878126421100501	0.905275125056844	0.8845384265575261	0.8703046839472488	0.9047294224647567	0.9311050477489768	0.9361527967257844	0.9032287403365166	0.8657571623465211	0.91218735788995	0.872669395179627	0.875443383356071	0.37030468394724875	0.9293315143246931	0.3491132332878581	0.9880854934060936	0.8950886766712142	0.9718053660754888	0.43660754888585723	0.35666211914506596	0.37462482946793996	0.8841291496134607	0.3199181446111869	0.3421555252387449	0.3474761255115962	0.8669849931787176	0.9122783083219645	0.9083219645293316	0.34120054570259206	0.903137789904502	0.8735788994997726	0.3539336061846294	0.9225557071396089	0.9245566166439291	0.8845839017735334	0.9246930422919509	0.9086857662573897	0.8577535243292406	0.8968167348794907	0.9921327876307412	0.9490677580718508	0.9861300591177808	0.8982719417917235	0.9267849022282856	0.9387448840381992	0.9159618008185539
UNKGMB7	0.4481582537517053	0.3712141882673943	0.33742610277398816	0.0	0.33328785811732603	0.3597544338335607	0.3935425193269668	0.4715779899954525	0.4345611641655298	0.3841291496134607	0.36498408367439744	0.5181900864029104	0.4011823556161892	0.3208276489313324	0.34429286039108686	0.40750341064120055	0.3882673942701228	0.3381991814461119	0.8854479308776717	0.49822646657571623	0.389449749886312	0.9045475216007276	0.37517053206002726	0.4020918599363347	0.3356525693497044	0.9038199181446112	0.3489768076398363	0.921737153251478	0.9082764893133243	0.41414279217826283	0.8979990904956798	0.894906775807185	0.3998180991359709	0.9073215097771714	0.5983174170077308	0.40527512505684404	0.41414279217826283	0.8947703501591633	0.4081855388813097	0.3856753069577081	0.4023192360163711	0.4299226921327876	0.3215097771714416	0.9176443838108231	0.9182355616189177	0.36102773988176445	0.9019554342883128	0.901318781264211	0.3461573442473852	0.40295588904047297	0.32592087312414736	0.36325602546612096	0.9073215097771714	0.8786721236925875	0.9432924056389268	0.9059572532969532	0.8696680309231469	0.9055934515688949	0.8852660300136426	0.884674852205548	0.9120509322419281	0.8883583447021374	0.9160982264665757	0.9207366984993178	0.9152341973624375	0.9287403365165985	0.9012733060482038	0.8853569804456571	0.8949522510231923	0.8928603910868577	0.37880854934060937	0.916962255570714	0.37198726693951795	0.9895861755343338	0.9244656662119145	0.9733969986357435	0.4795361527967258	0.3768985902683038	0.38972260118235563	0.9051386994088222	0.36707594361073215	0.2857662573897226	0.31200545702592086	0.8943155979990906	0.9500682128240109	0.9136425648021828	0.25588904047294225	0.9060482037289677	0.9101864483856298	0.3050932241928149	0.9154615734424738	0.9187357889949977	0.9162346521145975	0.9065484311050478	0.9068667576170987	0.8868121873578899	0.9253296953160528	0.9909049567985448	0.9600272851296043	0.9876307412460209	0.9301045929968167	0.9119599818099136	0.9422919508867668	0.8967712596634834
UNKGMB6	0.4004092769440655	0.3570713960891314	0.35147794452023645	0.33328785811732603	0.0	0.41882673942701226	0.3668485675306958	0.43838108231014095	0.41055025011368806	0.37130513869940884	0.4125056844020009	0.4561618917689859	0.3963619827194179	0.38603910868576624	0.34697589813551616	0.40654843110504774	0.4260118235561619	0.3872214643019554	0.896043656207367	0.4486130059117781	0.4304229195088677	0.8961800818553888	0.36821282401091404	0.4574351978171896	0.4076398362892224	0.9090950432014552	0.37357889949977263	0.9221009549795361	0.9102773988176444	0.3867667121418827	0.9031832651205093	0.8928603910868577	0.3766712141882674	0.9095497953615279	0.554206457480673	0.3646202819463392	0.4067758071850841	0.888130968622101	0.4267849022282856	0.36421100500227377	0.4147794452023647	0.3992723965438836	0.3861755343337881	0.9230559345156889	0.9137789904502046	0.33915416098226464	0.9027285129604365	0.8998180991359709	0.37512505684402003	0.4029104138244657	0.3727148703956344	0.3493406093678945	0.899181446111869	0.8862210095497953	0.9485675306957708	0.9135516143701683	0.8716234652114597	0.9041382446566621	0.8948613005911779	0.886175534333788	0.9140973169622556	0.9015916325602547	0.9118235561618918	0.919281491587085	0.9154160982264665	0.9336516598453842	0.8810823101409732	0.8859481582537517	0.8971805366075489	0.8999545247839927	0.36211914506593906	0.9168258299226921	0.4244656662119145	0.9889949977262392	0.9342428376534788	0.9742155525238745	0.44470213733515235	0.4087767166894043	0.38681218735788997	0.909731696225557	0.3868576625738972	0.3427012278308322	0.37371532514779443	0.8877671668940428	0.9492951341518873	0.8870395634379263	0.3536607548885857	0.9116416552978627	0.9015916325602547	0.37353342428376535	0.9066848567530695	0.9245111414279218	0.9042746703046839	0.9067758071850841	0.906093678944975	0.8832651205093224	0.9193269668030923	0.9897680763983628	0.957662573897226	0.9824920418371987	0.9263756252842201	0.911368804001819	0.9455661664392906	0.9010004547521601
UNKGMB38	0.523556161891769	0.4440200090950432	0.4134606639381537	0.3597544338335607	0.41882673942701226	0.0	0.47394270122783083	0.6063665302410186	0.5272396543883583	0.48840381991814463	0.45284220100045475	0.5919054115507049	0.5419281491587085	0.4165529786266485	0.4574806730331969	0.49286039108685764	0.4455206912232833	0.40732150977717146	0.9172805820827649	0.6152796725784447	0.4649840836743975	0.9266484765802637	0.4698044565711687	0.40422919508867666	0.41923601637107777	0.9267849022282856	0.3884492951341519	0.9437016825829923	0.930650295588904	0.5156434743065029	0.9275579809004093	0.9108231014097317	0.4793542519326967	0.9315597999090496	0.6595270577535244	0.4654388358344702	0.5083674397453388	0.9129604365620737	0.4351068667576171	0.46844020009095044	0.48303774442928604	0.43519781718963163	0.3904956798544793	0.9453387903592542	0.9397453387903593	0.4621646202819463	0.9297862664847658	0.9199636198271942	0.42783083219645296	0.5030013642564802	0.4007276034561164	0.4421555252387449	0.9193724420190996	0.9063210550250114	0.9437016825829923	0.9281946339245112	0.9095497953615279	0.9224192814915871	0.9180081855388813	0.9083674397453388	0.9336516598453842	0.9271487039563437	0.9340609367894498	0.9415643474306503	0.9432469304229195	0.9555707139608913	0.9190541155070486	0.9087767166894043	0.9170532060027285	0.921737153251478	0.45507048658481125	0.9371987266939518	0.363756252842201	0.9889495225102319	0.9399272396543884	0.9756252842201001	0.5940427467030468	0.4693042291950887	0.5095043201455207	0.9271032287403366	0.4461573442473852	0.4316507503410641	0.3376989540700318	0.9181446111869032	0.9687585266030013	0.9224192814915871	0.37507958162801275	0.9328785811732606	0.9306957708049113	0.3758981355161437	0.9381537062301046	0.9409276944065484	0.9373351523419736	0.927194179172351	0.9325147794452023	0.9058663028649386	0.9472942246475671	0.9906321055025011	0.9752614824920418	0.991268758526603	0.95025011368804	0.930468394724875	0.9569349704411096	0.9256025466120964
LSGMB16	0.2842201000454752	0.36234652114597543	0.34452023647112323	0.3935425193269668	0.3668485675306958	0.47394270122783083	0.0	0.5175989085948158	0.32064574806730334	0.2816280127330605	0.36748522055479765	0.3091405184174625	0.3427012278308322	0.3544793087767167	0.37448840381991816	0.273806275579809	0.4497044110959527	0.348931332423829	0.8795816280127331	0.3320600272851296	0.4796725784447476	0.8818553888130969	0.24242837653478855	0.4272851296043656	0.3709413369713506	0.9125511596180081	0.42742155525238745	0.9080036380172806	0.8944974988631196	0.2696225557071396	0.8842201000454752	0.871668940427467	0.13010459299681673	0.8941336971350614	0.41114142792178265	0.27335152341973623	0.27635288767621646	0.8673033196907686	0.5068667576170987	0.09190541155070486	0.29740791268758526	0.28872214643019556	0.47976352887676216	0.9045475216007276	0.8958162801273306	0.28831286948613005	0.8848112778535698	0.880718508412915	0.3580718508412915	0.24452023647112323	0.3897680763983629	0.16493860845839017	0.8832651205093224	0.8686675761709868	0.9492951341518873	0.9039108685766257	0.8697135061391542	0.885675306957708	0.877762619372442	0.8683492496589359	0.9072305593451568	0.8768531150522965	0.898180991359709	0.9040472942246476	0.8951796271032287	0.916143701682583	0.8675306957708049	0.8767621646202819	0.8840381991814461	0.8859026830377444	0.2870395634379263	0.9011368804001819	0.4578444747612551	0.9899045020463847	0.9309231468849477	0.9752614824920418	0.3547976352887676	0.2895407003183265	0.363756252842201	0.896543883583447	0.3011368804001819	0.4411550704865848	0.37512505684402003	0.8854024556616644	0.9295134151887221	0.8767621646202819	0.41296043656207365	0.9119145065939063	0.8835379718053661	0.3355161437016826	0.8941791723510687	0.9310140973169623	0.8906775807185084	0.8969531605275125	0.8902228285584356	0.8935425193269668	0.9094133697135062	0.9928149158708504	0.9541155070486584	0.985993633469759	0.9070031832651205	0.8995452478399273	0.9481582537517054	0.8806275579809004
UNKGMB5	0.4929058663028649	0.4660300136425648	0.5579354251932697	0.4715779899954525	0.43838108231014095	0.6063665302410186	0.5175989085948158	0.0	0.5513869940882219	0.5288767621646203	0.4958162801273306	0.5461573442473852	0.4552069122328331	0.5395634379263301	0.4891768985902683	0.5353797180536608	0.5893587994542974	0.5316052751250568	0.8811277853569804	0.49495225102319235	0.5712141882673942	0.8820827648931332	0.5063665302410186	0.5634834015461574	0.5191450659390632	0.9103683492496589	0.47767166894042745	0.916643929058663	0.8961800818553888	0.5036834924965894	0.8834924965893588	0.888130968622101	0.5157798999545248	0.8885857207821737	0.6318781264211005	0.5374261027739882	0.5441109595270578	0.8834470213733515	0.5808549340609368	0.5194179172351069	0.5868576625738973	0.5638472032742156	0.5439290586630287	0.9054115507048659	0.8958617553433379	0.43924511141427924	0.8852660300136426	0.8854479308776717	0.5472487494315598	0.5368349249658936	0.5386084583901773	0.4963619827194179	0.8884947703501591	0.8779445202364711	0.9498408367439746	0.8915416098226466	0.8750341064120054	0.8904047294224647	0.882537517053206	0.8678490222828559	0.9003638017280582	0.8867667121418826	0.894724874943156	0.9025920873124147	0.8871305138699409	0.9162346521145975	0.8882219190541155	0.8750795816280127	0.8839017735334243	0.8881764438381082	0.5044110959527057	0.9015916325602547	0.5722601182355617	0.9866757617098681	0.9256480218281037	0.9703046839472488	0.46916780354706683	0.5481582537517053	0.4929968167348795	0.8977717144156435	0.5514779445202365	0.4602091859936335	0.5656207366984993	0.8837198726693952	0.9378353797180536	0.885175079581628	0.5340154615734425	0.9032742155525239	0.8914961346066393	0.5401546157344247	0.890950432014552	0.9214643019554343	0.8974988631195998	0.8927694406548431	0.8839472487494315	0.8940882219190541	0.9100045475216008	0.9847203274215552	0.954206457480673	0.9797180536607549	0.904774897680764	0.8924965893587995	0.9389722601182355	0.8889040472942247
UNKGMB24	0.34483856298317417	0.4525693497044111	0.38549340609367894	0.4345611641655298	0.41055025011368806	0.5272396543883583	0.32064574806730334	0.5513869940882219	0.0	0.22269213278763075	0.45302410186448383	0.30404729422464755	0.4088676671214188	0.40109140518417463	0.4445657116871305	0.3644838562983174	0.4961800818553888	0.43124147339699864	0.8546612096407458	0.3679854479308777	0.47771714415643474	0.844474761255116	0.324056389267849	0.4870850386539336	0.45820827648931334	0.9093678944974989	0.5252387448840382	0.8944974988631196	0.8678490222828559	0.27216916780354705	0.8718508412914961	0.8426102773988177	0.33501591632560257	0.8641200545702592	0.39022282855843565	0.35511596180081856	0.3309231468849477	0.8413824465666212	0.5300591177808095	0.3196907685311505	0.36366530241018646	0.3358344702137335	0.507412460209186	0.8763983628922237	0.868531150522965	0.37357889949977263	0.857980900409277	0.8517053206002728	0.41409731696225555	0.3398817644383811	0.39613460663938155	0.33178717598908597	0.8845384265575261	0.8395179627103229	0.951068667576171	0.8662573897226011	0.8394270122783083	0.8603910868576625	0.8547521600727603	0.8400181900864029	0.9091405184174625	0.8498863119599818	0.8617553433378808	0.8863574351978172	0.8685766257389722	0.8839472487494315	0.8347885402455661	0.8483856298317417	0.8498408367439745	0.8582537517053206	0.3487949067758072	0.8948613005911779	0.48522055479763526	0.9902228285584357	0.9315597999090496	0.9734424738517508	0.38681218735788997	0.32401091405184174	0.39554342883128696	0.86343792633015	0.36534788540245566	0.4649386084583902	0.4313324238290132	0.8795361527967258	0.9259208731241474	0.8585720782173716	0.40632105502501137	0.91268758526603	0.845475216007276	0.3859481582537517	0.859481582537517	0.9289222373806275	0.8886766712141883	0.8674852205547976	0.8561618917689859	0.8899045020463847	0.9075034106412005	0.9941336971350614	0.953206002728513	0.9834015461573442	0.8773078672123693	0.8705775352432924	0.9486584811277854	0.8538426557526149
UNKGMB26	0.32833105957253295	0.3906775807185084	0.34774897680763983	0.3841291496134607	0.37130513869940884	0.48840381991814463	0.2816280127330605	0.5288767621646203	0.22269213278763075	0.0	0.4056389267849022	0.3470668485675307	0.40154615734424737	0.34561164165529784	0.38149158708503866	0.3068667576170987	0.4442019099590723	0.37671668940427466	0.8616643929058663	0.401819008640291	0.4553888130968622	0.8557526148249204	0.3041837198726694	0.452387448840382	0.3938153706230105	0.9098226466575716	0.467212369258754	0.8967257844474761	0.8759890859481583	0.3056844020009095	0.8799454297407913	0.8442473851750796	0.28890404729422464	0.8683037744429286	0.44424738517507956	0.3183719872669395	0.3165529786266485	0.8468394724874944	0.4778990450204638	0.2776261937244202	0.3040018190086403	0.30823101409731696	0.46098226466575715	0.8857207821737153	0.8675761709868122	0.375943610732151	0.8632105502501137	0.86293769895407	0.38549340609367894	0.2884492951341519	0.40372896771259664	0.31032287403365166	0.888949522510232	0.839199636198272	0.9501591632560255	0.8713051386994088	0.838381082310141	0.8730786721236926	0.8607094133697135	0.8394270122783083	0.9142337426102773	0.8573442473851751	0.8700773078672124	0.9025011368804002	0.8786266484765802	0.8973169622555707	0.8361073215097772	0.8558890404729422	0.8565711687130514	0.8653478854024557	0.31628012733060484	0.91268758526603	0.4749431559799909	0.9887221464301955	0.9364711232378354	0.9728967712596635	0.39558890404729424	0.30272851296043657	0.41232378353797183	0.8695770804911324	0.32496589358799455	0.3889949977262392	0.36066393815370623	0.8890859481582537	0.9321964529331515	0.8623465211459754	0.3597089586175534	0.9242837653478854	0.8523419736243747	0.3204183719872669	0.8653478854024557	0.9343792633015007	0.9056844020009095	0.8748976807639837	0.8620736698499318	0.8967257844474761	0.920918599363347	0.9929058663028649	0.9545702592087313	0.9831741700773079	0.8856298317417007	0.8769895407003183	0.9608458390177353	0.8574806730331969
