	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	G12MB14	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G12MB16	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	G12MB8	FRCMB2	URGMB10	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.46925329428989754	0.4937694704049844	0.5047694753577107	0.46079881656804733	0.4969418960244648	0.4670287044220326	0.5122463261021694	0.4846335697399527	0.47939778129952454	0.5033358042994811	0.4873881204231082	0.4963072378138848	0.5054347826086957	0.5290023201856149	0.4827315541601256	0.5364188163884673	0.48942598187311176	0.8453947368421053	0.49655700076511095	0.5063694267515924	0.8324675324675325	0.45740598618572526	0.5256887565152644	0.48471290082028334	0.8762816131237184	0.5041698256254739	0.8637943015983321	0.8397751229796205	0.4747393744987971	0.8465055519268452	0.8379746835443038	0.46044303797468356	0.8634764250527798	0.5310457516339869	0.4539969834087481	0.48768864177918986	0.8372549019607843	0.5212933753943217	0.44936708860759494	0.49921507064364207	0.48657187993680884	0.5347063310450039	0.8674033149171271	0.8392498325519089	0.4484304932735426	0.8496291301416049	0.837890625	0.486712224753227	0.4709480122324159	0.4973464746019712	0.46506211180124224	0.8369493754109139	0.8452072538860104	0.8868060562364816	0.849802371541502	0.8537074148296593	0.8375	0.8502051983584131	0.8461055276381909	0.854706684856753	0.85704831237591	0.8631284916201117	0.8463100880162492	0.8525252525252526	0.88881069669247	0.834403080872914	0.8282566429034348	0.846002621231979	0.845778087927425	0.4611280487804878	0.8503989361702128	0.5217391304347826	0.9361179361179361	0.8884917798427449	0.8751926040061633	0.48783977110157367	0.48240813135261923	0.4891808346213292	0.8514644351464435	0.4884080370942813	0.5098934550989346	0.5057034220532319	0.8305732484076433	0.891156462585034	0.8221649484536082	0.4613583138173302	0.8516300731869594	0.8406896551724138	0.4776006074411541	0.8462041884816754	0.8642226748133062	0.8324503311258278	0.8397048960429242	0.8359173126614987	0.8447401774397972	0.8452624403544649	0.9357565511411665	0.8822205551387847	0.9093851132686084	0.8457223001402524	0.8488529014844804	0.8822269807280514	0.852280462899932
UNKGMB10	0.46925329428989754	0.0	0.4814516129032258	0.4737281067556297	0.4312210200927357	0.4921259842519685	0.4550561797752809	0.4898107714701601	0.5012009607686149	0.4650780608052588	0.45161290322580644	0.5045492142266336	0.45765345765345766	0.4850444624090542	0.46898263027295284	0.47487844408427876	0.4768856447688564	0.4531746031746032	0.83526999316473	0.5162790697674419	0.5077677841373671	0.8267293485560779	0.45990566037735847	0.4811023622047244	0.4583657587548638	0.8605150214592274	0.48303078137332284	0.8521739130434782	0.8472622478386167	0.47024793388429753	0.8357094365241005	0.8371335504885994	0.48035284683239776	0.8600583090379009	0.5597691673536686	0.46348962336664107	0.4558333333333333	0.8394895903290799	0.4962901896125309	0.46296296296296297	0.5040192926045016	0.5008038585209004	0.48705501618122976	0.8633762517882689	0.8311327310632384	0.4387047031611411	0.843466107617051	0.8252032520325203	0.46360759493670883	0.4470119521912351	0.48430141287284145	0.47987371744277824	0.8399729912221472	0.8313090418353576	0.8765989465763732	0.8334480385409497	0.8364779874213837	0.8302658486707567	0.8406827880512091	0.8357235984354628	0.84375	0.8473177441540578	0.8555878084179971	0.8448637316561844	0.86	0.8871085214857976	0.834983498349835	0.8192204301075269	0.8367346938775511	0.8467625899280575	0.47913446676970634	0.8514715947980835	0.5041118421052632	0.9351535836177475	0.8801191362620998	0.8781847133757962	0.47411242603550297	0.46963562753036436	0.4828685258964143	0.8484848484848485	0.45498783454987834	0.4744	0.4749003984063745	0.8333333333333334	0.890282131661442	0.8239576439444076	0.4749801429706116	0.856655290102389	0.8431511710432931	0.4442675159235669	0.8353741496598639	0.8561354019746121	0.8393220338983051	0.84366391184573	0.8349966733200266	0.8403141361256544	0.8558495821727019	0.9422066549912435	0.8913713405238829	0.9119127516778524	0.8458755426917511	0.8410364145658263	0.8827433628318584	0.8362989323843416
UNKGMB19	0.4937694704049844	0.4814516129032258	0.0	0.4594843462246777	0.48094079480940793	0.47660311958405543	0.4639443961772372	0.5392231530845393	0.4942932396839333	0.47368421052631576	0.4652542372881356	0.5440917107583775	0.4867549668874172	0.443336355394379	0.4928825622775801	0.4487410071942446	0.46749777382012464	0.4430929626411816	0.8324528301886792	0.5455298013245033	0.4863883847549909	0.8300220750551877	0.4598290598290598	0.4591304347826087	0.4620573355817875	0.8557768924302789	0.47450302506482284	0.8510466988727858	0.8465227817745803	0.49822695035460995	0.8364451082897685	0.8371428571428572	0.4714160070360598	0.8542345276872965	0.5727109515260324	0.48519736842105265	0.4665461121157324	0.8362962962962963	0.4734432234432234	0.4509283819628647	0.4703770197486535	0.48312611012433393	0.45675675675675675	0.8598726114649682	0.8260200153964589	0.4523612261806131	0.8476923076923077	0.8292501855976243	0.4410480349344978	0.47619047619047616	0.4587315377932233	0.4644097222222222	0.8333333333333334	0.8453079178885631	0.8668363019508057	0.8374905517762661	0.843558282208589	0.8313343328335832	0.8447058823529412	0.8364285714285714	0.8435534591194969	0.8448669201520913	0.8548387096774194	0.847457627118644	0.8562691131498471	0.8808163265306123	0.8339376359680928	0.831263696128561	0.835832083958021	0.8450479233226837	0.4508126603934987	0.8520754716981133	0.45251396648044695	0.9324853228962818	0.8784346378018318	0.8781362007168458	0.5201863354037267	0.4554367201426025	0.48875432525951557	0.8488	0.43789097408400357	0.4595070422535211	0.46147110332749564	0.8363116511794139	0.8788958147818343	0.8235294117647058	0.46026200873362444	0.849128127369219	0.8364928909952607	0.4401041666666667	0.842144452717796	0.8527799530148786	0.8334583645911477	0.8381679389312977	0.8407272727272728	0.8406317300789663	0.8560431100846805	0.9394550958627649	0.8861859252823632	0.9069990412272292	0.8505195843325339	0.8405572755417957	0.8850574712643678	0.8371361132966169
UNKGMB7	0.5047694753577107	0.4737281067556297	0.4594843462246777	0.0	0.46283783783783783	0.4457611668185962	0.4701159678858162	0.5303388494877856	0.4972875226039783	0.4886052871467639	0.46059544658493873	0.5485921889191644	0.4995773457311919	0.45925925925925926	0.4606003752345216	0.4589861751152074	0.4781021897810219	0.4514692787177204	0.8498845265588915	0.55470737913486	0.48214285714285715	0.845229151014275	0.47515257192676547	0.48010610079575594	0.4666666666666667	0.8682487725040916	0.4741532976827095	0.85785536159601	0.8521882741535921	0.4889502762430939	0.8485080336648814	0.8469985358711567	0.49014336917562723	0.8707256046705588	0.5912007332722273	0.4890202702702703	0.4630495790458372	0.8543396226415094	0.47735849056603774	0.45825771324863884	0.4839302112029385	0.5009057971014492	0.43248347497639283	0.8705978705978706	0.8472983555207517	0.4760705289672544	0.8513513513513513	0.8401826484018264	0.44802867383512546	0.47322212467076386	0.459265890778872	0.46785714285714286	0.8444444444444444	0.8478425435276306	0.879475982532751	0.8506191950464397	0.8543307086614174	0.8415384615384616	0.856682769726248	0.847953216374269	0.8564516129032258	0.8644461657629744	0.8627287853577371	0.8556701030927835	0.8655660377358491	0.885883347421809	0.8472942920681986	0.843796711509716	0.8523335883703137	0.8430232558139535	0.47130434782608693	0.8593628593628594	0.45139557266602504	0.9429735234215886	0.8902229845626072	0.8836126629422719	0.5602175602175602	0.46855059252506837	0.49822695035460995	0.8554913294797688	0.4604904632152589	0.46007259528130673	0.4424131627056673	0.8503649635036497	0.8853974121996303	0.8494860499265786	0.4340659340659341	0.8660990712074303	0.8529886914378029	0.4302430243024302	0.8516819571865444	0.8566801619433199	0.852559205500382	0.8469387755102041	0.8482810164424515	0.8565153733528551	0.8645007923930269	0.9416755037115588	0.9046345811051694	0.9151696606786427	0.856317093311313	0.8513513513513513	0.8846153846153846	0.8452188006482982
UNKGMB6	0.46079881656804733	0.4312210200927357	0.48094079480940793	0.46283783783783783	0.0	0.48086124401913877	0.45688960515713134	0.4612518628912072	0.48247758761206194	0.47704918032786886	0.46551724137931033	0.5004170141784821	0.4642301710730949	0.499194847020934	0.48102310231023104	0.47058823529411764	0.49718423169750603	0.47082018927444796	0.841313269493844	0.5090054815974941	0.5037098103874691	0.8279352226720648	0.46897093479968577	0.4949019607843137	0.4613583138173302	0.8700927908636689	0.45806451612903226	0.8510948905109489	0.8453159041394336	0.46711074104912575	0.8313913639479096	0.8353018372703412	0.4662327095199349	0.862371888726208	0.5573089700996677	0.4605263157894737	0.494281045751634	0.8360433604336044	0.47048903878583476	0.4560975609756098	0.49878345498783455	0.48075348075348073	0.5012087026591459	0.859927797833935	0.8324022346368715	0.4331259720062208	0.8399153737658674	0.8272108843537415	0.44193548387096776	0.4671936758893281	0.4826224328593997	0.4585679806918745	0.8317373461012312	0.842741935483871	0.8696646341463414	0.8435140700068634	0.843466107617051	0.8315068493150685	0.8453314326443335	0.8369351669941061	0.8492176386913229	0.8470588235294118	0.857871720116618	0.8462078651685393	0.8518518518518519	0.8887262079062958	0.828437917222964	0.8243606998654105	0.8387978142076503	0.8464880521361332	0.4667188723570869	0.8496551724137931	0.4987551867219917	0.9327586206896552	0.8900445765230312	0.8861464968152867	0.4758723088344469	0.4678076609616952	0.5003958828186856	0.8465454545454546	0.4717741935483871	0.46396761133603237	0.4682220434432824	0.8283828382838284	0.8876582278481012	0.8227848101265823	0.4707766212970376	0.8413361169102297	0.8403722261989979	0.4485235434956105	0.8278236914600551	0.8534850640113798	0.8294360385144429	0.8328671328671329	0.8408788282290279	0.8384970336189849	0.8508092892329345	0.9351111111111111	0.8818466353677621	0.9102455546147333	0.8489469862018881	0.8439915671117357	0.8843587842846553	0.830093592512599
UNKGMB38	0.4969418960244648	0.4921259842519685	0.47660311958405543	0.4457611668185962	0.48086124401913877	0.0	0.49246231155778897	0.5512630014858841	0.5169779286926995	0.4948186528497409	0.4905814905814906	0.5713073005093379	0.5214626391096979	0.4817708333333333	0.4978241949521323	0.49054982817869414	0.5118845500848896	0.4607594936708861	0.8508005822416302	0.5756369426751592	0.5022026431718062	0.8463726884779517	0.4930156121610518	0.4903765690376569	0.48489795918367345	0.878533231474408	0.4899159663865546	0.8663558663558664	0.8548136645962733	0.4991304347826087	0.8528138528138528	0.8543823326432022	0.48976109215017066	0.8766588602654176	0.6041308089500861	0.48012976480129765	0.5090595340811044	0.854181558255897	0.46105072463768115	0.47911338448422847	0.47183098591549294	0.5051546391752577	0.4956896551724138	0.881588999236058	0.8492239467849224	0.5074626865671642	0.8641425389755011	0.8507142857142858	0.448334756618275	0.4913151364764268	0.4759493670886076	0.47113752122241087	0.8489884393063584	0.8562277580071175	0.8786885245901639	0.8531775018261505	0.8592592592592593	0.8479362780593772	0.8615733736762481	0.848127600554785	0.8622255866767601	0.8678832116788321	0.8709175738724728	0.8614008941877794	0.8706577974870657	0.8952755905511811	0.8442565186751233	0.8441926345609065	0.8522809558291093	0.8506998444790047	0.4705394190871369	0.8572479764532744	0.46973803071364045	0.9365530303030303	0.8976818545163869	0.8863833477883781	0.578136463683052	0.4875749785775493	0.5211970074812967	0.8632148377125193	0.4928027095681626	0.48598130841121495	0.4590869939707149	0.8415910676901605	0.8965811965811966	0.8415147265077139	0.44991364421416236	0.8653001464128843	0.8607115821347464	0.4526226734348562	0.855803893294881	0.865909090909091	0.858273381294964	0.8480355819125278	0.8549295774647887	0.8506629448709002	0.8680089485458613	0.930898321816387	0.8930075821398483	0.9168207024029574	0.8622291021671826	0.8547904191616766	0.8915470494417863	0.8525835866261399
LSGMB16	0.4670287044220326	0.4550561797752809	0.4639443961772372	0.4701159678858162	0.45688960515713134	0.49246231155778897	0.0	0.5173978819969742	0.4814174589455488	0.4486725663716814	0.46605960264900664	0.4788858939802336	0.44813278008298757	0.48492678725236865	0.4851657940663176	0.4417989417989418	0.48409286328460877	0.484297520661157	0.8485507246376811	0.4831365935919056	0.4880636604774536	0.8384341637010676	0.45302013422818793	0.5155482815057283	0.4878444084278768	0.8786039453717754	0.4827875734676742	0.8691301000769823	0.8434579439252337	0.458259325044405	0.8472622478386167	0.8466850828729282	0.3935018050541516	0.8635294117647059	0.5310531053105311	0.44168734491315137	0.45098039215686275	0.8387329013678906	0.4849290780141844	0.39964317573595004	0.4711033274956217	0.4554280670785525	0.5089209855564996	0.8678955453149002	0.8401184307920059	0.4318555008210181	0.8481675392670157	0.8335734870317003	0.45300592718035565	0.43781942078364566	0.48792672772689427	0.4141856392294221	0.8451008645533141	0.8548158640226629	0.8824006488240065	0.8492352512745812	0.8577745025792188	0.8381712626995645	0.8531415594246783	0.8435986159169551	0.8581132075471698	0.8580833942940747	0.871042471042471	0.847940074906367	0.8505231689088192	0.8952306489444879	0.8412921348314607	0.8271428571428572	0.8467100506146059	0.8456167571761055	0.4480737018425461	0.8515797207935342	0.48398576512455516	0.9371482176360225	0.8905750798722045	0.8854435831180018	0.4864024864024864	0.46453287197231835	0.47485080988917305	0.8546017014694509	0.4461805555555556	0.48520710059171596	0.49958298582151794	0.83785664578984	0.8851756640959726	0.8295774647887324	0.4767932489451477	0.8529411764705882	0.8443935926773455	0.46494156928213687	0.8485940879596251	0.8600605143721634	0.8360058309037901	0.85	0.8454481298517996	0.8556629834254144	0.8502633559066968	0.9429400386847195	0.8864592094196804	0.9095940959409594	0.8446526151444185	0.8455772113943029	0.88268156424581	0.8510959939531368
UNKGMB5	0.5122463261021694	0.4898107714701601	0.5392231530845393	0.5303388494877856	0.4612518628912072	0.5512630014858841	0.5173978819969742	0.0	0.5285493827160493	0.515600624024961	0.49511645379413977	0.5396196513470681	0.47316704459561604	0.543859649122807	0.5126182965299685	0.53998476770754	0.5307219662058372	0.5205070842654735	0.8305312710154674	0.5053680981595092	0.5592563903950426	0.8276315789473684	0.5207715133531158	0.5210843373493976	0.48306997742663654	0.8599439775910365	0.503822629969419	0.8493248045486852	0.8453389830508474	0.5149606299212598	0.8262910798122066	0.8303341902313625	0.5345482156416097	0.8602993585174625	0.5890736342042755	0.5174927113702624	0.5465742879137798	0.8378378378378378	0.5304347826086957	0.5182926829268293	0.56797583081571	0.5507246376811594	0.5175097276264592	0.8506723283793347	0.8199312714776632	0.46497764530551416	0.8416723783413297	0.8269230769230769	0.5157657657657657	0.5160807778608826	0.5350223546944859	0.5299850074962519	0.8328894806924101	0.8367346938775511	0.8706577974870657	0.8318703578663066	0.8395904436860068	0.82876254180602	0.8381018841591068	0.8326923076923077	0.8411149825783972	0.8415707515233581	0.8559261887863733	0.8501362397820164	0.8462064251537936	0.8811739441660702	0.8341968911917098	0.8226018396846255	0.8382157123834887	0.8440366972477065	0.5239498894620487	0.8464646464646465	0.5583203732503889	0.9263598326359833	0.8839738941261784	0.8823529411764706	0.4674945215485756	0.5316552250190694	0.5187165775401069	0.8481638418079096	0.5369532428355958	0.49340574088440653	0.5422587883320867	0.8280746941403735	0.8821263482280431	0.8271844660194175	0.5333833458364591	0.8383152173913043	0.8364779874213837	0.5178837555886736	0.8384308510638298	0.8548721492743607	0.8283031522468142	0.8395396073121192	0.831151832460733	0.8431498079385403	0.8530416951469583	0.9219427580225499	0.8867069486404834	0.9028006589785832	0.8340486409155937	0.8368891947694426	0.8751814223512336	0.834612700628053
UNKGMB24	0.4846335697399527	0.5012009607686149	0.4942932396839333	0.4972875226039783	0.48247758761206194	0.5169779286926995	0.4814174589455488	0.5285493827160493	0.0	0.42592592592592593	0.5185185185185185	0.4856879039704525	0.48960931005818786	0.5061295971978984	0.5249780893952674	0.4804964539007092	0.5421994884910486	0.5008417508417509	0.840754716981132	0.4817391304347826	0.4950045413260672	0.8312361213915618	0.47833474936278675	0.5275919732441472	0.5102711585866886	0.8717339667458432	0.5097706032285472	0.8635634028892456	0.8432956381260097	0.4358736059479554	0.8481012658227848	0.8474697077690663	0.47032772364924713	0.8659626320064988	0.5131826741996234	0.4639261744966443	0.47649186256781195	0.8427299703264095	0.4931756141947225	0.44968833481745324	0.4788858939802336	0.4544626593806922	0.5340223944875108	0.8604651162790697	0.8362797847809378	0.47911547911547914	0.8445998445998446	0.8330849478390462	0.47855917667238423	0.47124463519313303	0.49829642248722317	0.4739583333333333	0.8432835820895522	0.8457564575645756	0.8818565400843882	0.8466767371601208	0.8519938650306749	0.8360902255639098	0.846093133385951	0.8384781048097631	0.8566953797963978	0.8541033434650456	0.8591093117408907	0.8461538461538461	0.8532818532818532	0.8870703764320785	0.8393895348837209	0.8290346352247605	0.8440779610194903	0.8492381716118684	0.4536082474226804	0.8464476699770818	0.5085817524841915	0.9306930693069307	0.8857381150959133	0.8789521228545619	0.4972244250594766	0.45143884892086333	0.48912097476066146	0.8455941794664511	0.4749780509218613	0.5034423407917383	0.4909248055315471	0.8350144092219021	0.8787061994609164	0.8264040846097739	0.46853146853146854	0.8469778117827085	0.8369132856006364	0.4978973927670311	0.8528974739970282	0.8605015673981191	0.8329554043839759	0.8421455938697318	0.8495639534883721	0.8493543758967002	0.8530326594090202	0.9398572884811417	0.883128295254833	0.8985365853658537	0.8510466988727858	0.8419003115264797	0.8830845771144279	0.8457907159716759
UNKGMB26	0.47939778129952454	0.4650780608052588	0.47368421052631576	0.4886052871467639	0.47704918032786886	0.4948186528497409	0.4486725663716814	0.515600624024961	0.42592592592592593	0.0	0.4945515507124895	0.49216589861751153	0.48030176026823135	0.45693563009972804	0.49955317247542447	0.4594594594594595	0.5190972222222222	0.48378839590443684	0.8463855421686747	0.4930795847750865	0.4890310786106033	0.8419117647058824	0.45948275862068966	0.5046808510638298	0.47983193277310926	0.8713264495631453	0.5068259385665529	0.8612903225806452	0.8520900321543409	0.44824399260628467	0.8459237097980553	0.8404025880661394	0.4588550983899821	0.8655256723716381	0.5470479704797048	0.45300592718035565	0.46203110704483075	0.849112426035503	0.468952734012975	0.4435483870967742	0.4756317689530686	0.44963369963369965	0.5196163905841326	0.862760834670947	0.8366718027734977	0.4761513157894737	0.8539412673879444	0.8343283582089552	0.4728213977566868	0.45612510860121636	0.4744145706851691	0.45598591549295775	0.8419475655430712	0.8470066518847007	0.8814563928873835	0.8488284202569917	0.8462132921174652	0.8320726172465961	0.8492501973164956	0.8346570397111913	0.8544453186467349	0.8623298033282905	0.8651050080775444	0.8465732087227414	0.8554868624420402	0.8966639544344996	0.8431372549019608	0.8311209439528023	0.8470764617691154	0.8450363196125908	0.4463667820069204	0.8573596358118362	0.4945155393053016	0.9346534653465347	0.891846921797005	0.8713503649635036	0.5156985871271585	0.45225225225225224	0.4965277777777778	0.8488278092158448	0.46092362344582594	0.4873583260680035	0.4930795847750865	0.8428981348637016	0.8823000898472596	0.8318777292576419	0.45446507515473034	0.8596358118361154	0.839171974522293	0.47952218430034127	0.8498879761015683	0.8636363636363636	0.8516032811334825	0.8416602613374328	0.8474452554744526	0.8513998564249821	0.864092664092664	0.9428571428571428	0.8885964912280702	0.9067055393586005	0.848705501618123	0.8423106947697112	0.8864013266998342	0.840729001584786
