	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	G12MB14	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G12MB16	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	G12MB8	FRCMB2	URGMB10	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.37144567701767767	0.36959028021781876	0.3925200106914569	0.36417733751857845	0.389437288624488	0.37446247356312945	0.41375432990053806	0.38413778312124935	0.38837763469108366	0.3807848146957439	0.3743380943950025	0.3894553069940086	0.39482771914400183	0.40949912098428165	0.3685338311722447	0.408740391124877	0.3848620430969796	0.7195841928201208	0.4126692531538141	0.3975669688169846	0.6923111386391243	0.3572260627199209	0.41324148712142095	0.3956876583400992	0.7339733633782186	0.3972764425193019	0.7132179365023188	0.6993854070347931	0.3591154780786923	0.717450384051812	0.7090771507005911	0.36424000746990637	0.725106315541789	0.43625125156917893	0.36236274522502354	0.36582988221915347	0.7009333123132141	0.41574352040264323	0.3582695002956173	0.39906789631881334	0.37186469574759845	0.43041032683391744	0.7305961555374642	0.7051616924320573	0.35638024761338344	0.701260793867324	0.6969397598717902	0.371174295783346	0.3885633455108029	0.39348243588983023	0.3666615418622753	0.6933377889951116	0.6916998563356265	0.7451588410349025	0.7091408748243121	0.7241835461451533	0.7017215665497729	0.7217778864831222	0.7137654707253511	0.7224419281534534	0.7305887815154245	0.7216753623703577	0.7122096167505751	0.7144093627116257	0.7543224331133851	0.6971672904514632	0.6987803205015289	0.6956005084462525	0.7024610245566164	0.3735982877763562	0.7144592750994518	0.3999864429574956	0.799378694376406	0.74765103452477	0.7268996967365376	0.3974730721485162	0.37066203328016734	0.3834512784713591	0.7000486713816478	0.38091816009214596	0.38501757269208553	0.3961629631330444	0.6984513702817803	0.7505389199919167	0.6871232345834213	0.3612539507278481	0.711584757125721	0.7033650471426126	0.36593917934230846	0.7188699603072487	0.7179479928755886	0.688333892941965	0.6965106726318583	0.6942754483324242	0.6966289238155421	0.7026024509470038	0.8232012735651839	0.7599130355438503	0.796251105789741	0.7036072790980615	0.7083197132448172	0.7213134789248756	0.7150965547213044
UNKGMB10	0.37144567701767767	0.0	0.3684069520488956	0.35099710907255127	0.3084479865341304	0.3747904795905246	0.3402492680016152	0.3714145502868398	0.37849516330518185	0.3603873138723017	0.3347952523844963	0.39498153725276436	0.340715662816562	0.3655955280506322	0.3531476235926764	0.35934956102377474	0.3732880739830594	0.3435544841572348	0.710893198508477	0.3940227011231455	0.3900377462489351	0.7034676057263983	0.34107301888558605	0.36121501083442664	0.34974480718615303	0.7290881224254976	0.36558487185106836	0.7182129129204803	0.716094252043899	0.35435209038982696	0.7088462266021547	0.7163922835277835	0.36666297737164016	0.734117500912253	0.43086998422550427	0.3507583905763372	0.342914487214444	0.7062781852699849	0.3746675373309644	0.3471686989630883	0.39255352615451006	0.3756739077272731	0.3603659523663844	0.725633305693052	0.6969836032362788	0.3420023002329832	0.6965245285303144	0.6916392048359313	0.346850742020372	0.335566042282837	0.36403885582324425	0.35962506321513643	0.706588706083663	0.6968821416810952	0.745147110541139	0.6960695167623375	0.7113848303661572	0.6915989609196266	0.728161516301057	0.7050639308634017	0.7100376320985111	0.7272010757727966	0.7268353501099794	0.7085671984911521	0.7192136172762302	0.7633251230296666	0.7082317864703707	0.6918093209053225	0.7036589618926145	0.7092478504102284	0.374345837700833	0.713721403102259	0.3849873380293103	0.8129702040448079	0.7508649845061951	0.7293195020289905	0.35053392130719835	0.3559706728168684	0.35961408301139947	0.7075899414757025	0.34580226397845437	0.35364499529461396	0.3570342948984762	0.7086317090196647	0.7488223006029747	0.6872280409311924	0.3559355414402422	0.7229207204045138	0.7062122445878488	0.3280902352880976	0.7100549743105428	0.7218501671500899	0.7068011626936663	0.6985803504548416	0.7027286536990227	0.7085263097786947	0.7243904638201779	0.8347291927938998	0.753349254197532	0.7977224298152327	0.7104350408439551	0.7100358723956979	0.7335841913175462	0.7038109876995745
UNKGMB19	0.36959028021781876	0.3684069520488956	0.0	0.34675542627608924	0.3570904164808733	0.36831081374952607	0.360658848848846	0.4088375614034561	0.3658036443999063	0.3620056282932482	0.3380628520583201	0.4193244944337609	0.35890862056496703	0.323192408555176	0.3854347742714686	0.3199984984466661	0.35425658257908904	0.34034833393635106	0.6981987594736903	0.42353852998746583	0.3595525959820214	0.6919904494473746	0.3303767052363724	0.3591378599746519	0.3513582372969986	0.7130312191579319	0.3644318084507461	0.7050885109077053	0.7026081816562004	0.3588738328697671	0.6963805931031207	0.7090370578669708	0.35758537627269404	0.7124288854735774	0.4348118530763336	0.3786511270250925	0.35678495692685847	0.6915233917420371	0.3674398439894939	0.3365920794610428	0.36016678187245693	0.36200808966507586	0.34894475066946323	0.7032229062353696	0.6841265946110692	0.3330370469391809	0.6849735136957886	0.678690787805917	0.32949367901354637	0.363489299322273	0.3390120746455413	0.3494626296250436	0.6885661098867799	0.6942731856687309	0.7307271184370893	0.685409666336402	0.7047046521525119	0.6842874908201271	0.7124355260893998	0.7012437442401137	0.7041143777383292	0.718517295258995	0.7115693674444368	0.7017743973686182	0.7036741797567758	0.748246251744877	0.6926563697277963	0.6909373117590379	0.6876217988506227	0.6946393938657385	0.3311586609452748	0.7011823193240728	0.33975687427415313	0.7917029769800139	0.7438211646984986	0.7163696450738956	0.3977446668394529	0.3374862071874345	0.3628665049875338	0.69718162168809	0.32558283691370454	0.33615008772733	0.35004832673480046	0.6990115255159132	0.7254470209251828	0.6732489741313009	0.340654083235639	0.7048333718417339	0.6846629801734415	0.33074164552221336	0.70534425166268	0.7011107002356113	0.6899475831453589	0.6857818491648213	0.7017332453420677	0.698067357332323	0.7073106961962629	0.8158541549032577	0.7395104884762823	0.7806008365207544	0.7064667908211185	0.6955543160373853	0.71332628295685	0.686559256010543
UNKGMB7	0.3925200106914569	0.35099710907255127	0.34675542627608924	0.0	0.34442083258822115	0.3388824970919527	0.35964636928121535	0.402875129449748	0.3764489514113324	0.3729865705788558	0.3512809135055256	0.42883306510748415	0.3705133303465171	0.34104854083522185	0.35354294406626985	0.3372093995372186	0.36994400723963167	0.3513871169862826	0.7242875015821497	0.4211992201279691	0.3571157868718783	0.7101752915434196	0.3527106824311482	0.3616787723549303	0.3482176290365291	0.7249787798592185	0.3633018880511733	0.7168683007144814	0.7172256486187923	0.35863759453629984	0.7137523062493949	0.7215318274403544	0.38277113177652494	0.7289289488711691	0.4539251509023265	0.3868017697597325	0.3384546291309435	0.7133812539448406	0.3481744063788083	0.32944648345060407	0.37261883058453144	0.37247172961120184	0.3229653098491948	0.7171407892411934	0.71607666484759	0.35957742493556455	0.696494122397804	0.7034048569396578	0.3325504368027138	0.3691471767355457	0.36222881329635026	0.3639332049847527	0.7063811494206699	0.7041265394154335	0.7498936339666912	0.7033333253626455	0.7182660027476864	0.6977942596617324	0.7341833012279196	0.718461081900067	0.7133998401246427	0.7402617585005844	0.730998804115767	0.7210800155870302	0.7209601896030956	0.7624359872531447	0.708422944342715	0.7113985873728165	0.7087185373042898	0.7036747656460655	0.34955368020435157	0.7233837325997684	0.32717667879875234	0.8123348659718592	0.757524125541686	0.7312452350449606	0.4377778288101924	0.35916163628319026	0.38085536109991913	0.7114280546274685	0.3531036365629787	0.33131463775101555	0.33862005893728636	0.7222824638276528	0.740916205628889	0.7027876368449766	0.33464771778192026	0.7288541036370276	0.7140383200166548	0.3352359757533824	0.7203332991927668	0.7159048959475159	0.7137177864799455	0.7014849158636222	0.7172097005135871	0.7191506887196759	0.7247351749414611	0.8323828141157581	0.7638020213173613	0.7892344918953643	0.7175493253947102	0.7137580473888323	0.7320016993090265	0.7109095809082094
UNKGMB6	0.36417733751857845	0.3084479865341304	0.3570904164808733	0.34442083258822115	0.0	0.3596164592451973	0.33849998199777304	0.3568990243063545	0.3700015374165468	0.35941294164094506	0.3430501059747573	0.38506389183170914	0.3305964249006469	0.37617125483179537	0.3620775535795315	0.34652358760260393	0.3716502715204518	0.35863689611656063	0.7163232482597413	0.38076132134493307	0.3775739764811486	0.7023063862013981	0.34037571637151026	0.37079433219982105	0.35752298189683873	0.7353213994491969	0.35261126001992965	0.7157231344090812	0.7153576682682041	0.3490325885045995	0.69910512996748	0.7149976797764885	0.3477473046959337	0.7283111748310637	0.42015062919651364	0.35167584841384364	0.3644427446536431	0.705813708500732	0.34961263712865376	0.3451585948251578	0.38232325145965185	0.35513976354827287	0.3775868189584434	0.7191044966605754	0.700056987012017	0.3375238084379271	0.69542651961622	0.689565893924956	0.32530055477920045	0.35961676589951824	0.3573100106217479	0.3487053940363596	0.6977483737740624	0.7027484766388724	0.7391965981184715	0.6991771524579807	0.710100298928232	0.6922667740722737	0.7255187651533236	0.7064288860529542	0.71692193732573	0.723293072910104	0.7253004301482016	0.707791979005225	0.7174135814619236	0.7650442387615533	0.6978654000129432	0.6924492521866242	0.7014619906602344	0.7075018589646918	0.35372541960605813	0.7131609299300717	0.36554368857556446	0.8136778403772791	0.7541189166287365	0.7392889740862087	0.35703629062598297	0.35027137501171196	0.3749457636962288	0.7069512806599259	0.35521161140945656	0.3501510445033748	0.34253371433381335	0.7041600384147536	0.7484280786324363	0.685003026689346	0.34635900926270846	0.7077748186201246	0.701318441464575	0.32968220761477607	0.6984717642252704	0.7170391431187225	0.6950995538599006	0.6833826116106336	0.7108501360159791	0.7021985393491117	0.710948021436022	0.8302363676906978	0.7510913018670363	0.7953537111729811	0.71546652926757	0.7033931322251924	0.7296193104646428	0.703447940823419
UNKGMB38	0.389437288624488	0.3747904795905246	0.36831081374952607	0.3388824970919527	0.3596164592451973	0.0	0.37136100357757645	0.4271387176681192	0.39996742406803304	0.3796224002509237	0.3773623210087652	0.4436914515827933	0.39248159615310085	0.3817832604542435	0.3785728117758632	0.3686468341191524	0.39783770646215344	0.3633413280035169	0.7268666629416888	0.45607963476247954	0.37774524081904826	0.717518715059157	0.37770905021932216	0.3824266867422871	0.3910953726871994	0.7432008339890495	0.368396048539824	0.7264328922539995	0.7140884464338584	0.3737077144665303	0.7191099365660727	0.7305808551153199	0.3810666118639165	0.7398930411254588	0.4706677680682559	0.37582845294925105	0.3861086271555996	0.7177630892608932	0.3561983890187719	0.3665396925634699	0.36727538980213487	0.3796172813651734	0.3943834639278592	0.7354094670704154	0.7115493199576116	0.41096742870778197	0.7097220740793816	0.6996954848592394	0.3346866699257515	0.3778681589596177	0.37431424287310805	0.36429571323682475	0.7091748358088452	0.7171140448359047	0.7403422767690533	0.7060477813937042	0.72748396529966	0.7004056510711266	0.7360343571738541	0.7210057265036703	0.7224216475253461	0.739166638621556	0.7330277416188088	0.7200976996512732	0.7257523061892397	0.7702529925705903	0.7159908256626328	0.7055315648183794	0.7106789740389612	0.7077353533599491	0.3657934884257114	0.7167912966890019	0.3516226525461513	0.8149636811049649	0.7621918633879224	0.7360222637381963	0.45048041495834734	0.38359712077124436	0.39824646730847335	0.7143997412237688	0.39254501490189836	0.3718550162708093	0.34697950735099026	0.7098868260929876	0.7546360891388707	0.6971829655371751	0.3478311307854564	0.726550434935681	0.7202338059224376	0.3251152629137035	0.7196521950275119	0.7263431178538359	0.7166131618704368	0.6952399326871759	0.7181399543384209	0.7072938605684564	0.7228236036043285	0.8230377266252468	0.7589770358012465	0.7976397692067424	0.7227088637030834	0.7089855911660105	0.7365087681190582	0.7154269321476961
LSGMB16	0.37446247356312945	0.3402492680016152	0.360658848848846	0.35964636928121535	0.33849998199777304	0.37136100357757645	0.0	0.39842524758419084	0.368114369477508	0.33505409714724976	0.3483266647449617	0.36535496946587315	0.33955166859102753	0.3707344581890663	0.36159510582662635	0.34053180982749803	0.37754640902796804	0.3723904805276612	0.7301731275542689	0.3592852135565547	0.37852222713773415	0.7106422804027837	0.3410235664233707	0.4015864314863706	0.39465944604435044	0.7409622417275853	0.3716420259409172	0.7187221652774589	0.712944390775727	0.33918809533173877	0.7109429807012522	0.7246644680098863	0.30585278449222164	0.7373814496746697	0.4126188678166831	0.32644275909215564	0.3270965348913082	0.7138554862049269	0.37083561732822756	0.3018483524164745	0.3620946079534589	0.3411828491041736	0.40138494881419123	0.7268102056083962	0.6981434540366009	0.32454669424574867	0.7046911735502908	0.6933240880725065	0.34942084774411236	0.321428589011815	0.37113012529946776	0.3073795526072216	0.7134185850378237	0.7151282287198686	0.7440489861689725	0.7073932021900357	0.7205915807277551	0.6964250798053828	0.7355965104130404	0.7141035802707715	0.7161656760598063	0.7301617831404443	0.7318628767761581	0.7093286629647568	0.7112744080170975	0.7747893388478307	0.7123316789251417	0.6996678378595242	0.7078429817608282	0.7073367413182601	0.34299784747380596	0.7113572654848345	0.3654947594542058	0.8133312205151544	0.7556934892202816	0.7405163981177255	0.37529986957314815	0.3449828409632336	0.3438158312699876	0.7210389195739889	0.3298398590094019	0.3679563144913821	0.3895465856918846	0.7078937567933986	0.7482188233682819	0.6964489865618303	0.3610114735690334	0.7197457377670956	0.7057676200769227	0.34892486747884627	0.7143218450728309	0.7238907413560026	0.7053805330593063	0.704626631706291	0.7136252278499752	0.7159908039728112	0.7171920755682435	0.8383271147980202	0.7603071801353616	0.7861168535465232	0.7027283554708772	0.711186013115009	0.7352592512557448	0.7154953804756531
UNKGMB5	0.41375432990053806	0.3714145502868398	0.4088375614034561	0.402875129449748	0.3568990243063545	0.4271387176681192	0.39842524758419084	0.0	0.40127769587507073	0.39227293725280943	0.37408868409641133	0.42764926942561515	0.35626204330232447	0.4066166797404652	0.404717149340422	0.4153083881179868	0.4059970000897699	0.39315919031131524	0.7056678916359195	0.39380319786104256	0.4375359059346234	0.6965594627569218	0.401576103440674	0.3857902909115413	0.3710330409910819	0.7164279876145109	0.39536553641241984	0.711371074829844	0.7088366027730789	0.3955561308266944	0.6939611761268225	0.7058842687295246	0.411781020557693	0.7272635284414817	0.4654639527547094	0.40867947941248745	0.42536871907080503	0.7046960315813804	0.39422881964699374	0.39151566875015686	0.4384389911699795	0.4148993038344385	0.3955520476315743	0.7064293933519775	0.6931880342847122	0.3740397110191704	0.6883272404058631	0.685123764535246	0.38753459881009794	0.40057278800290724	0.4118113102931428	0.4201180558180002	0.6940592971151467	0.6885022293837397	0.7420395032716312	0.6863403807292051	0.7098644461851699	0.6823324981331341	0.7125144539187446	0.6988723906681755	0.7072854937226704	0.721023580178791	0.7281558171037712	0.7161019434943667	0.7032341977861122	0.7571484436270324	0.6995321832996494	0.6902012574589379	0.6948502593150433	0.7008546975661578	0.41177856922216527	0.7077658811385064	0.41486888808383515	0.8160857174625497	0.7523219871093773	0.7387724011741222	0.36994811757951	0.4006032812212667	0.39709684034069714	0.7087019182731142	0.4147352185917783	0.3571934413394647	0.4203885488336158	0.6995784801159068	0.7401134482108821	0.6821434169379231	0.39351074500510974	0.7016133371417895	0.6997844446550456	0.3987798165491714	0.7088845686271782	0.7112511006994379	0.6902299521362845	0.6966527453798782	0.6985014346371357	0.7102313020444462	0.7124302230571864	0.8198206594215067	0.7443680328091598	0.7934095717503058	0.6948313400415145	0.7001968888352115	0.7244952919434866	0.7020270687967651
UNKGMB24	0.38413778312124935	0.37849516330518185	0.3658036443999063	0.3764489514113324	0.3700015374165468	0.39996742406803304	0.368114369477508	0.40127769587507073	0.0	0.3184909130440755	0.3888359382266371	0.3790629889074655	0.37030544269634724	0.3775120492635565	0.40050389891814026	0.35431388260765906	0.42307974920408525	0.38860702301371486	0.6973422269429606	0.3752250543392833	0.3724507293255714	0.6922832157291225	0.3415910098626261	0.4146805831737305	0.39274977495971414	0.7266533789237816	0.3972459797113794	0.7199113993766801	0.7062949414213081	0.31551542924043763	0.6972135942150538	0.7169244268037144	0.35651322882448744	0.7227730072237482	0.3863796331308445	0.3562184492450726	0.3544192015136596	0.6977291255835522	0.37671239008329044	0.3363093274513727	0.3713098636797318	0.3328418157336171	0.41685056301779605	0.7146059742529123	0.6882483967597107	0.3607544285591671	0.6842392162856872	0.6802605362875056	0.359149833815938	0.3527894578378283	0.3774494771957047	0.3615761801627875	0.70111524047155	0.7001195493957644	0.745521032072662	0.6916016802015649	0.711869064168935	0.6826213548838836	0.7228462891487771	0.7053170983723598	0.7078728077772031	0.7207416229369524	0.7107522955114096	0.7080662719079528	0.7106650287237539	0.7599228014324481	0.7022746937318196	0.6906229325423705	0.6964843750037558	0.7007986051887419	0.3398806925908851	0.7025530849230296	0.3824584778465409	0.7955905485759417	0.7455705933014392	0.7244461850829835	0.38490938539368147	0.3470757320385438	0.3731663434121487	0.6921969440197762	0.3631071545565588	0.3711553892357548	0.3731313899987436	0.6974204951607882	0.7278782403277887	0.6779063807771788	0.35313130828047484	0.705488165750138	0.6949575011701428	0.376180085228313	0.7090404421393872	0.709920255735576	0.68199938216794	0.6846416923109028	0.7021979937248475	0.7017241380050935	0.7007841666796537	0.8218487415134691	0.7333091574859938	0.776568022860716	0.7083879555774271	0.6904695754270939	0.7257522925731635	0.7084554141901525
UNKGMB26	0.38837763469108366	0.3603873138723017	0.3620056282932482	0.3729865705788558	0.35941294164094506	0.3796224002509237	0.33505409714724976	0.39227293725280943	0.3184909130440755	0.0	0.3862152957538954	0.37625421697122274	0.35669999410827186	0.3583047406724382	0.3952598849500213	0.35667100850958616	0.41285360570111895	0.383598820075844	0.7236356074155013	0.3673910515300201	0.37995331542222205	0.7074311353652443	0.3432276883014623	0.3985532289692059	0.3704919395107779	0.736762990310977	0.3941572227536116	0.7224105657786504	0.7203902027502045	0.3307112834385741	0.7094464861271584	0.7235533318757893	0.34099425433529346	0.7353718247685982	0.42438308621031856	0.3469668661270416	0.33800782141587343	0.7152721985865957	0.36790695606589513	0.3304977740592564	0.3476408839279286	0.332394862866362	0.4152730372408886	0.722961503957597	0.6988760306610352	0.3622695545262413	0.7097914281863669	0.6936193169233489	0.35459538292327347	0.35638265031762184	0.3688762538523135	0.32979958750264127	0.7114818888625303	0.7136734277843125	0.7453249023422737	0.7044144204374967	0.7122968918857685	0.6963268831484171	0.7312774580436353	0.7086906826650444	0.717457477898245	0.7326766410237154	0.7288116882714413	0.7092444520399073	0.7165551449101927	0.7768866144652478	0.7193505529901566	0.7024864554724872	0.7070740497572522	0.7027187636030874	0.3488916246874911	0.7091329721719585	0.37065111003647766	0.8096453712167737	0.7555646478515287	0.7219113322832889	0.3939879483353247	0.32893226099859457	0.37066107156864375	0.7090111571676618	0.3475962939711508	0.37394291786626294	0.3803134373131366	0.7149408544595938	0.7427932458406983	0.6979049770794777	0.3559658136337413	0.7270507570998473	0.7028499484191575	0.3646103522067327	0.7103058015242836	0.7247042194559595	0.717934613764881	0.7027589172034853	0.7124913497423142	0.7188680382081889	0.7325335997843302	0.8312645003766289	0.7548294387701423	0.7786941865788545	0.7068171337049631	0.7125877525822023	0.7374356479197753	0.7117828455597137
