	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	G12MB14	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G12MB16	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	G12MB8	FRCMB2	URGMB10	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.13438248186195054	0.13638773492110012	0.11852455768983844	0.10155615931374251	0.1812333330108937	0.06629117286036537	0.14600121766830146	0.1212340831790073	0.10023410421669289	0.1432952870798642	0.07615011874583805	0.09836427839575188	0.10555711156842919	0.1404999488695789	0.1143369528635282	0.20644204345030162	0.11726902789193834	0.2582593723268953	0.08830694506462847	0.1764256251367476	0.3088936377884124	0.0876034539560217	0.14339407552602848	0.1264141711033119	0.41911651029828434	0.1534790139455975	0.4315427700769655	0.3406435017438015	0.10939379002675306	0.3892168791090125	0.22488684622285376	0.0791825462158854	0.22824617810389689	0.08887459121909878	0.07709349532122144	0.1303763721136483	0.27146322037857085	0.18067699154413855	0.07339543570402883	0.10802713342704674	0.1231287722520778	0.18831735530570284	0.30184457187216257	0.26474948812420934	0.1002997463128799	0.23101453340772138	0.24613521782181857	0.13784902973111865	0.10815009787758471	0.12684291873618922	0.06979255391615902	0.38199166745581997	0.27316361615847534	0.6005889297330287	0.21421827277515004	0.30459837926259964	0.25792837924527	0.2397255583835107	0.2481066024585397	0.3935414273064731	0.3175142258595292	0.24042362536591513	0.28160514773698	0.24385238643794738	0.43228347729157324	0.2157522755980107	0.23783030290031687	0.30163397201721104	0.26499436074363747	0.09419721901838043	0.28861920324964313	0.16227175039690617	0.47593861600952236	0.4399820681327619	0.4286172161929059	0.09802761706032138	0.12450611202313192	0.09677666910020341	0.3268720734750511	0.13363506195683744	0.11661324385667678	0.1501877565201179	0.33300813760084824	0.652050715047586	0.18709665428453556	0.12378337861062778	0.3050383176084894	0.24176881007375228	0.12515799296874977	0.22277481076658184	0.3717938490036727	0.3126997970513107	0.25913863268673903	0.24284082673611196	0.34278835188066936	0.4913415871441419	0.48435697176676423	0.30310460794673394	0.5819842065495987	0.3519972164284062	0.24492041211464718	0.3381447995665523	0.2543035966030381
UNKGMB10	0.13438248186195054	0.0	0.16080369172571954	0.10131475359505522	0.11301869903240587	0.1691303647322931	0.11629360276409983	0.15585979022520358	0.17577176458232563	0.12715716070342367	0.0901666215564926	0.16782024586699612	0.13623415988777246	0.13539878281047274	0.09175004548033003	0.11925475045979173	0.1455148930934921	0.09847125657727633	0.21452359358668524	0.1550615377838259	0.11661043751689089	0.2948837891827691	0.11476816386248598	0.1297367198639274	0.10056297094407186	0.37343995319270845	0.10168658946097471	0.39298344705163213	0.3800396542453138	0.14322244992641137	0.38664791366368934	0.2456606276377563	0.12332970733575103	0.22078752831700907	0.18005577610969292	0.12180547226158166	0.12366254449302387	0.2753236110438159	0.15192822055900543	0.12047381104488579	0.11677944676756667	0.1853699933762934	0.17373859437396938	0.2718839401118894	0.26257966413882494	0.10978630983151749	0.21288895682965187	0.2592389463237312	0.1267158623158726	0.10592647311727076	0.13397371226102814	0.11599231169741686	0.37237788707287806	0.21464410748838572	0.6085989729000226	0.22615329016785216	0.2699768143902834	0.26326825418111016	0.2496363538855492	0.2056829101616504	0.3478695104172679	0.28230524754475295	0.27161999253106306	0.2743360812873453	0.23735397307106626	0.4547824700192529	0.23148771036925422	0.20582877797439147	0.2852059742380675	0.28241846129898107	0.08921218799423493	0.25759283978473624	0.19589206377163576	0.447674607971655	0.43117198761469083	0.3971851817664909	0.14019478092133675	0.11518834257844533	0.12303721261955637	0.3605069608038361	0.11926095225140643	0.11508364624658779	0.10202838708624051	0.2833211464671587	0.6919577942056148	0.2068975105175549	0.08732846210434932	0.26953479720605716	0.30318214315301245	0.08620985869643395	0.21753577799243662	0.343049761111404	0.34227160103592497	0.23820258208450684	0.25084512198678166	0.27704375543487963	0.5350663324555568	0.5166965347983152	0.33046524155345086	0.5594468307752908	0.4088955917588584	0.23116915645097139	0.34491292371981974	0.23346345137300495
UNKGMB19	0.13638773492110012	0.16080369172571954	0.0	0.12130372484883066	0.11095478264922781	0.14858134693538538	0.11784659117009177	0.20818542001570786	0.13187455012242438	0.1134152605201736	0.15268435149646242	0.14187483040814367	0.14218729019880055	0.09180581936964975	0.15175105327697846	0.13493701866051164	0.15657680775943558	0.14088327104979537	0.26261102349129933	0.14533881825338463	0.19861026754907707	0.27190115343409355	0.11392240467506534	0.11612319639422114	0.14805663619781342	0.37553387312608705	0.1762377309295071	0.39649097689401663	0.3244730802079184	0.1290893245950231	0.3588726730462697	0.21097505582885512	0.12317101866891672	0.2532104032498948	0.1632060760671379	0.12976744194240067	0.13383674066899287	0.22939885883388436	0.15819037334602656	0.11095139971515104	0.11939140649425645	0.11853498806361079	0.10966243790239107	0.3049695081734455	0.24154786876543924	0.13029159841889995	0.2660820007892044	0.253614663366655	0.11079277446124769	0.1258581855212962	0.09995724921243151	0.10937737197408702	0.33515591617307944	0.2819561348618656	0.5580262888712805	0.2473844759221967	0.2668648772539789	0.2676967106981739	0.2469474787600076	0.2706347046378574	0.357002364462243	0.27823256007534714	0.2434803579927922	0.30572651237354315	0.27481446235567497	0.4086798979202821	0.20378439426358558	0.2634209316507098	0.2717931984061332	0.24266679498734456	0.13323645614757226	0.29807571289940504	0.11076044215221967	0.5082865244020269	0.4138848225278109	0.44223860718271035	0.16343058615378783	0.11462365116244387	0.12662196274727625	0.3041659839798398	0.11581368072222852	0.13179232286482245	0.13081019885565243	0.291985072127946	0.6370681069965253	0.2373336268757143	0.13086790999378678	0.2873732184035414	0.25391433674826464	0.13500868994276044	0.2590992440445073	0.3601778748413371	0.29868254875561284	0.2942052150598886	0.24513461154591384	0.3024638611921787	0.47983891181487015	0.5046004162814264	0.32880487207233366	0.5649418165787563	0.3546458735889765	0.2822226016292529	0.35940923021317267	0.2776754223001402
UNKGMB7	0.11852455768983844	0.10131475359505522	0.12130372484883066	0.0	0.07598425747050236	0.13391632967647063	0.10753024971319627	0.1552485409855305	0.1547472838548611	0.11325607512237869	0.1057957416623243	0.15785239811021978	0.11193620842583603	0.0900002656502229	0.08835162032026608	0.11551485905536647	0.15748331115547493	0.09072100412782147	0.2253647155267916	0.13815496514447625	0.12446485640428365	0.2794626926833318	0.10536552481934851	0.11041829185665988	0.09385796091877636	0.37569509860220907	0.10026777588795002	0.39270126651275855	0.3498508997058967	0.12913749164601748	0.37479479174117786	0.21772002311911628	0.11605471811134249	0.21656671742829595	0.1676424112940247	0.10952370989448103	0.1252155016191394	0.25553276100355976	0.12053312236471465	0.10933085547220535	0.11052851308076837	0.158484327515787	0.12364613646305748	0.2692448382621021	0.2486228123209429	0.10596155067488133	0.20794141464281093	0.2336001708754072	0.09991169625119771	0.10823686906132331	0.0875832433320285	0.10312171628549946	0.3522336163879765	0.23650848094770902	0.5873071615446631	0.2028526056203037	0.2704522063338052	0.24074389346361297	0.2271834483204669	0.21958473421299823	0.3570876609430387	0.2838295245011028	0.24229169728549357	0.25936042732457526	0.22547233818141912	0.4323364358244051	0.20754422549469484	0.20566959876427232	0.2673934761930901	0.254223452994426	0.0894028950008539	0.25214888296063254	0.14327697002859044	0.4664571224171618	0.4129061926157049	0.4093345720549102	0.14867418552848977	0.1075519454389752	0.09593394141591609	0.3330971567019001	0.11582990484557129	0.06831122830057394	0.09831182100313597	0.29346014196645476	0.6704770951825426	0.1981970079705693	0.06782267174510792	0.26430971442620116	0.2777708756206736	0.0842341293112876	0.20489325907912984	0.33426909034143965	0.31639739587160387	0.23598251976498882	0.22951960433665172	0.3011318168841612	0.5023793496960764	0.4983519230601515	0.3110956766173796	0.5787436697961139	0.38437649433294246	0.22798781900790566	0.33942435206118216	0.23096610304107185
UNKGMB6	0.10155615931374251	0.11301869903240587	0.11095478264922781	0.07598425747050236	0.0	0.1446714076185842	0.10249368309711378	0.13643982972983287	0.15100225053334165	0.11865891184208778	0.1201730431938052	0.13870879090709493	0.10670188631032873	0.09232962176223358	0.10068602968287853	0.12406563033041042	0.17008231531533335	0.10681877406944498	0.22893493100604198	0.11885097773079228	0.14746390059408013	0.28689142024920006	0.10307836881179797	0.13049601360750057	0.1144600846389883	0.3889776170261439	0.11578747314716097	0.40636348388641197	0.3454385476466156	0.12630169439519287	0.3815622687368756	0.21731272153001793	0.10890920467280936	0.21174456273230222	0.1516866094950625	0.10613730158784046	0.13703640651277796	0.2603555522186149	0.1291300100967049	0.10804373311374055	0.12028319617708964	0.1363316553944213	0.13064431200893087	0.27408388956976837	0.2497630378289545	0.09517294031760011	0.21212543365902167	0.22891829906926142	0.11483987085277048	0.12297122199734153	0.09521658847409747	0.09937788723342844	0.3624425331255668	0.2426609911230975	0.5855971633502699	0.20841352691391987	0.2776910675911015	0.23837290662965982	0.23567261517676874	0.2215514226476453	0.37013715156072385	0.29694629569656444	0.24266195914333358	0.2646733513467195	0.22883825079446493	0.4271567559555554	0.20079936591292305	0.2127392677017324	0.27836886314690434	0.25754659164208776	0.09175757898932706	0.2609384318233627	0.1505712401984288	0.4584457454575319	0.4209241934819299	0.4039936261767151	0.13625951608622516	0.1248300309289415	0.09217412961243303	0.3339087928397865	0.12644065890629774	0.08509794135438986	0.11373980837236049	0.2997656744585456	0.6655804330507641	0.18101419574247543	0.09614899014385606	0.27596823370843665	0.2686141997896113	0.10787138268275803	0.2109306224099233	0.3413428665551263	0.31133712846127237	0.23588310091894013	0.23466412450381313	0.30811350127397535	0.49991431467760583	0.4937591872533576	0.31602082164371537	0.5741291031988262	0.3775298785461782	0.22635961343703195	0.3415338927249283	0.22742198568994784
UNKGMB38	0.1812333330108937	0.1691303647322931	0.14858134693538538	0.13391632967647063	0.1446714076185842	0.0	0.16629594645075677	0.229372627801296	0.20467870674844796	0.17598235848299773	0.16938624498110336	0.20433391108589052	0.19770771411486365	0.15035127661294617	0.16116369535074396	0.17245509329853695	0.17626875578721657	0.1623610663692964	0.29220377179888335	0.19738757411468738	0.19834074847659494	0.3266161909266915	0.1572768359450405	0.15308163286664997	0.1665066243183084	0.42365876865066193	0.1606964147627844	0.437266268065686	0.39969331015879106	0.18605586590330722	0.4270199570752916	0.2838106528351391	0.1672572588633468	0.2863073026455745	0.2092303235792638	0.17252227066017584	0.1734914602243271	0.29882735616392786	0.1577100950521359	0.1657420947178049	0.17526424977007568	0.12893310208432202	0.14259938561499697	0.32302031750429444	0.2951608225867948	0.17283166667444683	0.2826970112600251	0.2801842404157055	0.16924544840379252	0.17043256581955488	0.1519942379113598	0.15707212153018837	0.3846845453071749	0.29742480777108515	0.6200983777835846	0.2763341412944448	0.3132829870091485	0.29024443049934534	0.30064855558510306	0.2811357459646294	0.3993774774410098	0.32816064165306313	0.31578133113705614	0.32556145632116906	0.28679144183634003	0.4701755001991312	0.26037426776547484	0.27021864601957807	0.321082545120412	0.3053924964789458	0.15498678451394837	0.31005791197517846	0.1428541610000633	0.5108724743342385	0.46665399731646723	0.445599074545299	0.2159251127620576	0.1603037994389267	0.1775807832365712	0.37422597832465854	0.15943686663543682	0.16364519051171672	0.13909718111231315	0.33035142192345157	0.7012831008682353	0.26346845543409253	0.14793067763713116	0.3067327779639763	0.33079347900178174	0.15283985414647935	0.2863280753281009	0.3832408451493603	0.35472852577202685	0.3059818862587615	0.2919521348932794	0.33800957798287856	0.541365665559938	0.5196615522947731	0.361661929765812	0.586534009367803	0.42666739138590515	0.2995184588136741	0.3956243459749697	0.29595491926824374
LSGMB16	0.06629117286036537	0.11629360276409983	0.11784659117009177	0.10753024971319627	0.10249368309711378	0.16629594645075677	0.0	0.1572379320812828	0.10661486764417627	0.07279509415462643	0.13106606055652156	0.08242677408477919	0.09125116835793931	0.09442909099742039	0.12559440581799505	0.08336141619897729	0.1912698728738359	0.1005277722561315	0.25096922449433606	0.09024777865348188	0.16731888153752597	0.299853280807941	0.05780895411784308	0.12269440700974413	0.10615148391866615	0.40933754573170295	0.13853610123575819	0.4223670333431627	0.3430332420900209	0.08652814425191156	0.38435626564573383	0.22040390531850293	0.03456060575079939	0.2221059693845282	0.10124518110009366	0.06246610234165407	0.09129763580599518	0.2610000002539664	0.17314239258415948	0.02294186995111649	0.08403916840186212	0.10637411239438288	0.17723251530089182	0.2934762767874914	0.2570764872202199	0.08424533572144043	0.2231832250882776	0.23632071986785397	0.11758114925614245	0.07236569081936602	0.10571898554942151	0.03737091818795488	0.3712595842684311	0.2680682168391806	0.595665151205429	0.21252357377455228	0.2927739495458123	0.2467732210255643	0.24054425914848812	0.24095210448220844	0.3854308829694209	0.3064909093569367	0.24346164948804366	0.27267794309699206	0.23673754292208343	0.43399921854069146	0.2053220486379166	0.22882744474337793	0.29393096833336346	0.2612595780875472	0.08480319485805672	0.2744864660804196	0.160440431145686	0.48300886834634754	0.43274882798234937	0.4263930410908686	0.10562492629985964	0.09822348127737213	0.0833447214156351	0.3243137374693757	0.09462580269616369	0.11284231016798901	0.12839713204178346	0.3172857533094135	0.6646618878818428	0.1928206910637402	0.11402428936900244	0.29145803065066395	0.2556970879498168	0.10188542121914487	0.21773292485354914	0.35755300272494145	0.31241400941935793	0.25579582725183986	0.23869224690427768	0.3256347734049877	0.5076053265416592	0.4955594379544972	0.31369519238221527	0.5746238677816555	0.36867574899467104	0.24057866536547992	0.3457146945419665	0.24822801087478225
UNKGMB5	0.14600121766830146	0.15585979022520358	0.20818542001570786	0.1552485409855305	0.13643982972983287	0.229372627801296	0.1572379320812828	0.0	0.20261136539996527	0.183029208274697	0.16097532305081758	0.17930014678312203	0.12878425445759437	0.17840798810820074	0.17620898708835397	0.18828080887381796	0.24602140998847127	0.1569861944867633	0.23916473608146108	0.14406399705367434	0.1812873354596458	0.31006157001310974	0.16874823131908692	0.19016162228648503	0.15183198797530764	0.40442975131959724	0.1393045068827175	0.4201157628419001	0.3651085382262689	0.18253612078575054	0.3782933133323787	0.24469560176880023	0.15999580291302562	0.2355779776369345	0.17987842272924473	0.16447905397270468	0.2057538215928856	0.29135818504994654	0.21225668646897647	0.164563399120414	0.19665080400345336	0.21322583976650744	0.212432908436011	0.27645597734083943	0.27420297661932885	0.13541991961667313	0.23660579624067685	0.24961230966695613	0.18986482930677623	0.1901512118644107	0.17325050818763962	0.15402992343307528	0.37746300750522	0.2686748144353292	0.5882439651039612	0.23759551297562273	0.3000209553940547	0.24658497443985689	0.2673175407856195	0.2494593287301559	0.3848527292171047	0.3213379606999408	0.2655041316599672	0.2499962786196334	0.24796178841614894	0.41253077279315065	0.2456688637890642	0.2421387017521349	0.29911187789247723	0.29635058142836307	0.16267289674836158	0.26013966745335987	0.21582396008351726	0.4372321305245989	0.4264388197696789	0.38913347463825215	0.1456998122837017	0.19844177984376246	0.13658250142511313	0.33560991022741943	0.19766521806959925	0.13293598214479932	0.20750742336323527	0.3188403580594798	0.6457040878796954	0.1926378571332562	0.17398051516632998	0.2826956276230832	0.27307457788210965	0.19175428556953106	0.23912591458292	0.333059219889569	0.3050028787927357	0.24386727247961767	0.27164105289757984	0.31888459139656156	0.48835776297550804	0.46918652088922636	0.3110954606256853	0.5893941379049238	0.3802733406965561	0.23238237158664948	0.30471877533027314	0.24182097854195045
UNKGMB24	0.1212340831790073	0.17577176458232563	0.13187455012242438	0.1547472838548611	0.15100225053334165	0.20467870674844796	0.10661486764417627	0.20261136539996527	0.0	0.08792839752136006	0.1777999850831971	0.09451972802096444	0.13201412683577549	0.13064120639311086	0.18316544533667192	0.1305866039959805	0.2267015881030708	0.16034984416784304	0.2778677128644857	0.12208901730636712	0.20481425136768708	0.3041590933151367	0.11557589266657912	0.17207338192928312	0.16895007152602493	0.4236295429125274	0.2027420366442617	0.44011866035277375	0.34404349932093503	0.06508342019363274	0.38396436277757984	0.23143448269234176	0.10598064576222985	0.2535874082040103	0.12411312101180412	0.11856042055865192	0.10679759849692012	0.25129787468160386	0.20517749578212469	0.0976609785915915	0.12189312559632977	0.13065370200612034	0.19636443512713145	0.3031235336776011	0.27509539300229097	0.13805355930013724	0.25903251017328854	0.22441135934818485	0.14879588942225208	0.1208261374306198	0.12447529829723133	0.09921459977150582	0.33624000544392785	0.29085927817522916	0.5996053647485974	0.2334437610849072	0.30445126552754465	0.2485184625413399	0.2472058288241307	0.26881028180331107	0.3993098851185463	0.3128529383670684	0.2449615847796904	0.3014246261301729	0.26239813674892065	0.43838169494097873	0.2222612018655191	0.2612617612378927	0.3094039332191428	0.26930012729392905	0.1339985062940658	0.300340371507928	0.18294833004599267	0.5217775741446393	0.4465865223170804	0.45747938220599343	0.15150329456335984	0.11946148935964701	0.1275041301450657	0.3086839147206579	0.12300369629909369	0.16449016924300572	0.17782619344450448	0.3109906238314058	0.6626799522659598	0.2329034868788134	0.15201624121616436	0.2764990176782121	0.2669673497227973	0.1587396104463963	0.24826524228899485	0.3493184916496697	0.32321748721867494	0.2900838500305839	0.252125006245367	0.3312643832865402	0.5076757383576834	0.4945361499226088	0.3304515323449463	0.5419084517772845	0.37527258371211186	0.2738264361958173	0.3616367581262993	0.28334312044036897
UNKGMB26	0.10023410421669289	0.12715716070342367	0.1134152605201736	0.11325607512237869	0.11865891184208778	0.17598235848299773	0.07279509415462643	0.183029208274697	0.08792839752136006	0.0	0.13986001427633282	0.0943025130731565	0.11712905289205874	0.09824154932261411	0.13845140533801897	0.08272917515905612	0.19435868590737718	0.12107534665456914	0.25069538191226853	0.11453840265465715	0.16440554471086027	0.28988827408465107	0.0777830186288562	0.1385838003274674	0.12674885641752417	0.39807569130449655	0.15947300352202168	0.413850204813782	0.34050569328252717	0.08763665810491085	0.37712011563164555	0.2200630340849256	0.07005274491918093	0.2275304033245683	0.1194093803803758	0.08989275895103829	0.08934615416157442	0.24163637693221074	0.16665550581602107	0.06461936153069553	0.08270260535096136	0.11865975219123168	0.17672256621183324	0.28945054795574937	0.2542688219767851	0.11609810968920972	0.22639685590218445	0.2338379660243728	0.12672052983080426	0.06706172900155989	0.11013293829789571	0.07490709462000011	0.3581462746884483	0.2619045643475139	0.5922142108130493	0.20707705274196941	0.2842909046399578	0.2481020251534425	0.23203042749514746	0.2352527284870599	0.3777784937090774	0.2952565201822341	0.2312363999035933	0.27784440343305966	0.23690898186377604	0.43881153512303406	0.20037008606011902	0.2285945416837024	0.2870752685363285	0.2593322930381661	0.09439611979695646	0.27385623426069594	0.18295107147490097	0.48985755055772695	0.4276658267311931	0.4296844491332336	0.14021219058840984	0.0875005908537947	0.10519367822736161	0.31559910008326914	0.10278918423435596	0.11693670860171015	0.12972307836477437	0.30774889668279864	0.6690121053138481	0.20459223461465265	0.1057649579210609	0.2857113905048795	0.26444709074251754	0.1047358041241838	0.21553526236680778	0.3483322143247878	0.32317224145122875	0.25492813114947915	0.23350011874370644	0.31799987220807285	0.5145492220421758	0.4962357445323982	0.32712625561617265	0.5646529383529084	0.37816298868392056	0.2407505317960663	0.3561052085261183	0.25496864483498466
