	pielou_e
UNKGMB37	0.7473104647212575
UNKGMB10	0.7600910120806774
UNKGMB19	0.723109200997644
UNKGMB7	0.7556668460318772
UNKGMB6	0.7525992400947187
UNKGMB38	0.7327949557446042
LSGMB16	0.7276420096129115
UNKGMB5	0.7443432143986403
UNKGMB24	0.7139661834239539
UNKGMB26	0.7028953325838388
LSGMB10	0.7360189124424888
UNKGMB28	0.7025975665457375
RSGMB3	0.7301478901977759
LFGMB1	0.7249276687459186
RSGMB4	0.7347007371423523
UNKGMB36	0.7338188982632172
RSGMB5	0.7223509721307964
UNKGMB12	0.739347513305394
G12MB13	0.7054571272214973
UNKGMB25	0.7134545970616133
RSGMB6	0.7169878490330587
G12MB10	0.7348142769467575
UNKGMB30	0.7612257482035042
UNKGMB14	0.7703667374060079
UNKGMB13	0.7414920920339894
G2MB7	0.71472392553574
UNKGMB8	0.7565907803376952
G12MB2	0.6767452625103235
AGMB6	0.6404736452083384
UNKGMB21	0.7373941485286364
G12MB17	0.7393146188670657
G2MB14	0.708882722372984
LSGMB14	0.728690522408795
G12MB7	0.6344135296535902
LSGMB11	0.690402689059989
UNKGMB34	0.7515853265646957
UNKGMB20	0.7490429482833979
G2MB6	0.729666636543516
RSGMB7	0.7124037994541236
LSGMB15	0.7228556292420767
UNKGMB27	0.7082536734421205
UNKGMB29	0.712081591514918
RSGMB1	0.7211671459623699
URGMB11	0.6670942686799513
G2MB12	0.6725778559743959
LSGMB13	0.7651099005688922
URGMB13	0.6912606948425154
URGMB12	0.7044190956726263
LSGMB20	0.7516611040140424
UNKGMB33	0.7298027356690655
LSGMB1	0.7229903832200731
LSGMB17	0.73517873926323
G2MB9	0.7126467616776788
G2MB11	0.75329638622419
URGMB2	0.7167733081586398
G2MB3	0.7394137098879399
URGMB5	0.7015138339425996
G12MB3	0.6320372951690865
G2MB13	0.7433622903625561
G12MB11	0.7243986193228525
G2MB10	0.7142660881564498
G12MB4	0.5937710461305343
URGMB4	0.6847989984745977
URGMB6	0.6763697727379596
G12MB1	0.6764374921237009
G2MB15	0.7141738027530667
URGMB14	0.7315040653950298
AGMB2	0.7259866566903379
AGMB7	0.654993270647205
UNKGMB35	0.755919378060866
URGMB3	0.7024469026618037
LSGMB19	0.7202686834680841
FRCMB4	0.4003005536989784
AGMB1	0.6507953428510196
FRCMB1	0.4881583207732134
UNKGMB18	0.7502395359437115
UNKGMB23	0.7467214815000902
UNKGMB17	0.7338076931978985
AGMB5	0.6775954326711998
UNKGMB22	0.7479103499581883
UNKGMB4	0.7235340497760913
UNKGMB15	0.7527429693073617
G12MB5	0.7458953035469408
G2MB4	0.713818931736413
UNKGMB9	0.7469086711245938
G2MB8	0.7160590831071383
G2MB2	0.6554197703122892
UNKGMB11	0.7456476440237679
URGMB8	0.672896903193173
URGMB7	0.6560714075633792
G12MB9	0.7272178800225219
URGMB9	0.6809941295725322
AGMB3	0.7122135449245185
G12MB6	0.7410292368988325
FRCMB2	0.4408683616012538
FRCMB3	0.5140002114695624
AGMB4	0.6193745584406959
URGMB1	0.6882924030329929
FRCMB5	0.6122710486341805
G2MB1	0.6946265035641619
