	faith_pd
UNKGMB37	57.02210000000001
UNKGMB10	52.539480000000005
UNKGMB19	50.968320000000006
UNKGMB7	47.144149999999996
UNKGMB6	53.492259999999995
UNKGMB38	50.200540000000004
LSGMB16	50.99649
UNKGMB5	55.890559999999994
UNKGMB24	49.113130000000005
UNKGMB26	46.96709
LSGMB10	53.406620000000004
UNKGMB28	44.98787
RSGMB3	53.74688999999999
LFGMB1	49.08755
RSGMB4	46.911930000000005
UNKGMB36	49.94169000000001
RSGMB5	48.54406
UNKGMB12	52.77426
G12MB13	41.70889
UNKGMB25	49.61923000000001
RSGMB6	46.48302999999999
G12MB10	46.8263
UNKGMB30	53.96603
UNKGMB14	51.89704999999999
UNKGMB13	52.91266
G2MB7	43.120670000000004
UNKGMB8	50.49101
G12MB2	39.096439999999994
AGMB6	39.40502000000001
UNKGMB21	47.25647000000001
G12MB17	43.63314
G2MB14	49.00772
LSGMB14	50.6465
G12MB7	35.79214999999999
LSGMB11	44.463119999999996
UNKGMB34	54.259429999999995
UNKGMB20	48.69073
G2MB6	42.84926
RSGMB7	46.53736000000001
LSGMB15	50.45382
UNKGMB27	47.53127
UNKGMB29	48.858059999999995
RSGMB1	48.828050000000005
URGMB11	37.74597
G2MB12	40.009660000000004
LSGMB13	57.38416000000001
URGMB13	40.406530000000004
URGMB12	43.274939999999994
LSGMB20	52.552789999999995
UNKGMB33	51.38405
LSGMB1	49.715320000000006
LSGMB17	51.90012
G2MB9	46.07346
G2MB11	43.84666
URGMB2	42.51465
G2MB3	42.680189999999996
URGMB5	42.39238
G12MB3	38.87951
G2MB13	47.59179
G12MB11	41.754490000000004
G2MB10	43.79302
G12MB4	36.68287
URGMB4	40.854279999999996
URGMB6	38.634800000000006
G12MB1	37.900310000000005
G2MB15	45.96107
URGMB14	45.673500000000004
AGMB2	43.74560000000001
AGMB7	39.961800000000004
UNKGMB35	51.467209999999994
URGMB3	40.8641
LSGMB19	48.05615
FRCMB4	19.997030000000002
AGMB1	36.1629
FRCMB1	29.78911
UNKGMB18	54.94855
UNKGMB23	49.39126
UNKGMB17	50.21948
AGMB5	39.86617
UNKGMB22	51.40896
UNKGMB4	48.36569
UNKGMB15	50.849900000000005
G12MB5	48.77855
G2MB4	45.596059999999994
UNKGMB9	49.40419000000001
G2MB8	41.54737
G2MB2	38.19064
UNKGMB11	50.10218
URGMB8	41.088029999999996
URGMB7	39.65111999999999
G12MB9	44.859970000000004
URGMB9	40.518409999999996
AGMB3	44.00993
G12MB6	46.868880000000004
FRCMB2	16.13617
FRCMB3	22.099
AGMB4	42.05399
URGMB1	40.28015
FRCMB5	35.93614
G2MB1	40.53353
