	observed_otus
UNKGMB37	1040
UNKGMB10	981
UNKGMB19	865
UNKGMB7	818
UNKGMB6	992
UNKGMB38	897
LSGMB16	905
UNKGMB5	1055
UNKGMB24	853
UNKGMB26	823
LSGMB10	947
UNKGMB28	807
RSGMB3	966
LFGMB1	827
RSGMB4	821
UNKGMB36	872
RSGMB5	851
UNKGMB12	949
G12MB13	689
UNKGMB25	913
RSGMB6	800
G12MB10	762
UNKGMB30	950
UNKGMB14	902
UNKGMB13	938
G2MB7	617
UNKGMB8	891
G12MB2	593
AGMB6	631
UNKGMB21	806
G12MB17	728
G2MB14	781
LSGMB14	874
G12MB7	559
LSGMB11	730
UNKGMB34	986
UNKGMB20	838
G2MB6	713
RSGMB7	807
LSGMB15	880
UNKGMB27	823
UNKGMB29	841
RSGMB1	843
URGMB11	562
G2MB12	668
LSGMB13	1049
URGMB13	637
URGMB12	715
LSGMB20	913
UNKGMB33	936
LSGMB1	865
LSGMB17	928
G2MB9	716
G2MB11	685
URGMB2	668
G2MB3	677
URGMB5	692
G12MB3	617
G2MB13	771
G12MB11	663
G2MB10	674
G12MB4	563
URGMB4	643
URGMB6	610
G12MB1	571
G2MB15	743
URGMB14	727
AGMB2	698
AGMB7	613
UNKGMB35	942
URGMB3	651
LSGMB19	818
FRCMB4	228
AGMB1	532
FRCMB1	401
UNKGMB18	1048
UNKGMB23	847
UNKGMB17	882
AGMB5	611
UNKGMB22	903
UNKGMB4	845
UNKGMB15	900
G12MB5	771
G2MB4	757
UNKGMB9	872
G2MB8	656
G2MB2	600
UNKGMB11	895
URGMB8	677
URGMB7	588
G12MB9	733
URGMB9	629
AGMB3	728
G12MB6	759
FRCMB2	184
FRCMB3	270
AGMB4	645
URGMB1	648
FRCMB5	498
G2MB1	628
