	shannon
UNKGMB37	7.489820347961667
UNKGMB10	7.5538675759344
UNKGMB19	7.0550556468689045
UNKGMB7	7.3117999334230515
UNKGMB6	7.491520578950815
UNKGMB38	7.1879594684603685
LSGMB16	7.146735358204872
UNKGMB5	7.47545921056401
UNKGMB24	6.951461727184934
UNKGMB26	6.807364602542133
LSGMB10	7.277181364475997
UNKGMB28	6.784580610470725
RSGMB3	7.240058407912573
LFGMB1	7.025813035436198
RSGMB4	7.112812997584009
UNKGMB36	7.168078259239833
RSGMB5	7.030653079383791
UNKGMB12	7.312342299148729
G12MB13	6.65130388184555
UNKGMB25	7.016448580280594
RSGMB6	6.914527705890729
G12MB10	7.034852635821265
UNKGMB30	7.529880450549588
UNKGMB14	7.562677645015459
UNKGMB13	7.321080730569702
G2MB7	6.62486660640973
UNKGMB8	7.414046128776106
G12MB2	6.234101762108312
AGMB6	5.957363173891962
UNKGMB21	7.119272113610276
G12MB17	7.0292515706848295
G2MB14	6.811780783662682
LSGMB14	7.120391766242429
G12MB7	5.790104798721658
LSGMB11	6.566939609834486
UNKGMB34	7.474849653594933
UNKGMB20	7.273811081307551
G2MB6	6.915603996248618
RSGMB7	6.879273761742357
LSGMB15	7.070510930562967
UNKGMB27	6.859258786777126
UNKGMB29	6.918557677119334
RSGMB1	7.009303896497364
URGMB11	6.093523445898677
G2MB12	6.3112717141299335
LSGMB13	7.677724036486316
URGMB13	6.439196758967243
URGMB12	6.67916058100321
LSGMB20	7.39218936682528
UNKGMB33	7.203419174403397
LSGMB1	7.053896394529916
LSGMB17	7.24737803967877
G2MB9	6.758610602015051
G2MB11	7.096021960348594
URGMB2	6.725988768499056
G2MB3	6.952716004472494
URGMB5	6.618522219792511
G12MB3	5.858433754869215
G2MB13	7.1292807553463104
G12MB11	6.789690508644964
G2MB10	6.711676139006959
G12MB4	5.425280771105272
URGMB4	6.388267247329268
URGMB6	6.25822321576675
G12MB1	6.1943727954635
G2MB15	6.8112315327991695
URGMB14	6.953539796571229
AGMB2	6.858456366871317
AGMB7	6.06506952563825
UNKGMB35	7.468168425547844
URGMB3	6.565429622548211
LSGMB19	6.969288833410703
FRCMB4	3.1355102097333454
AGMB1	5.8931356372248125
FRCMB1	4.221328784414409
UNKGMB18	7.527470616600418
UNKGMB23	7.2627760333296205
UNKGMB17	7.180040324802341
AGMB5	6.271165088150639
UNKGMB22	7.3434192324529395
UNKGMB4	7.034782308220582
UNKGMB15	7.387254794009451
G12MB5	7.153573838789733
G2MB4	6.827070971908974
UNKGMB9	7.295941573319222
G2MB8	6.700560108554189
G2MB2	6.048750226378572
UNKGMB11	7.311629816170354
URGMB8	6.327257671351786
URGMB7	6.035641984398688
G12MB9	6.921419355193923
URGMB9	6.33114536001253
AGMB3	6.77158012511025
G12MB6	7.090135189246672
FRCMB2	3.3169004329723797
FRCMB3	4.151484924884787
AGMB4	5.780718973957057
URGMB1	6.4285478024531635
FRCMB5	5.485949778711607
G2MB1	6.456289912757502
