	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	FRCMB2	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.41778080945884494	0.4077762619372442	0.44220100045475214	0.40031832651205096	0.5251932696680309	0.2806730331969077	0.49499772623919963	0.34452023647112323	0.32992269213278763	0.4212369258753979	0.2620281946339245	0.3748067303319691	0.3903592542064575	0.439699863574352	0.3572987721691678	0.5095043201455207	0.40536607548885856	0.8782628467485221	0.32060027285129605	0.5267394270122783	0.8567530695770805	0.3038199181446112	0.4827194179172351	0.44033651659845385	0.9148249204183719	0.495225102319236	0.9033196907685311	0.857980900409277	0.3441109595270578	0.8487949067758072	0.8375170532060028	0.3009095043201455	0.8845839017735334	0.3549340609367895	0.3193724420190996	0.3668485675306958	0.8357889949977262	0.5593451568894953	0.28512960436562074	0.3754888585720782	0.35470668485675305	0.5294679399727149	0.9042746703046839	0.8764893133242383	0.35075034106412006	0.8814915870850386	0.8639836289222373	0.4212824010914052	0.3278308321964529	0.44474761255115963	0.2901773533424284	0.8708049113233288	0.8610277398817644	0.8713506139154161	0.8623919963619827	0.8792633015006821	0.8564347430650295	0.8495679854479309	0.8958617553433379	0.8605729877216917	0.8657116871305138	0.8921327876307412	0.885675306957708	0.8955889040472942	0.8362892223738063	0.8525238744884038	0.8751705320600273	0.866393815370623	0.33483401546157343	0.8906321055025012	0.4945884492951341	0.990768531150523	0.9233742610277399	0.976261937244202	0.33369713506139154	0.3651659845384266	0.3905866302864939	0.8693497044110959	0.3871305138699409	0.4747157798999545	0.44206457480673034	0.8713960891314234	0.8405184174624829	0.4439745338790359	0.8934970441109595	0.8318781264211005	0.3996361982719418	0.86343792633015	0.9404729422464757	0.8503865393360619	0.8741700773078672	0.8599818099135971	0.8961800818553888	0.9910413824465666	0.9829013187812642	0.8676216462028195	0.8801273306048204	0.929968167348795	0.8779445202364711
UNKGMB10	0.41778080945884494	0.0	0.3899954524783993	0.37016825829922695	0.3549340609367895	0.4412460209185994	0.3614824920418372	0.4618008185538881	0.4514779445202365	0.3901318781264211	0.37826284674852206	0.46466575716234654	0.41723510686675763	0.4541155070486585	0.3937244201909959	0.3916325602546612	0.43924511141427924	0.3836743974533879	0.8839472487494315	0.4715325147794452	0.4445657116871305	0.8830377444292861	0.3377899045020464	0.4072760345611642	0.4017735334242838	0.8906321055025012	0.39818099135970897	0.898180991359709	0.8997726239199636	0.3778080945884493	0.8741700773078672	0.8817644383810823	0.37080491132332877	0.9068667576170987	0.569531605275125	0.38221919054115505	0.3516143701682583	0.8827194179172351	0.4989540700318327	0.3564802182810368	0.4120509322419281	0.42842201000454755	0.45779899954524783	0.9215552523874488	0.8999090495679855	0.3246930422919509	0.8972260118235562	0.8993633469758981	0.39504320145520694	0.36107321509777174	0.3910413824465666	0.35288767621646205	0.8914506593906321	0.8637107776261937	0.9009549795361528	0.8602091859936335	0.9050022737608003	0.8901318781264211	0.8649386084583902	0.8914961346066393	0.8789904502046385	0.9081400636653024	0.9230559345156889	0.9128694861300591	0.9175534333788086	0.8932241928149158	0.8731241473396999	0.8814915870850386	0.8918144611186903	0.36434743065029557	0.9199636198271942	0.44943155979990906	0.9902228285584357	0.9117780809458845	0.9751705320600272	0.3996361982719418	0.3673033196907685	0.408731241473397	0.8975443383356071	0.35893587994542975	0.40695770804911324	0.36880400181900863	0.8796271032287404	0.8951341518872215	0.36666666666666664	0.9132787630741246	0.9	0.3446566621191451	0.9028649386084584	0.9244201909959072	0.9015916325602547	0.9076398362892224	0.9020463847203274	0.8804911323328786	0.9928149158708504	0.9863574351978172	0.9144611186903138	0.9118690313778991	0.9522964984083674	0.894906775807185
UNKGMB19	0.4077762619372442	0.3899954524783993	0.0	0.31791723510686676	0.3342883128694861	0.3959527057753524	0.3218281036834925	0.5416552978626649	0.3673487949067758	0.3224192814915871	0.37789904502046384	0.4477035015916326	0.41055025011368806	0.29172351068667574	0.38490222828558435	0.35297862664847657	0.3679399727148704	0.33628922237380626	0.9142337426102773	0.48194633924511143	0.4381537062301046	0.9137789904502046	0.3155979990904957	0.3599363346975898	0.3491132332878581	0.9094588449295135	0.4093678944974989	0.9312414733969986	0.9195088676671214	0.36612096407457934	0.9059572532969532	0.897680763983629	0.3342883128694861	0.9290586630286494	0.5407912687585266	0.36766712141882674	0.38003638017280583	0.8951796271032287	0.40309231468849477	0.31427921782628465	0.33638017280582083	0.3544793087767167	0.3210550250113688	0.9400181900864029	0.9230559345156889	0.34261027739881766	0.9216462028194634	0.9185538881309686	0.35134151887221465	0.3279217826284675	0.31050477489768075	0.3069577080491132	0.9078217371532514	0.898180991359709	0.930650295588904	0.893906321055025	0.9237835379718053	0.9086857662573897	0.9027739881764438	0.9206457480673034	0.9055934515688949	0.9325602546612096	0.93756252842201	0.9356525693497044	0.9402910413824466	0.8936334697589814	0.9082764893133243	0.9105502501136881	0.9110050022737608	0.3538881309686221	0.9337880854934061	0.3608003638017281	0.9903137789904503	0.9300136425648022	0.9778990450204639	0.4200545702592087	0.33960891314233743	0.3597089586175534	0.9195088676671214	0.3090950432014552	0.3313324238290132	0.318781264211005	0.9045475216007276	0.9103683492496589	0.3226011823556162	0.92487494315598	0.9128240109140519	0.33192360163710777	0.9284674852205548	0.9325147794452023	0.9203274215552524	0.9225102319236016	0.9260572987721691	0.8932696680309231	0.9927694406548431	0.9876307412460209	0.9321055025011369	0.9283765347885402	0.959799909049568	0.9155979990904957
UNKGMB7	0.44220100045475214	0.37016825829922695	0.31791723510686676	0.0	0.31959981809913596	0.35725329695316055	0.3860845839017735	0.4606639381537062	0.43346975898135515	0.3800818553888131	0.36325602546612096	0.506093678944975	0.39986357435197817	0.3191905411550705	0.3400181900864029	0.4024556616643929	0.3840381991814461	0.3342883128694861	0.8903137789904502	0.49022282855843563	0.39827194179172354	0.9026830377444293	0.37080491132332877	0.3938153706230105	0.3331969076853115	0.8936789449749887	0.35075034106412006	0.914006366530241	0.8998180991359709	0.4028649386084584	0.8857662573897226	0.8919963619827194	0.4005457025920873	0.9111869031377899	0.5946793997271487	0.40295588904047297	0.41396089131423375	0.893406093678945	0.41341518872214644	0.3779445202364711	0.4066393815370623	0.4250113688040018	0.3085493406093679	0.9207821737153251	0.9167803547066848	0.353706230104593	0.9037744429286039	0.9040927694406549	0.3290131878126421	0.40154615734424737	0.32078217371532514	0.36048203728967715	0.9023192360163711	0.880718508412915	0.9078672123692587	0.8668030923146886	0.9080945884492951	0.8915870850386539	0.8845384265575261	0.901318781264211	0.8842201000454752	0.9211459754433834	0.9246475670759436	0.9144611186903138	0.9236471123237835	0.9011823556161892	0.8837653478854025	0.8924056389267849	0.8900409276944066	0.38167348794906775	0.9205093224192815	0.3615279672578445	0.9914961346066394	0.9148249204183719	0.9783083219645293	0.47175989085948156	0.37526148249204183	0.3861300591177808	0.9019554342883128	0.35907230559345155	0.28876762164620284	0.30181900864029104	0.8905866302864939	0.9164165529786267	0.25279672578444745	0.908731241473397	0.9086402910413824	0.2977717144156435	0.920418371987267	0.9232833105957253	0.9133242382901319	0.9046839472487495	0.9098226466575716	0.8814006366530241	0.9924056389267849	0.9887221464301955	0.9218735788994997	0.911368804001819	0.9472487494315598	0.8983174170077308
UNKGMB6	0.40031832651205096	0.3549340609367895	0.3342883128694861	0.31959981809913596	0.0	0.41223283310595726	0.36366530241018646	0.4381537062301046	0.40959527057753525	0.3793542519326967	0.41414279217826283	0.45379718053660756	0.393906321055025	0.38694861300591177	0.34752160072760346	0.403456116416553	0.4149613460663938	0.38326512050932243	0.896043656207367	0.4427921782628467	0.4233287858117326	0.8911778080945885	0.3705320600272851	0.4475670759436107	0.4054570259208731	0.8990904956798544	0.3727603456116417	0.9096407457935425	0.902137335152342	0.3812642110050023	0.8897680763983629	0.888130968622101	0.3768531150522965	0.9115507048658481	0.5544338335607094	0.3660300136425648	0.40595725329695315	0.8852660300136426	0.42628467485220556	0.3622555707139609	0.41336971350613916	0.40486584811277854	0.3699408822191905	0.9253296953160528	0.9094588449295135	0.3334242837653479	0.902455661664393	0.8999545247839927	0.3673487949067758	0.39349704411095954	0.37403365165984537	0.35416098226466575	0.8908594815825375	0.8834015461573442	0.9143701682582992	0.8655752614824921	0.9055479763528876	0.8967712596634834	0.8858572078217372	0.9017280582082765	0.8920873124147339	0.9120964074579354	0.9189176898590268	0.916143701682583	0.9246020918599364	0.8804456571168713	0.8834924965893588	0.8896771259663483	0.8930877671668941	0.36816734879490676	0.916643929058663	0.4055934515688949	0.989449749886312	0.9244201909959072	0.9748067303319691	0.4374261027739882	0.4012733060482037	0.3830832196452933	0.9075488858572078	0.38681218735788997	0.3426557526148249	0.3696225557071396	0.8793542519326967	0.8896771259663483	0.35038653933606184	0.9102319236016371	0.8979081400636653	0.3684856753069577	0.908231014097317	0.92487494315598	0.8950432014552069	0.908231014097317	0.9065484311050478	0.8757162346521146	0.9895407003183265	0.9833105957253298	0.9149613460663938	0.9127785356980446	0.946293769895407	0.8999090495679855
UNKGMB38	0.5251932696680309	0.4412460209185994	0.3959527057753524	0.35725329695316055	0.41223283310595726	0.0	0.47926330150068214	0.6035015916325602	0.5300136425648022	0.4875852660300136	0.4517962710322874	0.5856753069577081	0.5396089131423374	0.4201455206912233	0.4508412914961346	0.4889949977262392	0.4396089131423374	0.40331969076853114	0.9190995907230559	0.6094133697135061	0.4633015006821282	0.9234652114597545	0.47239654388358343	0.3936789449749886	0.41505229649840836	0.9195088676671214	0.38590268303774444	0.936243747157799	0.9224192814915871	0.5107776261937245	0.9185993633469759	0.9099590723055935	0.48362892223738063	0.9341518872214642	0.6639381537062301	0.46725784447476126	0.5088676671214188	0.9141427921782629	0.43542519326966805	0.4681218735788995	0.481718963165075	0.43542519326966805	0.3707594361073215	0.9473396998635744	0.9381082310140973	0.46134606639381537	0.9306048203728968	0.921418826739427	0.41623465211459754	0.4988631195998181	0.4053206002728513	0.4413824465666212	0.9115052296498408	0.9069577080491132	0.9308321964529331	0.9060027285129605	0.9252387448840382	0.9199636198271942	0.9115052296498408	0.9239654388358345	0.921418826739427	0.935425193269668	0.9403365165984539	0.9434288312869487	0.9500227376080036	0.9205547976352888	0.907912687585266	0.9129604365620737	0.9167348794906776	0.454206457480673	0.937244201909959	0.3472487494315598	0.9903592542064574	0.9343792633015007	0.9763074124602091	0.5858117326057298	0.4662119145065939	0.5055934515688949	0.9238290131878126	0.4352432924056389	0.4363346975898135	0.3307412460209186	0.9144611186903138	0.9266030013642564	0.36707594361073215	0.9328785811732606	0.9299226921327877	0.37312414733969984	0.9403365165984539	0.9412914961346066	0.9310140973169623	0.928012733060482	0.932469304229195	0.9013642564802182	0.9905866302864939	0.9915416098226466	0.9400181900864029	0.9315597999090496	0.9575261482492042	0.9274215552523875
LSGMB16	0.2806730331969077	0.3614824920418372	0.3218281036834925	0.3860845839017735	0.36366530241018646	0.47926330150068214	0.0	0.5110504774897681	0.320918599363347	0.2793542519326967	0.3668030923146885	0.31055025011368803	0.3387903592542065	0.35202364711232376	0.3796725784447476	0.26784902228285584	0.4472487494315598	0.3434288312869486	0.8808549340609367	0.326193724420191	0.47921782628467485	0.8783537971805366	0.23856298317417007	0.4197817189631651	0.37198726693951795	0.90050022737608	0.4245111414279218	0.9020009095043201	0.8881764438381082	0.26352887676216463	0.8744884038199181	0.870350159163256	0.1305593451568895	0.8979081400636653	0.4136880400181901	0.27335152341973623	0.27330604820372895	0.8684402000909505	0.510050022737608	0.0944974988631196	0.3045475216007276	0.29040472942246476	0.4665302410186448	0.9066848567530695	0.8963619827194179	0.28667576170986814	0.8868121873578899	0.883356070941337	0.3489768076398363	0.2413824465666212	0.38326512050932243	0.1679399727148704	0.8794906775807185	0.8688949522510232	0.9053660754888586	0.8658481127785357	0.889131423374261	0.8810368349249659	0.8702137335152342	0.8924511141427922	0.870668485675307	0.8999090495679855	0.9074579354251933	0.8970441109595271	0.9066393815370622	0.8709868121873579	0.8772169167803547	0.8796271032287404	0.8824920418371988	0.2852205547976353	0.9032742155525239	0.4412460209185994	0.9910868576625739	0.9104592996816735	0.9773078672123693	0.33942701227830835	0.2821282401091405	0.353706230104593	0.8957708049113233	0.29740791268758526	0.43819918144611186	0.3696680309231469	0.8759890859481583	0.881218735788995	0.4114142792178263	0.91168713051387	0.8829013187812642	0.3360163710777626	0.8973169622555707	0.9296953160527512	0.8831741700773079	0.8969531605275125	0.8935879945429741	0.8875397908140064	0.9932696680309231	0.9878581173260573	0.9015916325602547	0.9017735334242838	0.9504320145520692	0.8817644383810823
UNKGMB5	0.49499772623919963	0.4618008185538881	0.5416552978626649	0.4606639381537062	0.4381537062301046	0.6035015916325602	0.5110504774897681	0.0	0.5491587085038654	0.5286493860845839	0.4918144611186903	0.5351523419736244	0.4548431105047749	0.5391086857662574	0.48258299226921325	0.5336516598453843	0.5742610277398817	0.523738062755798	0.8819918144611187	0.4914051841746248	0.5654388358344702	0.8763528876762164	0.5050022737608003	0.550568440200091	0.5145975443383356	0.899681673487949	0.46880400181900866	0.9094588449295135	0.8887676216462028	0.4979081400636653	0.8696225557071396	0.8843565256934971	0.5120054570259208	0.8892678490222828	0.6340154615734425	0.5359254206457481	0.542337426102774	0.8792633015006821	0.5752614824920418	0.5126421100500227	0.5875397908140063	0.5623465211459755	0.5255570713960891	0.9075943610732151	0.8936334697589814	0.4373806275579809	0.8843565256934971	0.8835834470213734	0.5350159163256025	0.5297407912687585	0.5390177353342428	0.49477035015916326	0.8828103683492496	0.8739881764438381	0.8913597089586176	0.8687585266030013	0.8901318781264211	0.884174624829468	0.8660300136425648	0.8874488403819918	0.8783992723965439	0.8961346066393815	0.9022282855843565	0.8878126421100501	0.9034106412005457	0.8863574351978172	0.8729422464756708	0.8803092314688494	0.8829013187812642	0.5040018190086403	0.9020009095043201	0.5615279672578445	0.9871759890859482	0.9118690313778991	0.9702592087312415	0.45984538426557525	0.5397908140063665	0.4814006366530241	0.8909959072305593	0.5413824465666212	0.4567985447930878	0.5571168713051387	0.8767166894042747	0.8864029104138245	0.5318781264211005	0.8999090495679855	0.8885402455661664	0.5371532514779446	0.8919963619827194	0.9200090950432015	0.8873124147339699	0.8924965893587995	0.8847658026375625	0.8871759890859482	0.9854024556616644	0.9802637562528422	0.893724420190996	0.8948158253751706	0.9380172805820828	0.8860845839017736
UNKGMB24	0.34452023647112323	0.4514779445202365	0.3673487949067758	0.43346975898135515	0.40959527057753525	0.5300136425648022	0.320918599363347	0.5491587085038654	0.0	0.2267394270122783	0.4531605275125057	0.30668485675306956	0.40786721236925877	0.4055479763528877	0.44620281946339246	0.36371077762619375	0.4946793997271487	0.43228740336516597	0.8627103228740336	0.36116416552978625	0.4779445202364711	0.8457480673033196	0.3231468849477035	0.48017280582082766	0.4605729877216917	0.8961800818553888	0.5333333333333333	0.8816280127330605	0.8684402000909505	0.2806730331969077	0.8497044110959527	0.8454297407912688	0.338881309686221	0.870168258299227	0.3954979536152797	0.3601182355616189	0.33142337426102775	0.8411550704865848	0.5346066393815371	0.3241928149158709	0.37526148249204183	0.33178717598908597	0.498681218735789	0.8854024556616644	0.8733515234197362	0.3796725784447476	0.86143701682583	0.8603456116416554	0.4056389267849022	0.3330150068212824	0.39340609367894497	0.33706230104593	0.8733515234197362	0.8443383356070941	0.8703956343792633	0.8417007730786721	0.866894042746703	0.86293769895407	0.8433833560709414	0.8972260118235562	0.8506593906321055	0.8681673487949068	0.8901318781264211	0.8732605729877216	0.8768985902683037	0.839881764438381	0.8512960436562074	0.8499772623919963	0.8603001364256481	0.35529786266484764	0.8971350613915416	0.4753069577080491	0.9927239654388358	0.9180536607548886	0.9787630741246021	0.3865393360618463	0.32437471577989996	0.38549340609367894	0.8656662119145065	0.3684856753069577	0.47057753524329243	0.4263756252842201	0.8723510686675762	0.8612096407457935	0.40923146884947703	0.9153251477944521	0.8477035015916325	0.3833105957253297	0.8657116871305138	0.9321055025011369	0.8753979081400637	0.8707594361073215	0.8638926784902228	0.8858117326057299	0.9937698954070032	0.984674852205548	0.8696225557071396	0.8735334242837653	0.9517053206002728	0.8603001364256481
UNKGMB26	0.32992269213278763	0.3901318781264211	0.3224192814915871	0.3800818553888131	0.3793542519326967	0.4875852660300136	0.2793542519326967	0.5286493860845839	0.2267394270122783	0.0	0.40272851296043655	0.34015461573442474	0.39508867667121417	0.3487494315597999	0.3867212369258754	0.3043656207366985	0.4432469304229195	0.3721691678035471	0.8631650750341064	0.39722601182355616	0.4536152796725784	0.8477489768076398	0.3048203728967713	0.4409731696225557	0.3906775807185084	0.8926784902228285	0.46898590268303775	0.8804456571168713	0.8673033196907686	0.3096407457935425	0.8538426557526149	0.8409276944065485	0.2929513415188722	0.8683037744429286	0.43988176443838106	0.32287403365165984	0.3224192814915871	0.8379718053660755	0.48904047294224645	0.277762619372442	0.30877671668940426	0.31045929968167346	0.4508867667121419	0.8869031377899045	0.8658026375625284	0.38053660754888585	0.8622555707139609	0.8626648476580264	0.37694406548431103	0.2843110504774898	0.401318781264211	0.3123692587539791	0.8752160072760345	0.8364711232378353	0.8714415643474307	0.8347430650295589	0.8744429286039108	0.86293769895407	0.8375170532060028	0.8989540700318327	0.8486130059117781	0.8700318326512051	0.9028194633924511	0.8778990450204639	0.8818099135970896	0.8352432924056389	0.8532969531605276	0.848431105047749	0.860618462937699	0.3236471123237835	0.9109140518417462	0.46348340154615736	0.9912232833105957	0.9178717598908595	0.9755798090040928	0.3876762164620282	0.2988176443838108	0.40650295588904045	0.8651659845384265	0.32764893133242384	0.3948158253751705	0.3623919963619827	0.8773988176443838	0.8634834015461573	0.3668485675306958	0.9238290131878126	0.8475216007276034	0.3210550250113688	0.8665302410186448	0.9338790359254207	0.8885857207821737	0.8755343337880855	0.8631195998180992	0.8897680763983629	0.9928149158708504	0.984993178717599	0.8736698499317872	0.8769895407003183	0.9618008185538881	0.8554342883128695
