	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	FRCMB2	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.47241118669690096	0.4916864608076009	0.5004035512510089	0.45475285171102664	0.4783974862529458	0.4289176090468498	0.4840810419681621	0.47461724415793716	0.47044334975369456	0.4727132974634896	0.44397641112047176	0.4791508718726308	0.4967793880837359	0.5100080064051241	0.45930701047542305	0.5352439969016266	0.4943224829674489	0.854208084824387	0.45734597156398105	0.5089141004862237	0.8306294613887086	0.4293606945540647	0.48989113530326595	0.47729022324865283	0.8804054054054054	0.4961059190031153	0.8620209059233449	0.8395833333333333	0.4603836530442035	0.8436886854153042	0.8423394787031151	0.46017699115044247	0.8643465909090909	0.5262281432139884	0.4171875	0.4619164619164619	0.8429042904290429	0.5056634304207119	0.4364820846905538	0.4804241435562806	0.4607201309328969	0.5126382306477093	0.876577840112202	0.8521505376344086	0.45602365114560234	0.8615071283095723	0.8385175380542687	0.4706342991386061	0.4598597038191738	0.4916864608076009	0.45768025078369906	0.8424522083058669	0.8453815261044176	0.85137861466039	0.8476510067114094	0.8453333333333334	0.8564527260179434	0.8435504469987228	0.8438560760353021	0.85657104736491	0.8679378531073446	0.8551020408163266	0.8581314878892734	0.88125	0.8369210697977821	0.8298013245033112	0.8467153284671532	0.8480836236933798	0.43567482241515393	0.8527815468113975	0.5028203062046737	0.934453781512605	0.8851063829787233	0.8768511301636789	0.46244477172312226	0.4658536585365854	0.4697452229299363	0.8518776077885952	0.46403162055335967	0.5098814229249012	0.4972889233152595	0.8361182519280206	0.8200919238345371	0.4630225080385852	0.8571428571428571	0.843441466854725	0.4799685781618225	0.8522727272727273	0.8662952646239555	0.828155981493721	0.8560657984921178	0.847457627118644	0.8453145057766367	0.9393414211438474	0.9110556940980881	0.8435140700068634	0.8548168249660787	0.8919308357348703	0.8559670781893004
UNKGMB10	0.47241118669690096	0.0	0.4806584362139918	0.47023809523809523	0.4633956386292835	0.4891391794046661	0.46791226645004064	0.4817300521998509	0.4917763157894737	0.49666666666666665	0.44516129032258067	0.4987405541561713	0.4753328112764291	0.49081803005008345	0.48825503355704697	0.4596841230257689	0.48218724109362054	0.46459824980111375	0.8370473537604457	0.5156739811912225	0.5058724832214765	0.821501014198783	0.4723101265822785	0.47776879547291834	0.4733492442322991	0.8618233618233618	0.4755700325732899	0.8485735186539868	0.8352601156069365	0.4945240101095198	0.8270418668496912	0.832339297548045	0.46567411083540117	0.8558692421991084	0.5765391014975042	0.46687451286048326	0.4727120067170445	0.841313269493844	0.4924114671163575	0.45816072908036454	0.4928989139515455	0.5004115226337449	0.471081307627829	0.8695970695970696	0.8387323943661972	0.4348496530454896	0.8459343794579173	0.8279198341395991	0.4576547231270358	0.4639423076923077	0.4991869918699187	0.46172441579371476	0.8408469945355191	0.834149755073478	0.8436185133239832	0.8332160450387052	0.8414127423822715	0.8462093862815885	0.833555259653795	0.8340425531914893	0.8418474457662701	0.8554484803558191	0.8555320648343904	0.8529199711607787	0.8737300435413643	0.8382749326145552	0.8236914600550964	0.8380622837370242	0.8424110384894699	0.4846335697399527	0.8563419761737912	0.49958298582151794	0.9224598930481284	0.8725782414307004	0.8662838392124692	0.47443609022556393	0.4728487886382623	0.4791836734693877	0.8472121650977552	0.45447087776866285	0.4757929883138564	0.45566502463054187	0.8397350993377484	0.8296296296296296	0.46224066390041496	0.8488045007032349	0.8501818181818181	0.4222035323801514	0.8348559381588194	0.8580786026200873	0.836388323150034	0.8491779842744818	0.8350374914792092	0.8392261507671781	0.9341262580054894	0.9150043365134432	0.8468085106382979	0.8471337579617835	0.8962686567164179	0.8441091954022989
UNKGMB19	0.4916864608076009	0.4806584362139918	0.0	0.45737855178735104	0.47034596375617793	0.4757785467128028	0.4754521963824289	0.5046728971962616	0.511265164644714	0.48201438848920863	0.45260461144321096	0.4991023339317774	0.4779717373233583	0.45054945054945056	0.495985727029438	0.4776511831726556	0.492091388400703	0.444253859348199	0.8411633109619687	0.5438165438165438	0.4863636363636364	0.8218682114409848	0.46835443037974683	0.4727744165946413	0.45236051502145924	0.8529411764705882	0.47038327526132406	0.8446909667194928	0.8403100775193798	0.4891500904159132	0.8278145695364238	0.8424753867791842	0.4930675909878683	0.8534621578099839	0.58348134991119	0.49634443541835904	0.4835262689225289	0.8397058823529412	0.4716636197440585	0.45984112974404234	0.47790802524797116	0.4916003536693192	0.4500907441016334	0.8638535031847133	0.8377558756633814	0.47368421052631576	0.8463901689708141	0.818249813014211	0.44035087719298244	0.4724342663273961	0.47038019451812557	0.47013651877133106	0.8332103321033211	0.8372093023255814	0.8315548780487805	0.8432108027006752	0.8337078651685393	0.8457943925233645	0.8364153627311522	0.827321565617805	0.8419864559819413	0.8520900321543409	0.8408916218293621	0.8404088050314465	0.8728414442700158	0.8271334792122538	0.8242245199409158	0.8379182156133829	0.8462138953942233	0.4751054852320675	0.8453922315308454	0.4713896457765668	0.9315738025415444	0.8651502843216897	0.8706512042818911	0.514751552795031	0.45347786811201446	0.4808695652173913	0.8405341712490181	0.46127067014795475	0.4649910233393178	0.44081272084805656	0.8347578347578347	0.8229317851959361	0.45187165775401067	0.8424657534246576	0.8446372239747634	0.4424778761061947	0.8423423423423423	0.8459094519459889	0.8344274252370533	0.8400621118012422	0.8406113537117904	0.829127613554434	0.9457286432160804	0.9200761179828735	0.8464476699770818	0.8415007656967841	0.8772652388797364	0.8354134165366615
UNKGMB7	0.5004035512510089	0.47023809523809523	0.45737855178735104	0.0	0.46480067854113655	0.4479638009049774	0.48327464788732394	0.5217048145224941	0.5053667262969589	0.49034038638454464	0.463881636205396	0.5159817351598174	0.47911338448422847	0.4481132075471698	0.4810009267840593	0.45521023765996343	0.4757990867579909	0.46880415944540726	0.8513719512195121	0.5658657829328915	0.4764595103578154	0.8424908424908425	0.4639443961772372	0.4724689165186501	0.4636920384951881	0.8629160063391442	0.45479204339963836	0.8519121236777868	0.8463375796178344	0.4864864864864865	0.841079460269865	0.8488120950323974	0.4933214603739982	0.8657331136738056	0.5888787602552416	0.48403361344537815	0.4595348837209302	0.8514628657164292	0.47560975609756095	0.44505494505494503	0.4620431115276476	0.49044585987261147	0.4270833333333333	0.8743882544861338	0.8516228748068007	0.4808787632221318	0.8534278959810875	0.8421450151057401	0.4320652173913043	0.4707933740191805	0.4837837837837838	0.4737762237762238	0.8492123030757689	0.8509174311926605	0.8507347254447022	0.8508839354342813	0.845565749235474	0.8593004769475358	0.8502170767004341	0.8366064414768264	0.8558282208588958	0.8652423993426458	0.8656832298136646	0.8594249201277955	0.8807413376309428	0.844559585492228	0.840960240060015	0.8480243161094225	0.8403565640194489	0.47619047619047616	0.8612403100775193	0.46672914714151825	0.9369918699186992	0.8778054862842892	0.8754612546125461	0.5421875	0.4482758620689655	0.473967684021544	0.8531300160513644	0.44954954954954957	0.47010119595216193	0.42385321100917434	0.8502170767004341	0.8419117647058824	0.42936802973977695	0.8555900621118012	0.8665067945643485	0.4298808432630614	0.8552833078101072	0.8661290322580645	0.8459821428571429	0.8561264822134388	0.8497023809523809	0.8522561863173217	0.9474789915966386	0.9217046580773043	0.8543461237274863	0.8528951486697965	0.8866328257191202	0.8496420047732697
UNKGMB6	0.45475285171102664	0.4633956386292835	0.47034596375617793	0.46480067854113655	0.0	0.4839486356340289	0.4552117263843648	0.46781437125748504	0.49018003273322425	0.4798994974874372	0.4792156862745098	0.48696383515559294	0.4868624420401855	0.5004122011541632	0.4966832504145937	0.477124183006536	0.5076923076923077	0.48003132341425214	0.8318276580959	0.51171875	0.49538203190596136	0.825184192900201	0.4611727416798732	0.4860111910471623	0.4706814580031696	0.862093352192362	0.47530364372469636	0.846433770014556	0.8448398576512456	0.47884940778341795	0.825938566552901	0.8327847267939433	0.456575682382134	0.8587196467991169	0.5638031693077564	0.46070038910505834	0.48635235732009924	0.8297872340425532	0.48185654008438816	0.4425956738768719	0.4760705289672544	0.4888705688375927	0.4872217642209398	0.8656934306569343	0.8326300984528833	0.45026575550493547	0.843860894251242	0.8259972489683631	0.4674175382139984	0.46984126984126984	0.5	0.4603047313552526	0.8341296928327645	0.8410504492052523	0.8375350140056023	0.8369337979094077	0.8346020761245675	0.8449389806173726	0.8324503311258278	0.8237384506041222	0.8382147838214784	0.8498520710059172	0.8396025550035486	0.8491379310344828	0.8755395683453238	0.8277027027027027	0.8217957505140507	0.8368891947694426	0.8403179190751445	0.4565043894652833	0.8413258110014105	0.5078318219291014	0.9316987740805605	0.8685968819599109	0.8775181305398871	0.47761194029850745	0.47890818858560796	0.4850444624090542	0.8442682047584715	0.4693053311793215	0.49302707136997537	0.4790996784565916	0.8285714285714286	0.8118206521739131	0.46204620462046203	0.8320340184266478	0.8463768115942029	0.4570727718724448	0.8353105373342637	0.8559015206372194	0.8217213114754098	0.8429693076374019	0.8331071913161465	0.8334443704197202	0.9367088607594937	0.9120689655172414	0.8381831085876508	0.8360539389638041	0.8788562829194884	0.8378766140602583
UNKGMB38	0.4783974862529458	0.4891391794046661	0.4757785467128028	0.4479638009049774	0.4839486356340289	0.0	0.47932489451476795	0.5389221556886228	0.5194585448392555	0.48056537102473496	0.48728465955701394	0.5534804753820034	0.4939369442198868	0.4716312056737589	0.5021795989537925	0.48674080410607357	0.5098039215686274	0.47058823529411764	0.8523878437047757	0.566904196357878	0.4902135231316726	0.8439024390243902	0.4810855263157895	0.48696383515559294	0.48096026490066224	0.8709917971662938	0.4546240276577355	0.8608562691131498	0.8397873955960516	0.504828797190518	0.8417676407697791	0.8561690524880708	0.49915254237288137	0.8695652173913043	0.6153191489361702	0.47283049472830496	0.5107296137339056	0.8565340909090909	0.47584973166368516	0.48637137989778534	0.4872471416007036	0.48342059336823734	0.4843205574912892	0.8828483920367535	0.8576642335766423	0.5007704160246533	0.8603268945022289	0.8460987831066571	0.4503424657534247	0.4826158940397351	0.5017006802721088	0.4753550543024227	0.8519572953736655	0.8494545454545455	0.8424556213017751	0.8485735186539868	0.8560115190784737	0.8556311413454271	0.8464730290456431	0.8487084870848709	0.8615942028985507	0.8690937257939582	0.8601036269430051	0.8626415094339622	0.8878787878787879	0.848314606741573	0.8441281138790035	0.8433647570703409	0.8446824789594491	0.4546218487394958	0.8584070796460177	0.4673815907059875	0.9386792452830188	0.88359375	0.8810344827586207	0.5506706408345753	0.46613896218117856	0.5062972292191436	0.8575757575757575	0.47715736040609136	0.4930795847750865	0.4414570685169124	0.850447966919366	0.8352112676056338	0.4400352733686067	0.8580882352941176	0.865909090909091	0.46048109965635736	0.8485735186539868	0.8698630136986302	0.8488700564971752	0.8509036144578314	0.8556338028169014	0.8475991649269311	0.9360236220472441	0.9144186046511628	0.8628318584070797	0.8521545319465081	0.8884462151394422	0.8627889634601044
LSGMB16	0.4289176090468498	0.46791226645004064	0.4754521963824289	0.48327464788732394	0.4552117263843648	0.47932489451476795	0.0	0.4864864864864865	0.46059544658493873	0.46808510638297873	0.4656172328086164	0.45765765765765765	0.4663934426229508	0.4873362445414847	0.4899387576552931	0.4315975286849073	0.49914529914529915	0.48405560098119377	0.8432510885341074	0.4748322147651007	0.5135135135135135	0.8318149964961458	0.4279661016949153	0.4827875734676742	0.4705394190871369	0.8742603550295858	0.4831081081081081	0.8591012947448591	0.8381240544629349	0.4445454545454545	0.8385490753911806	0.8372413793103448	0.3944043321299639	0.8659953524399691	0.5283528352835284	0.4320066334991708	0.43255395683453235	0.8483985765124555	0.49162995594713654	0.39622641509433965	0.464	0.4424620874219447	0.49310344827586206	0.8724058416602614	0.8450807635829662	0.4405426975259378	0.8560830860534124	0.8345323741007195	0.45539507221750214	0.4594142259414226	0.4688581314878893	0.427958833619211	0.8495386799148332	0.8436363636363636	0.8501461988304093	0.8452554744525548	0.8393895348837209	0.846095526914329	0.8417415342087077	0.8445099484156227	0.8524709302325582	0.860248447204969	0.8558758314855875	0.8531415594246783	0.8860377358490567	0.84593837535014	0.8275862068965517	0.8425992779783393	0.8447488584474886	0.44003378378378377	0.8525073746312685	0.47116237799467614	0.9291115311909263	0.8799688230709275	0.8721934369602763	0.46462264150943394	0.455026455026455	0.45815358067299394	0.8532526475037822	0.4413793103448276	0.4822202948829141	0.47807757166947723	0.8425414364640884	0.8229461756373938	0.4641313742437338	0.8555718475073314	0.849388379204893	0.47068819031435855	0.8452554744525548	0.8611746758199847	0.8349928876244666	0.8500749625187406	0.8491895701198027	0.8524137931034482	0.9468085106382979	0.9160516605166051	0.842419716206124	0.8487768717568569	0.8856235107227959	0.851685393258427
UNKGMB5	0.4840810419681621	0.4817300521998509	0.5046728971962616	0.5217048145224941	0.46781437125748504	0.5389221556886228	0.4864864864864865	0.0	0.5356868764389869	0.5282131661442007	0.49360421369450713	0.5338582677165354	0.46311787072243343	0.5388198757763976	0.5087440381558028	0.5154083204930663	0.519036519036519	0.48868778280542985	0.8119891008174387	0.5102195306585919	0.5485133020344288	0.8178269355888094	0.5181079083518108	0.5072463768115942	0.46810146041506534	0.8532235939643347	0.4972972972972973	0.8353356890459364	0.8299791811242193	0.5253565768621236	0.8176392572944297	0.8238308776425368	0.5195702225633154	0.8471428571428572	0.5889328063241107	0.5025678650036683	0.5314197051978278	0.8291390728476821	0.5361635220125787	0.5	0.5531587057010786	0.5415384615384615	0.4960380348652932	0.8523775727466288	0.825494205862304	0.4586080586080586	0.8363136176066025	0.819212808539026	0.5147169811320754	0.5007530120481928	0.541033434650456	0.5146067415730337	0.8302509907529723	0.8298587760591796	0.8262942779291553	0.8185538881309686	0.8283031522468142	0.8340306834030683	0.824211204121056	0.8208647906657516	0.8293838862559242	0.8475783475783476	0.8409556313993174	0.8372905027932961	0.8565400843881856	0.8248366013071895	0.8127914723517655	0.833666001330672	0.8335664335664336	0.5272861356932154	0.840244731475187	0.5390015600624025	0.9209419680403701	0.8590941768511862	0.8553459119496856	0.45025792188651437	0.5301391035548686	0.5042471042471043	0.8390243902439024	0.5233785822021116	0.4860557768924303	0.5222978080120937	0.8211749515816655	0.8118032786885246	0.5233716475095785	0.8296853625170999	0.8385964912280702	0.5171102661596958	0.8313090418353576	0.8486334968465312	0.8190224570673712	0.8426116838487973	0.8323510150622135	0.8251295336787565	0.9197907585004359	0.9013266998341625	0.8227146814404432	0.8383356070941337	0.8713662790697675	0.8320610687022901
UNKGMB24	0.47461724415793716	0.4917763157894737	0.511265164644714	0.5053667262969589	0.49018003273322425	0.5194585448392555	0.46059544658493873	0.5356868764389869	0.0	0.4380242311276794	0.4987489574645538	0.46296296296296297	0.49669421487603305	0.5250219490781387	0.5443478260869565	0.46938775510204084	0.5322997416020672	0.5045643153526971	0.8577777777777778	0.4957410562180579	0.4986376021798365	0.8406317300789663	0.4616040955631399	0.532608695652174	0.5222772277227723	0.8821292775665399	0.5220338983050847	0.8685446009389671	0.8522815158546017	0.466728280961183	0.8501818181818181	0.8573426573426574	0.4552772808586762	0.8766905330151153	0.5191768007483629	0.4700499168053245	0.4669084315503173	0.8527472527472527	0.5085354896675651	0.45267857142857143	0.48736462093862815	0.45719489981785066	0.5429553264604811	0.8787638668779715	0.8572501878287002	0.49406175771971494	0.8617265087853323	0.8495964783565664	0.5021204410517388	0.4510822510822511	0.4995633187772926	0.4829642248722317	0.8555798687089715	0.8505231689088192	0.856390977443609	0.8539325842696629	0.85470719051149	0.8542478565861262	0.8506723283793347	0.8506444275966641	0.8621460506706409	0.8672	0.8597560975609756	0.858814352574103	0.8875	0.8509719222462203	0.841642228739003	0.852810650887574	0.8555815768930523	0.4697357203751066	0.8623298033282905	0.5212389380530974	0.9318181818181818	0.8857602574416734	0.8813559322033898	0.5090196078431373	0.4712230215827338	0.4899912967798085	0.8553557466770915	0.474370112945265	0.5298701298701298	0.4991438356164384	0.8531073446327684	0.8358640636297903	0.48284960422163586	0.8576835730507192	0.8621769772905247	0.5021422450728363	0.8590604026845637	0.8706896551724138	0.8515568428674873	0.8564814814814815	0.8609510086455331	0.8534850640113798	0.9418367346938775	0.9118217054263565	0.8564885496183207	0.8568164508758568	0.8871499176276771	0.8546017014694509
UNKGMB26	0.47044334975369456	0.49666666666666665	0.48201438848920863	0.49034038638454464	0.4798994974874372	0.48056537102473496	0.46808510638297873	0.5282131661442007	0.4380242311276794	0.0	0.5025380710659898	0.4709193245778612	0.490295358649789	0.48623853211009177	0.4958828911253431	0.4660633484162896	0.5146406388642414	0.4919148936170213	0.8554125662376987	0.5263157894736842	0.484593837535014	0.8379765395894428	0.451528384279476	0.5064935064935064	0.4974402730375427	0.875	0.4938488576449912	0.8644747393744988	0.8515007898894155	0.45445920303605314	0.849406528189911	0.8551034975017845	0.46007259528130673	0.8699918233851186	0.5362865221489161	0.45911413969335607	0.44766355140186914	0.8562918838421445	0.48653667595171773	0.44047619047619047	0.45880149812734083	0.4677716390423573	0.5044883303411131	0.8794498381877023	0.8513097072419107	0.49517684887459806	0.8682170542635659	0.846211552888222	0.4691358024691358	0.4447391688770999	0.49016100178890876	0.4626865671641791	0.8506348020911128	0.8497330282227308	0.8548387096774194	0.8532110091743119	0.854875283446712	0.8553259141494436	0.8474331164135936	0.843579766536965	0.865049279757392	0.866721177432543	0.8600311041990669	0.8626984126984127	0.8883572567783095	0.8502202643171806	0.8398203592814372	0.8529411764705882	0.8539505187549881	0.4517543859649123	0.8564778898370831	0.5081818181818182	0.9351570415400202	0.8884331419196062	0.8739650413983441	0.5279307631785995	0.4407096171802054	0.49248452696728556	0.861904761904762	0.46714031971580816	0.4972972972972973	0.46844444444444444	0.8515850144092219	0.8407923697725606	0.4604904632152589	0.857032457496136	0.8652312599681021	0.4728888888888889	0.8567073170731707	0.8684843624699278	0.8525073746312685	0.8629600626468285	0.852810650887574	0.8502906976744186	0.9343915343915344	0.9145978152929494	0.8584758942457231	0.8579192546583851	0.890848026868178	0.8529644268774703
