	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	FRCMB2	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.3806329688148046	0.3703706498323364	0.38274644904287813	0.3498122614039455	0.3732334462191598	0.3365325444169556	0.3878482226842452	0.3717897050727995	0.3709634465016489	0.3678799547695096	0.3586845658463099	0.3620359437659287	0.380155457316196	0.3920104288003228	0.34666715908195034	0.42327820125798654	0.3863632888323111	0.7200848601763353	0.3853965295807103	0.40296478371611133	0.6967639971313777	0.328840847397061	0.3757933765183123	0.3849905373740876	0.7407633701484587	0.3870297901075155	0.7149192496006703	0.7020796959861184	0.3480334706590376	0.716632885461553	0.7056416932119144	0.3511606419493919	0.7288125727435882	0.41440343796482104	0.3209587725104448	0.3509108746497367	0.7007685878512444	0.39981921389256747	0.3353648496200348	0.36911743011688275	0.3535399147143357	0.4158241062116238	0.7382676943582525	0.7221535806571344	0.352921410420874	0.7251989951547924	0.6980477149888147	0.3527977737604763	0.3688968377718135	0.3900742069711103	0.355148415176756	0.694048824594832	0.6989516030953852	0.7069520421671457	0.7122180960781012	0.7040659940365225	0.7311928294920927	0.7116122513396435	0.7057042180773088	0.722356311207929	0.7289305299475016	0.7076857385340866	0.7224131602303858	0.74796480206612	0.693746679376524	0.7002593773714288	0.692021290913266	0.6991005672147673	0.34287316375321736	0.715348902413328	0.36889951211293703	0.7924311135559371	0.7480998486119845	0.740095900082753	0.3717845584603484	0.3732095129363457	0.3753382892381063	0.7010704797500406	0.3647837305690142	0.39485761861647206	0.38569803176734685	0.6997917470455246	0.6807777048136753	0.3558708257622233	0.7219751316915393	0.7071433267576256	0.3758720509686723	0.7148509382363459	0.7268412874689615	0.6849073338056533	0.7083613238695959	0.7061172801130293	0.6948733341624458	0.8359357797342859	0.7967501760059559	0.6954176384564906	0.7150779673069909	0.732025687600697	0.7127058562820047
UNKGMB10	0.3806329688148046	0.0	0.3704288662998051	0.366904179018037	0.36007457260529524	0.38747441088757234	0.3345547181327354	0.382601011829751	0.3700377825580001	0.3791577357310212	0.34869619345036534	0.3811168324094958	0.3519009375901134	0.3811319823123681	0.36750938312175974	0.34153944742684544	0.3794016790197936	0.36275827892441775	0.7182747802204877	0.39876228516323153	0.3937936344873167	0.6987528871024693	0.36056537098288094	0.3779704480803206	0.38358045370969424	0.7419291119770498	0.3791133949054329	0.7197186498043777	0.7136903571317262	0.37625265886377113	0.707495368765543	0.7174816430250731	0.339183250060088	0.7444523743833037	0.45157576646670544	0.35992679814693196	0.3415840029480915	0.7193371236666043	0.4029457145171454	0.3311071878681668	0.3825694762221411	0.36864183256816063	0.3849767792423492	0.738099640935483	0.7134293232048804	0.3292829821356444	0.7260535764330169	0.6964971526298368	0.35577420736765875	0.3413719482136537	0.3898943331769478	0.34723539893807176	0.7175653586675051	0.7120779696167	0.711192653155509	0.7087473382895968	0.7049269382441237	0.7326689314668585	0.7128513600384015	0.7002413184381074	0.7327822424431673	0.7351640509350549	0.7202793103152114	0.7268366933611188	0.7574478766815068	0.7255163022303265	0.697536800247206	0.7024705530189395	0.7119419984626362	0.3737337049480789	0.7241063623683458	0.3842120379522747	0.8049805417237816	0.7517700256715766	0.7411184102308944	0.3417505165381127	0.3571452863540356	0.3585491447186926	0.7101529324173085	0.35017167548106637	0.3756390867754271	0.35629436995424446	0.7183519954723903	0.6991187700415367	0.35685982305013886	0.7264857599991413	0.7124363049901827	0.3251663671780357	0.7156824109657808	0.7386047244962968	0.7161550393662695	0.7193904182413409	0.7110051993762453	0.7122749005047179	0.8414159307489854	0.8104225302027934	0.7110924015811815	0.724645951282182	0.7586620162920864	0.7105077542995928
UNKGMB19	0.3703706498323364	0.3704288662998051	0.0	0.3491234219365305	0.367701163581972	0.36284872392090983	0.3578692216998205	0.3714838750528726	0.38291665385276175	0.37325890342710233	0.3464344910084562	0.38390391262827706	0.33680599749433343	0.32938838309585583	0.3765142184946374	0.34776518497062764	0.3755136291677397	0.35195772864953956	0.7023671589612966	0.4202050626949735	0.37437296595574004	0.6856339141235832	0.33105738005684476	0.36134293406446905	0.361753260856012	0.7200600132935848	0.35827362886622627	0.7007350572380533	0.7038538021933417	0.3618447175993157	0.6974485395116923	0.7136222989806099	0.3663214844414099	0.7268065351886008	0.4420709905761402	0.37740228002685355	0.36989571404538696	0.7029896981641013	0.3805840852823423	0.34570159812094464	0.3535729372177664	0.3557678768637295	0.34359737256398276	0.7226861198501492	0.7077175040485164	0.36432297978154377	0.7089279457717952	0.6767980406611208	0.3198626235943043	0.36665112353587226	0.3616395379784197	0.34752971475786026	0.6965212099049001	0.7000452718281917	0.68112924938575	0.7084549619253283	0.6884187655379548	0.7187376557635329	0.7068383847154189	0.6899107676411604	0.7203585429940627	0.7276621367246415	0.6883658688362371	0.6988454980601859	0.7452787685488352	0.6920213883654094	0.6852495918822213	0.6905954331229116	0.6988659127827949	0.34328291084277784	0.7041278570589011	0.34356716876934007	0.78939149497911	0.7352986514527482	0.7272384989964619	0.3879405195367496	0.3378473542377619	0.35842738508506683	0.6965719944875136	0.34892291717981644	0.34433520662749006	0.3380076800365063	0.7053628863327563	0.6795100460956324	0.34687989426038585	0.7122769484291959	0.7006148831584559	0.3460365132100969	0.7050554776779706	0.7130916537214034	0.69904045221014	0.6884412693835643	0.7038299133299982	0.6898995651365849	0.8334778495638643	0.8003837206170957	0.7012283712996273	0.7004698751796317	0.7221755131275298	0.6858725973477907
UNKGMB7	0.38274644904287813	0.366904179018037	0.3491234219365305	0.0	0.35882951575060196	0.34092742030155254	0.3687417455187311	0.3998050903500916	0.3840781710116291	0.38956204948098705	0.3569896687335616	0.40472984710329235	0.3588727237407871	0.32657779799755593	0.3531454377134104	0.3294786440642207	0.36938937800251265	0.36291809604579117	0.7275870734696968	0.43712086243776915	0.368746805131954	0.7115425328632836	0.3485434426937242	0.35525797932493747	0.37218865783570154	0.7289373381461529	0.3425586974277431	0.7113648950333386	0.7134503038596179	0.3564301548254874	0.7192574521722642	0.721861969897291	0.371553312199611	0.7386397994923568	0.45485090199673395	0.3674117920592567	0.3424469035592294	0.7239411835561266	0.3822664520108975	0.3284160453946712	0.3497914219417395	0.3761804350983927	0.3207325545234996	0.7351940513613662	0.7270594446524626	0.36753792070900637	0.7241652021274141	0.7123278405964224	0.32024012715265415	0.36534731834924233	0.3792901734452323	0.3456388403161625	0.7142299307697808	0.7161127475143159	0.7103901002528759	0.7157681243558276	0.7129405519285731	0.7353977139421999	0.7217015242785981	0.6993455370634721	0.7338921610575443	0.7462115038067975	0.7218520288478025	0.7272980988495101	0.7586220084620643	0.711324319115128	0.7131535207573592	0.7041856959274105	0.7004230722711585	0.34833711298453707	0.7268750578102453	0.33394497668089296	0.8013384638637471	0.7536788050292633	0.7392349105420634	0.41198213268600004	0.3537592399639088	0.3669733342668807	0.7148255501016447	0.3443700701599963	0.3528242274220442	0.31605929136736777	0.723390012327492	0.704266285213024	0.3271705273765194	0.7270927262646424	0.7247110026412478	0.33737086801502447	0.7263591952111198	0.7321611708699646	0.7161005367121165	0.7159164583244425	0.7248390104749514	0.7120170649822781	0.8399179147036876	0.793726933809053	0.7143564840760319	0.7200445197203702	0.7376312071985107	0.711027810714732
UNKGMB6	0.3498122614039455	0.36007457260529524	0.367701163581972	0.35882951575060196	0.0	0.36213615022848583	0.35292642391080703	0.3577607987886955	0.3779378573146834	0.3745483299908852	0.3824576069562535	0.38976484983197246	0.36855158959248724	0.38514821603303406	0.38274183706541987	0.36134061731155176	0.4036826136193002	0.38046101769688	0.7061114426203845	0.39609028735019736	0.37736247453492144	0.700625151718284	0.35596897872697275	0.37600962624517065	0.37593627377239247	0.7278336576012585	0.3641607027374171	0.712222017713811	0.7153706186446118	0.3662400783235408	0.6937515248443992	0.7106945082627623	0.3487269000176171	0.7300465140728464	0.44617403026228825	0.35730301912962237	0.3705063262176599	0.7035390106462377	0.3952013401602796	0.3416216025003199	0.36468950289653307	0.3735724708870532	0.39730754128224044	0.7316379342288025	0.711644196059224	0.36234180268444355	0.7111394264382129	0.6849357661626897	0.36084678559758154	0.3632791379402126	0.39620693495478954	0.3536425329272485	0.7017040392517289	0.7089995031235381	0.6973068349912737	0.7065213896195647	0.6948566527775988	0.7231006120495063	0.7063816417107033	0.6882148783888549	0.7099003408892526	0.7257757494451771	0.6924535099356744	0.7152759580939785	0.7507216397706097	0.6978473236656347	0.6909292714633724	0.6953156992808922	0.7043386201834863	0.3509827462863002	0.7082190065956357	0.37894478924202035	0.8026579000914429	0.7393115165725167	0.7408710496486391	0.371204449735592	0.3769512241799816	0.37759977014089335	0.706070055429567	0.3753614741991537	0.37566351815292526	0.3668360319465077	0.7017205271653708	0.6781889881346436	0.34214331696182276	0.706085953166808	0.7062229861625415	0.3495931034784832	0.6989799995750885	0.7282562092840423	0.690455628558387	0.6948551056859685	0.706197783818937	0.6904227749377362	0.8372753255681011	0.7993133059011214	0.6981221157056868	0.7013252180245129	0.7350499695410224	0.7032878632686133
UNKGMB38	0.3732334462191598	0.38747441088757234	0.36284872392090983	0.34092742030155254	0.36213615022848583	0.0	0.36918471200184555	0.41031395722213204	0.3963247144287568	0.36378741025795436	0.3809645844628496	0.443775611444259	0.37406437967719364	0.3631641378033506	0.3630640382525318	0.36703423073997565	0.3984062015644195	0.3628497898664751	0.721017386678051	0.45499580634767145	0.3816856357195249	0.7104703699845056	0.3617585010137116	0.39266436262985566	0.3703441233089973	0.7402581519346763	0.348517476963493	0.7226648543133842	0.706222797733827	0.38458646668333	0.7132657470928936	0.7341856880155195	0.38685438923867926	0.7366224490949926	0.478494497357229	0.3587274995677135	0.39583656109481197	0.7167065308383084	0.38742054039491025	0.37306619061206686	0.366299657691577	0.37575808491658885	0.3838953523618652	0.74439993701672	0.7286432337275831	0.40462055571038663	0.7269299346878061	0.70202311163303	0.3337941803780707	0.37947313712586067	0.3919172145576792	0.36219167190102175	0.7172054546412361	0.7197725279010639	0.6974552134050407	0.7182703684372311	0.7155982544466747	0.7309256073364524	0.7164211487800803	0.71082235924816	0.7355700837676218	0.7429549353476034	0.711539691321106	0.7281887751444461	0.763279005531262	0.7197365759105709	0.7037938964017494	0.7001440486242339	0.7016822252791308	0.3454458968647264	0.7178344698453506	0.35257699784038055	0.8084684164555641	0.7566032663455371	0.7430076649572179	0.41959161240788506	0.36120959935298486	0.39126812165562763	0.7153833295035644	0.37194893141305196	0.37460497272921606	0.32883739331092465	0.7232649375606865	0.699303980742501	0.3263481287697286	0.7272648957711441	0.7237830728068736	0.35997975100560947	0.709151002879421	0.7320139463259231	0.713259219956156	0.7040512863465849	0.716301271029466	0.7022030992820426	0.8373621359828961	0.8057880172992355	0.7200253681417501	0.7132001221599115	0.744144131411339	0.7185781867260523
LSGMB16	0.3365325444169556	0.3345547181327354	0.3578692216998205	0.3687417455187311	0.35292642391080703	0.36918471200184555	0.0	0.38618086387037626	0.34390907411389504	0.3551025219785097	0.3605319882702957	0.3514855191591689	0.3514932873327722	0.36368909770527663	0.36015282914111113	0.3303775046166996	0.37768013807309675	0.37310345716445137	0.7141962936710513	0.37000803870077126	0.39020696679492356	0.7006212984470896	0.32016587963283294	0.37815481700260234	0.38307268169672065	0.7458232603204715	0.3748530781328338	0.7212619026822448	0.7068214316997288	0.3255545401687278	0.7146283017756698	0.7185676598636901	0.29960172969990617	0.7440082582125429	0.4218406179632784	0.3266926241976578	0.3066667959396255	0.7263547258742086	0.38724673880404026	0.28936258253570796	0.3455683126187338	0.33600626716411286	0.3980162751331812	0.7352514583956102	0.7130824570237491	0.33355038981088925	0.7255522925501551	0.6974818687568424	0.3434842486455121	0.33829278413020025	0.36132033762345933	0.3157805919474341	0.7213685933771398	0.7124024219645911	0.7119565915311072	0.7166716669951273	0.7029377655767647	0.7240185380127492	0.7148492962184031	0.7075379492026808	0.7358192704436636	0.7319873425037123	0.7201007022547925	0.7240054917766805	0.762760965612257	0.7242476675587627	0.6990624421948725	0.703955066099051	0.7138569111222789	0.32947100648312666	0.7101322352604449	0.34530307502361424	0.8131639155352346	0.7550483314620283	0.7485118503104993	0.3499736559176492	0.3282514187770992	0.3452820434797477	0.7175861968675346	0.3469909171100755	0.3719927956145094	0.36517478963341327	0.7162939322444328	0.6941312763002154	0.3631574674873035	0.7258012151186937	0.716290309413277	0.36553635522499694	0.7132984585855243	0.7316158506217219	0.7060231408627048	0.7159427704331693	0.7183238969073107	0.7193561330428896	0.8505937193528191	0.80700781715585	0.7063072653465662	0.7203383546248109	0.7474852130186808	0.7157178255779499
UNKGMB5	0.3878482226842452	0.382601011829751	0.3714838750528726	0.3998050903500916	0.3577607987886955	0.41031395722213204	0.38618086387037626	0.0	0.41769261900982024	0.4035189508796825	0.38140765509182356	0.43507645786304944	0.350765721950804	0.4074113291891723	0.3953738874531985	0.39661321850390113	0.40405742383241056	0.3739897181453947	0.6852615643870573	0.39843425436215596	0.4244009062534092	0.6907813123242006	0.3966808540385693	0.3774022625705859	0.37383014135838594	0.7229813173827431	0.38650297360668145	0.7001910025175948	0.7003375325125828	0.40519742792706376	0.6950078434593366	0.7121930069248591	0.4061414466966154	0.7219759552138434	0.46383900919823384	0.38779215315934606	0.4174285606333598	0.7061802608566264	0.43057533614409566	0.39154119221505623	0.42206798529369777	0.41878373823468484	0.391560279203158	0.7276941810838603	0.7002567090259086	0.3662619680385228	0.7079436363838912	0.6797096908834167	0.39003470591012246	0.3816422120017514	0.41611715063775684	0.39530292269409145	0.6991569476970458	0.6999573246115042	0.6840097600546288	0.6970441089950715	0.6906386663340734	0.7172243066320119	0.7020641327982834	0.6946494627131229	0.7126336880532552	0.7284356822824106	0.698543622974024	0.706169069449352	0.7410134781709836	0.6972081305078949	0.6826259370635607	0.6925604955941134	0.6993302903795064	0.4087337372537331	0.7069120408755311	0.4119241613746903	0.7984755084634167	0.7333562665785943	0.7273488995100983	0.344941631179279	0.41606373677431824	0.3887302575297743	0.7027900586046235	0.41346288482541427	0.366759621465055	0.4061001571414919	0.6933285912539565	0.6714214667650186	0.4028378723313562	0.7055287744521153	0.7005098859947373	0.3999117778616701	0.7054355943456012	0.7193212870257214	0.6915770473646057	0.7002296632597077	0.7008023647652403	0.6901619617027835	0.8208096035014899	0.7911826359590529	0.6812784302037647	0.7021235651980333	0.7284920785706711	0.6963564018489984
UNKGMB24	0.3717897050727995	0.3700377825580001	0.38291665385276175	0.3840781710116291	0.3779378573146834	0.3963247144287568	0.34390907411389504	0.41769261900982024	0.0	0.33784646428611054	0.38537106722143566	0.3658115428204966	0.3780713907210145	0.3955600125342951	0.3978848926733097	0.3509612902813536	0.4161719562986961	0.3934276275985337	0.7229485762141149	0.39524550215600146	0.3794267076987186	0.7074984531972234	0.34064803127355275	0.41865826498295067	0.41743855216609027	0.7437985870161491	0.41177008049464675	0.7209961519824141	0.7168191818954407	0.35082004127518407	0.7201682688140859	0.7285956094173035	0.3511429073056057	0.7487688519664882	0.4064424330623338	0.35982516857323876	0.3463647496853788	0.7216267170141515	0.40560859544937866	0.33771192237041214	0.37600931879456223	0.34370697417291446	0.44184975055773684	0.7350648436912585	0.72200856936456	0.38729046522114857	0.724022855722234	0.7028967888279847	0.3815336838356671	0.34843074353435183	0.3734105820794107	0.35920415273267037	0.7124670497956067	0.715182415441123	0.7081467402414169	0.7224043262731453	0.7077071801148123	0.7357778920801856	0.715740502079027	0.704345852369921	0.7370300967475424	0.7454072895656264	0.7141945319825863	0.7166736040856364	0.7617205328625419	0.7185639496050762	0.7041332089555162	0.7093532448653544	0.7083783573305731	0.35380421680563356	0.7186114950174437	0.3999815581333056	0.7997328192466231	0.7563725750541416	0.7447803677296948	0.38864918755572314	0.34993780290845716	0.37822403803274945	0.7087282848594899	0.3705095926050977	0.40757284415309186	0.3754848331483072	0.7240544266380917	0.6981109046825332	0.37770071522542403	0.7258191936814381	0.7246381958348228	0.38556452041014144	0.7192618273916873	0.7325568926107394	0.7161018767649687	0.7056213598966616	0.7181224306155743	0.7113137385920406	0.832592715127191	0.7972285233638337	0.7111624888003192	0.7133943986655139	0.7396080499199311	0.7143489596085967
UNKGMB26	0.3709634465016489	0.3791577357310212	0.37325890342710233	0.38956204948098705	0.3745483299908852	0.36378741025795436	0.3551025219785097	0.4035189508796825	0.33784646428611054	0.0	0.40142702037921935	0.3750468727528132	0.37541719942895624	0.39067282045064916	0.37794514544884095	0.37017574090951455	0.4068615721814531	0.39513704463589594	0.721646158474968	0.41075390795234246	0.3846984731189934	0.7112822958698606	0.35028403705959177	0.3995657026839434	0.40725193342756416	0.7452079164422863	0.38922375293838746	0.724795443775515	0.7211641934632828	0.35438547037521406	0.7180445108257463	0.7353879539406875	0.3544132420694886	0.7477078804069311	0.42989774840147515	0.3512479021708587	0.34141773369353856	0.7249720162776812	0.3986504434691418	0.3345233063968577	0.36245624035571017	0.3528413678754004	0.41310838970864316	0.7414395801199717	0.71548607491095	0.39113585841307036	0.7315767966599169	0.7013057455080604	0.3656385605078223	0.3370448843441743	0.3883329078365912	0.3526277556447674	0.7191707643772774	0.7161067449100789	0.7061476745770605	0.718907484232776	0.7051303862512461	0.7297236028322441	0.7206405099015293	0.7088823009588782	0.7386361695146084	0.7389540082946567	0.7178222120762853	0.729719703266125	0.7672726200103451	0.7232163111830735	0.7029948533060341	0.7094243658745718	0.7130082871554486	0.3457232014993384	0.7094515706194143	0.4006763317556407	0.8017186477226418	0.7550899351456267	0.7383166049333231	0.39424335578677044	0.3371769661555828	0.37980339236460225	0.7199340635417877	0.3781329314900686	0.38662199512078554	0.3619118895354381	0.7246815788812887	0.702865384569877	0.35951380841372277	0.7265825130430754	0.7160431786359056	0.3682471998750507	0.7190143516472048	0.7356519363327123	0.7178408324346518	0.7187155504994768	0.7175893498792985	0.712988321583267	0.83455637034852	0.7944195239922435	0.7144235252679064	0.7212605764276281	0.7460711509231683	0.7145364041576888
