	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	FRCMB2	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.1381063595476487	0.11027768770615824	0.11633126484677968	0.10329385507938184	0.1828080920117144	0.06864515649629106	0.1490458111367396	0.11644636603942755	0.09890362217037796	0.144282200260437	0.06707260667069107	0.09208729799107149	0.10647590147300273	0.1448697156072025	0.11262520071226853	0.20018036909427908	0.11489301473876433	0.24737261248258585	0.07877555900541315	0.17586395349870348	0.2475320877190887	0.08439928206177322	0.12906460581751084	0.12880589876001974	0.3485334873326485	0.15725615086128517	0.38625950961568356	0.21303384910614356	0.1074673261497553	0.266320572349059	0.20242631287095586	0.07958760672725002	0.22385387482650673	0.0873075343724439	0.07664355352081739	0.1280209555585764	0.2276055215480316	0.18238619074096346	0.06935858986146058	0.10895029261594116	0.1227037636165892	0.17122451679750358	0.30094470788208955	0.21224753700262597	0.09779569359327965	0.23215583446653842	0.24556759163757896	0.11993801070000154	0.10602204014139245	0.12168078231748178	0.06552251437342078	0.31726296221815115	0.27314598819915936	0.21740544330267048	0.2528791625618137	0.2584301937323193	0.23168394177681906	0.2493356343158724	0.30589086916355435	0.248692247045976	0.2237854430564092	0.2821875279293768	0.24707433095041273	0.28549283691305344	0.20478575316849482	0.24101184544292414	0.2462157958092593	0.20495238867337692	0.09792303484247879	0.2858440463936078	0.1317129541936145	0.4764549152638765	0.3383545007532787	0.4298391607551319	0.08984434378857019	0.11801407065810214	0.09165929350946209	0.21746983630417663	0.12837436169205887	0.11987861812972908	0.1477451530577607	0.29879999272417795	0.18913674572281333	0.12599171741150483	0.3002337005443525	0.2148553207898078	0.12766246273113396	0.22208516003863238	0.37075920148056163	0.22191875913651526	0.25947106517362434	0.23526308825204342	0.32429656210254704	0.48151760525156323	0.5825744498443051	0.18138842549684725	0.24600739076413797	0.3331080688169735	0.2538463583175287
UNKGMB10	0.1381063595476487	0.0	0.13412777957639746	0.10035777224020082	0.11433320836994747	0.1677098881554211	0.11637498383086747	0.15493672883605963	0.1714124990090417	0.12846702018138595	0.08739310496816365	0.16513906714563323	0.13433455603175412	0.13767818618730582	0.0896148849628415	0.1161898664154353	0.13446045246287425	0.09583727931718389	0.20522150266370656	0.1484974591418882	0.11279532565294943	0.22390132727923517	0.11550337034329934	0.11567432926307362	0.097937792234526	0.27766616466815813	0.10383600692749406	0.3191916439858663	0.24244920895404373	0.1412387905165026	0.26160742910378904	0.2235052716258696	0.12194056727188325	0.21337842602213108	0.18071663059715162	0.12047636037454641	0.12227909837219315	0.233180740300322	0.15235945022293987	0.12023592155312952	0.11589848542224557	0.18498644314035226	0.15489813558257354	0.2721341193043302	0.19000563063077924	0.10925043126845589	0.2165763983861556	0.2590495324990071	0.10788868547535901	0.1071306086280766	0.13221424844471552	0.11441732671706602	0.29324921317780056	0.21236659001096672	0.23000642110744698	0.19693821736216416	0.26409192630264766	0.24253066587421584	0.2062659251664609	0.23499090439420384	0.2004753636610465	0.2571038634229749	0.27526351056794895	0.2428758079626685	0.2759369613986797	0.21653918471613784	0.20761447646338246	0.20762372469341614	0.2165564978462656	0.09197557136252249	0.2562525519239059	0.16355844857721483	0.44749772347953753	0.29550218222639096	0.3988261244809855	0.13341759995512356	0.11049328302513728	0.1230125359740184	0.2552139556144198	0.10794760301660793	0.11645783316449444	0.09964116197447657	0.23833272914079134	0.20743118673840133	0.08997485138152111	0.2647791637443379	0.282919937655107	0.08511966404547451	0.21804253424082481	0.3422874396238432	0.23774158487487504	0.23870084582894047	0.24390523296577876	0.2566126090986298	0.5171205529956723	0.5631532691497967	0.2508144711899457	0.23219096225944041	0.33950524024448553	0.2323183317607595
UNKGMB19	0.11027768770615824	0.13412777957639746	0.0	0.09408767717708104	0.08462506057068353	0.13508581865798905	0.08886879315126472	0.1835811668076611	0.11398221462672949	0.0842349431555246	0.13694690818766608	0.11445265630992522	0.1240101752100196	0.06706338788247478	0.12735503380819774	0.10833152848858307	0.15477185193194004	0.11177040753942563	0.25608572244034616	0.12984186877122625	0.1734864722548168	0.249214361888968	0.08473411004933365	0.1103501450208354	0.12432484864812318	0.340359340316133	0.15212058231730277	0.38122485871890155	0.2293052692606267	0.10949605865398601	0.2673679942611833	0.2152174783055714	0.09565404193324618	0.24407877300333689	0.13945360139240923	0.10124778305113132	0.1087486393349952	0.22037839961324104	0.1388801874127856	0.08350313058006577	0.09477661572259588	0.105890421616412	0.10931821149799065	0.2934128065716094	0.22538790669807413	0.10922317286554788	0.24411518547203698	0.24145855886741424	0.10899928157074792	0.09608177584773563	0.079222269759666	0.08524075314150857	0.30525803124079365	0.27229511811310064	0.23268219314742206	0.24476482826655344	0.2530830191010131	0.24581523825090315	0.2531572726886783	0.30306520781180646	0.2494145939709477	0.24279803832752708	0.2900982313700739	0.2559020239979565	0.2920375476167713	0.20377409915352454	0.2434610254246702	0.24984079750142435	0.22353209620351466	0.10786572997728722	0.278301856651733	0.10896922752748452	0.48661147400448945	0.3392545246976922	0.4269153603305206	0.14316906280975986	0.09759037020495703	0.10482011334763537	0.23608596962754427	0.10095623375545577	0.10731502418100948	0.10213186465067041	0.28417365113015	0.21503894526757938	0.10479254171209919	0.2900937027471691	0.2654146955336244	0.10627505697393186	0.2401899480579724	0.3562947535221197	0.24412897968634842	0.2683817639936922	0.24519102951891886	0.3092974155780399	0.5009761986331536	0.5637952906049271	0.23486349104966367	0.25750674265959467	0.36198278958246294	0.25651798484505867
UNKGMB7	0.11633126484677968	0.10035777224020082	0.09408767717708104	0.0	0.07099447940057654	0.13321760299565874	0.10382519060038334	0.15111410715929557	0.15059255942831762	0.11222138253525915	0.10420998588033663	0.15191010161118806	0.1103829147034527	0.08821752987295048	0.08733262535510426	0.11198596229204506	0.1490451706957108	0.08805828110077234	0.21508168781359605	0.13148175689226807	0.12392814018287003	0.21887134223494945	0.10096548437267897	0.09876111819484694	0.09524491500406429	0.30384845531795945	0.10106246215045483	0.34487385370284274	0.21193083094323517	0.12578956940965955	0.2470522253171637	0.19566192949639705	0.11482731885391521	0.2122006437920625	0.16746015709596285	0.10385369306662927	0.1225972578715369	0.2120314346049745	0.12014173899913441	0.10636338345799665	0.10907487144524528	0.15343001879227022	0.10495281271214997	0.26899544128342096	0.1940436083499608	0.10289174577780068	0.2086053764507733	0.2341395355940565	0.08332205831548219	0.10699772945217775	0.08432774129376322	0.09987739705045472	0.28119840499506094	0.23541949371207552	0.2041263732358888	0.21612984590925458	0.24127816586902984	0.22204905908862532	0.21776824490802552	0.2628983683459847	0.21573239650326465	0.22912032489085996	0.26010138093930935	0.22691921810964644	0.2690227244535387	0.19495321781891856	0.204818390495441	0.20888444363185552	0.1949265009394142	0.08654390181407187	0.2509960121221294	0.11104608333058406	0.46410926113444334	0.29903037911114144	0.4119958340093479	0.14353439157097156	0.10244524605476381	0.09566973770739837	0.22502876996489907	0.11014671937036914	0.0698618144667463	0.0942692098108641	0.25847081334666033	0.19633162280009758	0.0657836185458588	0.2597715379970062	0.2583621253258962	0.08366168638692785	0.2057536597204963	0.3341888498100435	0.22554671857268085	0.23198725283798144	0.22360607548810166	0.2821397019400271	0.4968057866599806	0.5802561445697498	0.22473638785940547	0.22419944566731007	0.3365300464874137	0.22858550548960327
UNKGMB6	0.10329385507938184	0.11433320836994747	0.08462506057068353	0.07099447940057654	0.0	0.1433352138798826	0.10113678494078011	0.13752345229276974	0.14518003905729873	0.11926968991776514	0.11852568941710306	0.13417384137491078	0.10286881905786778	0.0914816517764287	0.10008045170047261	0.12019000687405891	0.15660940084398947	0.10256188460062142	0.21719248266589244	0.1126674902520299	0.14346990835189796	0.2198970047499991	0.10179454572929207	0.11899635428493122	0.11498324429564398	0.3113321742836491	0.11744645772320884	0.3531758391348995	0.2119384888831036	0.12303956476053116	0.24913145034623396	0.19354977662306064	0.10676649208318849	0.2070650675680212	0.15216606790460702	0.10266811876797075	0.13293601996233564	0.21438358916335246	0.1276813197785945	0.10503273493407819	0.11926520073410266	0.134896890055112	0.11138712104931313	0.2719301606325254	0.19390237591049794	0.09249244419753565	0.2124867488057898	0.2271963131743693	0.09982312606600206	0.1202076076335363	0.09030066716832508	0.09597203548599009	0.2929083221676672	0.2406864704751926	0.2091851016999554	0.2190049809089435	0.23706551646487298	0.22743006497809615	0.22141764638830005	0.272944271855851	0.2224125637839929	0.22576291963994038	0.26455285886285973	0.229875204386337	0.2591510054247957	0.18457615631472907	0.21342457876333137	0.21515204433009888	0.19901624898508682	0.09490619926759217	0.2578347087915498	0.1157796795400501	0.4595492720730993	0.30602353873355603	0.4068533701817316	0.13175209866357876	0.11771063303242452	0.08963722921392345	0.22514507729375585	0.11801765984607708	0.08521115874224959	0.10804655870601221	0.26419725081245715	0.18117084969231118	0.09471524753487119	0.2699272296364409	0.24490109659858	0.10526680514340123	0.2092834750848977	0.3390440603176261	0.21236388902512546	0.23440636332674988	0.22553449743747017	0.2885399620514755	0.4915981677060823	0.5754116898220415	0.21669736100287454	0.22436063072916176	0.33574951167411027	0.22477888428238096
UNKGMB38	0.1828080920117144	0.1677098881554211	0.13508581865798905	0.13321760299565874	0.1433352138798826	0.0	0.16628856536881226	0.22770991656524325	0.20259568675294262	0.17635810155156684	0.1654590676319571	0.2021128742466805	0.1949015727556255	0.1522809246410826	0.15851437020332043	0.16942104237987665	0.16782221879178635	0.15822835607373184	0.2847405922410239	0.19329763100896707	0.1938131163905459	0.27544863960853117	0.15940596237837024	0.14840087762892332	0.16604125826437802	0.3558811049593002	0.15887144295844008	0.3902634791864042	0.28654745618314564	0.18664510781271637	0.30867471951063813	0.27238756610143616	0.1683548000386171	0.282835621025082	0.21121708530434125	0.17120488319531998	0.17331179127051216	0.2659231676356313	0.15482227332410406	0.16538918112037906	0.17420682094362797	0.12953902888480143	0.12429682954284955	0.3208547031501366	0.2643132558569413	0.1705583956744727	0.2812301499605004	0.28030468653225427	0.15757510470414923	0.1685177572776949	0.15017768087468694	0.15451328116207128	0.31507137480926173	0.2931200606551207	0.2762305218967113	0.2702296325623291	0.2897175723879236	0.2962971995844062	0.2785501415898267	0.3162299793854603	0.2728251972730343	0.3071864817521874	0.32325770053064645	0.2862387073769684	0.3316652268655195	0.255379220132731	0.26751061828273487	0.2787174990754923	0.2653236618869824	0.154866859999066	0.3066302607957352	0.12638156272309187	0.5093112587829361	0.3618544476792482	0.4463700963893267	0.21178496319432005	0.15827954936519587	0.1750624231025554	0.2884500682746336	0.1566107343651253	0.1660733064817402	0.13291139120097573	0.2996032447814287	0.262514163492078	0.1444075307492152	0.3027477138688379	0.3192751353285164	0.15123579501693143	0.2853148079481942	0.38230873012961275	0.2871477158591158	0.30451024369412133	0.2867138975703752	0.3232218387120163	0.5194976787160057	0.5885307878878729	0.2936054542095063	0.29690076122350095	0.3939335047262143	0.293410768286833
LSGMB16	0.06864515649629106	0.11637498383086747	0.08886879315126472	0.10382519060038334	0.10113678494078011	0.16628856536881226	0.0	0.15584315126696785	0.10124071940212119	0.070376982278702	0.1294965198769091	0.08222155035176626	0.08730560132286208	0.09702427927419131	0.12820807066805118	0.07765528568959179	0.18144304162576996	0.09744525429732945	0.23791621723251696	0.08212400787012109	0.1644385213707299	0.23428299037341782	0.054574135569899145	0.1098565170665065	0.10834893959822096	0.3388265318288077	0.13979071697629616	0.376202263992066	0.21886244803578003	0.08518837889402818	0.2622882389966831	0.19950898085582092	0.03499152707661221	0.21733035640904727	0.10257280913436204	0.06251979493131755	0.08887725790955874	0.21472389666792313	0.17329793827330528	0.021411347912666617	0.08686076048875789	0.10689469903999332	0.1593612975080594	0.29009548599844204	0.2055424287374711	0.0830925053323694	0.22348782489352326	0.2352095202394903	0.10151905154703438	0.06909888636619835	0.10232450443626834	0.03695810828876799	0.30331415231413345	0.26575059431319004	0.2154626515247917	0.23699198791295062	0.24630456436914813	0.23496987310666964	0.2410706406237975	0.29702726428371556	0.23417381090634035	0.22981262952692555	0.2716411545581819	0.23698806677505102	0.2828046099555118	0.19249042386942786	0.22829383674415318	0.2373010094542624	0.20288166332359842	0.08628529262718956	0.2701041614073575	0.12548692369651582	0.4833471057334651	0.3283501136745761	0.42756614525561587	0.10133303455037451	0.09071711067924323	0.08149662546535139	0.21318454166186537	0.08802255578213787	0.11248172353107884	0.12368556993251272	0.28043414774754893	0.19525743459001965	0.11644315294887712	0.28372492971029273	0.23297205160657447	0.10381540893589997	0.21560893575806517	0.35364967851319257	0.21707298877074038	0.25381821788080033	0.23334327967491164	0.3047717403051824	0.495373383837742	0.5768709078050563	0.20368371658807397	0.24023042980146922	0.3399244185150467	0.24694430234768722
UNKGMB5	0.1490458111367396	0.15493672883605963	0.1835811668076611	0.15111410715929557	0.13752345229276974	0.22770991656524325	0.15584315126696785	0.0	0.1982902762790234	0.1827093478673243	0.15714699974062424	0.17448254786576203	0.12278395298076195	0.17728583896904895	0.17366038045981333	0.18503089983403903	0.23248416082339451	0.1515157888750243	0.22594826681774172	0.1354592198879342	0.17582059011947931	0.24702987398469972	0.16515562332677602	0.17262143451023845	0.1486140971484634	0.30912654584803895	0.1357703363615531	0.3520667556142463	0.2431606268353988	0.1798393990872737	0.2666267851718663	0.22399630944260837	0.1560089138796423	0.22609715273636963	0.18016706439040886	0.1617191735683625	0.20315956509743627	0.2523357445575828	0.21084526673081777	0.1602501280840762	0.19612859755636303	0.2129167870135733	0.19440612495350212	0.27080610104450786	0.21102358616168954	0.12963889872374543	0.2361770122359597	0.24581312958162133	0.1717057070447372	0.188226630685999	0.1690147687760097	0.14916241912638006	0.31139048917164724	0.26239776717758273	0.23818699498296989	0.23683259948255028	0.24294991623093004	0.2579105112587601	0.24700147333738764	0.2686066807054898	0.2477933911331479	0.2480692785895671	0.24672322222866297	0.2476264573116386	0.23434170348699787	0.22934478199134944	0.24099444208546866	0.23226992220924733	0.2409067317364555	0.16463659934728173	0.25454487210168075	0.18561739811833192	0.4360074888775589	0.283712338606612	0.3883015415053552	0.13639122432414838	0.19177417915490186	0.13115871698641574	0.23815720335881127	0.18792535134980193	0.13013882753278852	0.20232313595471013	0.2660990921334676	0.19126484122223442	0.17362744013477005	0.2709014639209731	0.249726700711093	0.189113149600334	0.23615313105280766	0.326738213539026	0.20787021605151923	0.2421196571994503	0.26316539944923517	0.28749708941814206	0.4673304117526982	0.5903587745467772	0.22969018565284838	0.22996656121178038	0.2956005879855659	0.2376306411105879
UNKGMB24	0.11644636603942755	0.1714124990090417	0.11398221462672949	0.15059255942831762	0.14518003905729873	0.20259568675294262	0.10124071940212119	0.1982902762790234	0.0	0.08337393732978321	0.17446387232801985	0.09290419778702795	0.1284178849455847	0.1279892059286331	0.18018980871158652	0.1267125353216968	0.22030859044748738	0.15591885509427245	0.27133869473112127	0.11782788500776796	0.2004904041765859	0.2558115633444711	0.1129720118113511	0.1672897621705441	0.16850655132436884	0.3599436932281542	0.20167407668260345	0.3993496618551015	0.2248907198574189	0.06462344382847555	0.26934989141199317	0.2222519430293574	0.10701911326066664	0.25220114587617704	0.12111500370276264	0.11512384212151504	0.10221563805826211	0.2165314637839921	0.20200029205841438	0.0948063037484134	0.12131609013055693	0.12743439415261076	0.18481971848940063	0.30221650460427585	0.23987863976715174	0.1366055074788208	0.2551729253664797	0.22387525204412762	0.14351165808255714	0.11523752581069321	0.12024404684793273	0.09878127327231408	0.28474532203877617	0.2893858866789759	0.23249688978220312	0.2575943844491364	0.2485525044024891	0.24559563380313523	0.2664066633507868	0.321297861792098	0.25769984183862565	0.23900407920049085	0.29882030144541355	0.2609416164989856	0.3073631801693323	0.21741734066791893	0.25763117826077864	0.2644692068054594	0.2288893676806006	0.1309377855080486	0.29532764119554666	0.15929198407217018	0.5186256942220587	0.35183166799622023	0.4586221061935389	0.14796255788545673	0.11397499051935288	0.12389794868821377	0.2114077594930793	0.12070924797823161	0.16185741982011365	0.17049726528100445	0.27206173317673565	0.2309891926697748	0.14879221531407524	0.271848188669068	0.2601645590176385	0.15541137352136333	0.2465755433506394	0.34834628158535164	0.24616369270434896	0.2840676276666001	0.24671019547345846	0.3101882724451416	0.4945205087456438	0.5445963367334363	0.23816336731633783	0.2693975085197145	0.3572573852511737	0.2814967971031069
UNKGMB26	0.09890362217037796	0.12846702018138595	0.0842349431555246	0.11222138253525915	0.11926968991776514	0.17635810155156684	0.070376982278702	0.1827093478673243	0.08337393732978321	0.0	0.13918989058754597	0.09226118473884015	0.11324668460107108	0.10134120507718387	0.14095325119633673	0.08203689183125233	0.18811213752249364	0.11926040216087525	0.24056889397958095	0.10928841997881841	0.162186084960925	0.23161582178325452	0.08008598997216057	0.130948369735996	0.12733779551646532	0.3347351166984619	0.16237456787411517	0.3724435946457935	0.21049708293008165	0.08854069811612274	0.2537647465339746	0.1980930245779247	0.07168140431557891	0.22419125875569543	0.11795004614479447	0.0894601386511678	0.0886061937281541	0.1956422360319178	0.167834383015794	0.06619922783843186	0.08548285864778836	0.11956807506801292	0.16050877815556447	0.2893215415975868	0.20368720826338	0.11580653899283468	0.2271708818091569	0.2328526927165644	0.1154828559782601	0.0655494256863347	0.10666008337932113	0.07523126698855676	0.2958560923699688	0.26003445887336163	0.20978928008618844	0.23279688661176015	0.24833601424240098	0.22648297640892617	0.23570526462877878	0.29549276318504303	0.22977672597571613	0.21965415484493148	0.2767366871915409	0.24069481538597204	0.2893509556501538	0.1883032780351073	0.22944570766412153	0.23387251296287237	0.20465069112641435	0.09605227031083607	0.27044893639902934	0.15135362041240633	0.49103581976355637	0.3262976144588748	0.4328824418660857	0.13685377770039733	0.08254592103430396	0.1051987828462829	0.20677933129411916	0.09966321973274508	0.11760441664604813	0.12668669224766077	0.2720317886186369	0.20571187489954798	0.1094506118584719	0.27922788301046064	0.2439021035063341	0.10676721520637711	0.21444226372683664	0.34616337214751663	0.230873172630364	0.2542690674689416	0.2271700228090768	0.2986567745346627	0.4965082324688725	0.5678533226102421	0.21791267432543188	0.24116718207695678	0.3512943995251263	0.2535109372153776
