	pielou_e
UNKGMB37	0.7479646573880288
UNKGMB10	0.7573002501187016
UNKGMB19	0.72153193457573
UNKGMB7	0.7572306920761529
UNKGMB6	0.7515511577683752
UNKGMB38	0.7334378396944655
LSGMB16	0.7284582637508455
UNKGMB5	0.7439479020879425
UNKGMB24	0.7113904763026107
UNKGMB26	0.7066813213399071
LSGMB10	0.7374614812755074
UNKGMB28	0.7040210790412281
RSGMB3	0.7298678740625556
LFGMB1	0.7266164211030232
RSGMB4	0.7336712136653956
UNKGMB36	0.735903150006745
RSGMB5	0.7215740177805203
UNKGMB12	0.7374272366521997
UNKGMB25	0.7133590741929811
RSGMB6	0.7138914365850703
UNKGMB30	0.7602293462363394
UNKGMB14	0.7720801223238135
UNKGMB13	0.7395530730782245
UNKGMB8	0.7569238323162875
UNKGMB21	0.7377395710590571
LSGMB14	0.7300714199642313
LSGMB11	0.6940527368101279
UNKGMB34	0.7542073958057288
UNKGMB20	0.7498741234174735
RSGMB7	0.7105874737327806
LSGMB15	0.7207685253072671
UNKGMB27	0.709508430964669
UNKGMB29	0.7081509449360007
RSGMB1	0.7205767145347681
LSGMB13	0.7694481760248992
LSGMB20	0.7480270312980108
UNKGMB33	0.7288151509686756
LSGMB1	0.7214240149378024
LSGMB17	0.7340643343098454
UNKGMB35	0.756099927598799
LSGMB19	0.7260234950986433
UNKGMB18	0.7507226546945083
UNKGMB23	0.7443830382617538
UNKGMB17	0.7295885076721488
UNKGMB22	0.7502621694075642
UNKGMB4	0.7201097108982231
UNKGMB15	0.7531676106119232
UNKGMB9	0.7446954571293011
UNKGMB11	0.742367589943952
