	faith_pd
UNKGMB37	57.304990000000004
UNKGMB10	53.83879
UNKGMB19	50.93920000000001
UNKGMB7	46.88081999999999
UNKGMB6	52.951820000000005
UNKGMB38	50.94182
LSGMB16	51.76965
UNKGMB5	55.10775
UNKGMB24	49.37037
UNKGMB26	48.35501
LSGMB10	52.11668
UNKGMB28	44.99157
RSGMB3	53.120689999999996
LFGMB1	48.85038
RSGMB4	47.955059999999996
UNKGMB36	50.373090000000005
RSGMB5	49.72103
UNKGMB12	52.94767
UNKGMB25	49.156209999999994
RSGMB6	45.43199
UNKGMB30	54.013679999999994
UNKGMB14	51.046020000000006
UNKGMB13	53.69731
UNKGMB8	50.798970000000004
UNKGMB21	47.522409999999994
LSGMB14	50.56858
LSGMB11	44.266600000000004
UNKGMB34	53.58372
UNKGMB20	47.6925
RSGMB7	47.64773
LSGMB15	49.98473
UNKGMB27	47.357890000000005
UNKGMB29	49.13293
RSGMB1	50.35767
LSGMB13	56.007189999999994
LSGMB20	53.54329
UNKGMB33	50.76875999999999
LSGMB1	50.329060000000005
LSGMB17	52.74224
UNKGMB35	52.98395
LSGMB19	47.558479999999996
UNKGMB18	56.36209000000001
UNKGMB23	50.131550000000004
UNKGMB17	50.48
UNKGMB22	48.92987
UNKGMB4	49.972359999999995
UNKGMB15	50.65083
UNKGMB9	49.70774
UNKGMB11	50.17576
