	observed_otus
UNKGMB37	1050
UNKGMB10	1000
UNKGMB19	865
UNKGMB7	812
UNKGMB6	983
UNKGMB38	893
LSGMB16	905
UNKGMB5	1038
UNKGMB24	863
UNKGMB26	838
LSGMB10	937
UNKGMB28	794
RSGMB3	945
LFGMB1	828
RSGMB4	841
UNKGMB36	860
RSGMB5	860
UNKGMB12	943
UNKGMB25	884
RSGMB6	804
UNKGMB30	951
UNKGMB14	894
UNKGMB13	969
UNKGMB8	891
UNKGMB21	820
LSGMB14	874
LSGMB11	733
UNKGMB34	996
UNKGMB20	820
RSGMB7	814
LSGMB15	878
UNKGMB27	810
UNKGMB29	856
RSGMB1	847
LSGMB13	1005
LSGMB20	934
UNKGMB33	909
LSGMB1	905
LSGMB17	937
UNKGMB35	951
LSGMB19	793
UNKGMB18	1077
UNKGMB23	864
UNKGMB17	888
UNKGMB22	892
UNKGMB4	879
UNKGMB15	881
UNKGMB9	873
UNKGMB11	901
