	shannon
UNKGMB37	7.5067031576003425
UNKGMB10	7.547090931403624
UNKGMB19	7.0396669581878735
UNKGMB7	7.3188890057186295
UNKGMB6	7.471205837975799
UNKGMB38	7.189536426404154
LSGMB16	7.154752421859508
UNKGMB5	7.454053502141646
UNKGMB24	6.938345508681017
UNKGMB26	6.862445521842729
LSGMB10	7.280149859575584
UNKGMB28	6.7818316730915535
RSGMB3	7.21413852365346
LFGMB1	7.043446801066993
RSGMB4	7.128321625317344
UNKGMB36	7.1737258248861115
RSGMB5	7.034042680577606
UNKGMB12	7.286602563066109
UNKGMB25	6.982289108058581
RSGMB6	6.889803156372498
UNKGMB30	7.521178154925102
UNKGMB14	7.56957467811391
UNKGMB13	7.336627440242563
UNKGMB8	7.417309798908937
UNKGMB21	7.140935496683826
LSGMB14	7.133885192163834
LSGMB11	6.605764486888248
UNKGMB34	7.511907119405095
UNKGMB20	7.258391654753525
RSGMB7	6.870588554782569
LSGMB15	7.0477302329959155
UNKGMB27	6.855113018479006
UNKGMB29	6.898429051482828
RSGMB1	7.008486326099996
LSGMB13	7.673691105921898
LSGMB20	7.3809912226549965
UNKGMB33	7.1628947754686765
LSGMB1	7.085663619884853
LSGMB17	7.246613546652167
UNKGMB35	7.48032457119676
LSGMB19	6.992460827896063
UNKGMB18	7.561881058946599
UNKGMB23	7.2613727967620525
UNKGMB17	7.14589325545079
UNKGMB22	7.3532444210605865
UNKGMB4	7.042470877498073
UNKGMB15	7.3682373856333125
UNKGMB9	7.2755538590407705
UNKGMB11	7.286622441689221
