	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	UNKGMB25	RSGMB6	UNKGMB30	UNKGMB14	UNKGMB13	UNKGMB8	UNKGMB21	LSGMB14	LSGMB11	UNKGMB34	UNKGMB20	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	LSGMB13	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	UNKGMB35	LSGMB19	UNKGMB18	UNKGMB23	UNKGMB17	UNKGMB22	UNKGMB4	UNKGMB15	UNKGMB9	UNKGMB11
UNKGMB37	0.0	0.4228285584356526	0.4190541155070487	0.4450204638472033	0.40409276944065486	0.5348340154615735	0.28294679399727146	0.49422464756707596	0.3400181900864029	0.3306048203728968	0.41882673942701226	0.2691223283310596	0.3732150977717144	0.3924056389267849	0.43938153706230104	0.36816734879490676	0.5122783083219645	0.4134606639381537	0.32328331059572535	0.5331969076853115	0.31205093224192815	0.483356070941337	0.4442019099590723	0.5048203728967713	0.3457025920873124	0.3053206002728513	0.3533424283765348	0.3258753979081401	0.36912232833105957	0.5581628012733061	0.2916780354706685	0.3792633015006821	0.3494770350159163	0.5351978171896317	0.3517507958162801	0.42705775352432923	0.33365165984538425	0.4524783992723965	0.29463392451114145	0.3420190995907231	0.49367894497498865	0.3409731696225557	0.36930422919508865	0.3942701227830832	0.39122328331059575	0.47239654388358343	0.4467030468394725	0.4406093678944975	0.4001819008640291
UNKGMB10	0.4228285584356526	0.0	0.40145520691223285	0.3715779899954525	0.35839017735334244	0.444974988631196	0.35620736698499317	0.46998635743519784	0.45602546612096406	0.3856298317417008	0.38267394270122784	0.4688494770350159	0.4197817189631651	0.45061391541609824	0.3908594815825375	0.39567985447930876	0.4374261027739882	0.3856753069577081	0.4714870395634379	0.44411095952705776	0.3419736243747158	0.40309231468849477	0.3965893587994543	0.40486584811277854	0.38058208276489314	0.3644838562983174	0.5674397453387904	0.3814461118690314	0.34811277853569805	0.49540700318326514	0.3569349704411096	0.40973169622555705	0.43078672123692585	0.4643929058663029	0.32760345611641656	0.39649840836743977	0.35966348340154614	0.3829013187812642	0.3487494315597999	0.3586630286493861	0.4401091405184175	0.4088676671214188	0.369031377899045	0.4110050022737608	0.3630286493860846	0.4057298772169168	0.3728058208276489	0.3618462937698954	0.3424283765347885
UNKGMB19	0.4190541155070487	0.40145520691223285	0.0	0.32701227830832197	0.33419736243747156	0.4061391541609823	0.33351523419736245	0.5496134606639381	0.3732150977717144	0.3273760800363802	0.37512505684402003	0.4592087312414734	0.4157344247385175	0.29786266484765805	0.3874943155979991	0.36116416552978625	0.36766712141882674	0.34924965893587995	0.4860391086857663	0.4434288312869486	0.32669395179627103	0.3665757162346521	0.3601637107776262	0.41564347430650295	0.36989540700318324	0.3414279217826285	0.5445202364711232	0.36552978626648475	0.37939972714870396	0.40109140518417463	0.3229649840836744	0.3358344702137335	0.3599363346975898	0.32232833105957254	0.35347885402455664	0.35152341973624374	0.34542974079126876	0.3181446111869031	0.31796271032287404	0.3501591632560255	0.35461573442473854	0.43228740336516597	0.34597544338335606	0.3553433378808549	0.3140518417462483	0.32664847658026375	0.3321964529331514	0.32610277398817644	0.3391086857662574
UNKGMB7	0.4450204638472033	0.3715779899954525	0.32701227830832197	0.0	0.33137789904502046	0.36175534333788084	0.3895861755343338	0.4686221009549795	0.4330604820372897	0.37635288767621644	0.3593451568894952	0.509731696225557	0.4040018190086403	0.3230559345156889	0.33592542064574804	0.4049567985447931	0.3817644383810823	0.3356980445657117	0.4880854934060937	0.39290586630286495	0.3763074124602092	0.38649386084583903	0.3320600272851296	0.35266030013642563	0.40368349249658936	0.40654843110504774	0.596043656207367	0.403456116416553	0.4100045475216007	0.40914051841746246	0.3814006366530241	0.4022737608003638	0.4250568440200091	0.31200545702592086	0.36439290586630285	0.33155979990904955	0.40122783083219643	0.32569349704411094	0.3641655297862665	0.3745793542519327	0.3500227376080036	0.4732150977717144	0.37635288767621644	0.38267394270122784	0.36043656207366986	0.2783083219645293	0.3035470668485675	0.24788540245566165	0.29972714870395634
UNKGMB6	0.40409276944065486	0.35839017735334244	0.33419736243747156	0.33137789904502046	0.0	0.4199181446111869	0.3618462937698954	0.4371987266939518	0.41186903137789904	0.3766257389722601	0.41336971350613916	0.4629831741700773	0.3995907230559345	0.38590268303774444	0.3457480673033197	0.4068212824010914	0.42155525238744884	0.38431105047748976	0.4437926330150068	0.42874033651659843	0.36862210095497955	0.44151887221464303	0.40372896771259664	0.3684402000909504	0.37889949977262394	0.3710777626193724	0.5527057753524329	0.3613005911778081	0.4043656207366985	0.4310140973169623	0.35907230559345155	0.4159163256025466	0.40159163256025465	0.3766257389722601	0.3398817644383811	0.3644838562983174	0.4012733060482037	0.37125966348340156	0.34811277853569805	0.3613460663938154	0.4011823556161892	0.4434743065029559	0.40368349249658936	0.38549340609367894	0.3785356980445657	0.34065484311050476	0.3743974533879036	0.3532514779445202	0.3690768531150523
UNKGMB38	0.5348340154615735	0.444974988631196	0.4061391541609823	0.36175534333788084	0.4199181446111869	0.0	0.47767166894042745	0.6091405184174625	0.529331514324693	0.4878581173260573	0.4531150522964984	0.596862210095498	0.55075034106412	0.42041837198726695	0.4536152796725784	0.4945429740791269	0.4353342428376535	0.4130968622100955	0.6147794452023647	0.463256025466121	0.47276034561164165	0.3926330150068213	0.41773533424283765	0.389449749886312	0.5157798999545248	0.48949522510231924	0.6654843110504775	0.47316962255570716	0.5124602091859937	0.42905866302864937	0.4680763983628922	0.48303774442928604	0.4383356070941337	0.385175079581628	0.47580718508412917	0.41873578899499775	0.5026830377444292	0.4045020463847203	0.44752160072760344	0.4536152796725784	0.3469304229195089	0.5936334697589813	0.4713960891314234	0.5104138244656662	0.43829013187812643	0.4362892223738063	0.33801728058208275	0.37130513869940884	0.37730786721236925
LSGMB16	0.28294679399727146	0.35620736698499317	0.33351523419736245	0.3895861755343338	0.3618462937698954	0.47767166894042745	0.0	0.5138699408822192	0.31946339245111416	0.2793087767166894	0.3626193724420191	0.30877671668940426	0.3413369713506139	0.36111869031377897	0.37671668940427466	0.2701682582992269	0.44351978171896317	0.34492951341518874	0.32646657571623466	0.48085493406093677	0.24179172351068667	0.41086857662573895	0.37089586175534334	0.43237835379718054	0.2722601182355616	0.12528422010004547	0.4056389267849022	0.2777171441564347	0.2648476580263756	0.5069122328331059	0.09399727148703957	0.3034106412005457	0.28663028649386085	0.46853115052296496	0.2922692132787631	0.3474306502955889	0.2413824465666212	0.39140518417462483	0.17262391996361984	0.2874033651659845	0.43988176443838106	0.3498863119599818	0.2815370623010459	0.3597089586175534	0.29376989540700316	0.43669849931787175	0.3651205093224193	0.40318326512050934	0.3322419281491587
UNKGMB5	0.49422464756707596	0.46998635743519784	0.5496134606639381	0.4686221009549795	0.4371987266939518	0.6091405184174625	0.5138699408822192	0.0	0.5552523874488404	0.533287858117326	0.4929513415188722	0.5378353797180536	0.45393360618462936	0.5398817644383811	0.4785356980445657	0.5342883128694861	0.575943610732151	0.5296043656207367	0.4931787175989086	0.5730331969076853	0.5032287403365165	0.5520236471123238	0.5116871305138699	0.47812642110050024	0.49809004092769443	0.5149613460663938	0.6279672578444747	0.536743974533879	0.5407912687585266	0.5799909049567985	0.5158253751705321	0.5884947703501592	0.565075034106412	0.5231014097316963	0.4368349249658936	0.5382446566621192	0.5336971350613915	0.5421100500227376	0.49345156889495223	0.5056844020009095	0.5552069122328331	0.4635743519781719	0.5462028194633924	0.4836743974533879	0.5433833560709413	0.45770804911323326	0.5637107776261937	0.535425193269668	0.5398362892223738
UNKGMB24	0.3400181900864029	0.45602546612096406	0.3732150977717144	0.4330604820372897	0.41186903137789904	0.529331514324693	0.31946339245111416	0.5552523874488404	0.0	0.21509777171441563	0.45129604365620735	0.3001819008640291	0.41268758526603	0.4096862210095498	0.4455661664392906	0.3656662119145066	0.4923601637107776	0.4273306048203729	0.3666211914506594	0.4774442928603911	0.3153706230104593	0.46971350613915414	0.45757162346521146	0.5377444292860392	0.2713960891314234	0.3309231468849477	0.3863574351978172	0.3628012733060482	0.32478399272396546	0.5371077762619373	0.3204183719872669	0.3700318326512051	0.33137789904502046	0.502637562528422	0.37899045020463845	0.40031832651205096	0.3341518872214643	0.3959981809913597	0.33638017280582083	0.35034106412005456	0.47071396089131423	0.38381082310140974	0.32819463392451115	0.38981355161437015	0.3668030923146885	0.4675306957708049	0.42855843565256935	0.40422919508867666	0.3810368349249659
UNKGMB26	0.3306048203728968	0.3856298317417008	0.3273760800363802	0.37635288767621644	0.3766257389722601	0.4878581173260573	0.2793087767166894	0.533287858117326	0.21509777171441563	0.0	0.3996361982719418	0.35188722146430196	0.4056844020009095	0.3537517053206003	0.38376534788540245	0.308731241473397	0.43447021373351524	0.3748522055479764	0.40786721236925877	0.4471577989995453	0.2997726239199636	0.4305593451568895	0.39236016371077764	0.4740336516598454	0.310050022737608	0.29786266484765805	0.44697589813551614	0.3275579809004093	0.30918599363346977	0.4816734879490678	0.2789904502046385	0.3030013642564802	0.3130968622100955	0.44806730331969075	0.3808549340609368	0.37071396089131425	0.28231014097316964	0.3956343792633015	0.31264211005002274	0.320918599363347	0.45111414279217826	0.3888130968622101	0.3058208276489313	0.40823101409731694	0.31582537517053205	0.38649386084583903	0.35738972260118235	0.3491587085038654	0.31377899045020463
