	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	UNKGMB25	RSGMB6	UNKGMB30	UNKGMB14	UNKGMB13	UNKGMB8	UNKGMB21	LSGMB14	LSGMB11	UNKGMB34	UNKGMB20	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	LSGMB13	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	UNKGMB35	LSGMB19	UNKGMB18	UNKGMB23	UNKGMB17	UNKGMB22	UNKGMB4	UNKGMB15	UNKGMB9	UNKGMB11
UNKGMB37	0.0	0.47356664184661207	0.5097276264591439	0.5115907274180655	0.45399239543726233	0.5030816640986132	0.45332278481012656	0.49023861171366595	0.4708233413269384	0.48717948717948717	0.4820473644003056	0.48105436573311366	0.48634294385432475	0.5200945626477541	0.5329712955779674	0.4853291038858049	0.5341519570222564	0.4809451219512195	0.4747634069400631	0.5096463022508039	0.44522144522144524	0.517162471395881	0.49552906110283157	0.49184149184149184	0.47346938775510206	0.4608	0.5385245901639344	0.4369747899159664	0.4796747967479675	0.5171042163882259	0.43633414436334145	0.5	0.4554294975688817	0.5485845447589901	0.43488194973343486	0.48085758039816234	0.46352941176470586	0.4880123743232792	0.4560994560994561	0.43427230046948356	0.4967373572593801	0.4675792507204611	0.48695652173913045	0.45823389021479716	0.4587301587301587	0.5229709035222052	0.4984447900466563	0.4701670644391408	0.4911059551430781
UNKGMB10	0.47356664184661207	0.0	0.4775510204081633	0.46959459459459457	0.44835680751173707	0.49163346613545816	0.4649476228847704	0.47226386806596704	0.5	0.4759535655058043	0.43790322580645163	0.5112033195020746	0.4792806880375293	0.5138211382113821	0.4747307373653687	0.46153846153846156	0.4803921568627451	0.45425616547334924	0.5083135391923991	0.5115511551155115	0.4637795275590551	0.49083665338645416	0.4830508474576271	0.4650974025974026	0.4782608695652174	0.48748991121872476	0.5760065735414954	0.47166921898928027	0.47953216374269003	0.4971002485501243	0.458128078817734	0.5163934426229508	0.5008077544426495	0.4810855263157895	0.4481424148606811	0.4540367705835332	0.46912590216519645	0.48328025477707004	0.45534290271132377	0.4793452844894778	0.4881956155143339	0.47167034584253126	0.4696223316912972	0.47495961227786754	0.46178861788617886	0.47607461476074614	0.4732142857142857	0.4609695973705834	0.43022295623451695
UNKGMB19	0.5097276264591439	0.4775510204081633	0.0	0.4586397058823529	0.4864864864864865	0.49615055603079555	0.48198970840480276	0.5213675213675214	0.5	0.510061242344707	0.4715860899067006	0.5357458075904677	0.4751474304970514	0.44536271808999084	0.48355555555555557	0.46802841918294846	0.489492119089317	0.4547008547008547	0.5497512437810945	0.4936823104693141	0.45971162001696353	0.46777003484320556	0.4867986798679868	0.4756944444444444	0.4955357142857143	0.4758983347940403	0.5833333333333334	0.501610305958132	0.473731884057971	0.48874887488748875	0.45066666666666666	0.4731084776663628	0.5150992234685073	0.4618149146451033	0.46469622331691296	0.4663256606990622	0.47594501718213056	0.4832904884318766	0.46507666098807493	0.4726661059714045	0.4519140989729225	0.5254365983295368	0.47530864197530864	0.47033158813263526	0.46281714785651795	0.4861111111111111	0.4493783303730018	0.46194690265486726	0.4467897977132806
UNKGMB7	0.5115907274180655	0.46959459459459457	0.4586397058823529	0.0	0.4671221178479932	0.4457611668185962	0.4737777777777778	0.5258964143426295	0.4977578475336323	0.49177330895795246	0.452212389380531	0.5319926873857403	0.4721739130434783	0.45428840716305374	0.47368421052631576	0.46464646464646464	0.47584320875113945	0.4358288770053476	0.5541346973572038	0.4797742238946378	0.4656222802436902	0.4808548530721282	0.47907771135781385	0.44758432087511396	0.49168207024029575	0.49464285714285716	0.605595667870036	0.49584026622296173	0.4790307548928239	0.4602272727272727	0.45662100456621	0.4812734082397004	0.4891304347826087	0.4378531073446328	0.473109243697479	0.4493783303730018	0.48236331569664903	0.4778368794326241	0.4535809018567639	0.4412024756852343	0.46116970278044106	0.546923076923077	0.46097337006427913	0.48484848484848486	0.47584973166368516	0.4585232452142206	0.42804085422469823	0.43546889507892295	0.4255514705882353
UNKGMB6	0.45399239543726233	0.44835680751173707	0.4864864864864865	0.4671221178479932	0.0	0.4858757062146893	0.45118949958982774	0.46311787072243343	0.4756399669694467	0.47615062761506277	0.4603047313552526	0.5029486099410277	0.4830841856805665	0.503305785123967	0.4850498338870432	0.4831275720164609	0.5040584415584416	0.46166134185303515	0.49798873692679	0.4700342465753425	0.4565043894652833	0.49357945425361155	0.46901960784313723	0.45634266886326197	0.4707379134860051	0.4525	0.5518987341772152	0.465891472868217	0.4874161073825503	0.49623430962343096	0.45303408146300916	0.48050847457627116	0.48142031379025596	0.49876948318293685	0.4529182879377432	0.44902912621359226	0.4680161943319838	0.48231511254019294	0.44785772029102666	0.45032051282051283	0.472914875322442	0.4797047970479705	0.48357963875205257	0.4613486842105263	0.46311475409836067	0.45733222866611434	0.48331977217249794	0.46357615894039733	0.4695369618196588
UNKGMB38	0.5030816640986132	0.49163346613545816	0.49615055603079555	0.4457611668185962	0.4858757062146893	0.0	0.49161073825503354	0.5578790141896938	0.5181434599156118	0.49609035621198955	0.48509933774834435	0.5763713080168776	0.5177419354838709	0.4890254609306409	0.5	0.4926913155631986	0.5106202209005948	0.45454545454545453	0.5806709265175719	0.4780269058295964	0.4922322158626329	0.48430873621713316	0.49108589951377635	0.4752136752136752	0.5078397212543554	0.515126050420168	0.6161702127659574	0.49000799360511593	0.5143104943625325	0.46768402154398564	0.4837328767123288	0.4889086069210293	0.49742268041237114	0.4723441615452151	0.5078616352201258	0.4556213017751479	0.4895222129086337	0.47884940778341795	0.4517766497461929	0.4697095435684647	0.45179063360881544	0.5620437956204379	0.49313893653516294	0.5046179680940386	0.47696245733788395	0.5109243697478991	0.45200698080279234	0.44130626654898497	0.45743766122098023
LSGMB16	0.45332278481012656	0.4649476228847704	0.48198970840480276	0.4737777777777778	0.45118949958982774	0.49161073825503354	0.0	0.5007716049382716	0.45993031358885017	0.44235924932975873	0.45210084033613446	0.4638336347197107	0.4634551495016611	0.5008650519031141	0.4909248055315471	0.44630281690140844	0.5067681895093062	0.47019867549668876	0.48132427843803055	0.4781834372217275	0.4429530201342282	0.49581939799331104	0.48748991121872476	0.4792548687552921	0.43466424682395643	0.39873987398739874	0.5361930294906166	0.4289256198347107	0.4501347708894879	0.4973776223776224	0.3994614003590664	0.46875	0.46602787456445993	0.5127334465195246	0.4521880064829822	0.45591939546599497	0.46140797285835455	0.4789915966386555	0.4256410256410256	0.42845046570702794	0.44931506849315067	0.48006134969325154	0.45231846019247596	0.4462738301559792	0.4401041666666667	0.4983164983164983	0.4877222692633362	0.4659188955996549	0.4642857142857143
UNKGMB5	0.49023861171366595	0.47226386806596704	0.5213675213675214	0.5258964143426295	0.46311787072243343	0.5578790141896938	0.5007716049382716	0.0	0.5229215229215229	0.5263157894736842	0.4795996920708237	0.5448768864177919	0.47929447852760737	0.5341712490180676	0.5075456711675933	0.5241057542768274	0.5055118110236221	0.5015128593040847	0.5031152647975078	0.5552941176470588	0.5033860045146726	0.5138461538461538	0.48870481927710846	0.49061032863849763	0.5159744408945687	0.5212683681361175	0.5820656525220176	0.5314079422382672	0.5438871473354232	0.5519937451133698	0.5089494163424124	0.5551211884284597	0.5397070161912105	0.515748031496063	0.46275395033860045	0.5128205128205128	0.494199535962877	0.5313681027966742	0.5228122662677637	0.5112275449101796	0.5293172690763053	0.4618181818181818	0.535796766743649	0.5069767441860465	0.5119506553585197	0.4917387883556255	0.5373475609756098	0.5220417633410673	0.495733126454616
UNKGMB24	0.4708233413269384	0.5	0.5	0.4977578475336323	0.4756399669694467	0.5181434599156118	0.45993031358885017	0.5229215229215229	0.0	0.44515539305301643	0.5012489592006661	0.4671600370027752	0.49081803005008345	0.5218531468531469	0.5348237317282889	0.4616071428571429	0.5260906757912746	0.48743718592964824	0.49006050129645634	0.5035906642728905	0.453537936913896	0.5235294117647059	0.512987012987013	0.5085034013605442	0.4300373134328358	0.4601063829787234	0.5098039215686274	0.46236559139784944	0.4373259052924791	0.5106571936056838	0.4399641577060932	0.4927927927927928	0.45135135135135135	0.5459183673469388	0.48006509357200977	0.4809805579036348	0.4658008658008658	0.4888888888888889	0.4562607204116638	0.45089666951323654	0.4986400725294651	0.5030864197530864	0.47168141592920354	0.4707423580786026	0.468586387434555	0.5111111111111111	0.5042881646655232	0.47183098591549294	0.5038167938931297
UNKGMB26	0.48717948717948717	0.4759535655058043	0.510061242344707	0.49177330895795246	0.47615062761506277	0.49609035621198955	0.44235924932975873	0.5263157894736842	0.44515539305301643	0.0	0.5021097046413502	0.48748841519925856	0.49153976311336717	0.47992700729927007	0.5167844522968198	0.45776566757493187	0.5196163905841326	0.48425531914893616	0.5180722891566265	0.5031905195989061	0.4696321642429427	0.5120274914089347	0.5078447563996696	0.5017331022530329	0.4490177736202058	0.46869409660107336	0.5587155963302752	0.46011754827875734	0.4662349676225717	0.49954586739327883	0.4343065693430657	0.48110599078341015	0.46557971014492755	0.5219298245614035	0.4918166939443535	0.48027444253859347	0.4648506151142355	0.4869791666666667	0.4658599827139153	0.4510822510822511	0.49121184088806663	0.5223765432098766	0.46112115732368897	0.49125874125874125	0.45535714285714285	0.5043554006968641	0.4733570159857904	0.45438121047877145	0.4745614035087719
