	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	UNKGMB25	RSGMB6	UNKGMB30	UNKGMB14	UNKGMB13	UNKGMB8	UNKGMB21	LSGMB14	LSGMB11	UNKGMB34	UNKGMB20	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	LSGMB13	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	UNKGMB35	LSGMB19	UNKGMB18	UNKGMB23	UNKGMB17	UNKGMB22	UNKGMB4	UNKGMB15	UNKGMB9	UNKGMB11
UNKGMB37	0.0	0.3655557213278695	0.3871412876699979	0.39801976314995224	0.3463337221565193	0.3772428629970613	0.3369003502776471	0.3958185841471784	0.3497964844584749	0.3816661119078285	0.3588197843382943	0.38491500953368746	0.365945462268962	0.3975657818276902	0.40849051633092537	0.36448959239684176	0.40490294141010263	0.3733260231298087	0.38887631961268243	0.3891606806495794	0.33084921974804604	0.40212875485681254	0.3870471819029392	0.38141604307781873	0.3527388536506621	0.3453819248516596	0.4178382245959858	0.33773187164591034	0.3553993373056967	0.38237081147783314	0.3366533174871701	0.3844518965930678	0.3464235738285746	0.4213253356476331	0.3332772425155603	0.3675613726350799	0.35949369638668327	0.3832453562984912	0.3607216641763274	0.33081179411480743	0.3642971549901815	0.3590263159672943	0.3738367579276681	0.35577213534922086	0.3649436437184293	0.3928238891444328	0.3865527506303854	0.35428251637366137	0.36959522620195656
UNKGMB10	0.3655557213278695	0.0	0.37274574851153414	0.3623866130948821	0.34241911365992783	0.3837597959476072	0.35519549267523814	0.37540649663221454	0.38400089914551205	0.36861328030154	0.33914844321243165	0.3952012423637202	0.34788573591255084	0.38926023653724956	0.36664949244734185	0.34472520701248677	0.37094122823580944	0.3630847195653003	0.39743839093983735	0.40043705288072884	0.3530770717533307	0.3740435271387093	0.38293889014233945	0.35595679886273757	0.3739485774678325	0.36596779678870767	0.44126654352146544	0.35038256510701216	0.366644482402169	0.3926482160144087	0.3478452378585404	0.3955931268139256	0.387212817314925	0.369546028185051	0.35430570426292596	0.3472542682376846	0.37197968370949225	0.3803921250801956	0.3462422836581298	0.36281493592650577	0.3674597633872348	0.3530950880472477	0.3685373688850867	0.35998869944960604	0.36809426266556194	0.3554145644308937	0.37117107280168227	0.34063478517464973	0.3299476687935178
UNKGMB19	0.3871412876699979	0.37274574851153414	0.0	0.3571935994045648	0.37082173388967815	0.3773026606984477	0.3613718814267288	0.41103598381134276	0.3770448013502336	0.397772919855751	0.34465085324788053	0.42201687445425273	0.36144813754864225	0.337734078703081	0.3679509004325437	0.36249600981302993	0.3542211290291395	0.3453165187509156	0.43232984820166304	0.37863618385506226	0.33536040049812776	0.34140276538358966	0.37730662701576173	0.352833625963205	0.3910707687810934	0.3552919328051029	0.45700950691345543	0.3840823262827935	0.38123034251604293	0.3847036719040165	0.341608317914622	0.36837924972917135	0.40491006910445065	0.35629715050071376	0.35183100148963814	0.35203615223369183	0.3746342613443689	0.3749486496538255	0.34688998660706233	0.3542803095311441	0.3465789747408013	0.39753103308072485	0.3613439249500356	0.3647054804329471	0.35685962001635935	0.3744890051964204	0.35029888359440664	0.3483039690415744	0.3343574998145479
UNKGMB7	0.39801976314995224	0.3623866130948821	0.3571935994045648	0.0	0.3494423917308606	0.34760645058138967	0.3728648595965488	0.4107790858354732	0.3972287469808655	0.39304399226625547	0.34897675666338984	0.4324011708046711	0.374257107790379	0.3564226191502187	0.3603477375326403	0.36296028845663714	0.37782529669934606	0.3488640267541204	0.4524276801678057	0.37133535189615957	0.35757520641020113	0.3668048249613027	0.37990304703255295	0.32848190488245793	0.3888647399696917	0.3752532796785539	0.4836895946568964	0.39168703407142197	0.37535519103933	0.3572046019380711	0.3484740118272614	0.382711699739709	0.39060533092213273	0.336986865660085	0.37454666847919116	0.3475133334196381	0.38397779496126055	0.37817485467416384	0.3631247421075311	0.3389861550190664	0.3502605821401584	0.43249511239099975	0.37476342851899375	0.3831532499190612	0.36887989643858843	0.3392084160424029	0.33575608446438343	0.33972351934630557	0.33639327093158683
UNKGMB6	0.3463337221565193	0.34241911365992783	0.37082173388967815	0.3494423917308606	0.0	0.3617995576211258	0.343334514871562	0.35685106572989	0.35497119386461906	0.3652808744549091	0.35304962919833566	0.3902409640843529	0.3578520589304418	0.3839425140406807	0.37406099951315697	0.3758260776722116	0.3876393934652974	0.34675956300717886	0.39327453376389043	0.3580734832224884	0.3415941864269748	0.36814835607302804	0.3630861164334042	0.33702486957941064	0.3673475788174999	0.3413966694610838	0.4317917530841981	0.3636403293293683	0.3747636694209065	0.3879915086549556	0.35167755346990015	0.36693741200678837	0.3731695423044147	0.38915965068051345	0.358644670610861	0.3374603159427135	0.3615081685181543	0.37276323802215067	0.34830501097710886	0.33878177371981383	0.3551594674473268	0.3728087629274888	0.3753749376648156	0.3604101581753802	0.35993237016913654	0.3364331876654447	0.36341507998020306	0.34949212040871763	0.34508453050866067
UNKGMB38	0.3772428629970613	0.3837597959476072	0.3773026606984477	0.34760645058138967	0.3617995576211258	0.0	0.38300989845358513	0.42922337735599764	0.3792295474418269	0.36951633866376526	0.3807252276547692	0.45405566853763274	0.39588362784652176	0.3791505434890292	0.375883623442469	0.3742929295854707	0.4006888635214765	0.342311288051792	0.45989572638777265	0.37609826426800724	0.36898913879393774	0.37742842033491675	0.3928973274207027	0.3538316963167911	0.38555836955122563	0.3822474068876725	0.4772914179400667	0.3783792256226577	0.38849241519631894	0.36360269970589704	0.3673487382699142	0.37744114936641227	0.38145422514815636	0.3625440986997635	0.400135440065462	0.34127502231728973	0.38400397063708935	0.3811793232747256	0.34801768294095786	0.3578913854486136	0.34579275100167794	0.4315105219364351	0.3953829148556138	0.39309521847352025	0.35872999732393296	0.3914021447594961	0.3354022152535667	0.3411328176537394	0.34138227227892703
LSGMB16	0.3369003502776471	0.35519549267523814	0.3613718814267288	0.3728648595965488	0.343334514871562	0.38300989845358513	0.0	0.3942691081335658	0.3404381840201793	0.35123295276447003	0.3423553619057702	0.34903989229595306	0.3480741005675827	0.3821960259421933	0.36512607484353576	0.3419341904048328	0.3757626815783106	0.36658705306715905	0.3719020022337706	0.3642930526013302	0.3323499268496454	0.37721211251715514	0.3740108038065181	0.3650992694883873	0.32207909857556904	0.28678557153358314	0.4099387343515898	0.3136853142719123	0.33346207148203383	0.3795074500917144	0.30233856786552327	0.3543013354854429	0.3567511210880645	0.40442766159510074	0.3435947506077762	0.34381977065240477	0.3488215966424563	0.3599762651661004	0.30793489876901015	0.3142353629846401	0.3311758455408281	0.3651262996288334	0.34028267308415594	0.3380882862900881	0.3371186771731709	0.36985267614676476	0.37680615541760343	0.33984852125205783	0.3532136879229787
UNKGMB5	0.3958185841471784	0.37540649663221454	0.41103598381134276	0.4107790858354732	0.35685106572989	0.42922337735599764	0.3942691081335658	0.0	0.40893752171736153	0.4133442380747571	0.3671835112039604	0.433503901564444	0.3657161167658672	0.409925540786474	0.3984720166245868	0.4192405131248014	0.39658658474857217	0.3917888157410498	0.40260366029346695	0.4490675331662989	0.39911732525734117	0.38978268081695944	0.3810845069434454	0.36357559698935216	0.4090855749374528	0.39466109077259237	0.45310588018254233	0.42283098644560707	0.4313797444851408	0.42627615698467786	0.39654471094424	0.4337181769851699	0.43168705660353596	0.40289402661052365	0.36537262584566543	0.3983931312422458	0.3929557593600199	0.4218883700353535	0.421501103581434	0.40948970417329705	0.41498295224313725	0.3603118103677473	0.42050315828278817	0.40406493728609816	0.4007663090627923	0.3732024239388968	0.4241674803286275	0.4105340243001023	0.38992848792775414
UNKGMB24	0.3497964844584749	0.38400089914551205	0.3770448013502336	0.3972287469808655	0.35497119386461906	0.3792295474418269	0.3404381840201793	0.40893752171736153	0.0	0.34333044090487624	0.3726577713176944	0.35564637219429013	0.3649566075091993	0.3932708628304638	0.40744476386652506	0.33930595249912066	0.40405774958897667	0.38032840125067435	0.38525593899815824	0.3860065483381195	0.33726725151011916	0.40207368710777136	0.40042436960331573	0.3841765368119854	0.3040366058032409	0.3243780900155145	0.38222878511379027	0.348899780379606	0.3222198517630953	0.3773741113337408	0.33023345765315754	0.3710403384194514	0.3345855926211217	0.4206552517977895	0.3701258081314132	0.36318660701882266	0.35508941122742965	0.37122588261639355	0.3338210501289471	0.33658440027581693	0.3635635065586979	0.37755563935515885	0.3602010171817938	0.35669603128545113	0.36198153410626466	0.3777905147887326	0.3869062614231101	0.35041730656634934	0.38224811089193383
UNKGMB26	0.3816661119078285	0.36861328030154	0.397772919855751	0.39304399226625547	0.3652808744549091	0.36951633866376526	0.35123295276447003	0.4133442380747571	0.34333044090487624	0.0	0.396903668449168	0.37257265130993106	0.3725146036726761	0.36917115887282975	0.39409291402586955	0.3564414815018743	0.4050656175147557	0.3837730643288167	0.39707732857187095	0.3951917526044439	0.35476505466832636	0.40221735889565685	0.41338022572805305	0.38517114074031306	0.34626328746217216	0.35847650484682264	0.4382806140840534	0.3533231896229831	0.34680036003830594	0.3908767326075097	0.31789477986568804	0.3645580339009379	0.358080430758577	0.41489836251608164	0.38810186001585667	0.35703657977232045	0.3636583192008708	0.3814915411590539	0.35113347539802436	0.3394960823263312	0.3715693590671038	0.39228403940182943	0.3612342567945676	0.3655857059769975	0.35668015391240626	0.37466394842496803	0.3676207826450483	0.3475234612513458	0.3649835072021022
