# Constructed from biom file
#OTU ID	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	UNKGMB25	RSGMB6	UNKGMB30	UNKGMB14	UNKGMB13	UNKGMB8	UNKGMB21	LSGMB14	LSGMB11	UNKGMB34	UNKGMB20	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	LSGMB13	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	UNKGMB35	LSGMB19	UNKGMB18	UNKGMB23	UNKGMB17	UNKGMB22	UNKGMB4	UNKGMB15	UNKGMB9	UNKGMB11
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	286.0	841.0	756.0	591.0	543.0	382.0	469.0	1004.0	108.0	155.0	635.0	196.0	541.0	663.0	580.0	199.0	663.0	1910.0	247.0	177.0	546.0	2637.0	2155.0	732.0	184.0	404.0	173.0	268.0	278.0	163.0	380.0	206.0	122.0	588.0	2420.0	550.0	289.0	527.0	445.0	180.0	415.0	2567.0	269.0	705.0	635.0	900.0	848.0	235.0	520.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	439.0	234.0	1049.0	332.0	360.0	836.0	982.0	120.0	3200.0	1041.0	313.0	1637.0	347.0	261.0	71.0	969.0	133.0	369.0	1162.0	237.0	1126.0	530.0	140.0	232.0	2849.0	1198.0	1607.0	292.0	1891.0	149.0	904.0	416.0	734.0	152.0	705.0	273.0	1024.0	705.0	981.0	534.0	486.0	546.0	766.0	776.0	2006.0	92.0	382.0	166.0	182.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	4.0	1.0	1.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	25.0	2.0	33.0	48.0	22.0	14.0	21.0	36.0	2.0	10.0	44.0	33.0	44.0	22.0	37.0	3.0	25.0	37.0	5.0	21.0	48.0	66.0	23.0	51.0	7.0	11.0	2.0	9.0	41.0	10.0	14.0	113.0	37.0	42.0	28.0	17.0	12.0	11.0	23.0	116.0	25.0	9.0	64.0	47.0	33.0	48.0	20.0	6.0	14.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	27.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1774.0	12.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	3.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	20.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	19.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2349.0	3.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0	2.0	2.0	2.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	73621.0	48139.0	52826.0	59712.0	62473.0	47139.0	69451.0	65424.0	50629.0	46476.0	55231.0	69577.0	67501.0	69934.0	57755.0	55727.0	44657.0	72769.0	66987.0	55890.0	62527.0	54038.0	59889.0	59092.0	59200.0	54949.0	79628.0	58298.0	47692.0	55114.0	57144.0	63543.0	52304.0	56391.0	56342.0	51427.0	56393.0	52055.0	66614.0	59479.0	59398.0	63250.0	37681.0	70837.0	57456.0	61350.0	58435.0	56039.0	49080.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	88.0	62.0	49.0	78.0	55.0	30.0	85.0	209.0	100.0	45.0	61.0	109.0	94.0	53.0	105.0	199.0	83.0	96.0	231.0	72.0	82.0	43.0	74.0	38.0	191.0	117.0	160.0	49.0	153.0	52.0	87.0	38.0	63.0	45.0	114.0	57.0	125.0	102.0	113.0	75.0	53.0	115.0	51.0	156.0	51.0	40.0	94.0	47.0	101.0
k__Bacteria;p__Firmicutes;c__OPB54;o__	1.0	0.0	0.0	1.0	1.0	3.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	4.0	5.0	0.0	0.0	0.0	1.0	1.0	5.0	0.0	4.0	0.0	0.0	2.0	0.0	1.0	0.0	3.0	0.0	0.0	2.0	3.0	1.0	0.0	15.0	0.0	0.0	0.0	8.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	159.0	28.0	22.0	53.0	57.0	14.0	32.0	33.0	109.0	209.0	7.0	147.0	21.0	46.0	15.0	42.0	7.0	24.0	98.0	34.0	51.0	15.0	12.0	36.0	149.0	38.0	117.0	65.0	120.0	28.0	37.0	75.0	64.0	31.0	34.0	72.0	59.0	19.0	66.0	205.0	16.0	10.0	113.0	101.0	17.0	23.0	16.0	26.0	11.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	33.0	53.0	35.0	43.0	35.0	19.0	35.0	13.0	22.0	28.0	25.0	20.0	22.0	54.0	11.0	20.0	8.0	36.0	18.0	29.0	53.0	29.0	26.0	19.0	39.0	37.0	43.0	45.0	43.0	7.0	23.0	33.0	13.0	9.0	46.0	15.0	29.0	10.0	44.0	54.0	27.0	16.0	28.0	38.0	23.0	25.0	18.0	8.0	22.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	5.0	9.0	11.0	5.0	6.0	5.0	52.0	113.0	24.0	21.0	31.0	4.0	29.0	33.0	1.0	36.0	3.0	8.0	29.0	24.0	24.0	5.0	2.0	12.0	110.0	70.0	103.0	13.0	50.0	5.0	51.0	27.0	42.0	14.0	46.0	26.0	20.0	44.0	38.0	50.0	18.0	18.0	13.0	75.0	34.0	5.0	16.0	5.0	2.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	16.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	38.0	0.0	3.0	9.0	0.0	0.0	4.0	0.0	0.0	0.0	20.0	4.0	1.0	8.0	2.0	4.0	3.0	6.0	3.0	5.0	2.0	3.0	3.0	8.0	13.0	5.0	2.0	0.0	10.0	5.0	5.0	0.0	0.0	7.0	10.0	7.0	0.0	6.0	3.0	2.0	8.0	0.0	2.0	3.0	9.0	7.0	3.0	1.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3;o__CW040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	5.0	0.0	10.0	2.0	5.0	2.0	11.0	1.0	7.0	7.0	1.0	6.0	1.0	6.0	2.0	1.0	4.0	2.0	13.0	4.0	7.0	3.0	0.0	5.0	20.0	13.0	14.0	8.0	10.0	5.0	4.0	0.0	4.0	0.0	17.0	3.0	5.0	5.0	9.0	22.0	5.0	1.0	6.0	5.0	3.0	3.0	6.0	2.0	3.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	540.0	2434.0	928.0	2265.0	1045.0	639.0	1440.0	1059.0	1518.0	1706.0	1652.0	221.0	1393.0	1616.0	2769.0	3565.0	5797.0	2209.0	206.0	3738.0	1163.0	1317.0	1817.0	1376.0	1905.0	923.0	17.0	1368.0	3025.0	2194.0	1399.0	1936.0	895.0	1172.0	918.0	1602.0	2465.0	1331.0	1237.0	1957.0	976.0	459.0	3327.0	1278.0	1253.0	1550.0	3168.0	2692.0	2515.0
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28	47.0	16.0	23.0	60.0	59.0	53.0	34.0	17.0	27.0	29.0	24.0	40.0	18.0	99.0	30.0	78.0	23.0	42.0	21.0	15.0	86.0	17.0	25.0	22.0	5.0	20.0	54.0	38.0	91.0	15.0	30.0	25.0	66.0	19.0	39.0	44.0	20.0	34.0	28.0	76.0	38.0	4.0	27.0	31.0	12.0	76.0	41.0	31.0	30.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__HA64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	427.0	1.0	1546.0	689.0	1516.0	5131.0	1.0	7.0	9.0	0.0	109.0	0.0	33.0	1914.0	1081.0	284.0	2441.0	20.0	0.0	17.0	222.0	335.0	7.0	71.0	7.0	1.0	25.0	1.0	0.0	2639.0	0.0	2.0	4568.0	3462.0	1.0	6.0	0.0	848.0	1.0	43.0	2760.0	0.0	0.0	0.0	0.0	324.0	1755.0	579.0	672.0
