sampleID	pielou_e	faith_pd	observed_otus	shannon
G12MB13	0.7066459954872879	40.66697	682	6.652102479052224
G12MB10	0.7344540617368728	47.17752000000001	769	7.041093421489224
G2MB7	0.7110513944657492	44.1595	646	6.63794232958722
G12MB2	0.6728306057720853	39.49183000000001	600	6.209431670087088
AGMB6	0.6425717676548771	40.05809000000001	626	5.969503832020616
G12MB17	0.7367062329812705	44.2501	751	7.0375108657463326
G2MB14	0.7075251899752248	49.07016	769	6.782930642239736
G12MB7	0.6340124177593821	36.84041	565	5.7962093988155
G2MB6	0.7309923262191259	43.35561	717	6.934068432485567
URGMB11	0.6660511035566117	36.9597	563	6.08570301338799
G2MB12	0.6712440353443597	41.89802	687	6.3259154094625405
URGMB13	0.6930126787260298	40.074059999999996	620	6.428471822294999
URGMB12	0.7052431116699754	43.67549	716	6.688395749262651
G2MB9	0.713018390850047	45.47152000000001	703	6.743286496052304
G2MB11	0.7553108043503107	43.32514000000001	679	7.105410981750437
URGMB2	0.7168059071186594	41.41373	668	6.726294667500121
G2MB3	0.7406369126426421	42.38328	674	6.959472354457621
URGMB5	0.7022339372766535	41.96222	688	6.619443012506603
G12MB3	0.634400411362352	37.62083	583	5.828459934569152
G2MB13	0.7424530836960044	47.62665	775	7.126103676221127
G12MB11	0.7249312042141902	41.9761	673	6.810339154149144
G2MB10	0.710288531506766	43.58003	699	6.711621915312866
G12MB4	0.5874734951544882	36.64669	571	5.379698610459851
URGMB4	0.6848944568543115	41.40231	649	6.398335155631694
URGMB6	0.6734936481702286	39.48653	621	6.248976774979992
G12MB1	0.6757437092381948	38.00761	572	6.189725433259251
G2MB15	0.7105347285818607	46.58738	765	6.806436649708309
URGMB14	0.7300508048290939	46.42282	737	6.954114133096138
AGMB2	0.7209369717393749	44.98830000000001	713	6.8328663434878845
AGMB7	0.6522185674541654	39.49957	610	6.034760193485378
URGMB3	0.7025167803120415	39.38621000000001	639	6.5472260519715775
FRCMB4	0.4008042275484781	18.97031	218	3.113521117746412
AGMB1	0.6482048813917549	36.22533	539	5.881902790595494
FRCMB1	0.4955771158211762	29.05848	383	4.252646634673369
AGMB5	0.6754326319259423	39.44557	597	6.228560859850261
G12MB5	0.7445742192293531	47.93892	769	7.138113749998576
G2MB4	0.7162470274314446	45.11652	752	6.843445863343727
G2MB8	0.717296607536961	42.5387	664	6.724683979630389
G2MB2	0.6568986559122012	38.24432	604	6.068695656035553
URGMB8	0.6713435073719211	42.4182	689	6.329668387109031
URGMB7	0.6558727627594801	39.861880000000006	602	6.056079647666683
G12MB9	0.7290550755404971	44.62368	721	6.92154350171683
URGMB9	0.6797108727059007	39.35265	627	6.316092046495795
AGMB3	0.7093968705029092	44.92222	749	6.773904378850255
G12MB6	0.7376998525429541	47.15713	769	7.072210297932366
FRCMB2	0.4366125028916874	17.34017	196	3.3246775238331114
FRCMB3	0.5155805374572112	21.72801	265	4.150345241574874
AGMB4	0.6194225427977919	42.56333	648	5.785313638136758
URGMB1	0.6885598572939354	40.75802	651	6.435634162304338
FRCMB5	0.6124408086469324	35.8831	497	5.485694817467496
G2MB1	0.6942829874932019	40.730709999999995	639	6.470489802588185
