	pielou_e
G12MB13	0.7066459954872879
G12MB10	0.7344540617368728
G2MB7	0.7110513944657492
G12MB2	0.6728306057720853
AGMB6	0.6425717676548771
G12MB17	0.7367062329812705
G2MB14	0.7075251899752248
G12MB7	0.634012417759382
G2MB6	0.7309923262191259
URGMB11	0.6660511035566117
G2MB12	0.6712440353443597
URGMB13	0.6930126787260298
URGMB12	0.7052431116699754
G2MB9	0.713018390850047
G2MB11	0.7553108043503107
URGMB2	0.7168059071186594
G2MB3	0.7406369126426421
URGMB5	0.7022339372766535
G12MB3	0.634400411362352
G2MB13	0.7424530836960044
G12MB11	0.7249312042141902
G2MB10	0.710288531506766
G12MB4	0.5874734951544882
URGMB4	0.6848944568543115
URGMB6	0.6734936481702286
G12MB1	0.6757437092381948
G2MB15	0.7105347285818607
URGMB14	0.7300508048290939
AGMB2	0.7209369717393749
AGMB7	0.6522185674541654
URGMB3	0.7025167803120415
FRCMB4	0.40080422754847805
AGMB1	0.648204881391755
FRCMB1	0.49557711582117625
AGMB5	0.6754326319259423
G12MB5	0.7445742192293531
G2MB4	0.7162470274314446
G2MB8	0.717296607536961
G2MB2	0.6568986559122012
URGMB8	0.671343507371921
URGMB7	0.6558727627594801
G12MB9	0.7290550755404971
URGMB9	0.6797108727059007
AGMB3	0.7093968705029092
G12MB6	0.7376998525429541
FRCMB2	0.4366125028916874
FRCMB3	0.5155805374572112
AGMB4	0.6194225427977919
URGMB1	0.6885598572939354
FRCMB5	0.6124408086469324
G2MB1	0.6942829874932019
