	faith_pd
G12MB13	40.66697
G12MB10	47.17752000000001
G2MB7	44.1595
G12MB2	39.49183000000001
AGMB6	40.05809000000001
G12MB17	44.2501
G2MB14	49.070159999999994
G12MB7	36.84041
G2MB6	43.35561
URGMB11	36.9597
G2MB12	41.89802
URGMB13	40.07406
URGMB12	43.675489999999996
G2MB9	45.471520000000005
G2MB11	43.325140000000005
URGMB2	41.41373
G2MB3	42.38328
URGMB5	41.962219999999995
G12MB3	37.62083
G2MB13	47.62665
G12MB11	41.9761
G2MB10	43.58003
G12MB4	36.64669
URGMB4	41.40231
URGMB6	39.48653
G12MB1	38.00761
G2MB15	46.587379999999996
URGMB14	46.42282
AGMB2	44.98830000000001
AGMB7	39.49957
URGMB3	39.386210000000005
FRCMB4	18.970309999999998
AGMB1	36.22533
FRCMB1	29.058479999999996
AGMB5	39.445570000000004
G12MB5	47.938919999999996
G2MB4	45.11652
G2MB8	42.5387
G2MB2	38.24432
URGMB8	42.4182
URGMB7	39.861880000000006
G12MB9	44.62368
URGMB9	39.352650000000004
AGMB3	44.922219999999996
G12MB6	47.157129999999995
FRCMB2	17.34017
FRCMB3	21.728009999999998
AGMB4	42.56333
URGMB1	40.75802
FRCMB5	35.8831
G2MB1	40.73071
