	observed_otus
G12MB13	682
G12MB10	769
G2MB7	646
G12MB2	600
AGMB6	626
G12MB17	751
G2MB14	769
G12MB7	565
G2MB6	717
URGMB11	563
G2MB12	687
URGMB13	620
URGMB12	716
G2MB9	703
G2MB11	679
URGMB2	668
G2MB3	674
URGMB5	688
G12MB3	583
G2MB13	775
G12MB11	673
G2MB10	699
G12MB4	571
URGMB4	649
URGMB6	621
G12MB1	572
G2MB15	765
URGMB14	737
AGMB2	713
AGMB7	610
URGMB3	639
FRCMB4	218
AGMB1	539
FRCMB1	383
AGMB5	597
G12MB5	769
G2MB4	752
G2MB8	664
G2MB2	604
URGMB8	689
URGMB7	602
G12MB9	721
URGMB9	627
AGMB3	749
G12MB6	769
FRCMB2	196
FRCMB3	265
AGMB4	648
URGMB1	651
FRCMB5	497
G2MB1	639
