	shannon
G12MB13	6.652102479052224
G12MB10	7.041093421489225
G2MB7	6.6379423295872195
G12MB2	6.2094316700870875
AGMB6	5.969503832020616
G12MB17	7.037510865746332
G2MB14	6.782930642239736
G12MB7	5.796209398815499
G2MB6	6.934068432485568
URGMB11	6.08570301338799
G2MB12	6.32591540946254
URGMB13	6.428471822294999
URGMB12	6.688395749262651
G2MB9	6.743286496052303
G2MB11	7.105410981750438
URGMB2	6.726294667500121
G2MB3	6.959472354457621
URGMB5	6.619443012506602
G12MB3	5.828459934569153
G2MB13	7.126103676221126
G12MB11	6.810339154149144
G2MB10	6.711621915312866
G12MB4	5.379698610459851
URGMB4	6.398335155631694
URGMB6	6.248976774979993
G12MB1	6.189725433259251
G2MB15	6.806436649708309
URGMB14	6.954114133096137
AGMB2	6.8328663434878845
AGMB7	6.034760193485377
URGMB3	6.5472260519715775
FRCMB4	3.1135211177464117
AGMB1	5.881902790595494
FRCMB1	4.252646634673369
AGMB5	6.228560859850261
G12MB5	7.138113749998575
G2MB4	6.843445863343728
G2MB8	6.724683979630389
G2MB2	6.068695656035554
URGMB8	6.32966838710903
URGMB7	6.056079647666684
G12MB9	6.921543501716829
URGMB9	6.316092046495795
AGMB3	6.773904378850255
G12MB6	7.072210297932366
FRCMB2	3.324677523833112
FRCMB3	4.150345241574873
AGMB4	5.785313638136757
URGMB1	6.435634162304337
FRCMB5	5.485694817467496
G2MB1	6.470489802588185
