	G12MB13	G12MB10	G2MB7	G12MB2	AGMB6	G12MB17	G2MB14	G12MB7	G2MB6	URGMB11	G2MB12	URGMB13	URGMB12	G2MB9	G2MB11	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	URGMB3	FRCMB4	AGMB1	FRCMB1	AGMB5	G12MB5	G2MB4	G2MB8	G2MB2	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	FRCMB2	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
G12MB13	0.0	0.43765347885402456	0.5019554342883129	0.4773988176443838	0.47808094588449296	0.4178717598908595	0.45611641655297863	0.4951341518872215	0.43542519326966805	0.5050477489768076	0.44106412005457024	0.4088676671214188	0.45329695316052754	0.5043656207366985	0.43874488403819917	0.4016825829922692	0.367212369258754	0.4538881309686221	0.46234652114597546	0.3884492951341519	0.47562528422010003	0.3561618917689859	0.4437926330150068	0.45761709868121875	0.46630286493860845	0.4299226921327876	0.5216462028194634	0.4801273306048204	0.4004092769440655	0.49554342883128694	0.48340154615734426	0.9708503865393361	0.593087767166894	0.9393360618462938	0.4908140063665302	0.4684856753069577	0.5320145520691223	0.47885402455661663	0.4800818553888131	0.4394270122783083	0.5597544338335607	0.5073669849931787	0.46352887676216464	0.39881764438381084	0.5169167803547067	0.9913597089586176	0.9281491587085039	0.4922237380627558	0.43933606184629376	0.6793087767166894	0.44411095952705776
G12MB10	0.43765347885402456	0.0	0.5141882673942701	0.5492951341518872	0.49972714870395635	0.3748976807639836	0.3938153706230105	0.5501136880400181	0.3932241928149159	0.5439745338790359	0.4763074124602092	0.4643929058663029	0.38663028649386083	0.47226011823556163	0.420100045475216	0.42551159618008183	0.40477489768076397	0.4185538881309686	0.48303774442928604	0.37357889949977263	0.44188267394270125	0.406093678944975	0.4989540700318327	0.45534333788085496	0.5268303774442928	0.529331514324693	0.4276489313324238	0.3793087767166894	0.39567985447930876	0.5112778535698045	0.4616643929058663	0.9603456116416553	0.6003638017280583	0.9281036834924966	0.4892223738062756	0.39763528876762166	0.4067758071850841	0.4748067303319691	0.4686675761709868	0.42137335152341976	0.5556616643929059	0.40632105502501137	0.4281946339245111	0.4155525238744884	0.43974533879035926	0.9904956798544793	0.9651205093224193	0.5447930877671668	0.41564347430650295	0.6720782173715325	0.47294224647567074
G2MB7	0.5019554342883129	0.5141882673942701	0.0	0.4348794906775807	0.5946339245111414	0.48185538881309686	0.502955889040473	0.556343792633015	0.5450659390632105	0.5412005457025921	0.4709868121873579	0.4660300136425648	0.5370168258299227	0.4623919963619827	0.4522055479763529	0.478581173260573	0.4345156889495225	0.5108231014097318	0.5308321964529331	0.4702137335152342	0.42487494315598	0.46421100500227375	0.6046384720327421	0.48030923146884946	0.5616643929058663	0.49436107321509776	0.583856298317417	0.5351068667576171	0.42969531605275124	0.5903137789904502	0.49008640291041383	0.9603910868576626	0.4823101409731696	0.9263301500682128	0.5727148703956344	0.49863574351978174	0.5578899499772624	0.5145975443383356	0.5829013187812642	0.5234652114597544	0.5417462482946794	0.6476580263756253	0.466393815370623	0.4844474761255116	0.48408367439745337	0.9893133242382901	0.9696680309231469	0.5900409276944065	0.44643019554342883	0.6622555707139609	0.4573897226011824
G12MB2	0.4773988176443838	0.5492951341518872	0.4348794906775807	0.0	0.5717598908594815	0.48640291041382444	0.5267394270122783	0.6123692587539791	0.5412460209185994	0.5802182810368349	0.5076853115052297	0.4952705775352433	0.5527057753524329	0.5160527512505685	0.4779899954524784	0.5244201909959072	0.4815370623010459	0.5274670304683947	0.5726693951796271	0.48531150522964983	0.5100045475216007	0.5151432469304229	0.5891768985902683	0.4697589813551614	0.5987266939517962	0.5108685766257389	0.5902228285584357	0.4579354251932697	0.4298317417007731	0.5598453842655753	0.47544338335607095	0.9606184629376989	0.5361982719417917	0.9351523419736244	0.5951796271032287	0.5155525238744884	0.5897226011823556	0.5364256480218281	0.583037744429286	0.43883583447021374	0.5714870395634379	0.641518872214643	0.45925420645748066	0.489949977262392	0.5061846293769895	0.9937244201909959	0.9525238744884038	0.5140518417462483	0.4836743974533879	0.7311505229649841	0.4930422919508868
AGMB6	0.47808094588449296	0.49972714870395635	0.5946339245111414	0.5717598908594815	0.0	0.5080945884492951	0.4783083219645293	0.4713051386994088	0.4839017735334243	0.5862664847658027	0.4342428376534789	0.4828103683492497	0.519599818099136	0.5701682582992269	0.5182355616189177	0.45266030013642566	0.4724420190995907	0.5429740791268759	0.3383356070941337	0.4761255115961801	0.591587085038654	0.48094588449295134	0.2848567530695771	0.5702137335152342	0.48676671214188266	0.5913142337426103	0.5216916780354707	0.5052296498408367	0.46994088221919056	0.25966348340154616	0.5756252842201001	0.9593906321055025	0.6592542064574807	0.9380627557980901	0.37726239199636197	0.5648931332423829	0.528512960436562	0.5722146430195544	0.47562528422010003	0.45643474306502957	0.6477035015916326	0.5565711687130513	0.5271032287403365	0.3408822191905412	0.6050022737608004	0.9954070031832651	0.9746248294679399	0.3554342883128695	0.5315143246930423	0.7029104138244656	0.5387903592542065
G12MB17	0.4178717598908595	0.3748976807639836	0.48185538881309686	0.48640291041382444	0.5080945884492951	0.0	0.4278763074124602	0.5720327421555252	0.3726693951796271	0.5710777626193725	0.4459754433833561	0.4799909049567985	0.4482492041837199	0.4239654388358345	0.4035470668485675	0.4040472942246476	0.3806730331969077	0.44961346066393815	0.516962255570714	0.37562528422010005	0.4368349249658936	0.41887221464301955	0.49004092769440655	0.48030923146884946	0.5402455661664393	0.5211459754433834	0.4579354251932697	0.40904956798544795	0.4023647112323784	0.5513415188722146	0.4907230559345157	0.9638472032742156	0.5858117326057298	0.9392451114142792	0.502955889040473	0.42091859936334697	0.46271032287403363	0.49554342883128694	0.48794906775807184	0.4233742610277399	0.5635743519781719	0.485993633469759	0.50050022737608	0.4286493860845839	0.4568894952251023	0.9909049567985448	0.9686221009549796	0.5351523419736244	0.4671214188267394	0.6564802182810369	0.4859026830377444
G2MB14	0.45611641655297863	0.3938153706230105	0.502955889040473	0.5267394270122783	0.4783083219645293	0.4278763074124602	0.0	0.4850386539336062	0.37125966348340156	0.5698044565711687	0.3895861755343338	0.46953160527512505	0.42264665757162345	0.45279672578444746	0.39081400636653024	0.4671214188267394	0.46243747157799	0.44320145520691223	0.4984993178717599	0.4032287403365166	0.5305138699408822	0.4286493860845839	0.49308776716689406	0.48776716689404276	0.5254206457480673	0.5228285584356526	0.3163256025466121	0.43838108231014095	0.3339245111414279	0.4599363346975898	0.5055025011368804	0.9546157344247386	0.6127330604820372	0.9322419281491587	0.4601637107776262	0.44752160072760344	0.3932241928149159	0.5330604820372897	0.3824465666211915	0.4061391541609823	0.6321964529331514	0.5400636653024102	0.4308776716689404	0.41437016825829925	0.4827194179172351	0.9769895407003183	0.9701227830832196	0.4838108231014097	0.40900409276944066	0.6974988631195999	0.35929968167348797
G12MB7	0.4951341518872215	0.5501136880400181	0.556343792633015	0.6123692587539791	0.4713051386994088	0.5720327421555252	0.4850386539336062	0.0	0.5874033651659846	0.545793542519327	0.3601182355616189	0.4655297862664848	0.5100954979536153	0.5722601182355617	0.5658935879945429	0.546293769895407	0.51318781264211	0.517780809458845	0.39686221009549794	0.5413369713506139	0.5296043656207367	0.48517507958162803	0.45611641655297863	0.5615734424738518	0.45607094133697135	0.4838108231014097	0.55025011368804	0.610550250113688	0.49022282855843563	0.4870850386539336	0.5835834470213733	0.9664392905866303	0.626193724420191	0.9292405638926785	0.46634834015461574	0.5354706684856753	0.5831741700773079	0.6095952705775353	0.461118690313779	0.4910868576625739	0.6670304683947249	0.6590723055934515	0.5073215097771714	0.4263756252842201	0.559299681673488	0.9945884492951341	0.9606639381537062	0.48408367439745337	0.47371532514779446	0.7336971350613916	0.435743519781719
G2MB6	0.43542519326966805	0.3932241928149159	0.5450659390632105	0.5412460209185994	0.4839017735334243	0.3726693951796271	0.37125966348340156	0.5874033651659846	0.0	0.5990450204638472	0.5222828558435653	0.4935879945429741	0.42628467485220556	0.5044110959527057	0.37298772169167804	0.4208731241473397	0.4406548431105048	0.4508867667121419	0.505775352432924	0.3544793087767167	0.519599818099136	0.4315143246930423	0.48394724874943157	0.49763528876762164	0.5669849931787176	0.5882219190541155	0.341018644838563	0.40786721236925877	0.40959527057753525	0.5171896316507504	0.4929058663028649	0.9610732150977717	0.6515234197362437	0.9335152341973625	0.4897226011823556	0.42264665757162345	0.38649386084583903	0.4908594815825375	0.4395179627103229	0.45266030013642566	0.6100954979536153	0.4649840836743975	0.5231468849477034	0.4370168258299227	0.46120964074579357	0.9929968167348795	0.9509322419281492	0.5577535243292405	0.5011823556161892	0.6889949977262392	0.4593906321055025
URGMB11	0.5050477489768076	0.5439745338790359	0.5412005457025921	0.5802182810368349	0.5862664847658027	0.5710777626193725	0.5698044565711687	0.545793542519327	0.5990450204638472	0.0	0.573306048203729	0.42323783537971804	0.4066393815370623	0.5648021828103683	0.5631650750341064	0.5078672123692588	0.47594361073215097	0.37016825829922695	0.4505229649840837	0.5370168258299227	0.5250568440200091	0.5057298772169168	0.5969531605275125	0.42419281491587085	0.18485675306957708	0.49054115507048657	0.5819008640291041	0.5748522055479763	0.5175534333788085	0.6089131423374261	0.47539790814006366	0.9649386084583902	0.5635743519781719	0.9347885402455661	0.5218281036834925	0.5634379263301501	0.6077307867212369	0.5557526148249204	0.49308776716689406	0.5530695770804911	0.4202819463392451	0.6037289677125967	0.43383356070941337	0.5211914506593907	0.578763074124602	0.9956798544793087	0.9611641655297862	0.6085038653933607	0.4324238290131878	0.6610277398817644	0.483856298317417
