	G12MB13	G12MB10	G2MB7	G12MB2	AGMB6	G12MB17	G2MB14	G12MB7	G2MB6	URGMB11	G2MB12	URGMB13	URGMB12	G2MB9	G2MB11	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	URGMB3	FRCMB4	AGMB1	FRCMB1	AGMB5	G12MB5	G2MB4	G2MB8	G2MB2	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	FRCMB2	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
G12MB13	0.0	0.5087358684480987	0.5486338797814208	0.5497737556561086	0.531986531986532	0.48520084566596194	0.5590863952333665	0.5154761904761904	0.4989270386266094	0.5506402793946449	0.5054585152838428	0.5170842824601367	0.5064102564102564	0.5451680672268907	0.4844097995545657	0.5213581599123768	0.48322147651006714	0.4878587196467991	0.5239206534422404	0.49483471074380164	0.5060639470782801	0.5118534482758621	0.4903614457831325	0.5325248070562293	0.5142531356898518	0.5668571428571428	0.5369059656218402	0.5172413793103449	0.5112059765208111	0.5234285714285715	0.5107102593010147	0.8916256157635468	0.5702576112412178	0.7925170068027211	0.5399543378995434	0.5193877551020408	0.5515151515151515	0.5448648648648649	0.5269186712485682	0.504907306434024	0.5207373271889401	0.5415800415800416	0.5308641975308642	0.5015706806282723	0.5283975659229209	0.9383313180169287	0.856280193236715	0.5432639649507119	0.5319383259911894	0.6161971830985915	0.5005675368898979
G12MB10	0.5087358684480987	0.0	0.5351966873706004	0.5183982683982684	0.5159574468085106	0.49355797819623387	0.5009746588693957	0.5452562704471101	0.46487603305785125	0.5298013245033113	0.49742002063983487	0.5032327586206896	0.45151199165797706	0.5040650406504065	0.4963655244029076	0.5077881619937694	0.52	0.47594142259414224	0.5077262693156733	0.4921875	0.45278969957081544	0.5111561866125761	0.5061315496098104	0.49309245483528164	0.5181236673773987	0.5627009646302251	0.45829145728643217	0.4601226993865031	0.47216494845360824	0.5140086206896551	0.4794816414686825	0.8947368421052632	0.5657894736842105	0.7899159663865546	0.5119825708061002	0.4711729622266402	0.48957298907646474	0.5377551020408163	0.5188781014023732	0.4922440537745605	0.5305466237942122	0.494949494949495	0.5053533190578159	0.48804780876494025	0.4772277227722772	0.934878587196468	0.8498331479421579	0.5361570247933884	0.4909670563230606	0.5948945615982242	0.5225603357817419
G2MB7	0.5486338797814208	0.5351966873706004	0.0	0.5059952038369304	0.552901023890785	0.5232558139534884	0.5042283298097252	0.535671100362757	0.5530785562632696	0.5345454545454545	0.5270718232044199	0.5140845070422535	0.5307443365695793	0.48936170212765956	0.5112359550561798	0.5480662983425414	0.5414364640883977	0.5436681222707423	0.5472813238770685	0.5057833859095688	0.5028376844494892	0.481941309255079	0.5301932367149759	0.5433070866141733	0.5453501722158438	0.5430622009569378	0.5498458376156218	0.5518324607329843	0.511500547645126	0.5579793340987371	0.5314285714285715	0.8937259923175416	0.5279503105590062	0.8006993006993007	0.5679723502304147	0.5291060291060291	0.5835866261398176	0.5572687224669604	0.5875706214689266	0.5232300884955752	0.526564344746163	0.5936213991769548	0.5283236994219653	0.542319749216301	0.518324607329843	0.9540372670807453	0.8780788177339901	0.5717439293598234	0.5426966292134832	0.6327751196172249	0.5397727272727273
G12MB2	0.5497737556561086	0.5183982683982684	0.5059952038369304	0.0	0.5456702253855279	0.4972191323692992	0.5589473684210526	0.5581683168316832	0.5495594713656388	0.5480649188514357	0.4858823529411765	0.5176184690157959	0.5246636771300448	0.5159453302961275	0.5127906976744186	0.5064782096584217	0.5151515151515151	0.5363636363636364	0.5484662576687117	0.5465116279069767	0.5128504672897196	0.5453527435610303	0.5158428390367554	0.5425904317386231	0.5516014234875445	0.5512978986402967	0.5354077253218884	0.5193798449612403	0.4925373134328358	0.5189718482252142	0.5161676646706587	0.9020134228187919	0.5341055341055341	0.7968176254589964	0.5543478260869565	0.5167930660888408	0.5570971184631803	0.5471264367816092	0.5563549160671463	0.5149769585253456	0.5251533742331288	0.5656894679695983	0.5270108043217286	0.5208333333333334	0.4856194690265487	0.9372496662216289	0.869281045751634	0.5317647058823529	0.528235294117647	0.620125786163522	0.5197132616487455
AGMB6	0.531986531986532	0.5159574468085106	0.552901023890785	0.5456702253855279	0.0	0.5304162219850587	0.5573940020682523	0.5581113801452785	0.5192943770672547	0.5587878787878788	0.549171270718232	0.5166666666666667	0.5381263616557734	0.5459518599562363	0.5337078651685393	0.5211428571428571	0.5458612975391499	0.5416204217536071	0.5165644171779141	0.5436590436590436	0.5388076490438695	0.5145739910313901	0.4962311557788945	0.5544217687074829	0.5516840882694541	0.5755053507728894	0.5264830508474576	0.5359828141783028	0.47667804323094426	0.40516129032258064	0.5559360730593608	0.8938401048492791	0.5635018495684341	0.7828709288299156	0.5048899755501223	0.5206786850477201	0.5402542372881356	0.5634743875278396	0.542654028436019	0.4919724770642202	0.5637426900584795	0.5578158458244111	0.5413271245634459	0.5038084874863983	0.5362014690451207	0.9434447300771208	0.879245283018868	0.5288683602771362	0.5304948216340621	0.5997506234413965	0.5459770114942529
G12MB17	0.48520084566596194	0.49355797819623387	0.5232558139534884	0.4972191323692992	0.5304162219850587	0.0	0.48756218905472637	0.5506607929515418	0.5111561866125761	0.5302013422818792	0.4799154334038055	0.49340659340659343	0.48293691830403307	0.5117707267144319	0.4883720930232558	0.49042553191489363	0.5062893081761006	0.4868559411146162	0.5078299776286354	0.45546558704453444	0.46881720430107526	0.48643006263048016	0.4908675799086758	0.5278654048370137	0.521551724137931	0.5666305525460456	0.484	0.4862665310274669	0.4781704781704782	0.5318230852211435	0.5005393743257821	0.8976109215017065	0.5698447893569845	0.8100734522560336	0.529989094874591	0.49056603773584906	0.5206692913385826	0.5412371134020618	0.5367170626349892	0.47295864262990456	0.5309446254071661	0.5191146881287726	0.503800217155266	0.4909456740442656	0.48756218905472637	0.9418994413407821	0.8773480662983425	0.5457380457380457	0.51009564293305	0.6102449888641426	0.5337552742616034
G2MB14	0.5590863952333665	0.5009746588693957	0.5042283298097252	0.5589473684210526	0.5573940020682523	0.48756218905472637	0.0	0.5793397231096912	0.5095285857572718	0.5553145336225597	0.5218274111675127	0.5223404255319148	0.5120240480961924	0.5040650406504065	0.5209397344228804	0.5455465587044535	0.5409504550050556	0.5010288065843621	0.5617021276595745	0.4951267056530214	0.5285714285714286	0.48190279214064113	0.5513513513513514	0.5381443298969072	0.5550935550935551	0.5913865546218487	0.46138415245737213	0.5089108910891089	0.4954314720812183	0.55299055613851	0.5333333333333333	0.8959731543624161	0.6085106382978723	0.8074534161490683	0.5390374331550802	0.5140096618357488	0.5131964809384164	0.5539858728557013	0.5440084835630965	0.4922440537745605	0.5748440748440748	0.5477582846003899	0.5258711721224921	0.5190243902439025	0.5183044315992292	0.9522258414766558	0.8687089715536105	0.5584944048830112	0.5192909280500522	0.628385698808234	0.5333333333333333
G12MB7	0.5154761904761904	0.5452562704471101	0.535671100362757	0.5581683168316832	0.5581113801452785	0.5506607929515418	0.5793397231096912	0.0	0.5398633257403189	0.5482625482625483	0.525323910482921	0.5113065326633166	0.5309633027522935	0.57847533632287	0.5433255269320844	0.5390995260663507	0.5371900826446281	0.5154028436018957	0.5244215938303342	0.560687432867884	0.5244338498212158	0.5471264367816092	0.507227332457293	0.5355850422195416	0.5248756218905473	0.5329032258064517	0.5668103448275862	0.5533333333333333	0.5377574370709383	0.5529556650246306	0.5281173594132029	0.8846153846153846	0.5643693107932379	0.789272030651341	0.5493133583021224	0.5436681222707423	0.5777537796976242	0.5889781859931114	0.5369211514392991	0.5435540069686411	0.5539033457249071	0.5852585258525853	0.5320197044334976	0.5269058295964125	0.5388828039430449	0.9517906336088154	0.8844086021505376	0.561091340450771	0.5471923536439666	0.5952380952380952	0.5080545229244114
G2MB6	0.4989270386266094	0.46487603305785125	0.5530785562632696	0.5495594713656388	0.5192943770672547	0.5111561866125761	0.5095285857572718	0.5398633257403189	0.0	0.5634118967452301	0.5420560747663551	0.506145251396648	0.47876857749469215	0.5420944558521561	0.49730893433799783	0.5250266240681576	0.5170575692963753	0.48272138228941686	0.47058823529411764	0.5005025125628141	0.5069817400644469	0.5063291139240507	0.4918032786885246	0.5168295331161781	0.5182724252491694	0.5927947598253275	0.45625	0.48541666666666666	0.4819532908704883	0.5139977603583427	0.49667405764966743	0.8882282996432818	0.5887640449438202	0.806941431670282	0.5186020293122886	0.46961894953656025	0.4808686659772492	0.5245726495726496	0.524022346368715	0.4865446716899892	0.5537280701754386	0.5020833333333333	0.5311475409836065	0.4933196300102775	0.5005045408678103	0.9505747126436782	0.871264367816092	0.5463258785942492	0.5114254624591947	0.6045977011494252	0.5228758169934641
URGMB11	0.5506402793946449	0.5298013245033113	0.5345454545454545	0.5480649188514357	0.5587878787878788	0.5302013422818792	0.5553145336225597	0.5482625482625483	0.5634118967452301	0.0	0.5397196261682243	0.48333333333333334	0.5264976958525346	0.5448275862068965	0.5371024734982333	0.5449172576832151	0.5582750582750583	0.4891304347826087	0.517464424320828	0.5377049180327869	0.5268176400476758	0.5170387779083431	0.5215123859191656	0.5037037037037037	0.43799472295514513	0.535483870967742	0.5720430107526882	0.5294117647058824	0.5383734249713631	0.558968058968059	0.4956195244055069	0.8921985815602836	0.5423280423280423	0.7979669631512071	0.5463659147869674	0.5568797399783315	0.5844994617868676	0.549645390070922	0.5430711610486891	0.5356725146198831	0.49483204134366926	0.5859030837004405	0.5050251256281407	0.5502762430939226	0.5568797399783315	0.953103448275862	0.8688524590163934	0.5531660692951016	0.5140758873929009	0.6143790849673203	0.5287637698898409
