	G12MB13	G12MB10	G2MB7	G12MB2	AGMB6	G12MB17	G2MB14	G12MB7	G2MB6	URGMB11	G2MB12	URGMB13	URGMB12	G2MB9	G2MB11	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	URGMB3	FRCMB4	AGMB1	FRCMB1	AGMB5	G12MB5	G2MB4	G2MB8	G2MB2	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	FRCMB2	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
G12MB13	0.0	0.43568239081895865	0.47927111720358107	0.4748570253631213	0.4360585257318472	0.39908847451815493	0.4782894097934348	0.4371722408624327	0.3998198380034506	0.44204178951659995	0.3881209588790176	0.4250560360542178	0.4101042337910856	0.45915361798013105	0.4034152257326885	0.41865394443171633	0.3933365362983114	0.4083334180716782	0.43232453826831924	0.42373494727068867	0.44034807783212593	0.4311200883368213	0.4036667473190398	0.43019439577904645	0.4371420231531849	0.4884757550967016	0.455275506794406	0.4317705082944292	0.4229536438947328	0.4257929747768063	0.39915987732166736	0.7476944998581894	0.44846230039563906	0.6460775337820807	0.4300512105676878	0.4293080502168449	0.45578834396936607	0.44421177815949553	0.42233521762760196	0.4213644052527933	0.43079172438200763	0.4344873085712719	0.43356171618655054	0.40750757820972194	0.43892688811640174	0.8034134824201989	0.7131322425965669	0.4364256103391761	0.44689416927816994	0.4750344139206484	0.4267590023204283
G12MB10	0.43568239081895865	0.0	0.44510844345627076	0.4054627526538344	0.3908663238031082	0.39994672802638453	0.3897258524290765	0.4557684958745002	0.3844283407644275	0.41815337116373924	0.4010740698507797	0.406689482257141	0.3614957956338666	0.40755991474487185	0.39302133674252215	0.4007950962858385	0.42072381214886406	0.38485967349535327	0.41622330651732975	0.38775053852871766	0.3567625093363084	0.42910686042600277	0.4098649063951902	0.4022489407664668	0.41400293506398034	0.4531816003501091	0.3645262373974294	0.37647331056280525	0.38678373443684844	0.3908574693239634	0.3933014171450448	0.746815214683821	0.4385883525611269	0.6321786801576145	0.40665535199959807	0.36931747100055856	0.38716625683257	0.41888235762073867	0.40790639585086175	0.38372579463637096	0.41352146909625476	0.38448762388076774	0.4011864787371244	0.36976837550788744	0.3893091805274595	0.790464462075048	0.7005272532214547	0.40277847004253226	0.3841447043994037	0.4336492477884838	0.44176780950726774
G2MB7	0.47927111720358107	0.44510844345627076	0.0	0.4256146263378952	0.4575953882937979	0.4391605290360571	0.3710876171972182	0.4364439834267822	0.4434322671522305	0.4139197896152291	0.44359393686399373	0.41612501992679163	0.43441492716614594	0.38483663010712743	0.42201415223676864	0.4697514160453622	0.43548404891607567	0.4418385142391714	0.46240725018542106	0.40953993761242263	0.4317776599706004	0.3990679364615243	0.46272079107422115	0.43749633592891707	0.43374042433173826	0.45148396655848266	0.42548077852223276	0.45114847694795945	0.4335970195788278	0.4553626985457279	0.44213216754350076	0.752356556983619	0.4430298010078242	0.654827029782147	0.4568551988821546	0.4265811552167193	0.47562383419317367	0.44169303621188066	0.48191984007147326	0.42734772891087097	0.4189645123053836	0.49289344428916343	0.44398673452125687	0.4505918266519083	0.42437705637434375	0.8171243235220036	0.7207677392761862	0.4542357676051467	0.43714275856910045	0.4808952786994411	0.44376352014378756
G12MB2	0.4748570253631213	0.4054627526538344	0.4256146263378952	0.0	0.44106453774660476	0.42922493432205455	0.4517075068172367	0.45631913805277385	0.437822273884492	0.426706032929335	0.38757137973913275	0.43791781807810704	0.4355305711768865	0.4391655892196768	0.40417400268616505	0.42890232711767307	0.43197630312227	0.4372496274972622	0.4564322978007284	0.4545854486156861	0.4375726626095196	0.4809505924191284	0.41287716526632917	0.44881653743851313	0.45079018609188226	0.45182937177400945	0.42531645352314934	0.4268591345342103	0.40713586252317524	0.41899953019573233	0.4287690606626689	0.7240074040120127	0.4424907427472762	0.6301108077079407	0.4408465056517249	0.40882710337489947	0.4400278483122437	0.446183125020896	0.45125237814812913	0.4129672404791142	0.42222018526712474	0.4558538237058688	0.43939809003685293	0.4365119277109266	0.3836646133941701	0.7673295482661586	0.7174213271611873	0.4242655149436624	0.40836698746589234	0.46461919190428536	0.4056129708492005
AGMB6	0.4360585257318472	0.3908663238031082	0.4575953882937979	0.44106453774660476	0.0	0.4420141862083932	0.4544757620109153	0.45220895650599796	0.4024207968820416	0.42669156981656337	0.42570233992993467	0.4144178637655076	0.44105424413381006	0.46445584182784927	0.4264871700809775	0.41023894902425356	0.4574087036706551	0.44340994818500307	0.44041564095227015	0.42849961212791005	0.4496261000539013	0.4354634756752672	0.4167220886019482	0.4480771378194608	0.44575908764426947	0.45159443815076034	0.4196782504661624	0.4423680439989606	0.37543674558326995	0.30321805162956544	0.4577779383126319	0.7372664316729303	0.44971493353913083	0.6231753479099489	0.39690906062977316	0.4197988339719545	0.428316995301506	0.44670495957996187	0.4354890884955937	0.4076128720396461	0.4520798252797778	0.43314161922515887	0.4459248128724433	0.4046975463900552	0.429952079047215	0.797699221019318	0.7231031851920035	0.40817308753582077	0.4306524525170157	0.43960990499005037	0.45255780937816353
G12MB17	0.39908847451815493	0.39994672802638453	0.4391605290360571	0.42922493432205455	0.4420141862083932	0.0	0.38928070336981907	0.48406908518673836	0.4225041760609189	0.413781869104447	0.3937685433640379	0.3892303816009102	0.38948871178490985	0.413292941154127	0.4180447358169482	0.40615469194884213	0.41639377048743464	0.395568680380016	0.4156795819583788	0.3713928259219639	0.37501877490272667	0.40879806734365076	0.40974106683877887	0.43098315339918497	0.4185397137691732	0.468927825090519	0.39974787043182636	0.4127848366058389	0.4140157739592499	0.43208074665422985	0.40929288578737894	0.7651036010005333	0.47694690008394036	0.6616599499359564	0.44341743525848043	0.4089677943407898	0.42543370492266874	0.42819814239951604	0.420537919010021	0.38841592894178456	0.4471406073133347	0.4137182990829913	0.40354390143984065	0.4205189390231416	0.40151822782213553	0.8077007214194788	0.741363604975412	0.4478593605339861	0.40511560049221035	0.4759756564654815	0.4486692967137236
G2MB14	0.4782894097934348	0.3897258524290765	0.3710876171972182	0.4517075068172367	0.4544757620109153	0.38928070336981907	0.0	0.4826126868281433	0.4073383654085366	0.44519394630891246	0.43309813575755934	0.41449595045922644	0.41190587090460046	0.36551876406782347	0.40447260847160266	0.4594128588557514	0.43020242169807943	0.40878437155622965	0.46107873087749	0.3799251188784205	0.43138523089115044	0.37981344360181923	0.46120614138012633	0.44650398225590315	0.4484934353594377	0.4812116640887191	0.3370534738789519	0.4166150578894367	0.403434285267787	0.4417234095692061	0.4346551421837079	0.7542797077885481	0.48203411086387243	0.6494115163962253	0.4405891659881529	0.40954511531498566	0.41628610956105083	0.42732137835587486	0.4381077155548302	0.40469730849319374	0.44596076181485067	0.4479919722951866	0.4261617989642612	0.41653307178124643	0.4169919796108995	0.8114758851979194	0.7126706663673773	0.44653902322689026	0.42611389784147014	0.47632038085697864	0.43569469714424636
G12MB7	0.4371722408624327	0.4557684958745002	0.4364439834267822	0.45631913805277385	0.45220895650599796	0.48406908518673836	0.4826126868281433	0.0	0.4302136619351771	0.4559412490826181	0.42007705933845574	0.4156918344271075	0.42872963987326584	0.47847052060453066	0.44935000416832543	0.4515282756178702	0.4369984036789534	0.4243885711945295	0.4168746533563884	0.4724101007163028	0.4444829295133645	0.4775536947367719	0.4223915463867503	0.42022462156642826	0.447057133736943	0.43520446174550925	0.4497076332154941	0.45013811598587233	0.4447722960428262	0.44030678183310695	0.4259397956458991	0.7046985112311736	0.45247276733539066	0.6225033232830471	0.4216895166160539	0.4462841289743127	0.4671679043987149	0.4663770950933278	0.4494907162183749	0.4378113445974635	0.4434192696929601	0.4579956467866629	0.42920145455356856	0.4197004217696605	0.43376768963603046	0.7915095195940149	0.706652077079049	0.45196753665405415	0.4522271027129856	0.4566127938132866	0.42075959609395125
G2MB6	0.3998198380034506	0.3844283407644275	0.4434322671522305	0.437822273884492	0.4024207968820416	0.4225041760609189	0.4073383654085366	0.4302136619351771	0.0	0.44301865721670125	0.39529042979522605	0.3901329399738832	0.3708527280350198	0.43299786568821086	0.39198183215266763	0.42171529612603054	0.41161124659059123	0.36655483837553876	0.39059276205733495	0.40558672199981644	0.4029529335896694	0.4119551760195832	0.41496114791256355	0.395790948571572	0.4246818066853793	0.4826873570882992	0.36081575962880336	0.37223773725305165	0.38851474489465554	0.39545115138085474	0.38516153390128555	0.740200287075496	0.46396952856734175	0.6456155091879874	0.3950665672295398	0.3619272213055788	0.3751734611543813	0.40765994147758594	0.4069455279036148	0.3673115534227079	0.43953035246876393	0.39710197077354653	0.4277526597570852	0.38095439856494806	0.4035455699635705	0.8107757866584314	0.7223870950236003	0.41823070522478184	0.39120708577257124	0.45448014951263455	0.39997016340492136
URGMB11	0.44204178951659995	0.41815337116373924	0.4139197896152291	0.426706032929335	0.42669156981656337	0.413781869104447	0.44519394630891246	0.4559412490826181	0.44301865721670125	0.0	0.4198376029684467	0.370530441020019	0.41712391674030475	0.4407921178895923	0.42104594505856013	0.4174730228377649	0.4438732802112724	0.3864204186134626	0.4240206039445733	0.41119574019824967	0.43437016048364807	0.4083815374607018	0.4258506350762924	0.38492515927205434	0.3378688885016928	0.4363479854639344	0.4498892248551446	0.41651890446631223	0.4378967308784374	0.4338468068402169	0.40049598801640585	0.72976614104347	0.4278462612255392	0.6217245745116959	0.4259830438332615	0.4445534762413805	0.4508884680200276	0.4287766943608778	0.42426526896645667	0.41979312227993965	0.39337427989805096	0.46485784083821413	0.3889050042447933	0.44523670257603076	0.44317609968081867	0.7989648070463554	0.7149155968326912	0.42872218776784116	0.3821262586349059	0.4477346298583188	0.42638597940592476
G2MB12	0.3881209588790176	0.4010740698507797	0.44359393686399373	0.38757137973913275	0.42570233992993467	0.3937685433640379	0.43309813575755934	0.42007705933845574	0.39529042979522605	0.4198376029684467	0.0	0.3836715734713372	0.38532138647729025	0.40386385013892595	0.3753239892424922	0.41206390582588975	0.39228392149813335	0.3944699164017194	0.43877114292936886	0.4072213938670725	0.4073077568175458	0.4449005018874013	0.4211541006205435	0.406495008682484	0.4146174694169167	0.4469567161219897	0.4246195854930835	0.39541724477367024	0.3750764433259578	0.3884071567205445	0.3908605718433269	0.7336006984608539	0.431495197677517	0.6364543911674879	0.3986123628600156	0.4144347131631962	0.4133941857288432	0.43720933684991375	0.4174869107342779	0.3869512431947692	0.4271464545718322	0.4488239388955996	0.4008971828786542	0.3998905988618628	0.4186690669821972	0.7943777292814158	0.7287333773817429	0.41377395404657574	0.39014909459385133	0.45481133201744933	0.40066161726789923
URGMB13	0.4250560360542178	0.406689482257141	0.41612501992679163	0.43791781807810704	0.4144178637655076	0.3892303816009102	0.41449595045922644	0.4156918344271075	0.3901329399738832	0.370530441020019	0.3836715734713372	0.0	0.36265003844418975	0.39875719929095543	0.40004972557853286	0.37762890871483695	0.4170505629506779	0.3459213539121571	0.3985457342489041	0.38905924766271616	0.4046515253101635	0.4152886759076312	0.4204421853572904	0.37434523430199135	0.38387433003444704	0.4620570726185198	0.39516535389732493	0.3855097539369991	0.4058037180238577	0.39619057692458653	0.3675745022453586	0.7257206673926303	0.4371738882036808	0.6258491472994653	0.39305262804026303	0.3912449106409654	0.40261632350275556	0.3875550976054025	0.4327989620260958	0.3738584154558229	0.3939444167976179	0.4232183658333263	0.3668568209151885	0.40970251140135105	0.3934927676259412	0.8095891405364879	0.7220613822289741	0.4131889593087583	0.36498210661009195	0.45514484883121925	0.39451652435268475
