	G12MB13	G12MB10	G2MB7	G12MB2	AGMB6	G12MB17	G2MB14	G12MB7	G2MB6	URGMB11	G2MB12	URGMB13	URGMB12	G2MB9	G2MB11	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	URGMB3	FRCMB4	AGMB1	FRCMB1	AGMB5	G12MB5	G2MB4	G2MB8	G2MB2	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	FRCMB2	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
G12MB13	0.0	0.14680155480006132	0.19665305901835856	0.24507521407872424	0.15836307081879775	0.17405875826838696	0.15366229257742248	0.13596352701914027	0.16001288084484203	0.18223008997157839	0.12024531920384712	0.1305029232435738	0.17767130021199143	0.2226385218371235	0.14849102459071264	0.1426234393489555	0.12029604940343737	0.16723575238350732	0.15929175743514246	0.12010772209720505	0.16239926120418377	0.1216159298479616	0.16794103631397703	0.16579637271240835	0.145749471206325	0.162384667439868	0.167408014015102	0.15321421498937288	0.12773875760884257	0.16117097436320113	0.168128974289821	0.45098095967041446	0.21595075051175097	0.39365933194571223	0.19095341170245617	0.1549277585473336	0.15699335905552336	0.1736182331852992	0.18667631271549104	0.15092814539405708	0.2517688874095563	0.1569553528067121	0.15186593097885695	0.1468132023112653	0.18702022975017976	0.5168978304919868	0.5951713316983857	0.18370160538338942	0.1466047635837074	0.2617128652594922	0.13344648128517156
G12MB10	0.14680155480006132	0.0	0.2037681681815454	0.28004954469679266	0.17109224445661073	0.1312641837286315	0.13530791557803157	0.144560421514299	0.11515020838089901	0.18057244855316698	0.13278903780652165	0.1209051855904704	0.13333634190007895	0.21179393272411978	0.12463458673131596	0.10972330256297097	0.12764932769743248	0.14104659116659754	0.1340801606563775	0.09435986362182025	0.17481679148976795	0.10278478626163612	0.18219100588706713	0.16750092143404485	0.14023559784977052	0.20235958998102815	0.13457413001798563	0.10820623649487628	0.11587285903834035	0.16865415730826594	0.15249394328185187	0.4517325854944585	0.2044685388903529	0.38684541709132286	0.1502904935343234	0.15371877311887683	0.13812283567358735	0.1793986082923549	0.18493300860642756	0.13373597320742817	0.21750697051835946	0.13571807087925442	0.14011536490494267	0.1520647178442712	0.1712173844067987	0.48877813477460347	0.5952928037983471	0.2002948356020649	0.12643901422131265	0.2717829328293547	0.1541803642455698
G2MB7	0.19665305901835856	0.2037681681815454	0.0	0.1696778211730501	0.25845190692782233	0.2300359773835588	0.2312882655137652	0.2272400557118617	0.24867418534067462	0.20862042267311318	0.20546980344128388	0.20671208769877117	0.26218933950281337	0.22786446966725962	0.17220826166296233	0.2206827721695617	0.1604555479810059	0.24411563156724742	0.22671149034018467	0.18607484654233358	0.1332737641690416	0.1831266122604958	0.28074184603317204	0.22129100234803045	0.2266952361332954	0.18009865832271013	0.2638278278418063	0.2271030438779598	0.17428871511737573	0.25555530663305853	0.21609962021165263	0.4720703739490965	0.198270914559173	0.42215104555066213	0.26092288345645454	0.18321520569156888	0.24538470360255166	0.22067107562583785	0.2744864659471217	0.22799024394449352	0.24799131700367247	0.2712060615677416	0.21705380205889985	0.18637914214395881	0.16831063563259263	0.548145773227904	0.6280958374399178	0.2757489854903163	0.2140359589674657	0.2708703049969161	0.19393329290972994
G12MB2	0.24507521407872424	0.28004954469679266	0.1696778211730501	0.0	0.2971834234673942	0.28817024338062114	0.2886332955547793	0.29536717496620396	0.3009315591374937	0.2764316800404421	0.2582731708861985	0.2611774925128469	0.32104552830620375	0.2751506365726895	0.23442377281914978	0.28278798499325347	0.2258251746091889	0.3024929308802053	0.2965927668900602	0.24637316989104308	0.21182114605380312	0.25888684461519385	0.3265682430800621	0.25986205057853784	0.29010773771053483	0.2410488961693771	0.32572876059961614	0.24319461136114237	0.22325074655090163	0.2827380418611933	0.24451862477825798	0.5472357377321038	0.26634376092228806	0.5037627804722573	0.3247394314449374	0.241748626758729	0.3082586859216102	0.251403548980195	0.32667443920405026	0.23286353585459085	0.31234000233145154	0.33004105984148774	0.24080716405795605	0.2397324613879783	0.23039003661515137	0.6069571261400828	0.6716243889793637	0.29033175618998	0.2612039093913737	0.33858361428224226	0.2513771759582693
AGMB6	0.15836307081879775	0.17109224445661073	0.25845190692782233	0.2971834234673942	0.0	0.1809145072666058	0.14023595600316796	0.15090288324509804	0.1643714475866198	0.21872684228003103	0.14112520394874942	0.15263437864780863	0.1851183653526465	0.2436243017875294	0.18861941235959542	0.1312042861838687	0.17233159946055432	0.18582043917403418	0.1024881156519655	0.17001645820717567	0.23256586541883148	0.17150087151759086	0.08154654120991973	0.2083370723047771	0.15680820522291525	0.2102103692410192	0.17419466905286785	0.18047055370244958	0.15147493707688803	0.09958020677035048	0.2112448526791808	0.48958966133906856	0.2555398049648509	0.43403888038181637	0.13238949167415773	0.21358593722609354	0.1745303880183779	0.217047879673459	0.1732600359886318	0.16340538716247272	0.2923203501188595	0.19195582603752723	0.18744450063075244	0.12218408544855025	0.2422651842058007	0.49211384611396575	0.5896634992426766	0.1342142629917893	0.18178245096875398	0.3022014475719904	0.1790051307996816
G12MB17	0.17405875826838696	0.1312641837286315	0.2300359773835588	0.28817024338062114	0.1809145072666058	0.0	0.16379543798125942	0.19002846786720926	0.14717913132068455	0.23010254969988017	0.1597544756781341	0.168860617162612	0.19404925678789187	0.20800307144125196	0.15712833753769273	0.12666918145157277	0.15262263479377208	0.19104405735709518	0.17071831164292875	0.13930637654601974	0.18973639598138756	0.16010394307062928	0.18480714567180395	0.2110644842464896	0.18380679947203957	0.20716258245456465	0.19819225912304278	0.1603853287652091	0.15544769312024798	0.20818017720805204	0.20675822454000206	0.5075787464549834	0.24627725226963823	0.4547738864075843	0.18611211774367917	0.1947520310505633	0.18949303207782126	0.20841931329619354	0.19848577634988548	0.15782076253659158	0.237671659231262	0.1930889702842359	0.21205952683839377	0.15893972382715238	0.20727577836717379	0.48313510309356317	0.6170534902086152	0.21598018790479992	0.19111871410696263	0.2963823901194494	0.19173171148199028
G2MB14	0.15366229257742248	0.13530791557803157	0.2312882655137652	0.2886332955547793	0.14023595600316796	0.16379543798125942	0.0	0.13669463725086606	0.12517953790632813	0.2196861932318383	0.11945552543545833	0.13089665174108628	0.14519453307813898	0.22357620834222763	0.15992753268832113	0.1276723830675804	0.1793975006250799	0.1571686922556315	0.14311135764309318	0.14862432391662142	0.22326957106739245	0.14651596250271323	0.150740707466488	0.17971533165775036	0.1647618845141567	0.19036090616343232	0.10337631463104693	0.15064317804264765	0.12028670994960311	0.12253584339777841	0.18991830076915006	0.4703385675744844	0.2434817679193727	0.41781598582832435	0.12593112278853616	0.19035471600904777	0.11118646017108033	0.21493708775656373	0.14456514760128208	0.12922122757617674	0.2852204377072894	0.16107676052910297	0.1598811176352738	0.13875955278720253	0.2191583713420849	0.4790791744956998	0.5979191986987811	0.1427842870790595	0.1394050152523687	0.28172028816500144	0.13262870077544167
G12MB7	0.13596352701914027	0.144560421514299	0.2272400557118617	0.29536717496620396	0.15090288324509804	0.19002846786720926	0.13669463725086606	0.0	0.18313645615716642	0.18353741676470603	0.08204488170156693	0.12472346976269975	0.16545644794879205	0.23388837244638644	0.18605763770882444	0.144525670309611	0.1495340865397212	0.17008934931508385	0.12910795999761254	0.15864009781763885	0.1932936513031328	0.1385171140268002	0.14962911346064567	0.19185949667377336	0.1356295219046599	0.17077043985153473	0.1459394619758047	0.17612262525820263	0.13594196636314032	0.15289954645289908	0.1935516698925961	0.4365069778643764	0.22489058480722482	0.38189650251300494	0.15729349255866817	0.18947488175480964	0.1445225932505926	0.20280839039759452	0.1670024169837125	0.1473528203007212	0.2710032719204828	0.17801492351380924	0.1543306504112602	0.14606851622428704	0.21780673627941402	0.48623740562349377	0.5929887687673957	0.1700465994625796	0.14547105462767543	0.2775100019832449	0.13547822290149197
G2MB6	0.16001288084484203	0.11515020838089901	0.24867418534067462	0.3009315591374937	0.1643714475866198	0.14717913132068455	0.12517953790632813	0.18313645615716642	0.0	0.23408644331398604	0.16596221378393738	0.16115567307601913	0.15156458498552025	0.22828622011070301	0.1349215288820316	0.10636609921816945	0.15734974069993718	0.16911983371576872	0.16356603884770057	0.10935220100658147	0.22027189013470883	0.13063350225441453	0.17643100210189053	0.20686190098705898	0.18822673122855235	0.23317738812205674	0.12063292231650166	0.12618063862386622	0.13987986947376574	0.15628455285620477	0.19460723754795173	0.5016895944670793	0.2572099150764348	0.43510430157134816	0.147014712802916	0.1844222084332729	0.14221803819040257	0.18834651204397923	0.1827048174942715	0.13641912562363934	0.2441265695645664	0.1638941548822702	0.19682577873707952	0.15648434481570717	0.19996360817538897	0.4963699531054519	0.5822211669167708	0.18348922918806534	0.1729397072928596	0.30241052001400437	0.18428469978384415
URGMB11	0.18223008997157839	0.18057244855316698	0.20862042267311318	0.2764316800404421	0.21872684228003103	0.23010254969988017	0.2196861932318383	0.18353741676470603	0.23408644331398604	0.0	0.19055532632613958	0.15085672740788697	0.1558447013133997	0.21309424560585757	0.21990088802885263	0.20221047326645264	0.1533898094334995	0.1305183940159189	0.17370105034139505	0.20351770652259843	0.18683920791588984	0.17187435533663853	0.24201554533937752	0.13590652417323348	0.07602798220705691	0.16146959882795	0.20868800294135828	0.20992562919527805	0.189814290879313	0.23049211115373017	0.1565863581883748	0.4289531036496563	0.20088808550228127	0.359319625127761	0.19379555505066354	0.19436153193605085	0.21960490777172592	0.19715101153763454	0.19143010787664466	0.22433758322750497	0.17220397303010435	0.19459219274719108	0.1678290402539984	0.17915902070864842	0.21345141027928058	0.5237037581114845	0.6176900781408161	0.255906467516152	0.1596581866239153	0.21443597740243503	0.15522274223644786
