sampleid	Oesophagostumum	Necator	Strongyloides	Trichuris	Trichostrongylus	Mammonogamous	Ascaris	Physaloptera	Fasciola	Digenean trematode eggs	all_parasites_ct	all_parasites_presence	all_parasites_semiquant	SpeciesCommonName	SpeciesScientificName	CaptivityIndex	CaptiveWild	Population	Sex	Age	AgeClass	CollectionCondition
LFG_AM (LFM)	0	0	0	0	0	0	0	0	0	0	0	negative	none	red-shanked-douc	Pygathrix nemaeus	0	Wild	Long face group	Male	Unknown	Adult	Natural Environment
LSG_AFO	0	0	0	24.3333333333333	0	0	0	0	0	0	24.3333333333333	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	Left Scar Group	Female	Unknown	Adult	Natural Environment
LSG_AFY	0	0	0	27.5	0	0	0	0	0	0	27.5	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	Left Scar Group	Female	Unknown	Adult	Natural Environment
LSG_AM (LSM)	0	0	0	48	0	0	0	0	0	0	48	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	Left Scar Group	Male	Unknown	Adult	Natural Environment
LSG_Unknown	0	0	0	88	0	0	0	0	0	0	88	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	Left Scar Group	Female	Unknown	Adult	Natural Environment
RSG_AM (RSM)	0	0	0	8	0	0	0.25	0	0	0	8.25	positive	low	red-shanked-douc	Pygathrix nemaeus	0	Wild	Right Scar Group	Male	Unknown	Adult	Natural Environment
RSG_AM_2	0	0	0	1	0	0	0	0	0	0	1	positive	low	red-shanked-douc	Pygathrix nemaeus	0	Wild	Right Scar Group	Male	Unknown	Adult	Natural Environment
RSG_SubAM_1	0	0	0	19	0	0	0	0	0	0	19	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	Right Scar Group	Male	Unknown	Subadult	Natural Environment
UNKG_Unknown_1	0	0	0	31	0	0	0	0	0	0	31	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Male	Unknown	Adult	Natural Environment
UNKG_Unknown_10	0	0	0	34	0	0	0	0	0	0	34	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Unknown	Unknown	Unknown	Natural Environment
UNKG_Unknown_11	0	0	0	49	0	0	0	0	0	0	49	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Unknown	Unknown	Unknown	Natural Environment
UNKG_Unknown_12	0	0	0	3	0	0	0	0	0	0	3	positive	low	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Unknown	Unknown	Adult	Natural Environment
UNKG_Unknown_13	0	0	0	14	0	0	0	0	0	0	14	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Unknown	Unknown	Unknown	Natural Environment
UNKG_Unknown_14	0	0	0	17	0	0	0	0	0	0	17	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Unknown	Unknown	Unknown	Natural Environment
UNKG_Unknown_15	0	0	0	37	0	0	0	0	0	0	37	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Unknown	Unknown	Adult	Natural Environment
UNKG_Unknown_16	0	0	0	29	0	0	0	0	0	0	29	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Unknown	Unknown	Unknown	Natural Environment
UNKG_Unknown_17	0	0	0	36	0	0	0	0	0	0	36	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Unknown	Unknown	Unknown	Natural Environment
UNKG_Unknown_18	0	0	0	44	0	0	0	0	0	0	44	positive	high	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Female	Unknown	Adult	Natural Environment
UNKG_Unknown_19	0	0	0	7	0	0	0	0	0	0	7	positive	low	red-shanked-douc	Pygathrix nemaeus	0	Wild	UNKG	Male	Unknown	Adult	Natural Environment
