#OTU ID	UNKGMB37.S143.L001.001	UNKGMB10.S83.L001.001	UNKGMB19.S92.L001.001	UNKGMB7.S80.L001.001	UNKGMB6.S79.L001.001	UNKGMB38.S152.L001.001	LSGMB16.S61.L001.001	UNKGMB5.S78.L001.001	UNKGMB24.S97.L001.001	UNKGMB26.S115.L001.001	LSGMB10.S55.L001.001	UNKGMB28.S133.L001.001	RSGMB3.S68.L001.001	LFGMB1.S73.L001.001	RSGMB4.S69.L001.001	UNKGMB36.S134.L001.001	RSGMB5.S70.L001.001	UNKGMB12.S85.L001.001	G12MB13.S111.L001.001	UNKGMB25.S106.L001.001	RSGMB6.S71.L001.001	G12MB10.S164.L001.001	UNKGMB30.S151.L001.001	UNKGMB14.S87.L001.001	UNKGMB13.S86.L001.001	G2MB7.S144.L001.001	UNKGMB8.S81.L001.001	G12MB2.S163.L001.001	AGMB6.S121.L001.001	UNKGMB21.S94.L001.001	G12MB17.S138.L001.001	G2MB14.S136.L001.001	LSGMB14.S59.L001.001	G12MB7.S137.L001.001	LSGMB11.S56.L001.001	UNKGMB34.S116.L001.001	UNKGMB20.S93.L001.001	G2MB6.S135.L001.001	RSGMB7.S72.L001.001	LSGMB15.S60.L001.001	UNKGMB27.S124.L001.001	UNKGMB29.S142.L001.001	RSGMB1.S66.L001.001	URGMB11.S132.L001.001	G2MB12.S118.L001.001	LSGMB13.S58.L001.001	URGMB13.S150.L001.001	URGMB12.S141.L001.001	LSGMB20.S65.L001.001	UNKGMB33.S107.L001.001	LSGMB1.S46.L001.001	LSGMB17.S62.L001.001	G2MB9.S162.L001.001	G2MB11.S109.L001.001	G12MB14.S120.L001.001	URGMB2.S122.L001.001	G2MB3.S108.L001.001	URGMB5.S149.L001.001	G12MB3.S101.L001.001	G2MB13.S127.L001.001	G12MB11.S102.L001.001	G2MB10.S100.L001.001	G12MB4.S110.L001.001	URGMB4.S140.L001.001	URGMB6.S158.L001.001	G12MB1.S154.L001.001	G2MB15.S145.L001.001	URGMB14.S159.L001.001	AGMB2.S156.L001.001	AGMB7.S130.L001.001	UNKGMB35.S125.L001.001	URGMB3.S131.L001.001	LSGMB19.S64.L001.001	FRCMB4.S166.L001.001	AGMB1.S147.L001.001	FRCMB1.S139.L001.001	UNKGMB18.S91.L001.001	UNKGMB23.S96.L001.001	UNKGMB17.S90.L001.001	AGMB5.S112.L001.001	UNKGMB22.S95.L001.001	UNKGMB4.S77.L001.001	UNKGMB15.S88.L001.001	G12MB5.S119.L001.001	G12MB16.S129.L001.001	G2MB4.S117.L001.001	UNKGMB9.S82.L001.001	G2MB8.S153.L001.001	G2MB2.S99.L001.001	UNKGMB11.S84.L001.001	URGMB8.S105.L001.001	URGMB7.S167.L001.001	G12MB9.S155.L001.001	URGMB9.S114.L001.001	AGMB3.S165.L001.001	G12MB6.S128.L001.001	G12MB8.S146.L001.001	FRCMB2.S148.L001.001	URGMB10.S123.L001.001	FRCMB3.S157.L001.001	AGMB4.S103.L001.001	URGMB1.S113.L001.001	FRCMB5.S104.L001.001	G2MB1.S161.L001.001
347043	736	235	67	111	219	56	213	672	338	280	86	742	207	108	227	225	82	141	377	362	131	278	293	42	108	97	92	197	451	165	152	216	116	726	772	219	144	154	103	170	154	192	83	177	651	204	330	154	119	160	151	177	120	222	40	246	309	140	578	382	115	351	794	127	453	206	159	177	220	370	259	86	45	4	53	38	343	96	172	288	114	97	132	143	124	222	97	52	354	158	317	42	114	322	520	78	141	1	35	0	427	301	43	196
313601	76	43	58	63	75	46	67	63	40	46	20	47	99	165	37	60	23	27	0	78	19	0	84	20	22	0	39	0	0	134	0	0	75	0	66	59	63	0	35	70	60	58	94	0	0	79	0	0	35	71	57	46	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	103	0	48	0	0	0	64	36	65	1	92	55	47	0	0	0	41	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302300	41	23	53	51	63	78	39	31	53	41	53	12	18	93	37	24	31	66	0	6	85	1	41	58	78	0	55	0	0	22	0	2	24	0	4	72	8	1	150	27	67	50	75	0	0	38	1	1	74	52	79	36	0	0	2	1	0	1	1	2	1	1	2	0	0	0	3	0	2	2	37	1	101	0	1	0	57	11	54	1	51	101	44	0	0	4	69	0	0	37	3	0	0	0	3	0	0	0	2	0	1	1	0	0
291211	7742	1879	2862	3131	3482	1801	8005	2019	4414	4292	4155	7256	6779	7716	4738	4261	2316	5232	3	8538	1754	4	3531	1568	3568	1	2467	1	2	5345	1	0	5637	4	8556	5190	3904	2	1668	7091	7543	5551	2857	2	4	3332	3	1	3732	5463	2601	7857	3	1	1	0	2	2	2	2	2	0	1	3	5	2	3	2	2	2	4557	1	2798	3	0	1	4546	3712	4132	1	3345	2818	4182	3	4	1	3535	3	2	4001	4	1	0	6	2	2	2	1	0	1	1	4	0	1
290338	25	2831	213	811	1601	1530	549	0	2	0	35	185	0	416	0	94	1	523	290	276	0	50	312	0	365	43	1728	391	204	579	0	34	549	96	11	295	339	37	0	471	201	148	825	13	146	950	153	54	314	427	1569	454	25	37	3	7	326	64	170	33	106	98	208	56	18	15	43	307	49	139	542	59	1200	0	2	0	17	0	394	7	247	0	771	18	2	6	399	96	8	682	23	8	19	208	56	19	8	1	0	1	12	169	0	26
192963	421	1	1543	680	1491	5107	1	6	8	0	107	0	32	1914	1081	282	2440	19	2	0	17	0	217	334	6	2	70	1	1	7	0	0	1	2	24	1	0	1	2633	0	2	4566	3432	2	1	1	1	0	6	0	823	1	1	1	0	1	0	1	0	1	0	0	0	2	1	2	1	0	0	1	41	1	2748	1	0	1	0	0	0	1	0	319	1752	1	2	1	566	0	0	672	2	1	1	1	0	1	1	7	1	0	0	2	1	1
176868	107	42	82	48	98	36	93	23	85	36	15	68	61	27	29	106	32	35	0	105	45	0	91	57	34	0	43	0	0	101	0	0	86	0	45	78	54	0	18	90	138	39	17	0	0	90	0	0	36	32	78	72	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	65	0	24	0	0	0	87	40	98	0	86	32	32	0	0	0	47	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1102370	191	112	298	144	259	169	121	149	358	265	105	98	141	278	144	80	130	156	1	24	177	13	134	128	137	0	106	4	12	95	1	8	87	4	32	228	54	3	260	118	271	175	232	2	3	103	0	2	181	114	338	141	4	2	0	5	0	3	6	4	0	1	7	1	5	5	3	0	4	13	119	0	253	0	2	2	186	81	217	8	113	260	119	2	2	1	265	0	12	127	2	0	1	3	5	1	6	0	0	0	8	8	0	4
1016598	44	79	139	10	125	65	2	67	43	64	85	8	222	89	169	39	226	46	0	12	47	0	79	177	41	0	210	0	1	66	0	0	4	0	0	18	24	0	314	4	30	40	325	0	0	51	0	0	46	43	404	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	40	0	0	0	49	17	39	0	2	45	93	0	0	0	149	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101572	3	0	1	0	2	0	3	0	0	2	0	2	1	0	0	1	0	0	37	1	0	41	3	0	0	15	1	26	65	0	23	44	1	59	0	4	0	21	1	1	0	2	0	50	39	0	40	24	1	0	1	2	26	23	6	52	46	27	112	38	9	47	110	27	89	16	22	16	33	41	0	12	0	0	10	2	0	1	0	60	0	0	1	15	15	22	0	24	52	1	54	12	15	59	57	13	20	0	8	0	53	51	6	27
