AnimalID	Oesophagostumum	Necator	Strongyloides	Trichuris	Trichostrongylus	Mammonogamous	Ascaris	Physaloptera	Fasciola	Digenean trematode eggs	all_parasites_ct
St_Patrick	0	0	0	0	0	0	0	0	0	0	0
Abita	0	0	0	0	0	0	0	0	0	0	0
Callopie	0	0	0	0	28	0	0	0	0	0	28
Callopie	0	0	35	0	108	0	0	0	0	0	143
Alana	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	15	0	0	0	0	0	15
Dyani	0	0	1	0	16	0	0	0	0	0	17
Abu	0	0	9	0	54	0	0	0	0	0	63
Captive_Baby	0	0	0	0	6	0	0	0	0	0	6
Marra	0	0	0	0	1	0	0	0	0	0	1
Nilsson	0	0	0	0	0	0	0	0	0	0	0
Unknown_FRC5	0	0	0	0	0	0	0	0	0	0	0
Nyx	0	0	6	0	32	0	0	0	0	0	38
Ariadne	0	0	0	0	1	0	0	0	0	0	1
Ariadne	0	0	0	0	0	0	0	0	0	0	0
Luna	0	0	0	0	3	0	0	0	0	0	3
Minerva	0	0	0	0	5	0	0	0	0	0	5
Jordan	0	0	0	0	1	0	0	0	0	0	1
Corey	0	0	0	0	0	0	0	0	0	0	0
Theodora	0	0	0	0	4	0	0	0	0	0	4
Bathsheba	0	0	8	0	23	0	0	0	0	0	31
Odysseus	0	0	0	0	0	0	0	0	0	0	0
Ivy	0	0	0	0	2	0	0	0	0	0	2
Ivy	0	0	0	0	15	0	0	0	0	0	15
Ivanhoe	0	0	4	0	4	0	0	0	0	0	8
Odysseus	0	0	0	0	22	0	0	0	0	0	22
Octavia	0	0	0	0	2	0	0	0	0	0	2
Unknown_G2.3	0	0	0	0	0	0	0	0	0	0	0
Unknown_G2.2	0	0	21	0	57	0	0	0	0	2	80
Wings	0	0	2	0	2	0	0	0	0	1	5
Orf	0	0	0	0	3	0	0	0	0	0	3
Juniper	0	0	0	0	2	0	0	0	0	0	2
Orf	0	0	0	0	13	0	0	0	0	0	13
Azalea	0	0	1	0	9	0	0	0	0	0	10
Mimosa	0	0	1	0	4	0	0	0	0	0	5
Agate	0	0	2	0	8	0	0	0	0	0	10
Zanahoria	0	0	0	0	1	0	0	0	0	0	1
Rambo_II	0	0	0	0	0	0	0	0	0	0	0
Siobhan	0	0	0	0	5	0	0	0	0	0	5
Unknown_G2.1	0	0	0	0	0	0	0	0	0	0	0
Talia	0	0	0	0	0	0	0	0	0	0	0
LFG_AM (LFM)	0	0	0	0	0	0	0	0	0	0	0
LSG_AM (LSM)	0	0	0	7	0	0	0	0	0	0	7
LSG_AM (LSM)	0	0	0	29	0	0	0	0	0	0	29
LSG_AFO	0	0	0	16	0	0	0	0	0	0	16
LSG_Unknown	0	0	0	88	0	0	0	0	0	0	88
LSG_AM (LSM)	0	0	0	83	0	0	0	0	0	0	83
