SpeciesCommonName	SpeciesScientificName	CaptivityIndex	CaptiveWild	Population	AnimalID	Sex	Age	AgeClass	CollectionCondition
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 43	St_Patrick	Male	6 yrs	Adult	Capture
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 1	Abita	Female	16 yrs	Adult	Capture
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 1	Callopie	Female	7 yrs	Adult	Capture
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 1	Callopie	Female	7 yrs	Adult	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 1	Alana	Female	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 1	Unknown	Unknown	Unknown	Unknown	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 1	Dyani	Male	Unknown	Unknown	Capture
mantled-howling-monkey	Alouatta palliata	2	Captive	Las Pumas Rescue Center	Abu	Male	10 mo.	Infant	Unknown
mantled-howling-monkey	Alouatta palliata	2	Captive	Las Pumas Rescue Center	Captive_Baby	Male	3.5 mo.	Infant	Unknown
mantled-howling-monkey	Alouatta palliata	2	Captive	Las Pumas Rescue Center	Marra	Female	5 mo	Infant	Unknown
mantled-howling-monkey	Alouatta palliata	2	Captive	Las Pumas Rescue Center	Nilsson	Male	2 yrs	Juvenile	Unknown
mantled-howling-monkey	Alouatta palliata	2	Captive	Las Pumas Rescue Center	Unknown_FRC5	Female	Unknown (juvenile)	Juvenile	Unknown
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 12	Nyx	Female	18 mo	Juvenile	Capture
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 12	Ariadne	Female	6 yrs	Adult	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 12	Ariadne	Female	6 yrs	Adult	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 12	Luna	Female	5 yrs	Adult	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 12	Minerva	Female	22 yrs 	Adult	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 12	Jordan	Male	11 yrs	Adult	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 12	Corey	Male	8 yrs	Adult	Natural Environment
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 12	Theodora	Female	19 yrs	Adult	Capture
mantled-howling-monkey	Alouatta palliata	0	Wild	Group 12	Bathsheba	Female	2-3 yrs	Adult	Capture
