	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	G12MB14	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G12MB16	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	G12MB8	FRCMB2	URGMB10	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.4228285584356526	0.4277398817644384	0.44947703501591635	0.40031832651205096	0.5294679399727149	0.2923146884947703	0.4950432014552069	0.34697589813551616	0.3286039108685766	0.4206912232833106	0.2791268758526603	0.37880854934060937	0.3914506593906321	0.43838108231014095	0.3640745793542519	0.5183265120509323	0.4104138244656662	0.8771259663483402	0.3301955434288313	0.5306502955889041	0.8623919963619827	0.3085038653933606	0.49167803547066846	0.44033651659845385	0.9286948613005912	0.49645293315143246	0.9061846293769895	0.8656207366984994	0.34715779899954524	0.8638472032742156	0.8405638926784902	0.3034106412005457	0.8822646657571623	0.35411550704865846	0.3216462028194634	0.36766712141882674	0.8445202364711233	0.562755798090041	0.286493860845839	0.37844474761255115	0.3532969531605275	0.5369258753979081	0.9027739881764438	0.8815825375170532	0.3539336061846294	0.8785356980445657	0.8644383810823102	0.4381082310140973	0.3371987266939518	0.45175079581628014	0.2956343792633015	0.8859026830377444	0.8592996816734879	0.9605729877216916	0.8708503865393361	0.8702592087312415	0.877444292860391	0.8576170986812187	0.8477944520236471	0.9133242382901319	0.867212369258754	0.8631650750341064	0.8934515688949523	0.883356070941337	0.907730786721237	0.8379263301500682	0.8520691223283311	0.8819008640291042	0.872669395179627	0.33674397453387905	0.893906321055025	0.5173260572987721	0.9898590268303774	0.9404729422464757	0.9746703046839472	0.3403819918144611	0.3722601182355616	0.3967712596634834	0.8810368349249659	0.3984538426557526	0.46780354706684857	0.44247385175079584	0.8808094588449296	0.9285129604365621	0.8408367439745339	0.439699863574352	0.893906321055025	0.8360163710777626	0.40732150977717146	0.8631195998180992	0.9394270122783083	0.8725784447476126	0.8711232378353797	0.8570713960891314	0.9002728512960436	0.8983174170077308	0.9904956798544793	0.9436107321509777	0.9832196452933152	0.8839472487494315	0.8751705320600273	0.9326512050932242	0.8748067303319691
UNKGMB10	0.4228285584356526	0.0	0.40536607548885856	0.3668030923146885	0.3543428831286949	0.43883583447021374	0.3635288767621646	0.46366530241018644	0.45015916325602545	0.3858117326057299	0.3839927239654388	0.46844020009095044	0.420100045475216	0.4513869940882219	0.389449749886312	0.3963619827194179	0.4426557526148249	0.38494770350159163	0.8821282401091405	0.472987721691678	0.4495225102319236	0.8889949977262392	0.33537971805366074	0.40636653024101865	0.39613460663938155	0.9019099590723056	0.4030013642564802	0.9050477489768076	0.9096407457935425	0.373806275579809	0.8884492951341519	0.8807639836289223	0.3713506139154161	0.9080491132332879	0.568212824010914	0.38153706230104595	0.3427012278308322	0.8842201000454752	0.4984083674397453	0.3517962710322874	0.4019099590723056	0.4263756252842201	0.4708503865393361	0.9177353342428377	0.9046384720327422	0.3204638472032742	0.8968167348794907	0.8998635743519782	0.40582082764893135	0.3646202819463392	0.38758526603001364	0.34606639381537063	0.8949977262391996	0.8614824920418372	0.9509777171441565	0.8966803092314688	0.8681218735788995	0.9036834924965894	0.8893587994542974	0.8625284220100046	0.9033196907685311	0.8862664847658026	0.9071396089131424	0.9215552523874488	0.9100045475216008	0.9255115961800818	0.8896316507503411	0.8734879490677581	0.8882219190541155	0.8967712596634834	0.36234652114597543	0.9182355616189177	0.4622555707139609	0.9889040472942247	0.9286948613005912	0.9730331969076853	0.40977717144156434	0.37125966348340156	0.4088676671214188	0.9043656207366985	0.3689404274670305	0.4017280582082765	0.36866757617098683	0.8837653478854025	0.9396089131423374	0.8928603910868577	0.36366530241018646	0.9159163256025467	0.8998180991359709	0.34606639381537063	0.9025466120964074	0.9242837653478854	0.9081855388813097	0.9061391541609822	0.9017280582082765	0.8853569804456571	0.922237380627558	0.9923146884947703	0.957162346521146	0.9849022282855844	0.9212824010914051	0.9115052296498408	0.9522055479763529	0.8944520236471123
UNKGMB19	0.4277398817644384	0.40536607548885856	0.0	0.33310595725329695	0.35025011368804004	0.41123237835379717	0.3482037289677126	0.5572987721691678	0.38212824010914054	0.33801728058208275	0.38599363346975896	0.4682582992269213	0.41891768985902683	0.3095043201455207	0.3907230559345157	0.3698044565711687	0.3554797635288768	0.35466120964074577	0.8918599363346976	0.4821737153251478	0.4477035015916326	0.8758981355161437	0.3330150068212824	0.35738972260118235	0.3620281946339245	0.8742155525238745	0.41923601637107777	0.8910868576625739	0.8849477035015917	0.3831286948613006	0.8727148703956343	0.8621646202819463	0.3543428831286949	0.9142337426102773	0.5500682128240109	0.38544793087767165	0.3880400181900864	0.8587994542974079	0.4117780809458845	0.33856298317417005	0.34506593906321054	0.3730331969076853	0.3098681218735789	0.9348794906775807	0.885175079581628	0.3577080491132333	0.9198726693951796	0.9150068212824011	0.33628922237380626	0.35193269668030924	0.3242382901318781	0.3208276489313324	0.872669395179627	0.889131423374261	0.9083674397453388	0.9293769895407004	0.8566166439290587	0.9195998180991359	0.8885857207821737	0.9028194633924511	0.8846293769895407	0.8710777626193724	0.9063665302410187	0.9323783537971805	0.9351068667576171	0.9039108685766257	0.8652569349704411	0.910050022737608	0.8766712141882674	0.8731241473396999	0.3696680309231469	0.9289222373806275	0.3504320145520691	0.9884492951341519	0.8956798544793088	0.9715779899954525	0.433606184629377	0.3518417462482947	0.3688494770350159	0.8859481582537517	0.31414279217826285	0.34279217826284675	0.3383356070941337	0.8659390632105503	0.9099135970895862	0.9093224192814916	0.33410641200545704	0.8998635743519782	0.8733969986357435	0.34433833560709415	0.9246475670759436	0.9216007276034561	0.8847203274215553	0.9229195088676672	0.9080491132332879	0.8547976352887676	0.898180991359709	0.9930422919508868	0.9469304229195089	0.9863119599818099	0.8990904956798544	0.9279217826284675	0.93756252842201	0.911368804001819
UNKGMB7	0.44947703501591635	0.3668030923146885	0.33310595725329695	0.0	0.3236471123237835	0.3587994542974079	0.39818099135970897	0.4681673487949068	0.433606184629377	0.38035470668485677	0.37125966348340156	0.514006366530241	0.4056844020009095	0.3252387448840382	0.33883583447021376	0.4071396089131423	0.389949977262392	0.3413369713506139	0.8831286948613006	0.49213278763074125	0.39122328331059575	0.9028649386084584	0.3792633015006821	0.40045475216007276	0.33351523419736245	0.9027285129604365	0.35084129149613463	0.9186903137789905	0.9085493406093679	0.41091405184174623	0.8964529331514325	0.8917235106866758	0.40595725329695315	0.9068667576170987	0.5991359708958618	0.4064574806730332	0.41145975443383354	0.8934970441109595	0.41018644838562984	0.38321964529331515	0.4019099590723056	0.4246930422919509	0.3102773988176444	0.9154160982264665	0.9189631650750341	0.3602546612096407	0.9014552069122328	0.9000454752160073	0.3404274670304684	0.40463847203274217	0.3208276489313324	0.36311959981809916	0.9056389267849022	0.8741246020918599	0.945475216007276	0.903137789904502	0.8662573897226011	0.9049113233287858	0.8860845839017736	0.8803547066848567	0.9109140518417462	0.886493860845839	0.9144156434743065	0.9206002728512961	0.9115961800818554	0.9250113688040018	0.897680763983629	0.8839927239654388	0.8942701227830833	0.8885857207821737	0.3829013187812642	0.9162801273306048	0.3715779899954525	0.9895861755343338	0.9212824010914051	0.9725784447476126	0.47526148249204186	0.3814006366530241	0.38758526603001364	0.9055934515688949	0.3660300136425648	0.28394724874943156	0.3066393815370623	0.8903592542064575	0.9467485220554798	0.9151432469304229	0.25247839927239657	0.903956343792633	0.9063665302410187	0.30391086857662575	0.9137335152341973	0.9173260572987721	0.9121418826739427	0.9055479763528876	0.9050022737608003	0.880718508412915	0.921919054115507	0.9911323328785812	0.9586630286493861	0.9877671668940428	0.9284220100045475	0.9131423374261027	0.9403365165984539	0.8933151432469304
UNKGMB6	0.40031832651205096	0.3543428831286949	0.35025011368804004	0.3236471123237835	0.0	0.4174170077307867	0.37849022282855843	0.4363801728058208	0.414824920418372	0.3797635288767622	0.4190995907230559	0.4623010459299682	0.39881764438381084	0.38590268303774444	0.34483856298317417	0.40791268758526605	0.42955889040472944	0.3887676216462028	0.894406548431105	0.44674852205547977	0.4311050477489768	0.8949977262391996	0.36875852660300135	0.4542974079126876	0.4047294224647567	0.9102773988176444	0.3753524329240564	0.918781264211005	0.9093224192814916	0.3834470213733515	0.9031832651205093	0.8915416098226466	0.3831286948613006	0.9100045475216008	0.5569349704411096	0.36366530241018646	0.4015006821282401	0.8901773533424284	0.4345611641655298	0.36484765802637564	0.42246475670759437	0.40254661209640746	0.37717144156434745	0.9213278763074124	0.9160072760345611	0.33692587539790814	0.9014097316962255	0.8995452478399273	0.37412460209185994	0.40632105502501137	0.37253296953160525	0.35552523874488406	0.8988176443838108	0.8823101409731696	0.9501136880400182	0.9106866757617099	0.870168258299227	0.9040927694406549	0.8961346066393815	0.8820372896771259	0.913005911778081	0.8987266939517963	0.9102319236016371	0.9177808094588449	0.91218735788995	0.9316052751250569	0.8814461118690313	0.8833105957253297	0.8955434288312869	0.8961800818553888	0.36912232833105957	0.9143246930422919	0.4248294679399727	0.9878581173260573	0.9284220100045475	0.9723510686675761	0.4477489768076398	0.4116416552978627	0.3808094588449295	0.9093678944974989	0.3924056389267849	0.34160982264665757	0.3705775352432924	0.8837198726693952	0.9466575716234652	0.8888130968622101	0.34906775807185086	0.909231468849477	0.8989085948158254	0.3769895407003183	0.9064120054570259	0.9217826284674853	0.9010914051841746	0.9056844020009095	0.9038199181446112	0.8778990450204639	0.9177353342428377	0.9890859481582538	0.9566621191450659	0.982037289677126	0.9244201909959072	0.9112778535698045	0.942019099590723	0.898681218735789
UNKGMB38	0.5294679399727149	0.43883583447021374	0.41123237835379717	0.3587994542974079	0.4174170077307867	0.0	0.48781264211005004	0.6071396089131423	0.5297407912687585	0.48676671214188266	0.45834470213733514	0.592587539790814	0.5482946793997272	0.4221919054115507	0.4520236471123238	0.4976807639836289	0.44311050477489766	0.4142792178262847	0.9165984538426557	0.6163710777626193	0.46557526148249206	0.9277853569804456	0.47394270122783083	0.40691223283310596	0.41773533424283765	0.927194179172351	0.39290586630286495	0.9427467030468395	0.9318326512050932	0.5167803547066848	0.9292405638926785	0.910868576625739	0.49272396543883584	0.9351978171896317	0.6652569349704411	0.47526148249204186	0.5100954979536153	0.9154615734424738	0.4358799454297408	0.4720782173715325	0.481218735788995	0.4378808549340609	0.3933151432469304	0.943974533879036	0.9435197817189631	0.4622555707139609	0.9283310595725329	0.9218735788994997	0.42951341518872216	0.5040472942246476	0.40695770804911324	0.445475216007276	0.9199636198271942	0.9031832651205093	0.947612551159618	0.9286039108685766	0.9099590723055935	0.9239199636198272	0.9175989085948159	0.9055934515688949	0.933606184629377	0.9260572987721691	0.9342883128694861	0.9423829013187812	0.940700318326512	0.9544793087767167	0.9200090950432015	0.9082764893133243	0.9190086402910413	0.9216916780354707	0.4593906321055025	0.937244201909959	0.36484765802637564	0.9883583447021373	0.9390177353342428	0.9730786721236926	0.5944520236471124	0.4730786721236926	0.5084129149613461	0.9311959981809914	0.44638472032742155	0.4373351523419736	0.33651659845384263	0.9150068212824011	0.9678490222828559	0.9254206457480673	0.37130513869940884	0.933606184629377	0.930968622100955	0.3780354706684857	0.9381082310140973	0.9417917235106866	0.9376534788540245	0.9283765347885402	0.9323783537971805	0.9028649386084584	0.9471123237835379	0.9905866302864939	0.9743519781718963	0.9902228285584357	0.9496589358799454	0.9321509777171442	0.9566621191450659	0.9244656662119145
LSGMB16	0.2923146884947703	0.3635288767621646	0.3482037289677126	0.39818099135970897	0.37849022282855843	0.48781264211005004	0.0	0.5185538881309686	0.3288767621646203	0.28321964529331517	0.36598453842655754	0.3150068212824011	0.34765802637562526	0.36102773988176445	0.3808549340609368	0.27539790814006365	0.45475216007276037	0.3535243292405639	0.8763983628922237	0.332287403365166	0.4794906775807185	0.8789449749886312	0.24947703501591634	0.4282855843565257	0.3731696225557071	0.9107776261937244	0.43328785811732606	0.9042746703046839	0.8919963619827194	0.2730331969076853	0.8820827648931332	0.8677580718508413	0.13333333333333333	0.8949522510231923	0.41286948613005914	0.2821737153251478	0.273806275579809	0.8686221009549795	0.5200545702592088	0.0967712596634834	0.30181900864029104	0.2937244201909959	0.48076398362892225	0.9010459299681673	0.8972714870395634	0.29899954524783995	0.8838108231014097	0.8789449749886312	0.3639836289222374	0.24852205547976353	0.3963619827194179	0.171168713051387	0.8811277853569804	0.8647567075943611	0.9508412914961346	0.8995907230559345	0.8670759436107321	0.8846293769895407	0.8793542519326967	0.8659845384265575	0.9066848567530695	0.872669395179627	0.8965893587994543	0.9026830377444293	0.8924965893587995	0.91218735788995	0.8631195998180992	0.8744884038199181	0.8823556161891769	0.8826284674852205	0.29367894497498864	0.9006821282401092	0.4638472032742155	0.989449749886312	0.9279672578444748	0.9741246020918599	0.3543428831286949	0.2950432014552069	0.36271032287403365	0.8983174170077308	0.3056844020009095	0.43860845839017737	0.37335152341973626	0.8802637562528423	0.9288767621646202	0.8764893133242383	0.4117780809458845	0.9098681218735789	0.8802637562528423	0.34452023647112323	0.8918144611186903	0.9283310595725329	0.8887221464301955	0.893906321055025	0.8879035925420645	0.8873124147339699	0.908231014097317	0.9931332423829013	0.9531605275125057	0.9857662573897226	0.9058208276489313	0.898681218735789	0.9462028194633925	0.8772169167803547
UNKGMB5	0.4950432014552069	0.46366530241018644	0.5572987721691678	0.4681673487949068	0.4363801728058208	0.6071396089131423	0.5185538881309686	0.0	0.5507048658481127	0.526193724420191	0.49913597089586176	0.5430195543428832	0.4552978626648477	0.5430195543428832	0.48262846748522054	0.5340609367894498	0.5856298317417008	0.5296498408367439	0.8815370623010459	0.4931787175989086	0.5743519781718963	0.8804911323328786	0.5024101864483856	0.5566166439290586	0.5153706230104593	0.910050022737608	0.47617098681218734	0.9123692587539791	0.8949522510231923	0.4957253296953161	0.8837653478854025	0.8850386539336061	0.5124602091859937	0.8890859481582537	0.6321509777171441	0.5344702137335152	0.5379263301500682	0.8846293769895407	0.583037744429286	0.5130968622100955	0.5914051841746248	0.5630741246020918	0.5315143246930423	0.9030923146884948	0.8973169622555707	0.4389267849022283	0.885175079581628	0.8851296043656207	0.5446566621191451	0.5330150068212824	0.5373351523419736	0.4962710322874034	0.8872214643019555	0.8739427012278308	0.9503865393360619	0.8873578899499772	0.8761709868121873	0.8892223738062756	0.8829922692132788	0.8618917689859027	0.8981355161437017	0.8853569804456571	0.8942701227830833	0.9014097316962255	0.8850386539336061	0.914506593906321	0.8872214643019555	0.8715325147794452	0.8835834470213734	0.8873578899499772	0.5018644838562983	0.899681673487949	0.5738517507958163	0.9862210095497954	0.9247385175079582	0.9678490222828559	0.46912232833105955	0.5517507958162802	0.48467485220554796	0.8984538426557526	0.5477489768076398	0.4579354251932697	0.5615279672578445	0.882219190541155	0.9355161437016826	0.8851296043656207	0.5316052751250568	0.9021828103683492	0.890450204638472	0.542519326966803	0.8897680763983629	0.9201909959072305	0.8948613005911779	0.8910868576625739	0.8835834470213734	0.8914051841746248	0.9103228740336516	0.9849477035015917	0.954206457480673	0.9804911323328785	0.904456571168713	0.891768985902683	0.9384265575261482	0.8849931787175989
UNKGMB24	0.34697589813551616	0.45015916325602545	0.38212824010914054	0.433606184629377	0.414824920418372	0.5297407912687585	0.3288767621646203	0.5507048658481127	0.0	0.22396543883583447	0.45302410186448383	0.30668485675306956	0.41218735788995	0.408731241473397	0.4461573442473852	0.37144156434743064	0.5026830377444292	0.4341518872214643	0.8552523874488404	0.3699863574351978	0.4783083219645293	0.8430195543428831	0.32719417917235105	0.4891768985902683	0.45820827648931334	0.9110959527057754	0.5373351523419736	0.8932696680309231	0.8662573897226011	0.2728512960436562	0.8748522055479764	0.8435652569349704	0.3428831286948613	0.8641655297862665	0.3876762164620282	0.36493860845839016	0.32892223738062754	0.8440200090950432	0.5360618462937699	0.3250568440200091	0.37203274215552523	0.3451114142792178	0.5017735334242838	0.8755798090040928	0.8695316052751251	0.373806275579809	0.858981355161437	0.8538881309686221	0.4180991359708959	0.34379263301500684	0.39440654843110506	0.3376534788540246	0.8837198726693952	0.8366075488858572	0.952705775352433	0.8655297862664848	0.8389267849022283	0.8610277398817644	0.855025011368804	0.8386539336061847	0.9095043201455207	0.8498863119599818	0.8599363346975898	0.8885402455661664	0.867394270122783	0.8829922692132788	0.8346975898135516	0.8490222828558436	0.8517962710322874	0.8580718508412915	0.3487494315597999	0.8984993178717599	0.4881764438381082	0.9913142337426103	0.9310140973169623	0.9738517507958163	0.3883128694861301	0.32928603910868576	0.3865393360618463	0.8648476580263756	0.36666666666666664	0.45970895861755345	0.42874033651659843	0.8792633015006821	0.9287858117326058	0.8609822646657571	0.4017280582082765	0.9135516143701683	0.8422010004547522	0.3889040472942247	0.8572078217371533	0.9300591177808094	0.8887676216462028	0.8654843110504775	0.8559345156889495	0.8892678490222828	0.9075034106412005	0.9940427467030468	0.9539790814006367	0.983856298317417	0.8740791268758527	0.8704865848112778	0.9490222828558436	0.8504774897680764
UNKGMB26	0.3286039108685766	0.3858117326057299	0.33801728058208275	0.38035470668485677	0.3797635288767622	0.48676671214188266	0.28321964529331517	0.526193724420191	0.22396543883583447	0.0	0.4073669849931787	0.3463392451114143	0.39799909049567983	0.3472032742155525	0.3835379718053661	0.3108231014097317	0.44520236471123237	0.3754433833560709	0.8651205093224192	0.403456116416553	0.4523419736243747	0.8552978626648476	0.3063210550250114	0.44183719872669397	0.3868576625738972	0.9095952705775352	0.46939517962710325	0.8941791723510687	0.8773988176443838	0.3055025011368804	0.8797635288767621	0.8469304229195088	0.29326966803092314	0.8717144156434743	0.4412005457025921	0.32928603910868576	0.31678035470668486	0.8477944520236471	0.4859481582537517	0.2743519781718963	0.30336516598453844	0.31368804001819006	0.4537517053206003	0.8875852660300136	0.8724420190995907	0.3754888585720782	0.865075034106412	0.8658026375625284	0.38813096862210095	0.2874488403819918	0.39649840836743977	0.3089586175534334	0.8877216916780355	0.8380627557980901	0.9503410641200546	0.871987266939518	0.8427921782628468	0.873806275579809	0.8668485675306957	0.8397908140063666	0.91318781264211	0.8582992269213279	0.8709868121873579	0.9015916325602547	0.8791723510686675	0.8949522510231923	0.8371987266939518	0.8560709413369714	0.8592542064574806	0.8676671214188267	0.3165075034106412	0.9123692587539791	0.4763074124602092	0.9900409276944065	0.9353342428376534	0.9738517507958163	0.393906321055025	0.3065029558890405	0.40745793542519326	0.8737153251477945	0.32801273306048206	0.38040018190086405	0.35643474306502954	0.885675306957708	0.9346975898135517	0.8617098681218736	0.3522510231923602	0.9245566166439291	0.8525693497044111	0.3175989085948158	0.8673033196907686	0.9334697589813552	0.9045020463847203	0.8742610277398818	0.8649840836743975	0.8928149158708504	0.9203274215552524	0.9924511141427922	0.955525238744884	0.9835834470213733	0.8874488403819918	0.8782173715325148	0.9606639381537062	0.8557980900409277
