	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	G12MB14	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G12MB16	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	G12MB8	FRCMB2	URGMB10	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.3726277076697714	0.3727865734103232	0.3912200944523494	0.36845876192385	0.40096528407070486	0.35641204163830553	0.41067042031342105	0.3772401605714493	0.3988405224246124	0.3716140059936389	0.39051718949153863	0.37245312439686207	0.38056031267448837	0.41030772037848046	0.35910916229391754	0.4257224884797208	0.39021041252548205	0.7119399156487807	0.38762902340009286	0.4125528244251341	0.6800549466415693	0.3479583047647589	0.4112947580508637	0.38999448335669695	0.7276206460345621	0.39592950289486606	0.7072058559613197	0.7021090325688029	0.36727052163814905	0.7236233459582726	0.6996480885236763	0.3734992308428858	0.7235184229769381	0.4246392584625683	0.3459848530363017	0.3574353493436748	0.698531630749888	0.404872281664388	0.34862350532913533	0.3808268211114928	0.3631882584258692	0.43481353197059475	0.7212024371617621	0.7145122978012838	0.3399299264238129	0.6958662095988244	0.6928056021613216	0.3648052782763295	0.3863021537871338	0.40049652394594387	0.3668575991724181	0.695931652569838	0.690096658935405	0.7367435780570867	0.6968252370390332	0.7052496190456146	0.6995649205637	0.7128875136687757	0.6988362975862572	0.7152072615223197	0.7177165024565076	0.7203976583081557	0.713110238376708	0.7123702869308756	0.7490834920933152	0.6975033588600535	0.6951286197884946	0.6875836008312568	0.6957060372552749	0.36243663891155964	0.7106325887405812	0.38931354285861625	0.7854554441205093	0.7411682940056866	0.729711311060264	0.36936836367882253	0.35616278736391754	0.39959472061210743	0.7127424812931684	0.3767143733224779	0.40598309319743275	0.37709136371253565	0.6852890046197069	0.7546482335530029	0.689651091285419	0.3762870132788855	0.7152005242598077	0.706463964005469	0.3737368922613381	0.7120986052747067	0.7189867629197506	0.6903508142303637	0.6914683156393289	0.6992852793792794	0.6856054692345024	0.7075544020896734	0.8239167848442004	0.7554827105710848	0.7942422999874157	0.6994335675212552	0.6969514819564475	0.7226588149513332	0.7114176977827631
UNKGMB10	0.3726277076697714	0.0	0.36348892093458973	0.34754207684596794	0.3288690875779802	0.3961210627330152	0.34690167830932234	0.3735950003191155	0.38431874407395644	0.38541137372180384	0.3449133265297144	0.398098870540559	0.34791688573771984	0.3633176914160357	0.36396810563782334	0.35736668871185945	0.3708051992304227	0.3502348028129474	0.7072812442660729	0.3888717515049542	0.3815584097851265	0.6864524505061664	0.35615912389325455	0.3750035174524643	0.35429797180141775	0.7312382363999604	0.3704368965141363	0.7094590857237635	0.7002450631614693	0.3878603338256524	0.7077882100104059	0.7137517926920981	0.3608056679292062	0.7287931748195708	0.43637882181451315	0.3755184585698969	0.35089720992150564	0.7040034905823334	0.3786343819747439	0.3350685744211581	0.36189910309229617	0.372498567365546	0.36560554960915653	0.7226870423896417	0.6981767887368537	0.34008608484841846	0.7002238013586393	0.6898177579055517	0.35280907882712115	0.3546078274435474	0.37510886010591243	0.36147615294202406	0.7075561127173011	0.6949599771047025	0.7393012914150705	0.6846499550480153	0.7092428363631865	0.6973370199186035	0.7245432125846881	0.6933241621241775	0.7004542105359032	0.7245692202225651	0.7096645218497012	0.7047403933298613	0.7137150891229553	0.7565556005160666	0.7089798148893859	0.6952348777504919	0.692813172208804	0.7019500247857691	0.3639243349384151	0.7092034098042713	0.3743691030376195	0.7823299100368826	0.7392940688244557	0.7284243948505439	0.3609740185922571	0.35507242760499663	0.3746231891142582	0.70536327362661	0.3695381242861803	0.36051620292909375	0.3542890556448659	0.6970285910083366	0.7467965698403332	0.6923187416356529	0.3365253910019629	0.7285158070500936	0.7025986359626205	0.33945220610512195	0.7058870786956872	0.7243143230750985	0.7030683535235374	0.7016605817893895	0.7067289495878635	0.6986963789886484	0.731931631960721	0.8180957449996964	0.7511118291596414	0.8021073501285493	0.7055249609987103	0.7120292582805026	0.7399567192335809	0.7080368924754878
UNKGMB19	0.3727865734103232	0.36348892093458973	0.0	0.34497004576736706	0.3456568674707865	0.36759090871007916	0.36333607460056266	0.4111676681130396	0.3656438029691639	0.3790595704299806	0.3411525001518457	0.3991713980441854	0.34651352093104637	0.32908549450045815	0.39613059559333497	0.32701072791954067	0.3527214241191927	0.3325752687036539	0.7057722194160022	0.39869139375829327	0.36154891760651636	0.6812935559731775	0.3146286563194841	0.3422340646734726	0.34742792675429485	0.7181804513560222	0.3518151531742463	0.7001968981510449	0.6983194436675787	0.37659090318421556	0.7098510941291496	0.7026701046661555	0.3430862580508969	0.7301000035461541	0.4411670036682234	0.36929553428722495	0.347775774680976	0.7043769083331979	0.3533909418919143	0.32598331816844395	0.3308811833710021	0.33008815547963916	0.35975252149413245	0.7126495414255751	0.7018482685657442	0.3514609830042357	0.6949635372588894	0.6817372673967791	0.32318976961172907	0.36656350355463185	0.35301391083336187	0.3457828733089707	0.6929891942008775	0.7008615160424956	0.7215367108359668	0.6783721272804644	0.7084259583016402	0.6899921174305382	0.7073823548221922	0.6952001326772171	0.7037194302061073	0.7188103689976482	0.7205190111178548	0.6943431669284068	0.7050943915105419	0.7473499969922625	0.702901340932997	0.6953039442520318	0.6891039264121563	0.697314773113455	0.3358908504583852	0.6946838292873332	0.30453956546787253	0.7825897244785743	0.7423310302350922	0.7227783692535413	0.3832888077449443	0.33422025301187513	0.3421765980947738	0.7002813639368538	0.3497847253382123	0.33564202187011427	0.32916854373252563	0.6921405125585671	0.7369451289517357	0.6803548298809416	0.338448146986852	0.7153327999829007	0.6982712970749791	0.32423596219721024	0.7076842881614442	0.7081762456564037	0.6910216884073589	0.6964618973742506	0.7012086140184884	0.6974182303007241	0.715663339029524	0.8211129527153406	0.7429646847996789	0.7886043235519464	0.7082968365036844	0.6945570615131684	0.7230114230851361	0.6820835784774301
UNKGMB7	0.3912200944523494	0.34754207684596794	0.34497004576736706	0.0	0.3390279307783087	0.3456351499611376	0.36286272091178395	0.4033884081945202	0.38468171188329475	0.3868111021228478	0.34488647837706565	0.4129036224924261	0.3613084432218365	0.3455659359852312	0.3766280614973988	0.3615603075788211	0.3827076382012635	0.34556068240356264	0.7165197135596711	0.4304074003734666	0.3574015079945439	0.6923173745815956	0.34144958918256546	0.3584017822262325	0.35414506691450115	0.722221152632405	0.3383349329209045	0.7127624063846735	0.7006350217359735	0.37236972337739593	0.718288313881694	0.7144573426976686	0.37034691224879845	0.7337465663839223	0.47150588212492794	0.3879312240937002	0.3665886229476424	0.7114514880788221	0.35456110188745216	0.3407197874463824	0.3533000621026217	0.3646083123417862	0.3357827565139927	0.7108969233307838	0.7076478882038862	0.36906764443458673	0.7011941714815969	0.6931676964983055	0.333093004354954	0.37613563895872165	0.3798953425076802	0.36114266538685513	0.6983796920804282	0.6967262347336746	0.7253886856935039	0.6919662973655617	0.7121892313763662	0.69967664102663	0.7271059171495247	0.7034463695463288	0.705084217176166	0.7239280980328815	0.7191646859480134	0.7063492821993915	0.7104796851167826	0.7527492699543825	0.7125165406097989	0.7016159723148975	0.6945929141966879	0.6961433616083075	0.3552338632648723	0.7105488786620224	0.3290727087832711	0.7873007430924966	0.7408584794379811	0.7300640187023467	0.40609208790284756	0.3655767331129976	0.38424424977737265	0.7084643387778744	0.36154707230358396	0.3601892266517674	0.33105745295957234	0.7027325014471831	0.7437757267662239	0.7023962856107901	0.32304983359570155	0.7222155264474547	0.7114020743371983	0.34086513970190974	0.712564710970869	0.7242972652676803	0.7069931227722138	0.6967829427781547	0.7186971685333667	0.7039808927212516	0.7273864027404003	0.8177216970762033	0.7564454814788273	0.7905148104695782	0.7091788522553213	0.6986844504666192	0.7308812359961349	0.707841611890977
UNKGMB6	0.36845876192385	0.3288690875779802	0.3456568674707865	0.3390279307783087	0.0	0.34393946057524405	0.3235465529926967	0.3684098183033098	0.3672333331730672	0.382547466313553	0.3521137226102094	0.40429425776833755	0.33164215537559866	0.37558759762139027	0.3680882986510671	0.366414652899681	0.37295750091252805	0.349383168738155	0.7134277040464617	0.3820363875931134	0.3671296925846285	0.6960181913719891	0.3531275903286135	0.3773577395522761	0.3618845607852112	0.7351754120085356	0.34642942434216084	0.7135372790283175	0.7067724716332457	0.35861722665366963	0.7095775821006751	0.720836660656839	0.3532453697369345	0.7366613577019806	0.4368505096471867	0.364008542914606	0.37213712646851277	0.7112378617346665	0.36629269613060517	0.3267864872996139	0.3669749417208667	0.3436701151146834	0.35942771406035556	0.721237112690942	0.7015832772291221	0.34846603317062946	0.7007932039301907	0.6933307998901499	0.338809884845834	0.35298446605757117	0.3648227208931806	0.3479723426252141	0.7001953996724704	0.7084206192868282	0.741004432668055	0.6961978269902505	0.7136453342919408	0.6971569833827062	0.7254729550907775	0.7018466841425994	0.7187936076430511	0.7262560849741075	0.724087245696376	0.7072617499618203	0.7114789227339491	0.7582128201675448	0.7116716005977372	0.6971296453449148	0.7028418907215416	0.7002410271351669	0.3544396339214221	0.7101153956636823	0.3564448344733284	0.7870675809874131	0.7451146290467623	0.7290605592881528	0.3519140697876388	0.3630736672107513	0.37002647117842363	0.7074068707306018	0.3615498965442256	0.34511945709471165	0.36358378885695225	0.6984004248357778	0.7486134130275802	0.6766391935918409	0.34730051249039584	0.7150521178354223	0.7088367748335379	0.343220226875723	0.7042304232465751	0.7237009308613519	0.702741673775629	0.7001179124374445	0.708960235258349	0.703242237282566	0.727988200998731	0.8230930120686203	0.7459884643246502	0.7955517691848282	0.7055389237193259	0.7067991575051928	0.7326084962714602	0.709525249972941
UNKGMB38	0.40096528407070486	0.3961210627330152	0.36759090871007916	0.3456351499611376	0.34393946057524405	0.0	0.37834417114208574	0.43296601537162976	0.39719484874406885	0.3819680486086037	0.3700080090899837	0.44090714500571965	0.3872737157867109	0.38977597176732337	0.38713469469618883	0.3820198339392717	0.40858397098086807	0.3621914104210238	0.7239193876809518	0.4562501832435401	0.37839574051490804	0.699971222965789	0.3801143975359132	0.3901883416893324	0.3803137068340683	0.7408983681597497	0.36304051782036845	0.7191462174139426	0.7026809822204374	0.40092924210666464	0.7249034930141801	0.7283511275115488	0.38208897505772127	0.7371515228434391	0.485808233994917	0.38357089772519065	0.4038120788724384	0.7184127893414537	0.3713916382103408	0.3678506259997394	0.3535293116251802	0.3665848500666338	0.3777654261117237	0.7304598568855737	0.7149002794261677	0.41013956728698325	0.6980603192771826	0.6887364530198317	0.34471676710761645	0.3892178650513406	0.3816518491360203	0.36612794001124477	0.7014389207759009	0.71486294175269	0.7362804132664608	0.6961602763106373	0.7166427097439559	0.7017260111152239	0.728424538409627	0.7036290328930828	0.7139637746233685	0.7318173439128173	0.7243462953614987	0.7114641954789691	0.7159737598823105	0.7604501765295568	0.7219861949548859	0.7079039660812699	0.7025229888588354	0.7032638154208996	0.3666093415103878	0.7139913837357392	0.36225261843750345	0.7965534574347485	0.7479597158434704	0.7354005968343161	0.43692724646050773	0.37912990742775327	0.3993318503167195	0.7164131392644353	0.3901320799173849	0.39502236139752683	0.3472544869604612	0.7025055249265337	0.7629102718136452	0.6977902692720463	0.3452350404717542	0.7263972404171577	0.7128122621194427	0.3469177142817966	0.7083458988683505	0.7286138621908117	0.7121906878347577	0.6999017530313191	0.7100918988239964	0.7011590957273548	0.7286555388417668	0.8217947429030863	0.759617882899703	0.8014966867685902	0.7203217505493427	0.6983351891969017	0.7341771014928108	0.7170572540037878
LSGMB16	0.35641204163830553	0.34690167830932234	0.36333607460056266	0.36286272091178395	0.3235465529926967	0.37834417114208574	0.0	0.4104866802622605	0.35652745142514586	0.3510913712255669	0.35894580992307296	0.35012646512288753	0.35831960437833504	0.36486618785634956	0.37041238626895673	0.3350510214832597	0.3858082387706157	0.36480334006219023	0.701155066863795	0.370420258112078	0.37350779335933504	0.6862968138786111	0.3299591120719246	0.38917653303636346	0.36767230488253744	0.7268383053058817	0.37727310731321195	0.7136337929425467	0.6858846350049852	0.3425186272562043	0.7027620166864809	0.7036075231704966	0.28955080392696375	0.7294527816373915	0.44174570290732296	0.35096919916458325	0.3274846840592995	0.7081673035324287	0.37787444202816384	0.2864527506120029	0.3613422989795022	0.3495177334656478	0.3903971368641425	0.7155503860021049	0.6888944324542736	0.33835284582891173	0.6970361662578455	0.6813082438250904	0.3362005879511203	0.3516509545958055	0.3802437314802272	0.32021681666458013	0.6998934592123848	0.696605058708541	0.7223175008819518	0.6847500461531659	0.703524621150691	0.6965303412513526	0.7199838415354182	0.696188065479062	0.701899196683054	0.7227399011370902	0.7162614126023856	0.7027568944173138	0.7022432079856036	0.7535575455479051	0.7066115263503542	0.6878703944757607	0.6891635933221373	0.693159100129974	0.33496598129392663	0.6971753095990445	0.3585240652309224	0.7938226005371372	0.7390316154727997	0.735536707760435	0.37040395406894283	0.3323168604979632	0.370946110260202	0.705121081509056	0.33665261401285596	0.37019911372083103	0.3666483625015368	0.6972362412525295	0.7378479146379763	0.6858039149861087	0.35280762619213674	0.7146633054815331	0.6983923784435419	0.3398200143610254	0.7048079559397125	0.7252168187910193	0.6986722175796853	0.694110756163026	0.6988774008666137	0.696915693606508	0.7237799161120338	0.8269894119310998	0.7583971548622892	0.787950447146537	0.6986223655390669	0.700825735859195	0.7295277417287261	0.711129847943919
UNKGMB5	0.41067042031342105	0.3735950003191155	0.4111676681130396	0.4033884081945202	0.3684098183033098	0.43296601537162976	0.4104866802622605	0.0	0.427408094680887	0.41583287394571833	0.39191509479806697	0.4452440294117477	0.372879334849775	0.42383267514426354	0.3908370095980946	0.42470671034754803	0.4066103388267479	0.3859979692661663	0.698610281846282	0.3917823123479938	0.4477462102132263	0.6824396224170788	0.41236925064551117	0.404618065016534	0.38715956931079026	0.7295359737393657	0.38734572903355546	0.7106243160410958	0.7054900212278382	0.429433629787364	0.6949992736453562	0.7069969863392251	0.4363882018429929	0.7359488647003926	0.4626994875544067	0.40872130576769694	0.43913415333334366	0.6988169367897529	0.42222374464689616	0.41217650799031347	0.42818488794392195	0.4199804189394104	0.3921989388753187	0.7090555910018168	0.6952673815990869	0.37453664187467395	0.6833572870162562	0.6836257039719249	0.4037565807325976	0.4242815158981004	0.4159204746696905	0.42825334183319747	0.6929001987491312	0.6990821785414569	0.7371545725708315	0.6884274331281665	0.6956078218664209	0.6818985935984934	0.7194185546881866	0.6945567257619168	0.7156956688518795	0.7110405047726943	0.7212489131469463	0.7006759784748379	0.6976302768856135	0.7518971200780334	0.703771772187075	0.6800407602038014	0.6948675822125435	0.7026991502455335	0.42010334768480356	0.703286819469498	0.4276002812000072	0.7954834651499866	0.7374530209304719	0.7404804396008885	0.3648051867687952	0.422417030764942	0.42210891987903043	0.7019857458650627	0.43178265224062123	0.3645336302955659	0.4358514894375889	0.6966848436563899	0.7457736103281883	0.6753020188535465	0.41018348149940603	0.7066460537781196	0.6991312745518496	0.41957822238361375	0.6993382264160443	0.7176574718857014	0.6940362969999587	0.6851668579136513	0.6956089403361131	0.695061777958642	0.7214062067309801	0.816531580355915	0.7424765396857695	0.7968737743474443	0.6941289497610217	0.695687867451189	0.7293784405389453	0.7077403615023177
UNKGMB24	0.3772401605714493	0.38431874407395644	0.3656438029691639	0.38468171188329475	0.3672333331730672	0.39719484874406885	0.35652745142514586	0.427408094680887	0.0	0.3239606343541213	0.38579925931127595	0.37126161182358314	0.3680146567041739	0.40107528154627253	0.4058268390247588	0.35662466520970676	0.4307325792221259	0.3839043146485394	0.7170218290556167	0.36659611471307685	0.38424471733721977	0.6847063040649928	0.34833413405457975	0.4131683005913231	0.4039070723016813	0.7258736317178643	0.40085532906779253	0.7057262850834477	0.6941494755862785	0.33413603739779707	0.713965298443789	0.7113517069685846	0.341333331178315	0.7405445294004352	0.38728279046017533	0.3497239396903967	0.3481886469006958	0.7055742244563076	0.39163023789453866	0.3478209871422952	0.3740523754214304	0.344796294389128	0.4184525035435435	0.711817518954658	0.6984355650621138	0.3785150377818522	0.697154099713732	0.6824256663536609	0.3515692489627458	0.3583052894024766	0.3686504234225698	0.3735200899936221	0.6980769361164888	0.6939717774252555	0.7314058571126966	0.6761914022671937	0.7077978173222996	0.6938134872756303	0.7163431198124874	0.6942456969862832	0.7000603324769937	0.7229499665745613	0.7157553710941862	0.694585236720381	0.6972352616389406	0.7491972103725283	0.7121920715220598	0.6910473495148116	0.6963607302724101	0.7029197962014128	0.342964701754881	0.7057066364444695	0.3792600446707242	0.7881230360422126	0.7416837559130447	0.7354354690504681	0.38866377527246054	0.35836879332513594	0.3762739950495673	0.7048451595665175	0.3865529276620596	0.4031041396362917	0.3792957197629796	0.6934487982953983	0.7401081681104891	0.6892431345607464	0.35100415687749187	0.7140983359017663	0.7054382726119206	0.37119343149571915	0.7016341370591448	0.7129550169239314	0.6968806041595635	0.6847446753901286	0.7049565360801053	0.6991346886434395	0.7173712584457794	0.8120866202187127	0.7514229406657814	0.7938199941827317	0.7009760057373666	0.6930591850962925	0.734459823991591	0.7047254303122281
UNKGMB26	0.3988405224246124	0.38541137372180384	0.3790595704299806	0.3868111021228478	0.382547466313553	0.3819680486086037	0.3510913712255669	0.41583287394571833	0.3239606343541213	0.0	0.38904090270027747	0.39091945062555167	0.37711964831949124	0.37878343594629843	0.41263521019797794	0.3581405899510415	0.41895603508467905	0.38450252424818343	0.719080252653217	0.39385398851220366	0.38463674046890256	0.6974185940544176	0.361309644262865	0.41748742209562784	0.40090124256128856	0.7375395706020746	0.3879501215452446	0.7219728538427866	0.7158531557748432	0.36837434897639726	0.7240552929354822	0.7244340948297087	0.36501554374636414	0.7523835948832998	0.4448049473189677	0.37661123675748553	0.3627388991346953	0.7196122077935784	0.3982247986508686	0.3487218212884213	0.36236305441446315	0.3506919734388661	0.42186353477013333	0.7288458804816331	0.7053769929727428	0.3914949840700741	0.7207501388892246	0.6964790830421461	0.36942295046013074	0.35726446554467794	0.3967420478171383	0.3804923901027026	0.7137048758889016	0.7070165868994817	0.7355278535999551	0.6995773215374788	0.7127028882464359	0.7100374258045996	0.7292539442410162	0.7091037398518446	0.7166369643421275	0.7355398890691647	0.7233191072085772	0.7131760792718207	0.7211102667799769	0.7769597146950887	0.7188529317420865	0.6989490112887712	0.7046346648669268	0.7122280917894327	0.35540558837636077	0.7065526813261396	0.3809181378646508	0.7996403387850264	0.7533757283473569	0.73923719866405	0.40588948088936433	0.35157703820047914	0.38697011959743693	0.7144397501608639	0.3761230374859378	0.3981376279552364	0.3714618856374044	0.7123864322979085	0.7568319578538695	0.710137969332628	0.3746182610437282	0.7337450532530708	0.7124721293526097	0.373979088898223	0.7160126345598324	0.7307940141366942	0.7176170591375262	0.7015584813758866	0.7147718942808312	0.7097863033870813	0.7339234310360718	0.8250530577514035	0.7643247824896089	0.7969754217454955	0.7186409189790148	0.7156432158918781	0.7498352723135839	0.712783502590983
