	UNKGMB37	UNKGMB10	UNKGMB19	UNKGMB7	UNKGMB6	UNKGMB38	LSGMB16	UNKGMB5	UNKGMB24	UNKGMB26	LSGMB10	UNKGMB28	RSGMB3	LFGMB1	RSGMB4	UNKGMB36	RSGMB5	UNKGMB12	G12MB13	UNKGMB25	RSGMB6	G12MB10	UNKGMB30	UNKGMB14	UNKGMB13	G2MB7	UNKGMB8	G12MB2	AGMB6	UNKGMB21	G12MB17	G2MB14	LSGMB14	G12MB7	LSGMB11	UNKGMB34	UNKGMB20	G2MB6	RSGMB7	LSGMB15	UNKGMB27	UNKGMB29	RSGMB1	URGMB11	G2MB12	LSGMB13	URGMB13	URGMB12	LSGMB20	UNKGMB33	LSGMB1	LSGMB17	G2MB9	G2MB11	G12MB14	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	UNKGMB35	URGMB3	LSGMB19	FRCMB4	AGMB1	FRCMB1	UNKGMB18	UNKGMB23	UNKGMB17	AGMB5	UNKGMB22	UNKGMB4	UNKGMB15	G12MB5	G12MB16	G2MB4	UNKGMB9	G2MB8	G2MB2	UNKGMB11	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	G12MB8	FRCMB2	URGMB10	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
UNKGMB37	0.0	0.1361516983313176	0.1368163024645138	0.11948908157037982	0.10231564590218695	0.18094941944049434	0.06930006507599458	0.14537395438703557	0.12250348382247504	0.0998237417908315	0.14188523571561937	0.07569591772043756	0.09743671132796666	0.10799295285846046	0.14291791885797267	0.11104448218163541	0.2105747364901375	0.11691078187633637	0.25560850102188126	0.08601739117836361	0.17513065606798528	0.3076991816899394	0.08699124476594414	0.14135862486972914	0.126845645885559	0.4201655062149069	0.155481584229751	0.4296778192310596	0.33965842627555287	0.11244770768632607	0.3906796208127919	0.22316871436662913	0.07970161578961993	0.22711924269662773	0.0877505998354492	0.0782079168760306	0.12873914336724776	0.2736455359902506	0.1839461902893459	0.07304700732188946	0.11190934445019751	0.12295367585162682	0.18606021979264908	0.3010319661482687	0.2652567946447636	0.10144232155719023	0.23071007593533438	0.24735567484688126	0.13930067411216293	0.10883427113561364	0.12722896421857846	0.06937273399802961	0.3842813491556143	0.2737807021234938	0.601919413151617	0.21502480301577406	0.3029013110741055	0.2553850550292052	0.24177037877535962	0.24776889443347427	0.39295948053039226	0.31754367336109984	0.23928453579776346	0.2802368630550268	0.2455936997445949	0.42670119584232713	0.216399789012286	0.23880886181584893	0.30292941496004183	0.26615584051872926	0.0965693213347497	0.28615722826526296	0.16701995959320787	0.4752103545358386	0.4413820881524976	0.4278611238842885	0.0938693833203123	0.12462015749248688	0.09357871594630734	0.32826681381568806	0.13508924566749875	0.11398133436337611	0.14662660144866707	0.3300179634582856	0.6498842725900572	0.1850283086905825	0.12209527949029444	0.30333119394084124	0.24125200789559922	0.1266941239498397	0.22251423642791446	0.37007283264581065	0.3131058043290611	0.2574951556515232	0.2441057194341973	0.3418750690216021	0.4905885089470147	0.4843723201112789	0.3024168971817115	0.5835799778172989	0.349904524315533	0.24315399873644372	0.33742576182314854	0.2518900190695508
UNKGMB10	0.1361516983313176	0.0	0.1605495985027469	0.10010550710540866	0.1120406890335739	0.1649450172970442	0.11889352227859555	0.15731939505055254	0.1765348036766101	0.12870352358967307	0.09067049604697552	0.16770561057145345	0.13937137271297376	0.13726545766205347	0.08981507730058055	0.11854156173551736	0.14661742923753576	0.09830815971214228	0.2166760697102213	0.15351867283215173	0.1168232979055314	0.2970366295705343	0.11491918752216991	0.1293216471044698	0.09899918559725045	0.3743015098188676	0.10552858171541246	0.3914059063769915	0.37939319678581934	0.143774742779006	0.3884535789533088	0.24429150758548684	0.1243358624081825	0.22057095443301836	0.18182958783020303	0.12103685834070534	0.12323650403177458	0.2798818679877274	0.1526927130572998	0.11954322213619122	0.11463864502720847	0.18678215438144702	0.17425752389970042	0.27494200787743306	0.2649385827598064	0.11014440351369632	0.21508405687240817	0.2612650954704251	0.1260590023813917	0.10804468683753103	0.1352473498280415	0.11671755818512587	0.37610929545288735	0.214958117950363	0.6132039760859046	0.22571206640980254	0.2697142332261793	0.26245797814652416	0.2529146935936106	0.20572852226063723	0.3484523780848511	0.28489099745659857	0.27206237044295906	0.27531863379374494	0.24196909037204278	0.44893610807270623	0.23215039567344553	0.20602275887606722	0.28523694193937493	0.28585919754849626	0.09142460091656693	0.2578107897533923	0.1993981406181741	0.4481296202436552	0.43179871294826877	0.39858362742142817	0.13877062404450705	0.11439209200336999	0.12148554459599029	0.3636447648104757	0.1215808135511456	0.11584253756173479	0.10009979180427592	0.2819868527023417	0.6914346355020562	0.20822488342838238	0.08899114104793639	0.27144914919747537	0.30347344782465535	0.08771210289045459	0.21810462928065	0.3444672254234526	0.3441650776060234	0.23860630695270738	0.2534047782021366	0.2772484384528725	0.5367837258211503	0.518131667132174	0.33121502646475964	0.5614030927120797	0.40953648443911017	0.23319283992707973	0.3459896554231588	0.23303112031476134
UNKGMB19	0.1368163024645138	0.1605495985027469	0.0	0.12050943656380646	0.10986423285561178	0.15133881397838894	0.1167751923717072	0.20778152553998838	0.1307122436094058	0.11196750018624456	0.15221538971369644	0.14104087770854593	0.14204789956780867	0.09271261656642812	0.15197999644254348	0.13176360755699945	0.15725297149561335	0.14006590725576282	0.2615443259048182	0.14377904789768292	0.19603220798477866	0.27328456817327157	0.11149674030213737	0.11666474801484765	0.14862180629045216	0.37644770395648885	0.1776406550143824	0.39598024069322124	0.324064588645414	0.12743064474092214	0.3600947799135722	0.21025282392833392	0.12308070218476576	0.252807735248581	0.1623179719351396	0.1305750776962363	0.13019217769853345	0.2324567997390268	0.16151495633713983	0.11172188903871241	0.11914802041912455	0.11874489850296104	0.10665121326352774	0.30391106070629925	0.2408226414022867	0.13129402361571535	0.2652232977488392	0.2532119580584087	0.108843753111978	0.12531075805187336	0.0988917276139297	0.10936381673057863	0.33694738778058125	0.2811027087766077	0.5606406922496795	0.24573802480399567	0.2658132015168205	0.26410574755736727	0.24639553880846887	0.2690903026543526	0.3564040147654279	0.2791547551848208	0.24197084096039514	0.30412900895629247	0.27383194846543407	0.4037382913228763	0.20379310186746522	0.26283665019325114	0.27348553629555816	0.2434203138712007	0.13325392272819606	0.29602244369350844	0.11455340076751386	0.5073896344628117	0.41498782663368633	0.44205273952937885	0.16109071805012806	0.11362801769526427	0.12528287179464015	0.3060670444756998	0.11456866026419289	0.13060178673812364	0.12774610608506487	0.29002011853986076	0.637265465349229	0.23644699751828607	0.12962422923582334	0.28351044945579906	0.2548850870818681	0.13413345757583692	0.2579782058505909	0.35740159883088884	0.29951947463126555	0.29180060751755865	0.24431505220939875	0.3019010467322439	0.4819498545306015	0.5053407896394887	0.32835193711773664	0.5664323945784602	0.35584019101256786	0.2803465993545056	0.3582732438672027	0.27419328360729667
UNKGMB7	0.11948908157037982	0.10010550710540866	0.12050943656380646	0.0	0.07432507284135202	0.13161045609471997	0.11134611785199759	0.1539639580034189	0.15638420336003211	0.11421448304418279	0.10385834876334603	0.158267828755831	0.11424560999387257	0.09319642436857375	0.08748237521985593	0.11189162166625016	0.1565154503102204	0.0904722788029048	0.22246563412014123	0.1365379978879197	0.12141200557076938	0.27823378183443126	0.1057031528429702	0.11048466203226873	0.09414352300518447	0.3747848248389583	0.10037622702758128	0.3892183238403156	0.34858414712694874	0.1310297822360242	0.3751545839229013	0.2157802232306045	0.11816684544548572	0.21469581840184365	0.16941898019022308	0.10980692817135142	0.12484663122931644	0.2589146018669267	0.11974797729616345	0.11031294097259378	0.11139814474116995	0.15939035256252818	0.11902435430163699	0.2682413484860913	0.2470050438224688	0.10616907362720746	0.20826368021954933	0.2345788953020834	0.09973743431339627	0.10857271580028538	0.08746732065949969	0.10378989728868836	0.35300802296416567	0.2332554459327282	0.5899584544208574	0.20284376796116502	0.26654296170051367	0.23831853649298806	0.22857939922878598	0.2165607824172515	0.3548098633228505	0.28353378782849614	0.24183878507847242	0.25727449915759415	0.22657271559134182	0.42512918666765265	0.2066735488329733	0.20585951100136657	0.26693589775698573	0.25663898007363184	0.08821633610347374	0.24956962192727108	0.1449547699360649	0.46448897006643025	0.412653396815808	0.40679004226407767	0.1461175261457012	0.1061154197586689	0.09566356535599486	0.33469153961897957	0.11549435050467262	0.07013930152142074	0.09353999833777248	0.2894706744924054	0.668521492198909	0.19768025491560642	0.06645740570905839	0.2613435184450546	0.27721090473465315	0.08397327620105668	0.2041799771357393	0.33340383478335145	0.31710310574180733	0.2342325197630556	0.23069186675671818	0.2975906586173504	0.5028010773151338	0.49955841738122697	0.31191025416099083	0.580338900803382	0.38382359212064104	0.2280805506939246	0.3384199991788141	0.22739495842367413
UNKGMB6	0.10231564590218695	0.1120406890335739	0.10986423285561178	0.07432507284135202	0.0	0.14300726709014297	0.1058874470765622	0.13698560826604325	0.15225776438420877	0.12064286817673259	0.11979878945278882	0.13897864220461414	0.10917314371031493	0.09414209561212582	0.10004516338518207	0.12169294910464529	0.17030742446506525	0.10676232204564641	0.22654732981142217	0.11865546248818604	0.146100825565548	0.2861858331686891	0.10107568807848007	0.12979925736739692	0.11417317605702942	0.38853614953022114	0.116336955189876	0.40389682996676407	0.34450465407915803	0.12768305500893143	0.38169753838735626	0.21516801803447863	0.10911427743853279	0.20979456638484756	0.15326616565526485	0.10513538708363174	0.13450653794972348	0.2633922066140285	0.13154162673310393	0.10762984725827374	0.1225972084576352	0.13744326887487632	0.12782078310769224	0.2723784038848207	0.249039238833269	0.09669843190675359	0.21195076653931189	0.23017678382684487	0.11409390042823139	0.12276836342011571	0.0962470573292756	0.10075083449197596	0.36365036351175917	0.241555930181975	0.5873540064604971	0.2075200011984074	0.27548214081526856	0.23528040867691816	0.2376056297403071	0.22015637353483	0.368314469431444	0.2965918455039898	0.24172421245701278	0.2629061239420045	0.23070665503402538	0.42091085602846795	0.2012953991038519	0.21280614355928285	0.2780290450483459	0.25759544157657743	0.09315050394578224	0.25793620443142495	0.15173461944273892	0.4581246649510985	0.42064974373336134	0.4037533742317704	0.13475763296322243	0.1235194420136802	0.09105252706644414	0.3357182848841953	0.1270549494871662	0.08567193044159914	0.10932538226496673	0.2958477917976413	0.6646767440947471	0.18140849179360105	0.09450023569884246	0.27367582989122086	0.26891536894488566	0.10801842998418766	0.21000051963108132	0.34011051366660294	0.3122597519101528	0.23425955156993014	0.23494426275607755	0.306280070609502	0.5011946066262016	0.4944020849185093	0.31585363883540757	0.5756085074585878	0.3770605947796791	0.22540251291743912	0.34008004597445085	0.22410680513890158
UNKGMB38	0.18094941944049434	0.1649450172970442	0.15133881397838894	0.13161045609471997	0.14300726709014297	0.0	0.16729239849768024	0.22749492430887328	0.20647594549072687	0.1781017823214868	0.16535403897216766	0.2049613117206058	0.19746295015519402	0.15059595466614212	0.15643748979632535	0.1707366108092743	0.17328091858865227	0.16059217369577786	0.28732174632372476	0.19612457956945992	0.19321540104326795	0.3276999822169481	0.1583865430970291	0.15158094892875162	0.16583975166274628	0.4217808686955816	0.1589207976602051	0.4329388115224463	0.39997075857786274	0.1896870568886643	0.4280481530727512	0.28163996527124385	0.1693831679256172	0.2838825364157506	0.21224944088670297	0.1729925949045357	0.17602403139672715	0.30405128524165187	0.1546097921883198	0.16732998830675105	0.1726432056609071	0.12971945272934074	0.13865331057952607	0.32004654031938645	0.2962930131426967	0.1702443074329961	0.2800169294159129	0.2815164500418071	0.1668868917825847	0.16984079819517628	0.1535418040941264	0.1578474721491909	0.38758023519280066	0.29341819021942744	0.6217240471934514	0.2746279975804643	0.3089436323105158	0.28829087797826947	0.30214814178339733	0.2762122998521426	0.3963506002332318	0.3273029831947331	0.3152847681764922	0.3230583776349792	0.2843187014728969	0.46349685767800775	0.2605338666760398	0.2671342144792349	0.32089307218293234	0.30731019909573165	0.15296337613804642	0.3073808264722197	0.14347520966615626	0.5056185611790909	0.4664892569931036	0.4419477025362558	0.2123540713979544	0.16092477171161967	0.17487997606410124	0.37833911248189755	0.1592904600705653	0.1636750791119444	0.1328613611786063	0.3255194041936605	0.6999587238895767	0.26214830720602755	0.1439144857222216	0.30748429457529375	0.3297435081092241	0.1508271556414712	0.28401782293699473	0.383162318090335	0.35599930158344395	0.3035731968448854	0.29231443188093953	0.3347279176640119	0.5419474268299294	0.5210090879927873	0.3604218024505747	0.5878035814334397	0.4260139543855103	0.29775061023061417	0.39455174751870914	0.2917975263657053
LSGMB16	0.06930006507599458	0.11889352227859555	0.1167751923717072	0.11134611785199759	0.1058874470765622	0.16729239849768024	0.0	0.15794754101047034	0.10574163162506015	0.07083181584115912	0.13132355262807927	0.08022815015253108	0.09253113743639813	0.09883127335428098	0.12922710252860817	0.07822971679558398	0.1955796982482076	0.10371687595311063	0.2495402431430353	0.08957426660113435	0.16852349774668365	0.29959234993659023	0.06046096687307776	0.12327707185686712	0.10891622563935523	0.4106845116214605	0.14450715810080092	0.42087915206184034	0.34044558817861226	0.08872432659426298	0.3845468700015308	0.218723828020807	0.0357330286875267	0.2222045728609161	0.09742678408653176	0.06399866486471166	0.08934826609726632	0.2612210662153481	0.17759740215214834	0.02052076308279545	0.08525791147448523	0.10701727064749558	0.1766341846853296	0.2922691653811817	0.25790832214945264	0.0860591851862608	0.2251318908428678	0.23645576534581667	0.11925236436380958	0.07209824062129606	0.10768442256440763	0.03802364489687108	0.37200704041149824	0.2690131199915129	0.5975963849541054	0.21216320450150847	0.2899985939519726	0.24446581404009823	0.24168158794217073	0.2425596406492962	0.38447117446183504	0.30495053694372376	0.24078297555689052	0.2728107898401598	0.23859558473952414	0.4281242640483898	0.20562815051863456	0.23078035290757531	0.29477140262003637	0.26162843394391255	0.08919197295224257	0.27263251293072877	0.16185420831955938	0.4843975573087932	0.4344864987608176	0.42695587012501235	0.10463329465262516	0.09700831439433089	0.0844085154132177	0.32365659241222894	0.09697432748250023	0.11331175311504026	0.12587226437530943	0.3146300448394651	0.6620375081665147	0.19369681023924165	0.11427860315463302	0.2902111998484393	0.2535617164056231	0.10593299377415516	0.21856287074636455	0.35577509596459855	0.31100524270123747	0.2557377981493539	0.23943855114263093	0.32503659741866736	0.5068039127262404	0.49528186677890745	0.31377093225931285	0.5759622893385657	0.3667210332133131	0.24117193729808192	0.34512064633344974	0.24800087354037437
UNKGMB5	0.14537395438703557	0.15731939505055254	0.20778152553998838	0.1539639580034189	0.13698560826604325	0.22749492430887328	0.15794754101047034	0.0	0.20217563916837872	0.18165200363068357	0.16027460227578919	0.17799375932483685	0.12882321852573222	0.1799696438808684	0.17565587114319714	0.18635920133245945	0.24398755825401305	0.15542156828785297	0.23703209759654473	0.14212804477180926	0.18003315947711768	0.3075634413108129	0.16558981843939308	0.18746775962912984	0.1515554873216184	0.4048654775389449	0.13825957192478203	0.4171635686798792	0.3612468561015842	0.18201076425990045	0.3782514438270141	0.24288175729093064	0.15788231405666914	0.2327665601823586	0.1798309424857806	0.16170619040284695	0.20241839276545004	0.2919578294253857	0.2133460270892101	0.162115079890218	0.19787901865307592	0.2129533245388545	0.208179435500244	0.27354298959540024	0.2725860593937066	0.135674457581751	0.23595824825787398	0.24899030737252614	0.1892117506324733	0.18785556065309095	0.17126433355264126	0.15229199529109913	0.3779851612199542	0.266591297384733	0.5875886922398537	0.2360967935379427	0.2968667812232914	0.24415569840324855	0.2679093943457771	0.24623677210931955	0.3825251589494901	0.319435674662955	0.2627292303374553	0.24897542275308057	0.2486647006046597	0.4056653489830106	0.24540203431797727	0.24054293685764835	0.298162086625808	0.29624804208155003	0.16292605683707878	0.257365911643203	0.21754968994618784	0.43752882401334214	0.4269796656045988	0.3892593295598479	0.14382946395916174	0.19677236375816817	0.13502021084494406	0.33628064964017	0.19853020033274538	0.13084005081824143	0.20445893313366104	0.3144450461039877	0.644352684952082	0.1920681518245202	0.17147614317475382	0.279321257916068	0.2728809471264278	0.19188777716019836	0.23863585046044627	0.329522500911248	0.30438612479178867	0.242322753146855	0.27187073502308035	0.3170841016088368	0.48819695850474365	0.46816980554531074	0.31092434010441533	0.5920658382021453	0.380113412539464	0.23031489862236088	0.3031584888290994	0.239461368262103
UNKGMB24	0.12250348382247504	0.1765348036766101	0.1307122436094058	0.15638420336003211	0.15225776438420877	0.20647594549072687	0.10574163162506015	0.20217563916837872	0.0	0.08700442616917292	0.1767202456646562	0.09715676303152336	0.13326205861867985	0.13382649195572396	0.18501117339047857	0.13126308465169306	0.22994111970729664	0.16156245853847262	0.2770635264105459	0.12381944429801264	0.20469377978520967	0.3043750892250963	0.11831787447824062	0.17361681619540542	0.17047322433962409	0.4246612846068329	0.2046914263766796	0.4401048609249271	0.34148512144427073	0.06573866574042378	0.38613305808386567	0.2311195040817739	0.11072057027861612	0.25421848735049446	0.12401715057368959	0.12036517317963366	0.10702778766882197	0.25281625759079934	0.20758942302915287	0.10073311047688052	0.1250568764021275	0.1324162408883149	0.19513800627443192	0.3034492526257671	0.2753614889490157	0.1366292477987222	0.25984389443455536	0.2249252224659833	0.15200695900230365	0.12149916562928571	0.12328046247140828	0.10043410681335947	0.33815393088677487	0.2920288106980712	0.6019646275914373	0.23466257781578148	0.3035841691377289	0.2482794166135181	0.24837847003023666	0.27035630272807853	0.39758068410718267	0.3123971543792419	0.2438640486396121	0.3008294555789026	0.26241634317269175	0.4333669341739476	0.2233212982642844	0.2626545784457694	0.31156085955897045	0.27078360888123176	0.1347942157032621	0.30004557887158056	0.1853765055641532	0.5199609397632986	0.44818976289173473	0.45593201294713137	0.15012945373385092	0.12009668807333919	0.1256102424481296	0.3110392044065483	0.12176396823843481	0.161040693575313	0.1759340533691525	0.31058079710047454	0.6618239272600294	0.23145299211883275	0.15127459775389482	0.2743623596732513	0.2663525320699069	0.16090448084352163	0.24919646784595761	0.3498630050578389	0.3227164158143751	0.28891489777389096	0.2517047884227153	0.3323923755400626	0.5090905382800753	0.4955928243085219	0.3320497169748707	0.541428666876624	0.3740760170993392	0.27343495049732297	0.3621747190082513	0.281371461948919
UNKGMB26	0.0998237417908315	0.12870352358967307	0.11196750018624456	0.11421448304418279	0.12064286817673259	0.1781017823214868	0.07083181584115912	0.18165200363068357	0.08700442616917292	0.0	0.14126334578239447	0.09304871723209772	0.11674971819891947	0.10119267891880675	0.1412336486431746	0.08322006644671195	0.19723520570519043	0.12213871365354828	0.25207895398005475	0.11376233171276327	0.16493315726941196	0.29123225225228305	0.07845883900037763	0.1381909058329244	0.12624596421373066	0.39953902234512806	0.1628665910749902	0.4145120402191209	0.33977208893044325	0.08756869174540616	0.377358134708359	0.21803023508381958	0.07111748661464305	0.2285669299415921	0.11728773688093397	0.09027027782148368	0.08751166348793311	0.24382650654126248	0.1720026185876031	0.0646884579216886	0.08386553076926974	0.1200836048506025	0.1759476021394824	0.2921398344292891	0.2542414877298328	0.11515205875347204	0.2282173120085661	0.2357712247680668	0.12785213374167426	0.06834601822268266	0.10928645035409061	0.07553655483675094	0.36052430971328514	0.2634028722172083	0.594808355414442	0.20901857750578795	0.28432121479626804	0.24707097513175494	0.23533051890100282	0.23758312912827942	0.3780384491452459	0.29649315320715536	0.23089578553441004	0.276825726280202	0.23960600001957824	0.4316988048097136	0.20210271952809547	0.230927400270677	0.2884629856726553	0.2625652311897026	0.09630662365712964	0.2738610209700312	0.18362459534325418	0.49113598620040805	0.42932823463630226	0.4313509475393172	0.13680261760841986	0.08862462768386477	0.10469582739075126	0.3162729259073922	0.10502351937983685	0.11501861129721704	0.1280371088190797	0.30658531871078804	0.6666677833362086	0.20415990855487373	0.10573898385651166	0.28516550693434495	0.26235380514076	0.10637919520570442	0.21732454567296952	0.34773159040371426	0.3224692414304202	0.2555642889360117	0.23619961761139452	0.3185639267665727	0.5142171256262549	0.4961515680659843	0.3266965216307455	0.566526548158316	0.37715985407346486	0.24177455268746118	0.3555986996409301	0.25457851293778755
