	pielou_e
St_Patrick	0.6593951539624845
Abita	0.7338415519321909
Callopie	0.6956851693842875
Alana	0.6854019124048907
Unknown	0.6522077952923392
Dyani	0.6623783669668296
Abu	0.5011778185483613
Captive_Baby	0.44716788354216
Marra	0.5307854959863545
Nilsson	0.41171857622882063
Unknown_FRC5	0.6241854908245746
Nyx	0.6856483380760238
Ariadne	0.7614737204689866
Luna	0.7176233337979521
Minerva	0.7252294267373266
Jordan	0.679106515807811
Corey	0.7522553848487671
Theodora	0.6872061412554764
Bathsheba	0.6440824916639941
Odysseus	0.656445678413106
Ivy	0.7600935961361849
Ivanhoe	0.6488992592350431
Octavia	0.7415481494884141
Unknown_G2.3	0.7028105614501926
Unknown_G2.2	0.7251675599495403
Wings	0.7648715406116696
Orf	0.7148865024865368
Juniper	0.7558831899580699
Azalea	0.7260272145569622
Mimosa	0.664975729416207
Agate	0.755603766319019
Zanahoria	0.7292679567342036
Rambo_II	0.7418811724565457
Siobhan	0.7237163279146863
Unknown_G2.1	0.7323279566525613
Talia	0.7261742100529093
LFG_AM (LFM)	0.7388255360599392
LSG_AM (LSM)	0.7614933261389334
LSG_AFO	0.7357892224185705
LSG_Unknown	0.7776910000185521
LSG_AFY	0.7551457430580434
RSG_AM_2	0.7342792734908153
RSG_AM (RSM)	0.7590978351535557
RSG_SubAM_1	0.722757962287554
UNKG_Unknown_1	0.7694308460336021
UNKG_Unknown_2	0.7544686426616892
UNKG_Unknown_3	0.7500030616370625
UNKG_Unknown_4	0.7507146068692769
UNKG_Unknown_5	0.7821317316212433
UNKG_Unknown_6	0.7643504275644167
UNKG_Unknown_7	0.7431833512510782
UNKG_Unknown_8	0.762148486109549
UNKG_Unknown_9	0.7364034425350799
UNKG_Unknown_10	0.7610641105430263
UNKG_Unknown_11	0.7521906395424645
UNKG_Unknown_12	0.7618665520290334
UNKG_Unknown_13	0.7579285101447365
UNKG_Unknown_14	0.7251773450586247
UNKG_Unknown_15	0.7237687496743777
UNKG_Unknown_16	0.7155827408160172
UNKG_Unknown_17	0.7217375089935163
UNKG_Unknown_18	0.7114114519894078
UNKG_Unknown_19	0.7219741765008388
UNKG_Unknown_20	0.7700703938647785
UNKG_Unknown_21	0.7409094319644749
UNKG_Unknown_22	0.764111239800749
UNKG_Unknown_23	0.7684381265890026
UNKG_Unknown_24	0.7459053626927096
UNKG_Unknown_25	0.7611430543150536
UNKG_Unknown_26	0.7460746105603921
UNKG_Unknown_27	0.7310750283761528
UNKG_Unknown_28	0.7556993003962045
UNKG_Unknown_29	0.765955803145062
UNKG_Unknown_30	0.7659127413771278
UNKG_Unknown_31	0.7674601980287115
UNKG_Unknown_32	0.7538607647287078
URG.1	0.70222119955503
URG.10	0.6520025217990882
URG.11	0.6778932599295838
URG.12	0.7190216893019062
URG.13	0.702079025281779
URG.14	0.7434351812355453
URG.2	0.7317194042754667
URG.3	0.7139266337557986
URG.4	0.6997756283444901
URG.5	0.7116274251610708
URG.6	0.6884022770403855
URG.7	0.6653707026606386
URG.8	0.6816149566835399
URG.9	0.6898266719464962
