	faith_pd
St_Patrick	33.537819999999996
Abita	40.09337
Callopie	41.36908
Alana	36.46161
Unknown	36.21027
Dyani	36.20589
Abu	26.20187
Captive_Baby	15.53179
Marra	19.283330000000003
Nilsson	17.92661
Unknown_FRC5	32.70405
Nyx	34.58288
Ariadne	40.936260000000004
Luna	37.949709999999996
Minerva	38.78823
Jordan	37.071810000000006
Corey	39.784980000000004
Theodora	35.92613
Bathsheba	35.73265
Odysseus	39.798120000000004
Ivy	41.427929999999996
Ivanhoe	31.23173
Octavia	40.90882
Unknown_G2.3	36.789280000000005
Unknown_G2.2	41.26315
Wings	39.84801
Orf	44.30594000000001
Juniper	43.15154
Azalea	42.78147
Mimosa	35.58702
Agate	38.05141
Zanahoria	41.17335
Rambo_II	39.908300000000004
Siobhan	40.4326
Unknown_G2.1	36.99939
Talia	42.70738
LFG_AM (LFM)	45.20292
LSG_AM (LSM)	49.07911
LSG_AFO	47.08839
LSG_Unknown	51.074690000000004
LSG_AFY	48.77952
RSG_AM_2	43.86994
RSG_AM (RSM)	49.57925999999999
RSG_SubAM_1	42.69803
UNKG_Unknown_1	49.259280000000004
UNKG_Unknown_2	46.641600000000004
UNKG_Unknown_3	49.92419
UNKG_Unknown_4	48.29097999999999
UNKG_Unknown_5	49.09292
UNKG_Unknown_6	47.09245
UNKG_Unknown_7	45.22465000000001
UNKG_Unknown_8	51.06752
UNKG_Unknown_9	46.15578
UNKG_Unknown_10	45.63604
UNKG_Unknown_11	44.00143
UNKG_Unknown_12	46.08578
UNKG_Unknown_13	46.01197
UNKG_Unknown_14	44.75762
UNKG_Unknown_15	45.60114
UNKG_Unknown_16	43.33163999999999
UNKG_Unknown_17	42.44347000000001
UNKG_Unknown_18	42.757270000000005
UNKG_Unknown_19	44.927279999999996
UNKG_Unknown_20	49.13222
UNKG_Unknown_21	47.411770000000004
UNKG_Unknown_22	48.906530000000004
UNKG_Unknown_23	47.32614
UNKG_Unknown_24	45.51838
UNKG_Unknown_25	51.201719999999995
UNKG_Unknown_26	46.17618999999999
UNKG_Unknown_27	45.49902
UNKG_Unknown_28	49.05045
UNKG_Unknown_29	48.69081
UNKG_Unknown_30	43.88547
UNKG_Unknown_31	46.890800000000006
UNKG_Unknown_32	44.528420000000004
URG.1	37.18553000000001
URG.10	29.077620000000003
URG.11	34.197
URG.12	39.49726
URG.13	36.75699
URG.14	41.862840000000006
URG.2	36.94231
URG.3	38.02598
URG.4	36.43975
URG.5	38.302080000000004
URG.6	35.802440000000004
URG.7	36.19978999999999
URG.8	37.325869999999995
URG.9	36.838550000000005
