	shannon
St_Patrick	5.853132258630831
Abita	6.8224634174398355
Callopie	6.506845533572744
Alana	6.21943391200308
Unknown	5.954189549081471
Dyani	6.048744500942727
Abu	4.1995585708001055
Captive_Baby	3.31324166324916
Marra	4.154218420687961
Nilsson	3.135117495414698
Unknown_FRC5	5.491372677623506
Nyx	6.168901158476583
Ariadne	7.108654425419076
Luna	6.64162445666861
Minerva	6.67365098552246
Jordan	6.2032484322283965
Corey	7.020916369901243
Theodora	6.226565888304198
Bathsheba	5.86157727509914
Odysseus	6.06920311856214
Ivy	7.10926700578258
Ivanhoe	5.757971311474782
Octavia	6.914328829840997
Unknown_G2.3	6.432322448573577
Unknown_G2.2	6.721669976781969
Wings	7.060698366217641
Orf	6.732695645300814
Juniper	7.101116429544132
Azalea	6.8033740764482475
Mimosa	6.0215430426171705
Agate	6.964207883657593
Zanahoria	6.816112972773877
Rambo_II	6.8937984677865005
Siobhan	6.634610196959808
Unknown_G2.1	6.696888885259075
Talia	6.752845036870062
LFG_AM (LFM)	7.021669145494958
LSG_AM (LSM)	7.37886878553571
LSG_AFO	7.102459296812134
LSG_Unknown	7.654307281102424
LSG_AFY	7.3239355422888055
RSG_AM_2	6.975539936242166
RSG_AM (RSM)	7.409972408289128
RSG_SubAM_1	6.863204829410998
UNKG_Unknown_1	7.523554158360207
UNKG_Unknown_2	7.286817707931287
UNKG_Unknown_3	7.30739337557779
UNKG_Unknown_4	7.301614041807895
UNKG_Unknown_5	7.605850859115474
UNKG_Unknown_6	7.344779877041725
UNKG_Unknown_7	7.10508019480572
UNKG_Unknown_8	7.514429511185974
UNKG_Unknown_9	7.0430726093456215
UNKG_Unknown_10	7.284717411965886
UNKG_Unknown_11	7.1501824721129275
UNKG_Unknown_12	7.33211340793259
UNKG_Unknown_13	7.246048821522442
UNKG_Unknown_14	6.954876454411013
UNKG_Unknown_15	6.95749381306855
UNKG_Unknown_16	6.819096034351801
UNKG_Unknown_17	6.822779999232386
UNKG_Unknown_18	6.74689515250362
UNKG_Unknown_19	6.911926044300063
UNKG_Unknown_20	7.488560213015575
UNKG_Unknown_21	7.15321089572041
UNKG_Unknown_22	7.449984816063622
UNKG_Unknown_23	7.421737938006181
UNKG_Unknown_24	7.139621627157414
UNKG_Unknown_25	7.483031223457204
UNKG_Unknown_26	7.181496976457044
UNKG_Unknown_27	6.996282460416233
UNKG_Unknown_28	7.436668992215197
UNKG_Unknown_29	7.478189169699125
UNKG_Unknown_30	7.291210699328234
UNKG_Unknown_31	7.37890712095326
UNKG_Unknown_32	7.264673205846528
URG.1	6.407151412478306
URG.10	5.56755307888534
URG.11	6.0660378336660035
URG.12	6.692897654045704
URG.13	6.394903972370062
URG.14	6.928572132292088
URG.2	6.711643192385975
URG.3	6.573132740545778
URG.4	6.392048917799047
URG.5	6.582766045106211
URG.6	6.254002780640116
URG.7	6.017874870337281
URG.8	6.297034846220074
URG.9	6.311739604599954
