	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.4721079258010118	0.5796964586846542	0.595885328836425	0.6599662731871838	0.6683305227655987	0.9395615514333896	0.9938617200674537	0.9820573355817875	0.9687015177065768	0.7077908937605396	0.5846205733558179	0.5851602023608768	0.6004047217537942	0.5635075885328836	0.660168634064081	0.5968971332209106	0.5384148397976392	0.5648566610455312	0.6563237774030354	0.5633726812816189	0.6236087689713322	0.6683305227655987	0.5408431703204047	0.5884654300168634	0.555345699831366	0.593389544688027	0.5579089376053963	0.6371669477234402	0.6280607082630691	0.5730185497470489	0.6305564924114672	0.6516694772344014	0.48573355817875213	0.551973018549747	0.5935244519392917	0.9254637436762226	0.9021247892074199	0.9156829679595279	0.9130522765598651	0.8960539629005059	0.9273524451939291	0.9082630691399662	0.9256661045531197	0.9110286677908938	0.9023271500843171	0.9218212478920742	0.9187858347386172	0.9247217537942665	0.913389544688027	0.925531197301855	0.9355143338954469	0.9329510961214166	0.9058347386172007	0.9137942664418213	0.9189207419898819	0.9175716694772345	0.9173693086003373	0.9283642495784148	0.9179089376053963	0.9291736930860034	0.924451939291737	0.9058347386172007	0.9166273187183811	0.9218887015177065	0.8996964586846543	0.9106239460370995	0.9132546374367623	0.9218212478920742	0.9338279932546374	0.9313322091062395	0.9134569983136593	0.9229679595278246	0.9179089376053963	0.9304553119730186	0.9164924114671164	0.5141989881956155	0.7803035413153457	0.5633052276559866	0.5415177065767285	0.564991568296796	0.5879932546374368	0.5637099494097808	0.5184485666104554	0.49827993254637437	0.5218887015177066	0.5792242833052277	0.5053625632377741	0.5681618887015177	0.5243844856661045
Abita	0.4721079258010118	0.0	0.3609443507588533	0.44795952782462056	0.4768296795952782	0.4458010118043845	0.9273524451939291	0.9916357504215851	0.9541989881956155	0.9593929173693087	0.671973018549747	0.4845193929173693	0.3818549747048904	0.4074873524451939	0.4851264755480607	0.4129510961214165	0.4105902192242833	0.42583473861720067	0.45315345699831366	0.4665767284991568	0.39379426644182125	0.492681281618887	0.541787521079258	0.40114671163575044	0.39332209106239463	0.3223608768971332	0.3240472175379427	0.33463743676222596	0.4418887015177066	0.47015177065767283	0.41254637436762226	0.4400674536256324	0.4136256323777403	0.4271838111298482	0.4285328836424958	0.4362225969645869	0.9068465430016863	0.879460370994941	0.8584822934232715	0.8812141652613829	0.867858347386172	0.9054300168634064	0.8850590219224284	0.9025295109612141	0.8825632377740303	0.8756829679595278	0.8998313659359191	0.9043507588532884	0.9022596964586846	0.8903204047217538	0.8992242833052276	0.8983473861720067	0.9106239460370995	0.88	0.8793254637436763	0.8928161888701518	0.8846543001686341	0.8478920741989882	0.896795952782462	0.8480944350758853	0.8960539629005059	0.8439123102866779	0.8816863406408094	0.8685328836424958	0.8925463743676223	0.8665767284991568	0.8797301854974705	0.8836424957841484	0.8691399662731872	0.9106239460370995	0.911433389544688	0.8826306913996628	0.887150084317032	0.8928836424957841	0.9092748735244519	0.8827655986509275	0.3912984822934233	0.6698145025295109	0.5235075885328836	0.4082293423271501	0.4082293423271501	0.37558178752107924	0.41659359190556494	0.44296795952782464	0.41349072512647556	0.42374367622259695	0.49834738617200675	0.5229005059021923	0.36768971332209105	0.416256323777403
Callopie	0.5796964586846542	0.3609443507588533	0.0	0.37497470489038787	0.3361888701517707	0.33841483979763914	0.9365935919055649	0.992849915682968	0.9612141652613828	0.9662731871838112	0.6779763912310287	0.49052276559865093	0.44741989881956157	0.4207757166947723	0.5504215851602023	0.4129510961214165	0.4568634064080944	0.4858010118043845	0.3737605396290051	0.35318718381112985	0.49025295109612144	0.4221247892074199	0.5612141652613828	0.46677908937605395	0.43467116357504215	0.42104553119730187	0.3653962900505902	0.3984485666104553	0.5192580101180438	0.4245531197301855	0.4118043844856661	0.4990893760539629	0.46913996627318716	0.5020573355817876	0.49888701517706574	0.5020573355817876	0.9193254637436762	0.8994266441821248	0.8534232715008432	0.8953794266441821	0.8904553119730185	0.9206745362563238	0.9019224283305227	0.9222934232715009	0.9035413153456998	0.893760539629005	0.9158178752107926	0.9186509274873524	0.9179763912310287	0.9080607082630692	0.9100168634064081	0.90070826306914	0.9259359190556492	0.9003035413153457	0.8957166947723441	0.909814502529511	0.9129848229342327	0.8598988195615515	0.9011129848229342	0.863406408094435	0.9137268128161888	0.8246880269814503	0.8954468802698144	0.8813490725126476	0.9156829679595279	0.8802698145025295	0.8954468802698144	0.9008431703204047	0.8564586846543002	0.9308600337268128	0.923575042158516	0.8857335581787521	0.9052951096121417	0.9112310286677909	0.924991568296796	0.9101517706576728	0.44870151770657674	0.7021247892074199	0.5353794266441821	0.46070826306914	0.40802698145025296	0.45106239460370995	0.4421585160202361	0.49005059021922426	0.4665767284991568	0.47284991568296797	0.4475548060708263	0.5749072512647555	0.36768971332209105	0.44822934232715006
Alana	0.595885328836425	0.44795952782462056	0.37497470489038787	0.0	0.38259696458684656	0.3635075885328836	0.9298482293423271	0.9938617200674537	0.9490725126475548	0.9493423271500843	0.7044182124789208	0.5462394603709949	0.5154806070826307	0.4986846543001686	0.6321753794266441	0.47258010118043847	0.5115682967959528	0.5877234401349073	0.41753794266441824	0.4575379426644182	0.5352445193929174	0.4669139966273187	0.5595278246205734	0.4635413153456998	0.4613827993254637	0.5056998313659359	0.4209780775716695	0.48006745362563236	0.4973355817875211	0.4227318718381113	0.45079258010118045	0.44505902192242836	0.48829679595278247	0.568026981450253	0.5422596964586847	0.5375379426644182	0.9226981450252951	0.8853962900505902	0.8639460370994941	0.9011129848229342	0.8837099494097808	0.9173693086003373	0.8919392917369309	0.9163575042158516	0.8992917369308601	0.8868128161888702	0.9173693086003373	0.9197976391231029	0.9137942664418213	0.90070826306914	0.9149409780775717	0.906779089376054	0.9240472175379426	0.9007757166947723	0.8924789207419899	0.9086677908937605	0.9047554806070827	0.862664418212479	0.9065092748735245	0.8656998313659359	0.9098819561551433	0.8393929173693087	0.8913996627318719	0.8818212478920742	0.9087352445193929	0.8758178752107926	0.897672849915683	0.9009780775716695	0.865362563237774	0.924654300168634	0.927150084317032	0.8950421585160202	0.9058347386172007	0.9044182124789207	0.9206070826306914	0.896256323777403	0.4428330522765599	0.7819898819561552	0.5252613827993254	0.402495784148398	0.4590893760539629	0.5174367622259697	0.5123777403035413	0.488026981450253	0.47797639123102864	0.43231028667790894	0.4323777403035413	0.5893423271500843	0.46556492411467115	0.4614502529510961
Unknown	0.6599662731871838	0.4768296795952782	0.3361888701517707	0.38259696458684656	0.0	0.27284991568296796	0.9407757166947723	0.9950758853288364	0.9752445193929173	0.9571669477234401	0.7085328836424958	0.5917706576728499	0.5293086003372681	0.4849241146711636	0.6309612141652614	0.4920741989881956	0.5120404721753794	0.5703878583473861	0.33747048903878585	0.2867453625632378	0.5811804384485666	0.4675210792580101	0.5597301854974704	0.5449578414839797	0.48344013490725124	0.5240472175379427	0.43419898819561553	0.4787858347386172	0.533220910623946	0.48101180438448565	0.48357504215851604	0.5288364249578414	0.4851264755480607	0.5935244519392917	0.5784822934232715	0.5733558178752108	0.9156829679595279	0.8972006745362563	0.852141652613828	0.8963912310286678	0.8855311973018549	0.9126475548060708	0.8967284991568297	0.9194603709949409	0.9027993254637436	0.8924789207419899	0.913929173693086	0.9152107925801012	0.9190556492411467	0.9077234401349072	0.9065092748735245	0.9075210792580101	0.920539629005059	0.8963237774030354	0.8957841483979764	0.9063069139966273	0.9098819561551433	0.8669139966273187	0.9015851602023609	0.8685328836424958	0.9062394603709949	0.802495784148398	0.887689713322091	0.8801349072512648	0.9124451939291737	0.8765598650927487	0.8957166947723441	0.9009780775716695	0.8566610455311973	0.9259359190556492	0.92141652613828	0.8928161888701518	0.903743676222597	0.904822934232715	0.9115682967959527	0.9013153456998314	0.5399662731871838	0.7909612141652613	0.5892074198988195	0.5232377740303541	0.4901180438448567	0.5089376053962901	0.4555143338954469	0.5783473861720068	0.5684991568296796	0.5482630691399663	0.4930185497470489	0.6599662731871838	0.45382799325463746	0.5331534569983136
Dyani	0.6683305227655987	0.4458010118043845	0.33841483979763914	0.3635075885328836	0.27284991568296796	0.0	0.9428667790893761	0.9958178752107926	0.9736256323777404	0.9560202360876897	0.7577065767284992	0.5957504215851602	0.5427318718381113	0.4961214165261383	0.6227993254637437	0.48337268128161887	0.5590556492411467	0.5548735244519393	0.424283305227656	0.4153119730185498	0.5615514333895447	0.49591905564924116	0.6119392917369308	0.5189207419898819	0.473929173693086	0.5036087689713322	0.42381112984822933	0.4827655986509275	0.5465767284991568	0.48863406408094434	0.5100843170320405	0.5384148397976392	0.5186509274873524	0.581787521079258	0.5883305227655986	0.5667453625632378	0.9112984822934233	0.8842495784148398	0.8568634064080944	0.890725126475548	0.8759527824620573	0.8936930860033727	0.8677908937605396	0.8829679595278246	0.8957166947723441	0.8825632377740303	0.9086677908937605	0.9112310286677909	0.9128499156829679	0.896256323777403	0.9086677908937605	0.9005733558178752	0.9136593591905565	0.8920067453625632	0.8864755480607083	0.9038111298482293	0.9014502529510962	0.8611804384485666	0.8984822934232715	0.862866779089376	0.8955143338954469	0.8337268128161889	0.8811467116357504	0.8716357504215851	0.904283305227656	0.8722428330522766	0.8895109612141653	0.8943676222596965	0.8651602023608769	0.9197976391231029	0.9150758853288364	0.8856661045531198	0.894097807757167	0.8926138279932546	0.8815514333895447	0.8913996627318719	0.5284991568296796	0.7534569983136593	0.6069477234401349	0.5274198988195615	0.4911973018549747	0.5135244519392917	0.5328161888701518	0.5790893760539629	0.5684991568296796	0.547858347386172	0.5137942664418212	0.6595615514333896	0.4597639123102867	0.5302529510961214
Abu	0.9395615514333896	0.9273524451939291	0.9365935919055649	0.9298482293423271	0.9407757166947723	0.9428667790893761	0.0	0.9217537942664418	0.9547386172006745	0.25591905564924117	0.9345025295109612	0.9365935919055649	0.9250590219224283	0.9444856661045531	0.9386846543001687	0.948735244519393	0.9432715008431704	0.9415851602023608	0.9345025295109612	0.9405059021922428	0.9303204047217538	0.9316694772344013	0.9438111298482293	0.9304553119730186	0.9293760539629005	0.9332209106239461	0.9311973018549747	0.9349072512647555	0.9290387858347386	0.9367959527824621	0.942327150084317	0.9358516020236087	0.9389544688026982	0.9279595278246205	0.9474536256323778	0.9345699831365936	0.9784148397976391	0.9755817875210793	0.975177065767285	0.9741652613827994	0.9781450252951096	0.9776053962900506	0.9738279932546374	0.9736256323777404	0.9755817875210793	0.9764586846543002	0.9774030354131534	0.9763237774030354	0.9771332209106239	0.9768634064080944	0.9722765598650928	0.9765261382799325	0.9761214165261383	0.973220910623946	0.9801011804384485	0.9680944350758853	0.9779426644182124	0.9770657672849916	0.978752107925801	0.9743676222596964	0.9794940978077572	0.9774704890387859	0.9802360876897134	0.9747723440134908	0.9769308600337269	0.9750421585160203	0.9751096121416526	0.9752445193929173	0.9772681281618887	0.9761888701517707	0.9734907251264755	0.9714671163575043	0.9747048903878583	0.9780101180438449	0.9730185497470489	0.9759865092748735	0.9356492411467117	0.9099494097807758	0.9353119730185497	0.932681281618887	0.9316694772344013	0.9405059021922428	0.9416526138279933	0.9347048903878583	0.9365261382799326	0.9314671163575042	0.9293086003372681	0.9307925801011805	0.9357841483979764	0.9339629005059021
Captive_Baby	0.9938617200674537	0.9916357504215851	0.992849915682968	0.9938617200674537	0.9950758853288364	0.9958178752107926	0.9217537942664418	0.0	0.9849578414839798	0.9256661045531197	0.9899494097807757	0.9879258010118044	0.9904215851602024	0.9904215851602024	0.9876559865092749	0.9933220910623946	0.9912984822934233	0.9941315345699832	0.9929848229342327	0.9919055649241146	0.9910286677908937	0.9944013490725127	0.9931871838111298	0.989477234401349	0.9896121416526138	0.9780775716694773	0.9861045531197302	0.9897470489038785	0.9776728499156829	0.9934569983136594	0.9905564924114671	0.994468802698145	0.9925801011804385	0.9897470489038785	0.9926475548060708	0.9919055649241146	0.9931197301854975	0.9923777403035413	0.9936593591905565	0.9919730185497471	0.9937268128161889	0.992849915682968	0.9906239460370995	0.9916357504215851	0.9938617200674537	0.9931871838111298	0.9919730185497471	0.9927150084317032	0.9931871838111298	0.9933220910623946	0.9927824620573356	0.9914333895446881	0.9933220910623946	0.9936593591905565	0.9941989881956155	0.993052276559865	0.9931197301854975	0.9944013490725127	0.9929848229342327	0.9925801011804385	0.9952107925801011	0.9941315345699832	0.9945362563237774	0.9931197301854975	0.9939966273187184	0.9934569983136594	0.9929848229342327	0.9942664418212479	0.9908263069139966	0.9924451939291737	0.9925801011804385	0.9849578414839798	0.9901517706576729	0.9909612141652614	0.9905564924114671	0.9931197301854975	0.992310286677909	0.8154468802698145	0.995885328836425	0.993929173693086	0.9937942664418212	0.9925801011804385	0.9917032040472176	0.9933220910623946	0.992849915682968	0.9936593591905565	0.9936593591905565	0.989274873524452	0.9918381112984823	0.993389544688027
Marra	0.9820573355817875	0.9541989881956155	0.9612141652613828	0.9490725126475548	0.9752445193929173	0.9736256323777404	0.9547386172006745	0.9849578414839798	0.0	0.9769308600337269	0.9772006745362564	0.973220910623946	0.9382799325463743	0.9284991568296797	0.9548060708263069	0.9789544688026981	0.9701180438448567	0.9548060708263069	0.9709274873524452	0.970185497470489	0.890522765598651	0.9633052276559865	0.9626306913996627	0.9730185497470489	0.9101517706576728	0.9552107925801012	0.9697133220910624	0.9548735244519393	0.9722091062394603	0.984283305227656	0.9544013490725126	0.9758516020236088	0.952310286677909	0.9697133220910624	0.897133220910624	0.8774367622259697	0.9905564924114671	0.9871163575042159	0.9876559865092749	0.9860370994940978	0.9881281618887016	0.9875885328836425	0.9843507588532884	0.9857672849915683	0.9863743676222597	0.9883979763912311	0.9869814502529511	0.9863069139966273	0.9863069139966273	0.9896795952782462	0.9866441821247892	0.9810455311973019	0.9867116357504215	0.9863743676222597	0.9892074198988196	0.9842158516020236	0.9914333895446881	0.9844182124789207	0.9844182124789207	0.9846880269814503	0.9904215851602024	0.9855649241146711	0.99035413153457	0.9883305227655986	0.986441821247892	0.9897470489038785	0.9896795952782462	0.9894097807757167	0.9823946037099494	0.9920404721753794	0.9821922428330523	0.9819224283305228	0.9818549747048904	0.9883305227655986	0.9838785834738617	0.9896121416526138	0.9717369308600338	0.9204047217537943	0.9634401349072512	0.9436762225969646	0.9726138279932547	0.958043844856661	0.9745699831365936	0.9566947723440135	0.9647217537942664	0.9516357504215852	0.9641146711635751	0.9698482293423272	0.972141652613828	0.9722091062394603
Nilsson	0.9687015177065768	0.9593929173693087	0.9662731871838112	0.9493423271500843	0.9571669477234401	0.9560202360876897	0.25591905564924117	0.9256661045531197	0.9769308600337269	0.0	0.9616188870151771	0.9617537942664418	0.9628330522765599	0.972681281618887	0.973220910623946	0.9659359190556492	0.9665430016863407	0.9587183811129848	0.9644519392917369	0.9595952782462057	0.9648566610455312	0.9672175379426644	0.9699156829679595	0.9492074198988195	0.9593929173693087	0.9613490725126476	0.9554131534569983	0.9638448566610456	0.9517032040472175	0.9501517706576729	0.9724789207419898	0.966070826306914	0.9608094435075886	0.9593929173693087	0.9743676222596964	0.9648566610455312	0.9916357504215851	0.9907588532883642	0.9892074198988196	0.9885328836424958	0.9923777403035413	0.9920404721753794	0.990016863406408	0.9901517706576729	0.9910961214165261	0.9912984822934233	0.9913659359190556	0.9910961214165261	0.9904890387858347	0.9925801011804385	0.9861720067453625	0.989274873524452	0.9901517706576729	0.9899494097807757	0.9919730185497471	0.9855649241146711	0.9908263069139966	0.9923777403035413	0.9931197301854975	0.9909612141652614	0.9920404721753794	0.9902192242833052	0.993389544688027	0.9880607082630691	0.9919730185497471	0.990893760539629	0.9884654300168634	0.9890725126475548	0.9912984822934233	0.9904215851602024	0.99035413153457	0.9871838111298482	0.9899494097807757	0.9917032040472176	0.989274873524452	0.9912310286677909	0.9644519392917369	0.924991568296796	0.9657335581787521	0.9645868465430016	0.9612141652613828	0.96964586846543	0.9718043844856661	0.9631703204047217	0.9631028667790894	0.9633726812816189	0.96	0.9608768971332209	0.9656661045531197	0.9653962900505902
