	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.5596330275229358	0.5515463917525774	0.5947075208913649	0.5793103448275863	0.5896032831737346	0.8243045387994143	0.9403973509933775	0.8848	0.9081967213114754	0.6219879518072289	0.5615835777126099	0.5710627400768246	0.5887728459530026	0.5493150684931507	0.574585635359116	0.5939470365699874	0.5449275362318841	0.5586987270155587	0.59765625	0.5736040609137056	0.5707762557077626	0.6164383561643836	0.5747599451303155	0.5602649006622517	0.5926412614980289	0.5840490797546012	0.6009791921664627	0.6211936662606578	0.6198347107438017	0.5949868073878628	0.6245398773006134	0.6131479140328698	0.5645604395604396	0.5710344827586207	0.5714285714285714	0.8843283582089553	0.8788927335640139	0.8903394255874674	0.8788368336025848	0.8823024054982818	0.8746465598491989	0.8689771766694844	0.8712121212121212	0.8803986710963455	0.8789473684210526	0.877326565143824	0.8801020408163265	0.8761742100768574	0.8790322580645161	0.894404332129964	0.8905630452022204	0.8804744525547445	0.8959641255605382	0.9058500914076782	0.8798932384341637	0.8822992700729927	0.8899821109123435	0.8979771328056289	0.8846863468634686	0.8836987607244995	0.8987929433611885	0.8920863309352518	0.897822445561139	0.8807017543859649	0.8926788685524126	0.8925476603119584	0.891989198919892	0.889871382636656	0.8957055214723927	0.8674033149171271	0.885048231511254	0.8794979079497908	0.8892988929889298	0.8753363228699551	0.8766637089618456	0.5602240896358543	0.7708029197080292	0.5590433482810164	0.5717981888745148	0.5666199158485273	0.5708762886597938	0.5735694822888283	0.5758389261744966	0.5586592178770949	0.5574866310160428	0.5692090395480226	0.5640287769784172	0.5660881174899867	0.5722145804676754
Abita	0.5596330275229358	0.0	0.46897374701670647	0.508301404853129	0.5044025157232704	0.4860050890585242	0.8167281672816729	0.9417218543046357	0.8926261319534282	0.8985313751668892	0.6088082901554405	0.5421994884910486	0.4964622641509434	0.5185185185185185	0.5236363636363637	0.5018867924528302	0.5220417633410673	0.4797385620915033	0.5163727959697733	0.5197604790419161	0.4852420306965762	0.5379494007989347	0.5435779816513762	0.5136476426799007	0.5166666666666667	0.49264705882352944	0.49942857142857144	0.5	0.5245714285714286	0.54875	0.5393794749403341	0.5421412300683371	0.5275498241500586	0.5263157894736842	0.539119804400978	0.5223004694835681	0.8458262350936968	0.8341346153846154	0.854632587859425	0.8489583333333334	0.8467614533965245	0.8426005132591959	0.8359253499222395	0.8413379073756432	0.8478593272171254	0.8522364217252396	0.8533950617283951	0.8513618677042801	0.8503507404520655	0.8470973017170891	0.8646431501230517	0.8619430241051863	0.8497925311203319	0.8615888615888616	0.8718801996672213	0.8499594484995945	0.8466666666666667	0.8627132412672623	0.8731045490822027	0.8571428571428571	0.8474870017331022	0.873534338358459	0.8626328699918234	0.8574748257164988	0.852	0.8582375478927203	0.8586179507545671	0.854080791426216	0.85331347728965	0.8593247588424437	0.8492129246064622	0.8581979320531757	0.8538638102524866	0.8594142259414226	0.8521527213647441	0.8338788870703764	0.51625	0.7596034696406444	0.5694267515923567	0.5123674911660777	0.506953223767383	0.5099882491186839	0.5184275184275184	0.5012285012285013	0.509386733416771	0.5048309178743962	0.5422885572139303	0.5446540880503145	0.5018226002430134	0.5185643564356436
Callopie	0.5515463917525774	0.46897374701670647	0.0	0.5180124223602485	0.5049261083743842	0.48692403486924035	0.8122743682310469	0.9422336328626444	0.8791348600508906	0.8989637305699482	0.6210790464240903	0.5545905707196029	0.5142857142857142	0.5459770114942529	0.544496487119438	0.5116279069767442	0.5103211009174312	0.5131414267834794	0.5129789864029666	0.5216881594372802	0.496551724137931	0.565772669220945	0.5334088335220838	0.531812725090036	0.5238095238095238	0.49339735894357745	0.5149833518312985	0.5320796460176991	0.53125	0.5518925518925519	0.513095238095238	0.5451505016722408	0.5393386545039909	0.5421115065243179	0.5458879618593564	0.5325714285714286	0.858560794044665	0.84375	0.8619344773790951	0.8558951965065502	0.8559322033898306	0.8554817275747508	0.853051996985682	0.8542880932556203	0.8575689783743475	0.8587041373926619	0.8553030303030303	0.8559451219512195	0.8567073170731707	0.8529176658673061	0.8691813804173355	0.8595100864553314	0.8602584814216478	0.8725099601593626	0.8844911147011308	0.8628841607565012	0.8637096774193549	0.8699444885011896	0.868503937007874	0.8619281045751634	0.863255033557047	0.877968877968878	0.8735083532219571	0.8755622188905547	0.8602654176424668	0.8660179640718563	0.8675445391169636	0.8716108452950558	0.8543191800878477	0.8745128604832424	0.8532035685320357	0.8507681053401609	0.8514328808446455	0.870626525630594	0.8560063643595863	0.8501189532117367	0.529126213592233	0.7411042944785277	0.572139303482587	0.5161290322580645	0.5274725274725275	0.5120828538550057	0.5114873035066505	0.5231316725978647	0.5170731707317073	0.5	0.5437956204379562	0.547911547911548	0.5077105575326216	0.5241545893719807
Alana	0.5947075208913649	0.508301404853129	0.5180124223602485	0.0	0.5307486631016043	0.5054347826086957	0.810368349249659	0.9573529411764706	0.897841726618705	0.90625	0.6101694915254238	0.5753052917232022	0.5370370370370371	0.5642946317103621	0.5811320754716981	0.5201612903225806	0.5454545454545454	0.5577956989247311	0.5317139001349528	0.5382653061224489	0.5486618004866181	0.5862552594670407	0.5731559854897219	0.5226666666666666	0.538558786346397	0.5384615384615384	0.5282791817087846	0.5536992840095465	0.5245700245700246	0.5368852459016393	0.5663716814159292	0.5470085470085471	0.5296343001261034	0.5662805662805663	0.5460526315789473	0.5585696670776819	0.8572719060523939	0.851010101010101	0.8590831918505942	0.8581504702194357	0.8564273789649416	0.8549410698096102	0.8457752255947498	0.8525932666060054	0.8654923939151321	0.8536170212765958	0.8510288065843621	0.8611339359079704	0.8666121112929623	0.8501742160278746	0.8659070990359334	0.8664092664092664	0.8571428571428571	0.8695652173913043	0.8806366047745358	0.8571428571428571	0.8609154929577465	0.8618592528236316	0.8700854700854701	0.8629893238434164	0.8623853211009175	0.8754480286738351	0.85977212971078	0.8666121112929623	0.8533674339300937	0.8617886178861789	0.8613693998309383	0.8636363636363636	0.8618524332810047	0.8756345177664975	0.8524734982332155	0.8616106333072713	0.8562144597887896	0.870452528837622	0.8614457831325302	0.8491379310344828	0.5175675675675676	0.739972337482711	0.5430183356840621	0.5	0.5433911882510013	0.5126262626262627	0.5411764705882353	0.5131578947368421	0.532	0.5225225225225225	0.553475935828877	0.5697050938337802	0.5402298850574713	0.5298804780876494
Unknown	0.5793103448275863	0.5044025157232704	0.5049261083743842	0.5307486631016043	0.0	0.43216783216783217	0.8172185430463577	0.9466089466089466	0.8993006993006993	0.9043478260869565	0.6195054945054945	0.594488188976378	0.5452352231604343	0.5596555965559655	0.5708955223880597	0.540962288686606	0.5586124401913876	0.5509933774834437	0.5291777188328912	0.513375796178344	0.5408653846153846	0.5787292817679558	0.5719381688466112	0.5525641025641026	0.5324189526184538	0.5451127819548872	0.539906103286385	0.5545134818288394	0.5538461538461539	0.5593667546174143	0.5379746835443038	0.5583333333333333	0.5399753997539976	0.5759096612296111	0.5637755102040817	0.5558252427184466	0.8589174800354925	0.8440366972477065	0.8586956521739131	0.8542635658914729	0.845643153526971	0.8535714285714285	0.8399675060926076	0.853309481216458	0.8560063643595863	0.8542713567839196	0.8498376623376623	0.8616504854368932	0.8494271685761048	0.8508997429305912	0.8585069444444444	0.8624904507257448	0.8597402597402597	0.8641444539982803	0.8769633507853403	0.8548387096774194	0.8475021910604733	0.8584905660377359	0.861864406779661	0.8605263157894737	0.8588235294117647	0.8767605633802817	0.8613264427217916	0.8587662337662337	0.8540268456375839	0.8531073446327684	0.8637873754152824	0.8612068965517241	0.857031857031857	0.8721804511278195	0.8481675392670157	0.8559256390395042	0.8540497193263833	0.8649122807017544	0.8610169491525423	0.8430034129692833	0.538562091503268	0.7785058977719528	0.5659863945578232	0.5259259259259259	0.5212765957446809	0.5484261501210653	0.5078740157480315	0.5576441102756893	0.540962288686606	0.5478260869565217	0.5505913272010512	0.5703022339027596	0.5115089514066496	0.5575447570332481
Dyani	0.5896032831737346	0.4860050890585242	0.48692403486924035	0.5054347826086957	0.43216783216783217	0.0	0.7983870967741935	0.946685878962536	0.8932584269662921	0.9028985507246376	0.6368563685636857	0.5913272010512484	0.5457831325301205	0.5530864197530864	0.5732009925558312	0.5620998719590269	0.5452352231604343	0.5419440745672437	0.5336856010568032	0.5215189873417722	0.5128518971848225	0.5734072022160664	0.5858823529411765	0.5286458333333334	0.5384615384615384	0.5420326223337516	0.5231316725978647	0.5430932703659976	0.5405727923627685	0.5542328042328042	0.555	0.548502994011976	0.5547445255474452	0.5782227784730913	0.5551282051282052	0.5368550368550369	0.8508928571428571	0.842237061769616	0.8511354079058032	0.8543764523625097	0.8438538205980066	0.8433843384338434	0.8382113821138212	0.848294434470377	0.8524720893141946	0.8427726120033813	0.8536782538399353	0.8571428571428571	0.8570268074735987	0.8391003460207612	0.8606060606060606	0.8625954198473282	0.8549087749782798	0.857389801210026	0.8731408573928259	0.8549618320610687	0.8496503496503497	0.8625106746370623	0.8677337826453243	0.8505747126436781	0.8485401459854015	0.8758802816901409	0.8545454545454545	0.8579545454545454	0.8493265993265994	0.851373182552504	0.8582151793160967	0.8603448275862069	0.8571428571428571	0.8608768971332209	0.8493031358885017	0.855151045701007	0.8467741935483871	0.8529672276350753	0.8592027141645462	0.834192439862543	0.5334207077326344	0.7642384105960265	0.5762483130904184	0.5409035409035409	0.516	0.5257985257985258	0.5391527599486521	0.5343511450381679	0.543450064850843	0.551980198019802	0.5377483443708609	0.5595238095238095	0.514030612244898	0.5337662337662338
Abu	0.8243045387994143	0.8167281672816729	0.8122743682310469	0.810368349249659	0.8172185430463577	0.7983870967741935	0.0	0.8356481481481481	0.8732394366197183	0.6151832460732984	0.8012326656394453	0.8129395218002813	0.8204819277108434	0.8331273176761433	0.8343868520859671	0.823915900131406	0.8315412186379928	0.8171896316507503	0.8032564450474898	0.825	0.830568720379147	0.8223201174743024	0.837708830548926	0.8100263852242744	0.8242574257425742	0.8310387984981227	0.8310344827586207	0.8275058275058275	0.8126491646778043	0.8068965517241379	0.84	0.8243727598566308	0.8177339901477833	0.8099606815203145	0.8414948453608248	0.8270401948842875	0.8957247132429614	0.8940839694656488	0.8972868217054264	0.8870106761565836	0.8998109640831758	0.8908709338929696	0.887962962962963	0.8952879581151832	0.8970856102003643	0.9007707129094412	0.897126969416126	0.897196261682243	0.8981308411214953	0.8992094861660079	0.896551724137931	0.8939526730937774	0.8911495422177009	0.9049049049049049	0.9072164948453608	0.8846918489065606	0.8998988877654196	0.8937875751503006	0.9037328094302554	0.8993839835728953	0.9023354564755839	0.8992654774396642	0.906093906093906	0.9022346368715084	0.892023346303502	0.8975069252077562	0.8954501452081317	0.8971774193548387	0.9097283085013146	0.904390243902439	0.8926038500506586	0.8977072310405644	0.9002744739249772	0.894300518134715	0.8962450592885376	0.8963831867057673	0.8151595744680851	0.8210702341137124	0.8100719424460432	0.8076448828606658	0.8247011952191236	0.8303249097472925	0.8258064516129032	0.8138639281129654	0.8018741633199464	0.8121059268600253	0.7983539094650206	0.7873239436619718	0.82875	0.8222222222222222
Captive_Baby	0.9403973509933775	0.9417218543046357	0.9422336328626444	0.9573529411764706	0.9466089466089466	0.946685878962536	0.8356481481481481	0.0	0.8721590909090909	0.8116883116883117	0.9341421143847487	0.9275590551181102	0.9470967741935484	0.9402985074626866	0.9399441340782123	0.9406657018813314	0.9510939510939511	0.9476831091180867	0.9426470588235294	0.951417004048583	0.9476372924648787	0.9507389162561576	0.9370904325032765	0.9487908961593172	0.9436241610738255	0.9467213114754098	0.9482758620689655	0.9356060606060606	0.9468354430379747	0.9475262368815592	0.9577656675749319	0.9447300771208226	0.9499341238471674	0.9477401129943502	0.9440459110473458	0.9417989417989417	0.9495896834701055	0.9471458773784355	0.9504843918191603	0.9426627793974732	0.9518324607329843	0.9407582938388626	0.9451219512195121	0.9456264775413712	0.952	0.9562433297758804	0.95097037793667	0.9493801652892562	0.9547325102880658	0.946843853820598	0.9464692482915718	0.941233140655106	0.9513574660633484	0.9515765765765766	0.9471830985915493	0.9461538461538461	0.9512471655328798	0.9509476031215162	0.9375696767001115	0.9393232205367561	0.9556354916067147	0.9439809296781884	0.9516310461192351	0.9525773195876288	0.9482758620689655	0.955420466058764	0.949516648764769	0.9515765765765766	0.9401960784313725	0.945054945054945	0.9491525423728814	0.9205561072492552	0.9387129724208376	0.9426900584795321	0.9435215946843853	0.9419496166484118	0.9464544138929089	0.907258064516129	0.957613814756672	0.9544863459037711	0.9536231884057971	0.9547803617571059	0.9493670886075949	0.9517906336088154	0.9482758620689655	0.9529569892473119	0.948377581120944	0.9327217125382263	0.9497964721845319	0.9502133712660028
Marra	0.8848	0.8926261319534282	0.8791348600508906	0.897841726618705	0.8993006993006993	0.8932584269662921	0.8732394366197183	0.8721590909090909	0.0	0.8689839572192514	0.8837209302325582	0.8985074626865671	0.8878980891719745	0.8885941644562334	0.8972972972972973	0.8760683760683761	0.898989898989899	0.8938953488372093	0.9008498583569405	0.8894806924101198	0.9001248439450686	0.9158878504672897	0.8814432989690721	0.8944444444444445	0.8880105401844532	0.9033112582781457	0.8849449204406364	0.8888888888888888	0.8929016189290162	0.8838235294117647	0.9010695187165776	0.89281210592686	0.9023136246786633	0.8968363136176066	0.8877980364656382	0.8913324708926261	0.9387527839643652	0.9298780487804879	0.925	0.9238721804511278	0.9247967479674797	0.9193181818181818	0.9306640625	0.9154285714285715	0.9313346228239845	0.9318885448916409	0.9320197044334976	0.924924924924925	0.9226907630522089	0.9230769230769231	0.9196919691969196	0.9176029962546817	0.925764192139738	0.9249183895538629	0.9304932735426009	0.9271383315733897	0.9326086956521739	0.9199134199134199	0.9104638619201726	0.921875	0.9357798165137615	0.9198167239404352	0.9308108108108109	0.9312749003984063	0.9228362877997914	0.931237721021611	0.9296794208893485	0.9364908503767492	0.923368022705771	0.9350785340314136	0.9165751920965971	0.9166666666666666	0.9126984126984127	0.9274553571428571	0.9221748400852878	0.9265477439664218	0.8881019830028328	0.8524904214559387	0.8941717791411042	0.8961538461538462	0.8887303851640513	0.8939974457215837	0.9046321525885559	0.885558583106267	0.8980446927374302	0.8897742363877822	0.8872832369942196	0.8748137108792846	0.8890374331550802	0.8958333333333334
Nilsson	0.9081967213114754	0.8985313751668892	0.8989637305699482	0.90625	0.9043478260869565	0.9028985507246376	0.6151832460732984	0.8116883116883117	0.8689839572192514	0.0	0.8910034602076125	0.8935837245696401	0.9093264248704663	0.9109311740890689	0.9020979020979021	0.9014492753623189	0.9063719115734721	0.8939393939393939	0.8979289940828402	0.896978021978022	0.9088575096277278	0.9044481054365733	0.912987012987013	0.8976945244956772	0.8998646820027063	0.906721536351166	0.9013732833957553	0.9013906447534766	0.8957528957528957	0.8936170212765957	0.9252717391304348	0.9141025641025641	0.8997326203208557	0.8954154727793696	0.9145299145299145	0.9001331557922769	0.9426605504587156	0.9453044375644994	0.9463157894736842	0.9288461538461539	0.9412371134020618	0.9400921658986175	0.9391824526420738	0.9436133486766398	0.9397828232971372	0.9431578947368421	0.9459459459459459	0.9453993933265925	0.9453441295546559	0.947198275862069	0.9374301675977653	0.9346590909090909	0.9411111111111111	0.9506578947368421	0.9511363636363637	0.9293478260869565	0.9409799554565702	0.9443231441048034	0.9473118279569892	0.9506172839506173	0.9459459459459459	0.9529276693455798	0.9495614035087719	0.9421319796954315	0.9430379746835443	0.9440559440559441	0.9398099260823654	0.9413716814159292	0.9497153700189753	0.9454545454545454	0.9377777777777778	0.9430199430199431	0.94240317775571	0.9395667046750285	0.9439655172413793	0.9469214437367304	0.9008746355685131	0.8796844181459567	0.909952606635071	0.9050131926121372	0.9032258064516129	0.9084967320261438	0.9081920903954802	0.902370990237099	0.890190336749634	0.9077340569877883	0.9035608308605341	0.8861538461538462	0.9130434782608695	0.9022988505747126
