	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.43836222197186364	0.4203884813954529	0.4442908231984667	0.44926397521006534	0.46125736428167036	0.6570838966744229	0.8013208294473533	0.7087901072115231	0.7280434611371248	0.47052425133563525	0.4292205331734396	0.4423747895994251	0.4516843417073475	0.4338559804553118	0.45513197119146304	0.48204368906406686	0.4544673388788062	0.4355174208222264	0.45333534125543246	0.4364728147840562	0.434442267537399	0.48730579968914584	0.46047506808775607	0.43546916923416396	0.48002923693456423	0.47323654510336316	0.4865448590888028	0.4874456024362525	0.4888628112078028	0.46437225977994323	0.493123356709986	0.4616815956453445	0.4570459640243166	0.4263320711297553	0.4690957740062175	0.7449064706646132	0.7410548257664514	0.7482136017161714	0.7433758894235849	0.7441854149949103	0.7414630895487156	0.7268879618733936	0.7433875494788231	0.7456569882158441	0.742398814014538	0.7410419053996643	0.7511494006530005	0.7350237601021717	0.7417064171435471	0.7385600303897166	0.7438387025220298	0.7435261570910707	0.7513904040839315	0.7587479978309021	0.7446486010368308	0.7333205100162266	0.7484976303752314	0.7507555709194504	0.7424266544066346	0.7433856037108572	0.7545102529076508	0.7571090138555934	0.7571005501448488	0.7495396289744823	0.7475054737611588	0.7471682913722242	0.7524694198567422	0.7474855720179073	0.7510822703874771	0.7398780451762333	0.74779703808685	0.743135045975689	0.7531579980691132	0.7409245371283528	0.7492794031367866	0.44469927518233454	0.5847766299297803	0.4404566448279876	0.44948316200420985	0.43702096893385106	0.4484985239551924	0.4634286671886506	0.45010260251183437	0.4537916673316248	0.42790464398741823	0.44583553207134885	0.43124211701965764	0.45530761456467883	0.4672616735401194
Abita	0.43836222197186364	0.0	0.3638198133768372	0.39743061325511214	0.38438770515333665	0.3562457239196695	0.6682702140776975	0.8152459992079347	0.7400126983243458	0.7392902648352165	0.4350920686304225	0.45444161349602663	0.37439370495342056	0.40931755829580513	0.4126480085069427	0.3908566926665383	0.43244847646647155	0.3956928648975487	0.4151311807868637	0.400458050576667	0.3622206985825358	0.4420850713595873	0.4193112404594326	0.43259131351312513	0.41785227505031225	0.4014505475928133	0.4094418489620208	0.39764769911872927	0.41004420428436333	0.43935208686638144	0.4491489295029848	0.41003500709744084	0.3952927294209729	0.439715216919423	0.4245167400011731	0.41685343663245844	0.6998610788489591	0.6922572551192997	0.7088221745657636	0.714292040424431	0.7110106453798133	0.7049342283984341	0.6917594348678874	0.7026170996737974	0.709216384030797	0.7146734008457741	0.7095671944493036	0.7163026050422594	0.7040826365619585	0.7107230428980167	0.7001470368303204	0.702305236495357	0.7030156202059341	0.718234521541022	0.7171058805486714	0.7093827066127689	0.6947016055989871	0.7231122711430841	0.7251274584245255	0.710507051648359	0.6997469342391113	0.7286579613144558	0.7231596377770991	0.7158846005099098	0.7133076753748339	0.717218407499117	0.7122984292653881	0.711911051111686	0.7013931120217394	0.7142417051089448	0.7093818340696806	0.7124250856776171	0.7129196459694233	0.7176077727023483	0.7109119233174647	0.7048443797355792	0.4180578967364694	0.6056729373404396	0.4470943416870421	0.3937773341788147	0.39112870207754047	0.4177265676886925	0.391487938120706	0.38628725187479007	0.4222242698059887	0.3931677379739852	0.41630073356517316	0.4424213843972689	0.4022778596933989	0.42583264250865893
Callopie	0.4203884813954529	0.3638198133768372	0.0	0.40002495623585066	0.40421945394570774	0.3867579552144493	0.6549966659505885	0.8054926765425304	0.7196110221750983	0.7468184202511925	0.4660553237882977	0.4422056814603594	0.3982040031486277	0.44297169266016134	0.4323390595302191	0.4080062736653622	0.42800425998582303	0.419169564698273	0.43442732792390837	0.41076480151649414	0.3953875027069175	0.4639817253532801	0.42249009810231775	0.45769281299226855	0.41221300559527346	0.4160118810827106	0.4242752953316275	0.4328246289026515	0.43083973629912586	0.4579817812877573	0.4265268657919509	0.43318947587782064	0.4098752899667947	0.44079171052675326	0.4445351943679594	0.43734363205578636	0.7256963134679325	0.7113434112802205	0.7289342415135396	0.7316304525744398	0.7279606768309902	0.7336304176588855	0.7190109428431001	0.7239111926914138	0.7254761163240843	0.7317843285895388	0.7271240853200764	0.7376790036755044	0.7198554994534051	0.7275517676461494	0.7228379886312214	0.7130012540634486	0.7313849561058863	0.7378040967966987	0.7451785497088708	0.7312978746065423	0.7224288532564441	0.7384250494589779	0.7321502529226405	0.7315046489450555	0.7325333560157107	0.7458709442049161	0.7456005497772757	0.741921304551791	0.7345670827846322	0.7284974921435585	0.7308465552964135	0.7345510293067594	0.713365923640509	0.7404727187065491	0.7262598126496385	0.7190917660908913	0.718828632942001	0.7390566311030862	0.7231391203777814	0.7336577760355132	0.42792021903296457	0.581622727726651	0.44859474212904166	0.4055770850831863	0.41966346616543687	0.42942046670996903	0.4190073091265231	0.4360959685564397	0.41941152678193083	0.39774678238355304	0.4209568073508666	0.43293407601110184	0.4212951064954479	0.4235552290672119
Alana	0.4442908231984667	0.39743061325511214	0.40002495623585066	0.0	0.43004539338194453	0.39913475012911165	0.6469888538058861	0.8233744610015692	0.7379828077866315	0.745827184813316	0.45508808712990445	0.46332845311636794	0.4060212454780289	0.4344765038874907	0.4715096924297503	0.4069134102600104	0.4275542352656292	0.4534943170037534	0.4329346909991965	0.418512347061098	0.4308491760296067	0.463868074756622	0.4435634454995723	0.4429413493129309	0.42986595090116375	0.4228769343856642	0.4300586126062779	0.442338579305878	0.41930794948597205	0.43359331194270295	0.46465353692900385	0.4117026083157659	0.3872917940246718	0.45110220727034755	0.41275225812282357	0.4531563378817095	0.7155278501332378	0.7122909842479739	0.7176588734002775	0.7225785681911312	0.7139511666420337	0.7178951287310175	0.7061879348570455	0.7228579458915776	0.728165006826325	0.7199754971239203	0.7126349422394467	0.7306320211948446	0.7225874006897517	0.7093984591185881	0.7105762215579112	0.7136704549982311	0.7142913168967824	0.7239706257909211	0.7289803951761226	0.7222416999893265	0.7080615215534336	0.7225117211860724	0.7156501533140585	0.722373595244592	0.7204798102554594	0.7243673436400057	0.7213475192120055	0.7180687753210997	0.7205247056336719	0.7188528283568949	0.7170163359137444	0.7241203229899422	0.7117620504727127	0.7356347514444587	0.718692469838922	0.7239996001791393	0.7121956222229815	0.7284629240294244	0.7313994443365824	0.7222165425643019	0.4256962848736265	0.5711831240429394	0.42829074477203266	0.38968385968660435	0.41665549403140545	0.40822469417661716	0.42618482757335024	0.40541610877429785	0.418074839454657	0.39479019605488125	0.42234800256548016	0.4356236888005665	0.42067511532369867	0.42343378782388613
Unknown	0.44926397521006534	0.38438770515333665	0.40421945394570774	0.43004539338194453	0.0	0.33527370180371113	0.6495520589183735	0.8060521105730869	0.7301264757739052	0.7285284722771095	0.4685662428194127	0.45827521415793226	0.4351664249669872	0.44447763219867154	0.4600450704491751	0.44221478144474874	0.45541374783370253	0.43832516234748814	0.4431636040035073	0.41361026466560935	0.4341783000527138	0.49477326427650176	0.4585520099246921	0.47653250833826555	0.4439129397133303	0.45641537728136	0.45603391846039315	0.461269807399263	0.4510518459494834	0.4674011610410864	0.446387242029486	0.4497107119474855	0.4265818815962077	0.48807072531801154	0.4503084587171798	0.4675999983710614	0.7240903800123384	0.7219202535697253	0.728813186976212	0.7304336367137267	0.7304373870524519	0.7288625541173788	0.7094754414182216	0.7339049149784872	0.7310595121126049	0.7306449556927748	0.7222963831526796	0.7392569872386651	0.7176633241575633	0.7298043581473078	0.7131688771347572	0.7195158038587406	0.7207286839049226	0.7317462789423742	0.7357471156943511	0.7257953361001599	0.7117476886121096	0.7332972988239013	0.7304656306712637	0.7278181613724818	0.7272913209698766	0.7450873015641063	0.7323149154384501	0.7307371861712503	0.7305125448208201	0.717069986466056	0.7299345282660253	0.7287432736048516	0.7198720224217632	0.7378552606203876	0.7232131430734315	0.7240312012933374	0.7232578556191726	0.7333383623364742	0.7388343124185563	0.7265668892145134	0.45429712126117955	0.6162842058830654	0.44537263496054585	0.4209277393247519	0.4321912851313632	0.45866394969621943	0.41774648386854196	0.4698081020870852	0.45009025331501284	0.4487562336170356	0.4297203655439248	0.4615427439059274	0.42665548997379604	0.45882907964587727
Dyani	0.46125736428167036	0.3562457239196695	0.3867579552144493	0.39913475012911165	0.33527370180371113	0.0	0.6373313005850617	0.8087077377217373	0.7386222076633877	0.7292231830808613	0.4749792140963425	0.47925028907233175	0.41528893395997724	0.4354074632517045	0.4657645337655894	0.4652287372281634	0.44626392018967415	0.4280219632369134	0.44082773474788045	0.40702494310189735	0.40374619038073495	0.46881798048720047	0.45118342388844934	0.44272053835365155	0.43846924166202733	0.4220144772086683	0.4336134516951546	0.43492212826917637	0.42739181231132517	0.4452702748291366	0.45476410282705554	0.42726944035249853	0.42988160131972797	0.48778602736720816	0.4303794868260461	0.4332343465388206	0.6993617178495178	0.6979454914154589	0.705633754910962	0.7173201339627607	0.7112804458857881	0.7023983222896646	0.6986760300755658	0.7140335164299649	0.7049018756591413	0.7059028705454063	0.7084768107720372	0.7178578968434343	0.7111977476828635	0.7034823788439314	0.7002264493825066	0.7022188115015153	0.7032215068140891	0.7117489845226033	0.7182675114998643	0.7112936710647811	0.6977117335248718	0.7205721842021182	0.722518271746147	0.7032959707161122	0.7006716254188392	0.7273561544188142	0.7111834030467183	0.715947401846801	0.7036485977916762	0.705101338939626	0.7086742119915344	0.7099088253985687	0.701132160674317	0.7122824178086772	0.7137411730738771	0.7098868584769975	0.7068506980717607	0.7125976507183193	0.7188884072243638	0.6980705769598825	0.4418361140901568	0.6079838751067403	0.4494483656213501	0.4211386355443111	0.41376422644457855	0.4254832234010628	0.4144591020964374	0.438489106244728	0.4438133634805181	0.44088923844386896	0.40282751161671176	0.4342876220885879	0.4327400925054175	0.43356949889591545
Abu	0.6570838966744229	0.6682702140776975	0.6549966659505885	0.6469888538058861	0.6495520589183735	0.6373313005850617	0.0	0.6410993463138724	0.6906321521496928	0.4696453593429648	0.6239863433416438	0.6463912155966524	0.6641259681869808	0.6788010772183439	0.6618911555456386	0.6527915318177004	0.6573987698196128	0.6512727791093952	0.6359979097015667	0.6656163449024939	0.674002970260536	0.6575062738169	0.6598593975060806	0.6440081604729452	0.6733789824538253	0.6653823600940562	0.6712885000383716	0.6816297030200071	0.6516336372376597	0.636322626578489	0.680143239793353	0.6474867024506222	0.6560987770322911	0.6608050590020907	0.6756973092819767	0.6642452495443477	0.7542209710945846	0.7536441114175055	0.7591846507042377	0.7599974838579714	0.7654338083337626	0.7508570589201058	0.751688358288008	0.7546101183619855	0.7644266058518583	0.7643586005617993	0.761381545192137	0.7746292322893151	0.7596736909272831	0.7558945548006039	0.7446673442794551	0.7652339090448415	0.7454517682263783	0.7656205351080762	0.7611729623784258	0.7605325577863002	0.7564976045792411	0.7541797868235864	0.7583441223304866	0.7672948068323125	0.7636204155379137	0.7670180363846696	0.769907103011951	0.7642635496686203	0.7640456304436306	0.7696987932354713	0.758720088041813	0.760024840784623	0.762058336003974	0.757469076190994	0.7546649117479838	0.760348383359135	0.7658558529418993	0.7589654383965634	0.7600344646458175	0.7678308841515462	0.645136151454051	0.6419710958326631	0.6382429129589924	0.6527685357775866	0.6564502972171729	0.6741355498758784	0.6612210198297804	0.6500730578378099	0.6276192371757398	0.6469486364650714	0.6421237374419596	0.6260222267287416	0.6603738057626762	0.6520273766105597
Captive_Baby	0.8013208294473533	0.8152459992079347	0.8054926765425304	0.8233744610015692	0.8060521105730869	0.8087077377217373	0.6410993463138724	0.0	0.7336663896570895	0.6373743809304875	0.781183016516467	0.7812372780268523	0.8252553240731699	0.8097423904505022	0.793308105138135	0.8011332391718047	0.8231082947448942	0.7996212567475102	0.7928448224580514	0.8180284179157984	0.8138894726996609	0.8018993949184536	0.8008706131496262	0.7916790609123492	0.8225074534407879	0.8037183799423934	0.8146076230967676	0.8103849448617898	0.8109846560769778	0.8018468210775072	0.8272619274638338	0.8073116319980279	0.8151459748497096	0.8217013543800629	0.8077367142368306	0.8097402811218771	0.843809942010567	0.8396372665761874	0.840819976078028	0.8447963138197305	0.8499087244172668	0.8391814867852204	0.8409681170049154	0.8249773895945863	0.8567565560626583	0.8512931624797235	0.8504878615058685	0.8540073796645276	0.8525236338051678	0.8375104883381808	0.8418419225088682	0.8468087267591755	0.8363674675249136	0.8531530037861341	0.8340993304558459	0.8515681876035698	0.8438586987240835	0.8472956785888994	0.8287638217927129	0.8421289818190579	0.8459513728806416	0.8368259385416252	0.8364032030026922	0.8515562438714847	0.8528108737206272	0.859579297138659	0.8447977063181592	0.8481860633111943	0.8383438474630281	0.8403467311982983	0.8424628606085256	0.8274827212584709	0.8400395911578535	0.8438037614682684	0.8362546630099256	0.8392583264004543	0.7929126265562765	0.7583598887621591	0.8052351339471493	0.8203531714943407	0.821430761244572	0.827785592296488	0.8156392025075977	0.8174839932956859	0.8124382045429129	0.818286465358016	0.8110019466676153	0.8000317323315926	0.815815278840564	0.8105289650475684
Marra	0.7087901072115231	0.7400126983243458	0.7196110221750983	0.7379828077866315	0.7301264757739052	0.7386222076633877	0.6906321521496928	0.7336663896570895	0.0	0.6480459304552715	0.6965609437626047	0.7426026708330226	0.7212156901921746	0.739784495591205	0.7403441088167136	0.7131664065989547	0.7471228283356313	0.7413336750700174	0.7469336121406533	0.7272826169168515	0.7405925502782665	0.7498886986891233	0.727527735435634	0.7397521695025769	0.7370181171751671	0.7562338867515007	0.7263770164988359	0.7444306176666005	0.7198496445146462	0.7353515949988476	0.7481609880254121	0.737819476985454	0.7351853665167396	0.7440729009579758	0.7213116690306456	0.7402420682747802	0.8163799126976314	0.8140063696349972	0.8091462805898333	0.8149128450188259	0.8124346462246657	0.8080224712226723	0.811029111935213	0.7925291966614527	0.8207242171480822	0.8262001661728386	0.8190020356809347	0.8255758563154044	0.8174382940588233	0.8103967683055059	0.7976573434947409	0.8100521052657028	0.8032649879408704	0.8108742321784614	0.8108988483982023	0.8066552558557841	0.8104877716820676	0.7973797014196897	0.798868815477147	0.8063514754043323	0.8094762351033461	0.8063950749918678	0.8199993239012113	0.823780065259523	0.8254608776315944	0.814775172893261	0.8080962422692609	0.8203133406711779	0.8113685267774535	0.8229905825812752	0.7994259767372792	0.8107167069305279	0.8097227315554578	0.8105788753384786	0.809904494551294	0.819727089131869	0.7289757953323791	0.6888188480753689	0.7430122206490282	0.7414281797995856	0.7348952454880082	0.7510436026281632	0.7624912677527538	0.7363131650767718	0.7540929649325585	0.740652883039488	0.7350382502514659	0.7214059134190194	0.7438762825187323	0.7403050280174887
Nilsson	0.7280434611371248	0.7392902648352165	0.7468184202511925	0.745827184813316	0.7285284722771095	0.7292231830808613	0.4696453593429648	0.6373743809304875	0.6480459304552715	0.0	0.6962315840247691	0.7279696296430231	0.7390009114573953	0.7549548284660399	0.7388005550926816	0.7256769339540537	0.7437323855467334	0.7306791381519319	0.7281298603534319	0.7440800691475921	0.7544432650822719	0.7389496601063935	0.751084076892497	0.7251202102132738	0.749491153362087	0.7530850418474458	0.7335892773312938	0.7584376652867655	0.7329407013575734	0.7287202778190487	0.7661995484562611	0.7484408970689969	0.7281570218371489	0.7313082831322307	0.7572119424533017	0.7329410715432912	0.7980224820736876	0.8024357449616497	0.8020546105311765	0.8102089732572417	0.8074101475516033	0.7997866298568127	0.7986041171280326	0.7988456170682635	0.8100067216362067	0.8098291263715909	0.807448953426261	0.8192165854487259	0.8106879478185364	0.8094758450082513	0.7912017320690616	0.8092314505501909	0.7918281383733428	0.81425177853826	0.8028343162335799	0.8057933555869721	0.7983157252843585	0.8016833798930174	0.8101715301329692	0.8183522507200944	0.8017632337697547	0.8217292019549302	0.8107091615396553	0.8084562699435989	0.8213338451830178	0.8127495787387317	0.7959243250517064	0.8031916278138908	0.8013817474945067	0.804847817812297	0.7986814702603515	0.8115978802160259	0.8103006026404964	0.800396451683085	0.8117007603784158	0.8150259307821798	0.7304655698871749	0.6766681835690349	0.7295498377400992	0.7453089909571924	0.7371681357152705	0.7704497634660393	0.7455596463785734	0.750475333176561	0.7264431249886759	0.739837503884847	0.7322325368903908	0.722348561005608	0.7536316752059399	0.7343923284961341
