	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.16543585442365635	0.2115593050239834	0.24192649525619853	0.25894290099891	0.2526193866302764	0.3870848667849869	0.5387133276441537	0.6618756261500807	0.435602161268964	0.2604354381075476	0.2093650226513797	0.194641198064462	0.21985533573716942	0.21946754815740765	0.290674767704767	0.25116782022510886	0.2620385308498272	0.2071266202165081	0.2735210681410431	0.21018213491434345	0.22606805529379764	0.25587921132858704	0.189500256558551	0.2068417841188699	0.21264926961389505	0.2274686470667859	0.2042833525291509	0.2477739135875256	0.247502399784226	0.1962723455291957	0.24257449627137692	0.26035909892313	0.1992373453401444	0.21188840324682076	0.27499766340751747	0.33795665225121996	0.31627368143413187	0.3421605807722995	0.3226466055491881	0.32182084581601794	0.33455894759184274	0.2814550035719099	0.2860291268789563	0.2979725536525503	0.31138808827855174	0.3055680450444265	0.30546501498486334	0.3282737144014944	0.3175648774250348	0.3124642482544516	0.34236906696157654	0.34221899888240864	0.3223258508234471	0.3350253712416362	0.3262071957222187	0.29938855988274904	0.35388073720466773	0.32953056939022385	0.328418590965938	0.3264336101806203	0.3575175495004611	0.37126553989628536	0.3345958629916615	0.3180888451735187	0.3270663412696979	0.3021418232769097	0.30981490716019633	0.33915486480052687	0.3640446668454039	0.3039470885991017	0.2875550460059603	0.30655102106891324	0.30015967739274624	0.2828523586969724	0.30146857600499044	0.1827841483002365	0.3335777190082072	0.2003011737082111	0.23637935646159355	0.20172351040298012	0.20668504078159813	0.2197956325897495	0.17271384815172947	0.17212775661710134	0.22225582531888213	0.1987552750265422	0.18931394136488341	0.20861523232869672	0.18170567214071337
Abita	0.16543585442365635	0.0	0.1291722084126048	0.15630374040218897	0.15293913958641803	0.1337053978739582	0.4107252760856663	0.5076274958721754	0.6112089052617846	0.46192353655792134	0.26531430610143425	0.17756392688739375	0.11137730180028012	0.1293903655967397	0.17652639448640484	0.16613888908217647	0.1611157471330085	0.21716721584259602	0.13127759623048008	0.16838867820308998	0.1529593167433181	0.13942914945447052	0.17419585488984593	0.13158044379557216	0.11732445526912513	0.10454074201370314	0.10111197373290225	0.09390236357900818	0.15249624478465254	0.19404171007714466	0.1301207971485335	0.13895653339058608	0.14265070893421608	0.17672783410916057	0.13696634456563286	0.2075857426329313	0.24772420296502454	0.22323793502175426	0.24792452406564408	0.2296432301255916	0.22848886330523796	0.25028985477794385	0.19203535291719365	0.21382477742315337	0.20743753574172583	0.22111403225728563	0.21177991414122652	0.2155711748283272	0.2419778385445892	0.23151298803772974	0.2219681470081183	0.2508516355650249	0.2519095890724699	0.23741630206434258	0.24783167000300613	0.2345390162433561	0.21152398782751122	0.26604379145317963	0.2405210988551651	0.23479338887978737	0.23660204449841818	0.2641168978392063	0.2871720693661495	0.23973356143334976	0.22880095302913936	0.2347079182673883	0.20769106030113282	0.21903791419498211	0.2459017301764725	0.27838352420789614	0.2180071519504301	0.234432801323606	0.21513500750857903	0.20884299473180667	0.19744181706319205	0.2108560727394667	0.12018298142347755	0.2650004900741337	0.1921932396230166	0.15942896862443282	0.11290357646276779	0.10453636747292198	0.12283023491157433	0.1415034024303508	0.14838432182926425	0.16118968578220477	0.15455453018159243	0.2163847704448464	0.1049983081415676	0.12572946852606476
Callopie	0.2115593050239834	0.1291722084126048	0.0	0.13883974620653744	0.11155336736556953	0.11387300854833685	0.4474181523447707	0.5046832318955453	0.6023657354239034	0.4995720553068563	0.268022524217397	0.17318019634114382	0.1666896479849643	0.14873333698937916	0.20594822206251925	0.1537079268237404	0.16433594337147006	0.2513949092639051	0.12877904824692846	0.12280238778544944	0.1961531658049307	0.14559384197070813	0.19484059749104668	0.15224681916794802	0.16518741300845693	0.15885911025998709	0.11703455365313883	0.15057020225000614	0.17280908171017914	0.15081791988297857	0.14475956367928136	0.16120093998415488	0.1560145474374011	0.21200404425060534	0.18678212266625513	0.20791792831193887	0.2199082344233144	0.21534132710513104	0.20910736147979658	0.22175414328376067	0.2080728651151572	0.23776168256527028	0.21858084421294058	0.22897368465703014	0.24306814416365619	0.24012789997663547	0.21913732723920412	0.2275301879448898	0.24875221078839385	0.254203039275626	0.20438484632447163	0.24686079088326685	0.23045182897487093	0.24108077740206646	0.21947679285808275	0.2461746351090594	0.22839260486054017	0.22976485892122683	0.2179031835425304	0.20875378317159174	0.22103563420074748	0.2159055578398203	0.2556849884816813	0.22531815145252787	0.22382479030398536	0.20820130958399938	0.21726254421411342	0.23390706686678592	0.2117031753561531	0.28630895204193946	0.2144982162294908	0.24504386158150696	0.21547324887104263	0.21910032550827274	0.2271132322284282	0.22204468034621405	0.16238374559919555	0.27327764006700533	0.1977871320391958	0.17438233444876777	0.13275192510058736	0.1618565867103785	0.1280023458583597	0.18444971547139255	0.16775848255017162	0.17749769444253724	0.15081402913000397	0.24840792949566987	0.1318525103437707	0.17193968977750718
Alana	0.24192649525619853	0.15630374040218897	0.13883974620653744	0.0	0.12986915423861714	0.13659945998799186	0.40702132825884985	0.4770104185324231	0.589994865018789	0.4714258726478527	0.2690448199371652	0.2068694142464669	0.18540506377060234	0.18921492900685674	0.2503831831816079	0.15359420697616127	0.1870925531077607	0.31797896296908373	0.1319803905923924	0.14667757984443772	0.20961484422564733	0.15378025435375436	0.15838220573333034	0.16127171865799012	0.15437163324257067	0.1988480426844639	0.1268501099960705	0.17432272733654688	0.1369167420271595	0.14071137243255558	0.17135082698936896	0.14582398124176205	0.14423337420011023	0.256100385289292	0.2018917997642007	0.22354988506956444	0.23788556898774005	0.22042332137367915	0.20559232241022415	0.2253759108758349	0.21802157910474765	0.25557161613966667	0.2292030583736805	0.2590533274906751	0.25586977284049006	0.2507421154841771	0.2419367906269676	0.24818106987061836	0.26032934435897637	0.2634096622268002	0.21170981120740967	0.2428320922866896	0.23940024357184808	0.22704726423060384	0.2044178469134747	0.23965080149066947	0.2259762180946575	0.21219842700173652	0.20373070493512457	0.20732537759983674	0.23834769256788968	0.21143589485444067	0.2530949436157764	0.22495188002330252	0.2264715832923466	0.21663162760322113	0.22527939853075152	0.2306820069039052	0.21812532610649404	0.28831577068350134	0.23069864288230113	0.24148946718342906	0.22649078444213228	0.22589399193973234	0.25293499713349815	0.2293269471366354	0.15011311642625877	0.26736155636595976	0.19234858326917426	0.11777225307159234	0.1440482948066127	0.18539922856965102	0.14471452418185854	0.17406474824082085	0.1723101815665638	0.13250338360004343	0.13400425751163153	0.24620656817965095	0.1659732392258129	0.16454466934749387
Unknown	0.25894290099891	0.15293913958641803	0.11155336736556953	0.12986915423861714	0.0	0.1052712421432041	0.4362098282382272	0.4923397468917643	0.5917141451830646	0.4890864954654536	0.3018041788703347	0.21072878108390802	0.18705936349130992	0.16132900203603523	0.24511466995478676	0.17240280812970682	0.18243844675616272	0.2953637962120579	0.10235301332047293	0.08381356693677582	0.2255350068970734	0.15049703757091484	0.19300781470704462	0.18192201445286835	0.17182630917290476	0.18964691168334158	0.12769269829363405	0.169307544294355	0.1766009680908568	0.17287870294735533	0.17479303482863418	0.17485540452149004	0.1651299279473885	0.2577766492921917	0.21947858907265058	0.2442067924244001	0.21897020241639825	0.2185286576751253	0.20724250048710646	0.22389267382157446	0.20939894238212267	0.2385044330800608	0.22277560955404593	0.2467312452931739	0.24086599616654214	0.23886292566653797	0.23032624163188173	0.23575503083239832	0.2533279825080306	0.25579175673142945	0.207843956974	0.24992596020264465	0.22966574033774548	0.24567350161956086	0.22506043509147544	0.24538679265025898	0.22727539448210776	0.2258686198664866	0.2154513006063078	0.20807425916689662	0.20492714281279512	0.20407714872070637	0.2528293834842362	0.23318511241268544	0.2192065343668228	0.21083639600123472	0.2113059233669703	0.23699575195555508	0.21241002703341003	0.28611967828556967	0.22270542676801225	0.24394598061465766	0.21328868601497344	0.2135703083552743	0.23510188894389805	0.21357889121301718	0.1869339591323463	0.29296200655887505	0.22296494306990566	0.18501068891225472	0.15525945930988821	0.1816835220324192	0.12871074755469555	0.20895239305061547	0.2080639161227161	0.19089796119964797	0.1607032588243938	0.29421755455010495	0.16292413507073458	0.1864642965359894
Dyani	0.2526193866302764	0.1337053978739582	0.11387300854833685	0.13659945998799186	0.1052712421432041	0.0	0.4204741077709069	0.5107257668615408	0.5888273326801899	0.4752688295974917	0.3204485512303114	0.23082365194393573	0.1893476198226811	0.16290932709535635	0.24089106661154525	0.16138470110287442	0.21216187887906052	0.2783805070909823	0.13714881784755262	0.14812138924909293	0.2153676193985824	0.15642525897243945	0.19346039649115365	0.17656070710447666	0.15753027568074546	0.17532384111202118	0.12724405491198335	0.15286716926802574	0.16242885499355442	0.19472253168720507	0.18166364801149806	0.15971982020430642	0.15598326375429944	0.2528963578651698	0.20500967571798706	0.24351678369113344	0.21677625728441408	0.2023056049796254	0.20221281310821446	0.21023373584916608	0.19396113082768515	0.22930356179187744	0.195377927429193	0.21161100397909388	0.21670457980081162	0.21670720777941724	0.20571093929520073	0.21433270927933995	0.23042867075756912	0.23388847191389334	0.1959019336593806	0.23663589507031124	0.22393940129422021	0.2314360866676811	0.21912754365774684	0.21997679757420038	0.20884033498572616	0.22834930683812862	0.20660889149924472	0.2031757231576193	0.19782888872045967	0.21417460609900713	0.24893092709626488	0.21232999223148954	0.20333776155965794	0.20043605896136277	0.184887564010923	0.21853384052155778	0.2054569642333179	0.2642120670129323	0.206268373342314	0.24151159039261666	0.20116090211381676	0.19720004074503228	0.199442015932285	0.19771371093701853	0.15805045984630528	0.2674311225482778	0.23159484673281186	0.1793121461677731	0.14096129011354108	0.14646199101642973	0.1419805271334808	0.19779929621858644	0.19756297715462565	0.19270476466782976	0.17392447309601317	0.29280336101806514	0.1370041325943416	0.166121901986555
Abu	0.3870848667849869	0.4107252760856663	0.4474181523447707	0.40702132825884985	0.4362098282382272	0.4204741077709069	0.0	0.6110189346254474	0.683426780563963	0.13757783837603788	0.39449399632972904	0.41420389545767444	0.38078230111142314	0.39566490568646134	0.3867974604855142	0.42055883533664973	0.46047719585218777	0.502567827959513	0.4092754495253281	0.44254114898252883	0.3834042121633046	0.3838022163367302	0.38049218962032605	0.3891151551532401	0.379591991130292	0.4139012882836489	0.40380769576340947	0.4058512552592579	0.37374029094426564	0.40191605170895905	0.39236068625140796	0.38498608764925557	0.43849810083715535	0.4229444232692143	0.437703949677855	0.4616525526093202	0.4373993440638425	0.41095630849411596	0.4264908422822778	0.417930661258437	0.4245491929361009	0.4338616137027287	0.40263882446220856	0.42461268073629826	0.3995377276024707	0.4139284528885325	0.4254613472618346	0.42437049930971876	0.4274364371922918	0.4183867813707714	0.4135212631452651	0.4319826012494958	0.42541560511818133	0.44925578586081266	0.44438346548676344	0.4126722268490607	0.4303688341923493	0.45564344126116396	0.4152714265032689	0.43107925247065615	0.4325436287723714	0.4381103702095051	0.46835221966742524	0.4253785615988101	0.4248315019317293	0.43954589510869035	0.40859963141328337	0.42950773195096564	0.43062947969233395	0.4448453108318167	0.4167169776564295	0.3905552527449356	0.4043987988868143	0.41173323866527767	0.3955598611933173	0.40039405490103036	0.37501796951784333	0.48111787172300496	0.36458823794176576	0.3912383217255203	0.3915205854192749	0.4172236203337037	0.4298654644784878	0.37272117329464044	0.3728424797980754	0.38504612934443394	0.3784099537451955	0.3649460159095086	0.421545883423322	0.37952267843919474
Captive_Baby	0.5387133276441537	0.5076274958721754	0.5046832318955453	0.4770104185324231	0.4923397468917643	0.5107257668615408	0.6110189346254474	0.0	0.6838152376658727	0.6546294324140985	0.5443996915735095	0.5106837313542054	0.5066688298539647	0.5187110040687558	0.5468060559834746	0.48366995192698886	0.48486940244765475	0.6058039471699467	0.48174783706376	0.4873746978895955	0.5445149446640082	0.48670453309044803	0.48421407334194233	0.512801942934005	0.48974413331290867	0.5115726075986284	0.48861402063816545	0.5029688503949471	0.4803857983531824	0.49984063488095787	0.5076158894461362	0.4882060367662446	0.4966239952430578	0.54878300049336	0.5280460910673274	0.5462738720992405	0.5000051615538134	0.49221347445391594	0.48264527753188263	0.4913069961171539	0.49829318789466664	0.5062665826389051	0.505675700479214	0.5190399877442653	0.5164180856968257	0.5224715576073138	0.5124592647468533	0.5155409308076737	0.5188921327351973	0.5287562375405582	0.48224574777656104	0.4888222655920086	0.5011970515234484	0.5110658016773574	0.4949152741120529	0.5208807871244265	0.4993306639174036	0.4948308167583663	0.4706341814444176	0.49345951577442393	0.5068965384123588	0.4815530428036426	0.500657327395128	0.5045744377613978	0.5066835899884032	0.49953453625092586	0.5040077614289883	0.5084021094401898	0.4820547871455646	0.5179786884695684	0.4940105415765414	0.4678269603035912	0.4916123762888202	0.49707314732752506	0.5141046266421455	0.5018730003917303	0.49779882541635784	0.42310742638500415	0.5243271228808875	0.49544622355234635	0.4903294316595832	0.509520428956167	0.4837538884588414	0.5212200420985065	0.5177275813898397	0.5019427475710574	0.4948157646324359	0.5425146901799744	0.5036396322641266	0.5163725623661043
Marra	0.6618756261500807	0.6112089052617846	0.6023657354239034	0.589994865018789	0.5917141451830646	0.5888273326801899	0.683426780563963	0.6838152376658727	0.0	0.7387611946949652	0.6955649973347023	0.6329725729946778	0.5916736941589691	0.5966872438037184	0.6025202976862719	0.589928842695257	0.6190904584209435	0.6712745504002791	0.6074481497829288	0.6110135738652582	0.5676218151479985	0.5962267318782545	0.6043532070266739	0.6182278704863552	0.5695192290938828	0.5938702231504249	0.5934890719003629	0.5974331426255552	0.5898901636213556	0.6389022617509856	0.5731287200554604	0.5972332755975718	0.5838813425833623	0.6293962520627624	0.5417239109215216	0.526791294094997	0.5858852299555126	0.5718900271617603	0.5729017642540313	0.559816733515809	0.5730148198555526	0.5845023609389534	0.5810028352058355	0.6025254766345413	0.5632270254634816	0.5815014700454396	0.5811924745039317	0.5789452394212634	0.5714295800072913	0.5838082315949334	0.5760795835181699	0.5739921892209136	0.5652703300917737	0.570021056651641	0.5544682155667948	0.5597523591374993	0.5712819430398262	0.5437496901602802	0.5731141002748128	0.5666197258715037	0.5751339139654573	0.5688652934989803	0.5959265155086028	0.5780178114427591	0.5748406849838541	0.5908255483364212	0.5725594465942685	0.5910657892371227	0.5842990984539547	0.5890817855187513	0.5842209277305651	0.5923684428274705	0.5766678052372093	0.5809784676301689	0.585168469759102	0.572246933081949	0.6245443118504321	0.6075239170085068	0.6212363881971302	0.5745515415724156	0.6081867319602002	0.6029881384213256	0.6017932094345786	0.6287254003617514	0.6423401248318013	0.5905464453464827	0.6033184073065945	0.6526351203797172	0.6175250699797284	0.6325652474258973
Nilsson	0.435602161268964	0.46192353655792134	0.4995720553068563	0.4714258726478527	0.4890864954654536	0.4752688295974917	0.13757783837603788	0.6546294324140985	0.7387611946949652	0.0	0.4553699647848998	0.4700659185584817	0.43798120105200933	0.44985737730851244	0.445762660456081	0.46676589575966065	0.5103105659024905	0.5427090117239814	0.46481150701249	0.498117188904879	0.4408689804415727	0.4365193570765605	0.4476187509801975	0.4393075255349732	0.4427159500356908	0.46372900570884684	0.45254193461013653	0.45770781317036036	0.4354943894403119	0.4536652005087194	0.4579299713330109	0.4351118866917733	0.501911487013929	0.46974406106562305	0.5058638317710045	0.5236147158607994	0.49309235531212264	0.47415664654956224	0.4887628632378662	0.47387026403326277	0.48043412186150525	0.48788595847415733	0.45574867884525827	0.474362815676646	0.44886251082715534	0.4637967490529605	0.47645363943958624	0.4756114120687329	0.4806572244750181	0.4680224245705334	0.4661442979726139	0.4824201386424932	0.48759161117922434	0.5113997501417061	0.5064846641791496	0.47529401238723173	0.49099514584957354	0.5165770783998316	0.4726990899362574	0.490077632910932	0.4796649448434746	0.49679075268267897	0.5299309064261198	0.4848502155732541	0.4818607639825689	0.49072045104562767	0.4605991816037012	0.48830537315405714	0.47708804368081925	0.5097209850686302	0.4641165817721645	0.43857986602250004	0.45932727725181305	0.46464452444657217	0.4465153628274904	0.45441006515620014	0.4310471939338899	0.526268833640139	0.431517970914995	0.4618322584198052	0.4496010219866003	0.47414486357523206	0.48484215197868463	0.43906726109316563	0.4333487699931584	0.4560991027893402	0.4431542944938445	0.4306377873255378	0.4673868689551766	0.4337932438075718
