	shannon
LFG_AM (LFM)	7.048596698544805
LSG_AM (LSM)	7.388006151551456
LSG_AFO	7.101341215106345
LSG_Unknown	7.636559788708189
LSG_AFY	7.383133090243385
RSG_AM_2	7.0084574223582
RSG_AM (RSM)	7.414977548036051
RSG_SubAM_1	6.855166225488935
UNKG_Unknown_1	7.528612416461614
UNKG_Unknown_2	7.24634045047586
UNKG_Unknown_3	7.303985281786731
UNKG_Unknown_4	7.293046250278713
UNKG_Unknown_5	7.574950870839554
UNKG_Unknown_6	7.371969785033435
UNKG_Unknown_7	7.139372612664522
UNKG_Unknown_8	7.514122859141113
UNKG_Unknown_9	7.03465833173797
UNKG_Unknown_10	7.256099006601219
UNKG_Unknown_11	7.120991994881983
UNKG_Unknown_12	7.364968518384383
UNKG_Unknown_13	7.233204180239544
UNKG_Unknown_14	6.886835901031376
UNKG_Unknown_15	6.956580383201331
UNKG_Unknown_16	6.807624083582122
UNKG_Unknown_17	6.856444657799971
UNKG_Unknown_18	6.75652095652217
UNKG_Unknown_19	6.8886739424465295
UNKG_Unknown_20	7.50820904280437
UNKG_Unknown_21	7.150788792998707
UNKG_Unknown_22	7.488999385103513
UNKG_Unknown_23	7.429677942392075
UNKG_Unknown_24	7.148861727329797
UNKG_Unknown_25	7.506409731461682
UNKG_Unknown_26	7.152114852600527
UNKG_Unknown_27	7.02648071142882
UNKG_Unknown_28	7.459051082507431
UNKG_Unknown_29	7.4978185456107695
UNKG_Unknown_30	7.246914107882054
UNKG_Unknown_31	7.419263216122094
UNKG_Unknown_32	7.259502638264876
