	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32
LFG_AM (LFM)	0.0	0.32161888701517705	0.4129510961214165	0.4079595278246206	0.33059021922428333	0.36134907251264753	0.3745025295109612	0.4559190556492411	0.4575379426644182	0.3488026981450253	0.3830691399662732	0.38468802698145027	0.4285328836424958	0.3427993254637437	0.41072512647554804	0.46462057335581786	0.30158516020236087	0.41807757166947723	0.3988532883642496	0.3941989881956155	0.3481281618887015	0.40741989881956153	0.4675885328836425	0.3545362563237774	0.3302529510961214	0.4580775716694772	0.36168634064080946	0.38138279932546376	0.37747048903878583	0.36013490725126474	0.3515682967959528	0.39642495784148396	0.39743676222596963	0.42677908937605397	0.3815851602023609	0.5402360876897133	0.38468802698145027	0.32370994940978076	0.45173693086003375	0.3485328836424958
LSG_AM (LSM)	0.32161888701517705	0.0	0.33470489038785833	0.3003709949409781	0.2397301854974705	0.3767959527824621	0.26010118043844854	0.42610455311973017	0.3435413153456998	0.29193929173693084	0.3100843170320405	0.3433389544688027	0.35129848229342325	0.29254637436762226	0.35055649241146714	0.4045193929173693	0.2815514333895447	0.35480607082630694	0.32276559865092747	0.29902192242833053	0.3185834738617201	0.3618212478920742	0.433389544688027	0.33389544688026984	0.34462057335581786	0.4211804384485666	0.35959527824620574	0.3043507588532884	0.3117706576728499	0.3233726812816189	0.33315345699831367	0.3320741989881956	0.3618887015177066	0.36978077571669477	0.3622934232715008	0.5036087689713322	0.329106239460371	0.27709949409780776	0.373220910623946	0.2945699831365936
LSG_AFO	0.4129510961214165	0.33470489038785833	0.0	0.3245193929173693	0.2679258010118044	0.5226306913996628	0.3765935919055649	0.5701180438448566	0.402495784148398	0.39473861720067455	0.40330522765598653	0.4469477234401349	0.47102866779089375	0.43278246205733556	0.34111298482293423	0.34792580101180437	0.38468802698145027	0.33011804384485666	0.27979763912310285	0.34913996627318716	0.33510961214165264	0.2990893760539629	0.2866779089376054	0.3187858347386172	0.36458684654300166	0.24215851602023608	0.3399662731871838	0.26050590219224284	0.2863406408094435	0.33679595278246205	0.33531197301854976	0.33497470489038783	0.2589544688026981	0.526070826306914	0.48310286677908937	0.5208094435075885	0.4151096121416526	0.43898819561551433	0.48647554806070825	0.4466779089376054
LSG_Unknown	0.4079595278246206	0.3003709949409781	0.3245193929173693	0.0	0.27615514333895447	0.4371669477234401	0.327150084317032	0.5056998313659359	0.3284991568296796	0.38738617200674536	0.34347386172006744	0.3606070826306914	0.41308600337268125	0.40647554806070824	0.32290050590219227	0.3415851602023609	0.3537268128161889	0.3533220910623946	0.292681281618887	0.32296795952782464	0.3371332209106239	0.3821247892074199	0.38050590219224284	0.38225969645868463	0.4112647554806071	0.39811129848229343	0.4043170320404722	0.29261382799325464	0.3490050590219224	0.3557504215851602	0.31318718381112987	0.37713322091062396	0.36384485666104555	0.46981450252951096	0.3965598650927487	0.4357504215851602	0.341247892074199	0.3552107925801012	0.387318718381113	0.39116357504215854
LSG_AFY	0.33059021922428333	0.2397301854974705	0.2679258010118044	0.27615514333895447	0.0	0.3987183811129848	0.294637436762226	0.46887015177065766	0.3473861720067454	0.30374367622259696	0.3207419898819562	0.3644519392917369	0.363575042158516	0.32492411467116356	0.35251264755480605	0.36741989881956155	0.3184485666104553	0.3046205733558179	0.2793929173693086	0.28762225969645866	0.2702866779089376	0.3365935919055649	0.39096121416526136	0.30866779089376056	0.29780775716694774	0.35797639123102865	0.30610455311973017	0.2675210792580101	0.2601686340640809	0.258752107925801	0.27284991568296796	0.30799325463743676	0.31750421585160205	0.433929173693086	0.39595278246205734	0.5080607082630691	0.33699831365935917	0.3394940978077572	0.39527824620573354	0.33962900505902194
RSG_AM_2	0.36134907251264753	0.3767959527824621	0.5226306913996628	0.4371669477234401	0.3987183811129848	0.0	0.3715345699831366	0.3516357504215852	0.47217537942664417	0.4029679595278246	0.41713322091062394	0.40991568296795955	0.44674536256323777	0.384822934232715	0.46246205733558177	0.5495446880269814	0.3276222596964587	0.5224957841483979	0.4993591905564924	0.4620573355817875	0.4561888701517707	0.5096121416526138	0.5745025295109613	0.4543001686340641	0.46536256323777403	0.5990556492411467	0.47622259696458685	0.4696795952782462	0.48768971332209105	0.48836424957841484	0.461787521079258	0.5143338954468802	0.5380101180438449	0.39473861720067455	0.33409780775716696	0.5238448566610455	0.3772681281618887	0.31534569983136596	0.4100505902192243	0.37430016863406407
RSG_AM (RSM)	0.3745025295109612	0.26010118043844854	0.3765935919055649	0.327150084317032	0.294637436762226	0.3715345699831366	0.0	0.37079258010118044	0.3519055649241147	0.31298482293423274	0.3482630691399663	0.37403035413153457	0.39898819561551435	0.31946037099494096	0.3618212478920742	0.4324451939291737	0.3332883642495784	0.3590556492411467	0.36499156829679597	0.31682967959527825	0.3262057335581788	0.39568296795952784	0.4482967959527825	0.357504215851602	0.35534569983136594	0.46259696458684657	0.4002698145025295	0.3532546374367622	0.3445531197301855	0.38313659359190555	0.3481956155143339	0.3626981450252951	0.4033726812816189	0.4262394603709949	0.33227655986509275	0.4785160202360877	0.31959527824620576	0.2857335581787521	0.35885328836424957	0.2787858347386172
RSG_SubAM_1	0.4559190556492411	0.42610455311973017	0.5701180438448566	0.5056998313659359	0.46887015177065766	0.3516357504215852	0.37079258010118044	0.0	0.4996290050590219	0.4373018549747049	0.46529510961214166	0.4651602023608769	0.4887015177065767	0.4062731871838111	0.5303204047217538	0.6097807757166948	0.4051264755480607	0.5334907251264756	0.5468465430016863	0.489106239460371	0.5059696458684654	0.5377403035413153	0.6243507588532884	0.4864080944350759	0.4918043844856661	0.6332546374367622	0.49976391231028666	0.5311973018549747	0.5047554806070826	0.49025295109612144	0.48741989881956155	0.5191231028667791	0.561956155143339	0.4499831365935919	0.37005059021922426	0.5775379426644182	0.43231028667790894	0.4157841483979764	0.41537942664418215	0.39993254637436765
UNKG_Unknown_1	0.4575379426644182	0.3435413153456998	0.402495784148398	0.3284991568296796	0.3473861720067454	0.47217537942664417	0.3519055649241147	0.4996290050590219	0.0	0.3515682967959528	0.38785834738617203	0.4066779089376054	0.4054637436762226	0.3769983136593592	0.4086340640809443	0.41322091062394606	0.40620573355817874	0.3500168634064081	0.38596964586846544	0.3584485666104553	0.37976391231028667	0.45888701517706576	0.47554806070826305	0.4027655986509275	0.41328836424957843	0.46765598650927487	0.4304890387858347	0.34293423271500845	0.36222596964586845	0.38860033726812815	0.3670151770657673	0.39811129848229343	0.4236087689713322	0.4516694772344014	0.4045868465430017	0.463743676222597	0.35264755480607085	0.37079258010118044	0.40283305227655986	0.371602023608769
UNKG_Unknown_2	0.3488026981450253	0.29193929173693084	0.39473861720067455	0.38738617200674536	0.30374367622259696	0.4029679595278246	0.31298482293423274	0.4373018549747049	0.3515682967959528	0.0	0.31986509274873526	0.33888701517706576	0.3727487352445194	0.14077571669477235	0.44195615514333897	0.4690050590219224	0.3403035413153457	0.32944350758853286	0.39021922428330524	0.3250590219224283	0.3436087689713322	0.39109612141652617	0.49477234401349074	0.3245868465430017	0.3339629005059022	0.4449915682967959	0.32377740303541314	0.3444856661045531	0.3148735244519393	0.3363912310286678	0.34563237774030353	0.32654300168634065	0.39649241146711633	0.38266441821247893	0.4154468802698145	0.5416526138279932	0.3738954468802698	0.308397976391231	0.4057335581787521	0.2869477234401349
