	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32
LFG_AM (LFM)	0.0	0.4918815663801337	0.5072886297376094	0.5004557885141294	0.489058039961941	0.4908906882591093	0.4816955684007707	0.5045408678102926	0.5209854014598541	0.48597194388777554	0.5242165242165242	0.5042492917847026	0.49855907780979825	0.49069539666993145	0.5097465886939572	0.5514511873350924	0.4524793388429752	0.5090543259557344	0.5111111111111111	0.510184287099903	0.49502982107355864	0.5248508946322068	0.5880149812734082	0.5	0.4892086330935252	0.5561172901921132	0.49230769230769234	0.48091603053435117	0.48405797101449277	0.5032139577594124	0.4796511627906977	0.48338368580060426	0.5206684256816183	0.4935064935064935	0.49748743718592964	0.5557476231633535	0.4929840972871843	0.46331236897274636	0.5034013605442177	0.46741344195519346
LSG_AM (LSM)	0.4918815663801337	0.0	0.47703842549203374	0.45729537366548045	0.42830365510777885	0.4836852207293666	0.43808630393996245	0.4658203125	0.4440400363967243	0.46301633045148893	0.47162790697674417	0.47214611872146117	0.468952734012975	0.4490960989533777	0.4864359214218896	0.4995678478824546	0.44564152791381	0.46731707317073173	0.5071633237822349	0.4567901234567901	0.4616122840690979	0.5075901328273245	0.5348623853211009	0.4893410852713178	0.4640394088669951	0.5083579154375615	0.4849368318756074	0.44783010156971376	0.44026340545625586	0.462432915921288	0.469067405355494	0.4574468085106383	0.4666666666666667	0.47904761904761906	0.47104247104247104	0.5210084033613446	0.4657039711191336	0.43561368209255535	0.4603024574669187	0.4448780487804878
LSG_AFO	0.5072886297376094	0.47703842549203374	0.0	0.4627272727272727	0.4613935969868173	0.5235350624399616	0.49256505576208176	0.5019607843137255	0.4804010938924339	0.4956521739130435	0.5060690943043884	0.51952770208901	0.5238532110091743	0.4914448669201521	0.4604105571847507	0.49377224199288255	0.505324298160697	0.45656565656565656	0.4489795918367347	0.4773820981713186	0.4912959381044487	0.459214501510574	0.471976401179941	0.48096192384769537	0.499009900990099	0.4581589958158996	0.4686868686868687	0.45325779036827196	0.46919431279620855	0.4567219152854512	0.4441233140655106	0.4541832669322709	0.46944198405668736	0.5157593123209169	0.5111111111111111	0.5324786324786325	0.4728110599078341	0.4834503510531595	0.4981060606060606	0.4764243614931238
LSG_Unknown	0.5004557885141294	0.45729537366548045	0.4627272727272727	0.0	0.4353680430879713	0.5049954586739328	0.46814159292035395	0.4884579870729455	0.4461942257217848	0.4882032667876588	0.46863799283154123	0.4785651793525809	0.47153024911032027	0.4897595725734639	0.4856115107913669	0.463768115942029	0.49727272727272726	0.48706099815157117	0.49723247232472323	0.4806828391734052	0.4771897810218978	0.51	0.5085201793721973	0.49537037037037035	0.5009225092250923	0.5094161958568738	0.4911792014856082	0.4635004397537379	0.4743362831858407	0.4704370179948586	0.47971781305114636	0.4872495446265938	0.4691666666666667	0.5098566308243727	0.49452554744525545	0.4757929883138564	0.4562937062937063	0.48362956033676335	0.49333333333333335	0.4909090909090909
LSG_AFY	0.489058039961941	0.42830365510777885	0.4613935969868173	0.4353680430879713	0.0	0.4866666666666667	0.46422018348623856	0.49236641221374045	0.44715447154471544	0.44390715667311414	0.48161764705882354	0.48057813911472447	0.4886260236578708	0.4767657992565056	0.480859010270775	0.4852430555555556	0.451988360814743	0.4836852207293666	0.4928092042186002	0.4467680608365019	0.4588910133843212	0.5075471698113208	0.5238970588235294	0.49375600384245916	0.4835589941972921	0.5053868756121449	0.46123650637880276	0.44669117647058826	0.4478584729981378	0.45576407506702415	0.4478584729981378	0.46507177033492825	0.4721030042918455	0.4891815616180621	0.4943289224952741	0.5209030100334449	0.45479204339963836	0.456071076011846	0.4691588785046729	0.47041984732824427
RSG_AM_2	0.4908906882591093	0.4836852207293666	0.5235350624399616	0.5049954586739328	0.4866666666666667	0.0	0.48073217726396916	0.49898785425101216	0.5173674588665448	0.4940239043824701	0.4814453125	0.4818007662835249	0.4874274661508704	0.4822834645669291	0.5414680648236415	0.5606986899563319	0.45623069001029865	0.5432220039292731	0.5623781676413255	0.5106589147286822	0.5219512195121951	0.551219512195122	0.6066481994459834	0.5333998005982054	0.5377733598409543	0.5907297830374754	0.5478775913129319	0.5195167286245354	0.5132575757575758	0.5345911949685535	0.542246982358403	0.5152709359605911	0.5627668659265584	0.4940119760479042	0.46406570841889117	0.5333333333333333	0.5087881591119334	0.4525316455696203	0.49951314508276534	0.48338368580060426
RSG_AM (RSM)	0.4816955684007707	0.43808630393996245	0.49256505576208176	0.46814159292035395	0.46422018348623856	0.48073217726396916	0.0	0.47024390243902436	0.45799457994579945	0.4962335216572505	0.47157502329916123	0.4818181818181818	0.4773776546629732	0.4708646616541353	0.5087719298245614	0.5213310580204779	0.47104247104247104	0.5052430886558628	0.5213270142180095	0.4552380952380952	0.47619047619047616	0.5104364326375711	0.5469462169553327	0.4966183574879227	0.5095785440613027	0.5414258188824663	0.48490749756572543	0.47731397459165154	0.4532710280373832	0.49076517150395776	0.49134001823154055	0.47509578544061304	0.49531914893617024	0.4990583804143126	0.45454545454545453	0.5008532423208191	0.4656419529837251	0.4572564612326044	0.4732394366197183	0.4508276533592989
RSG_SubAM_1	0.5045408678102926	0.4658203125	0.5019607843137255	0.4884579870729455	0.49236641221374045	0.49898785425101216	0.47024390243902436	0.0	0.48402255639097747	0.48335015136226034	0.4843137254901961	0.49186602870813395	0.48735408560311283	0.4746268656716418	0.521865889212828	0.5635407537248028	0.4749232343909928	0.5126135216952573	0.5251509054325956	0.4945812807881773	0.48185483870967744	0.5225225225225225	0.5808893093661306	0.5081632653061224	0.49743062692702983	0.556910569105691	0.4989733059548255	0.4971537001897533	0.49324324324324326	0.47699530516431926	0.47855750487329435	0.48380566801619435	0.5185840707964602	0.4879032258064516	0.4811031664964249	0.5412280701754386	0.4905838041431262	0.4700944386149003	0.4891518737672584	0.45670103092783504
UNKG_Unknown_1	0.5209854014598541	0.4440400363967243	0.4804010938924339	0.4461942257217848	0.44715447154471544	0.5173674588665448	0.45799457994579945	0.48402255639097747	0.0	0.4782205746061168	0.4995547640249332	0.48631950573698146	0.4968944099378882	0.48	0.4909090909090909	0.4893797790994053	0.4944547134935305	0.47830188679245284	0.5041938490214353	0.479014598540146	0.47544022242817424	0.5101476014760148	0.5379125780553078	0.4981238273921201	0.5093109869646183	0.532015065913371	0.4853358561967833	0.4547085201793722	0.4573502722323049	0.4818965517241379	0.472596585804133	0.47294776119402987	0.48030176026823135	0.5113533151680291	0.5068870523415978	0.4831649831649832	0.45430346051464066	0.4570048309178744	0.4932371505861136	0.4652908067542214
UNKG_Unknown_2	0.48597194388777554	0.46301633045148893	0.4956521739130435	0.4882032667876588	0.44390715667311414	0.4940239043824701	0.4962335216572505	0.48335015136226034	0.4782205746061168	0.0	0.4753146176185866	0.47722960151802657	0.4754571703561116	0.4093686354378819	0.5195797516714422	0.5445026178010471	0.467204843592331	0.5044776119402985	0.5328753680078508	0.4927395934172314	0.4557344064386318	0.5245098039215687	0.5816326530612245	0.5237623762376238	0.5119760479041916	0.5393145161290323	0.4832146490335707	0.4681861348528015	0.4784688995215311	0.4936131386861314	0.49002849002849	0.49110671936758893	0.5139616055846422	0.4786069651741294	0.4885343968095713	0.5538461538461539	0.4902867715078631	0.4247881355932203	0.49032882011605416	0.4460285132382892
