	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32
LFG_AM (LFM)	0.0	0.3643718441016043	0.38489665418934976	0.38039947173205674	0.38433620540916336	0.3852789559557415	0.3776970435371001	0.3993939332270642	0.40651541244663314	0.3811580633520812	0.4166362554939418	0.38384589192995106	0.38234900327836774	0.3869450131561708	0.39293067586724084	0.4386099301946986	0.3481503382595462	0.381439356322177	0.3862003193857282	0.38804633153802376	0.3645891263867956	0.4027357612526022	0.46309045363495227	0.39825768708861653	0.389559053959205	0.4296516104978344	0.3961914214764326	0.3602516153503453	0.3812240452905456	0.39425327093091667	0.3605501462559427	0.3744557691070979	0.3955922536486843	0.3996982444247372	0.38813690352889985	0.4415310803574776	0.3919445352007535	0.35408825199883137	0.37704537546083605	0.3733910801464068
LSG_AM (LSM)	0.3643718441016043	0.0	0.3530861180749358	0.3494053451612945	0.32660311725596264	0.38276763842389805	0.31806081959687593	0.3621892311484444	0.3329335490436182	0.35180342289133587	0.35985407877379055	0.3670224576288721	0.3537025756509647	0.33274913221570407	0.36677592012276494	0.3694535740936527	0.3273601155058776	0.3495790734027156	0.3732926450905171	0.3462409556291234	0.3402186306193955	0.38495026426302476	0.4203405853521892	0.3768079299075692	0.3649811604216325	0.38675247119149403	0.36542587381526603	0.31885241495494854	0.3447863557877336	0.33949184780368663	0.3535593505147242	0.34823821677853684	0.34959972553815305	0.3644728621628298	0.360929561846733	0.3983967960377895	0.35364530200984645	0.33618199371628565	0.33249832046207267	0.3389700283984324
LSG_AFO	0.38489665418934976	0.3530861180749358	0.0	0.3526804408613104	0.34896822213662826	0.41623236806038477	0.37268931358338575	0.40491148280660005	0.37654503915581894	0.3795555682410342	0.38621057273808806	0.4092116534401978	0.40459543704252193	0.3785499309540004	0.3591497853221884	0.38737589867627165	0.38793313597875395	0.33864459126173607	0.33648940704955466	0.3567759145713659	0.358301542622964	0.3422488979442938	0.366263005818437	0.367860338556986	0.3937921797289598	0.35336106082900043	0.3633017941243412	0.3444841371885354	0.36300951792400066	0.34791903530365764	0.3324868647541347	0.3483802730092971	0.3713595480177115	0.4058953750698808	0.39075598876746537	0.4265307740668532	0.3707279775949147	0.36126102518720626	0.36852204880014017	0.37654967953886603
LSG_Unknown	0.38039947173205674	0.3494053451612945	0.3526804408613104	0.0	0.3262131342806792	0.40105249451928177	0.35540275919093606	0.3917181680632578	0.35229159538057137	0.39109348724059206	0.3611453688925351	0.3716639144663038	0.34738099517431964	0.38180095132856257	0.38711438900244943	0.3670908415795328	0.3809449549865815	0.3656749944021884	0.3723187965724945	0.3689596332968136	0.3665280529774631	0.3856641030234625	0.38622440239107486	0.40291335404495937	0.3894976626999242	0.40069268477327896	0.389819020775194	0.34678718554980176	0.3728708404291185	0.36004108243102334	0.35429619052038025	0.37831347355590494	0.36110155441645164	0.4056884280193485	0.37866832012839235	0.38829368628999245	0.3667549500804685	0.368454531052444	0.3715795576748998	0.39209451581593013
LSG_AFY	0.38433620540916336	0.32660311725596264	0.34896822213662826	0.3262131342806792	0.0	0.3922418833092903	0.34937226149368783	0.39803132938795754	0.33334671611382427	0.36270365268580607	0.37663056400128286	0.3865969568549752	0.3779918021684457	0.3714844558443253	0.36676401564129235	0.3650727909272195	0.35577429194313503	0.34908080659969065	0.3754971466306613	0.3416863228901254	0.3497142760737902	0.38773866840240856	0.39213869944106994	0.37602817189036564	0.3747313971524686	0.38930132403572515	0.3667114673961458	0.3449247439864576	0.3419153234687309	0.34415422755725866	0.35518967579511346	0.3735533949155504	0.3810323517317435	0.3815548086722919	0.3770215903241173	0.406285565450983	0.3544602313433955	0.3504472916489173	0.36865595914377003	0.3825993041436058
RSG_AM_2	0.3852789559557415	0.38276763842389805	0.41623236806038477	0.40105249451928177	0.3922418833092903	0.0	0.38198021635425183	0.4094195105718065	0.40316412651429134	0.379188217299349	0.3756369658623617	0.369722990575489	0.38858390579022256	0.38082873678547474	0.43976678959205046	0.4464217269626448	0.36994524723525607	0.4288669380659524	0.4530997475240688	0.41698540308652327	0.4201534762859518	0.450083433012546	0.4948360024450978	0.43245722600370484	0.44468005885264855	0.47874605786467256	0.45078711842288005	0.4017686222104939	0.4090906371449799	0.427702272708068	0.43417777992015827	0.41364761817859	0.4558204137787595	0.3814762732990457	0.34847191601547994	0.4286494220618606	0.38460679200362907	0.34145889926376827	0.3910055965917917	0.39110655499454827
RSG_AM (RSM)	0.3776970435371001	0.31806081959687593	0.37268931358338575	0.35540275919093606	0.34937226149368783	0.38198021635425183	0.0	0.38480053472529147	0.34580760920883974	0.37164087011254093	0.3540601513679403	0.37408746603169607	0.3555905902397744	0.35566945202105044	0.3855462164724969	0.38143132340384717	0.34865386146733224	0.38584636522608723	0.38586172769732907	0.34592768870114243	0.363760388447201	0.374128670910163	0.42524465954928775	0.38929831555105465	0.3806988352290085	0.4164100497100983	0.3668172391773869	0.35360030944150933	0.35958508420541585	0.36164309885020074	0.3620143086877507	0.3560299670633295	0.3730514871619731	0.38279721817026213	0.3479613290463281	0.3894495211675466	0.35546526010789364	0.3558430702002949	0.34560279531341076	0.34740965146042896
RSG_SubAM_1	0.3993939332270642	0.3621892311484444	0.40491148280660005	0.3917181680632578	0.39803132938795754	0.4094195105718065	0.38480053472529147	0.0	0.3950731031274462	0.39414158744204264	0.38403967304943787	0.3927018089563798	0.38918463083227656	0.3903015139259507	0.42319373538028393	0.4511801378393695	0.3730763131896344	0.40716749398393975	0.4160479662547643	0.39392293440129317	0.38995550771119153	0.42505599921110776	0.4683188247193028	0.41884289480620657	0.38826514502171244	0.4483100230277065	0.3919680946223163	0.38432635620252326	0.39041810139983213	0.3836927129246601	0.3786969087454023	0.3907886512842794	0.40940918556063877	0.3974643240476877	0.38216990057399836	0.4295122947611469	0.4051092004453706	0.3768503112575196	0.3774432987319568	0.36841313247641716
UNKG_Unknown_1	0.40651541244663314	0.3329335490436182	0.37654503915581894	0.35229159538057137	0.33334671611382427	0.40316412651429134	0.34580760920883974	0.3950731031274462	0.0	0.3665647688484495	0.3905949048224364	0.37913341740109663	0.3900703458576134	0.37520551689200426	0.38176907737659915	0.36710004412812575	0.3708962914057782	0.355604302221361	0.38850932208461453	0.36428158536778527	0.3658730628165494	0.384894997415705	0.41894612006667004	0.3776245351966496	0.396631901261435	0.39935963856233864	0.36833850504533255	0.3321381961895602	0.35379555609041663	0.35774503299466437	0.36751013294262946	0.3594911336454614	0.38039918159899827	0.3969924642281495	0.3840414846847268	0.3665036415398449	0.3536979333259308	0.3603533215164742	0.3714260225931685	0.36285038530358993
UNKG_Unknown_2	0.3811580633520812	0.35180342289133587	0.3795555682410342	0.39109348724059206	0.36270365268580607	0.379188217299349	0.37164087011254093	0.39414158744204264	0.3665647688484495	0.0	0.3764532227028963	0.3573080820510148	0.36804624359419413	0.30134145590093825	0.4006790877079638	0.4161551324886746	0.35435054188329473	0.38776466234575846	0.4108048976684298	0.38392721184838763	0.36432073273964716	0.41169100625538674	0.467767275749411	0.41463593630839285	0.4092301759309245	0.4215979540709507	0.37466046410406356	0.3533773379102721	0.3825693969026051	0.3720018243053532	0.378535831743121	0.37047598155884964	0.41357954935263147	0.35996143230354616	0.36409099366658426	0.43324549798946066	0.3653400853262755	0.3345739310285722	0.3670968686684878	0.3517862886703011
