	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32
LFG_AM (LFM)	0.0	0.0802238442380023	0.11240321085501052	0.11886675958437244	0.08422275484807833	0.10894455257063067	0.11660835093675172	0.14382813845613826	0.13596442378197698	0.103834389385676	0.11447662746552514	0.12374656608972438	0.11680320808651057	0.10735266597540521	0.10573586387189877	0.14659251206311347	0.06692087688966972	0.1254533240955202	0.12277038851346564	0.12321849239128208	0.11401368365056377	0.13135961882084765	0.13839211821746397	0.10116246878377243	0.09374905572111879	0.1298783589290528	0.11090107322620005	0.09559119932925057	0.11678530055940467	0.08609676695895999	0.10360926956562938	0.11964033596753916	0.10694685143191682	0.15384880755410046	0.10882275894233996	0.17522279905262625	0.0938729667294748	0.08868044662368067	0.14670077799364709	0.09958275090789388
LSG_AM (LSM)	0.0802238442380023	0.0	0.08754419500994907	0.08535298753440639	0.06184295648517884	0.1266356897577913	0.08392819231318148	0.13952306381063156	0.10773095792747878	0.08825528852675454	0.0900071332243998	0.1056164688051732	0.09245811600995954	0.09751606086539642	0.08847164734021477	0.12568649975104879	0.0731385504752813	0.10302712982992974	0.1006101679417749	0.09237187044605454	0.09160081960133418	0.12443083305704375	0.11492793134941748	0.09204312383788729	0.10323342072058478	0.12426911982791244	0.12002451945370303	0.07749332885095599	0.09043947057724025	0.08790542193153315	0.08670504228507175	0.0932677416910038	0.09833035692763253	0.1301496661623447	0.09673341988154252	0.1619430369769509	0.08213995818599593	0.06921759259079183	0.12239832862735749	0.08319052216129257
LSG_AFO	0.11240321085501052	0.08754419500994907	0.0	0.08986553869968092	0.07017743007886403	0.17358980312914402	0.13378981738544454	0.19348831786773976	0.13627030582078767	0.1285926518546844	0.12014220724373728	0.1351552743271745	0.12935788474871232	0.15099353079610064	0.08416390979457865	0.09635389877029686	0.1004107144727869	0.10903632731125788	0.08201422265877154	0.10822902748061995	0.10763547271299004	0.09751252542509192	0.06855048039372914	0.08369670835082842	0.10661564335124703	0.05639646075770833	0.1168232155949577	0.07256455257316621	0.08724731485304596	0.07769783410446475	0.10283733315768673	0.10322873678355522	0.05824129986152638	0.17759111995261626	0.13345505978900205	0.15321686838765686	0.11783113735947157	0.1235667792079066	0.15838707281158873	0.126488380619885
LSG_Unknown	0.11886675958437244	0.08535298753440639	0.08986553869968092	0.0	0.07523281833052013	0.15563494769524217	0.1076505382999592	0.17400860442385274	0.10325174045951174	0.12905058971716105	0.08540647904984328	0.0913859354216804	0.09559751714479911	0.1436366854954186	0.06659189146257806	0.08113409653922243	0.11009001625078449	0.12135696059423902	0.10294573221295374	0.09917431779406267	0.1126940554196332	0.13626250250289668	0.09017254372412244	0.11480392522523464	0.1259814774353969	0.12035323180792065	0.15438828072283858	0.08405129720016476	0.10772238599862198	0.1061877100645826	0.090656387977718	0.11657797037087932	0.10101926621459266	0.17167108943213383	0.09799609507402972	0.1290852520569128	0.09360992774080557	0.10166821513932676	0.12115102340349146	0.11939562033251733
LSG_AFY	0.08422275484807833	0.06184295648517884	0.07017743007886403	0.07523281833052013	0.0	0.1392393477436896	0.09997174643819784	0.15864972352485632	0.1015799057034096	0.09461040012249225	0.08040758730731282	0.09525034210779733	0.0866503932995217	0.11438308615395967	0.07561343694137118	0.10562911372198422	0.08387813966703593	0.09567108875096818	0.08697648773219008	0.08253178624312173	0.08413099497703333	0.11371856927869886	0.10207873675612934	0.08292756560538664	0.0761645013006667	0.10264806961367663	0.12156808034721676	0.06378608237576744	0.07225784421560516	0.06337654172917596	0.07174089182819524	0.09398543410977468	0.08120627128668494	0.1543144560807868	0.10148567016885031	0.15881951532741526	0.09284131338532114	0.08518216124027776	0.12095417697025661	0.09366762906666502
RSG_AM_2	0.10894455257063067	0.1266356897577913	0.17358980312914402	0.15563494769524217	0.1392393477436896	0.0	0.11721764250923347	0.10433712257445435	0.15601570528591524	0.13416047973506204	0.15463549900020152	0.15763806628009794	0.15490556697823402	0.12920742949546152	0.14539294644838138	0.2022497849044112	0.11001614641573396	0.1823371170099082	0.1765008080399584	0.16202013084576078	0.15305163236399966	0.18360829269874737	0.18401267330570226	0.16009460985800383	0.14109566552066588	0.19626460853649771	0.13926574993136842	0.1593558718996579	0.164155644572561	0.1595498942164745	0.14241140712409453	0.1807913033099512	0.17129356512493168	0.13254845876800678	0.11872682439603907	0.1917820145073611	0.11329230766536098	0.10691148541135422	0.13853161029789143	0.11147542739115203
RSG_AM (RSM)	0.11660835093675172	0.08392819231318148	0.13378981738544454	0.1076505382999592	0.09997174643819784	0.11721764250923347	0.0	0.10316044048359156	0.08845738823431576	0.07813582205874521	0.09829694712506307	0.11015200412139275	0.11975436899538813	0.0871923663875281	0.10984700320754394	0.15162377540729385	0.1147598732686315	0.12250076028464675	0.14096062403786522	0.10916399792342188	0.09781219840033893	0.16455087834900953	0.1391590389858705	0.12523038665977046	0.11449653506242902	0.169243323649366	0.16470602180647714	0.11630128235468158	0.1078275697103089	0.1209170112935139	0.08826875961420462	0.1088537214910636	0.12919032938815941	0.15470723438414483	0.09338269140263217	0.16452822489347915	0.08865043175531999	0.07450454370003179	0.09787581594172551	0.06826586991801553
RSG_SubAM_1	0.14382813845613826	0.13952306381063156	0.19348831786773976	0.17400860442385274	0.15864972352485632	0.10433712257445435	0.10316044048359156	0.0	0.15233303812798235	0.12486117843463601	0.14989770595835913	0.15523146785992534	0.16227679927072647	0.11604790556841142	0.1653053903866374	0.2178528364713694	0.13927388809892144	0.18171729647054768	0.1898732155764923	0.1665319837271874	0.1560759859269978	0.2060460142589628	0.20048683056956323	0.1678437350415786	0.15018184023007336	0.21895206765236563	0.17450626798875282	0.17724770590687136	0.15355501587126996	0.1631200891826861	0.1373506962146587	0.16667238654067165	0.1826687583819699	0.15672995209388904	0.12612986519239394	0.20890611155107602	0.12940809721423302	0.12139665367121075	0.1259110071317835	0.11424638461225044
UNKG_Unknown_1	0.13596442378197698	0.10773095792747878	0.13627030582078767	0.10325174045951174	0.1015799057034096	0.15601570528591524	0.08845738823431576	0.15233303812798235	0.0	0.08910667532389442	0.09204086891617007	0.09766167562592273	0.11333985702209028	0.10230801963961753	0.12032492572557123	0.1334595812508812	0.13452620448724212	0.12370932155196365	0.14360309155311504	0.10698420033983973	0.11214018092285123	0.1737073262557665	0.14699190247079624	0.12799201768902446	0.11503776004715231	0.1663091854321071	0.18402996105858668	0.11429839947706102	0.10642193471596026	0.12048740323235628	0.08957614722790501	0.12255875761041575	0.13502036790436067	0.16917461787195365	0.11263564253954106	0.1533578937427384	0.10879156226985143	0.09948285739552581	0.10186096939760855	0.08756424021375579
UNKG_Unknown_2	0.103834389385676	0.08825528852675454	0.1285926518546844	0.12905058971716105	0.09461040012249225	0.13416047973506204	0.07813582205874521	0.12486117843463601	0.08910667532389442	0.0	0.10607860650732999	0.11212415250114105	0.11477941588120864	0.04377363577923679	0.12703260466935137	0.1573802246902981	0.1064041768813486	0.11259686144442246	0.14095805684322255	0.09815255509936831	0.10266156637812077	0.1580947475467244	0.1570868340349355	0.10487200819833536	0.09111275221525282	0.15346293652310172	0.14023168379716047	0.10055031978283327	0.08047115144571038	0.10493662409922447	0.08963296607031143	0.0902352526354945	0.12327416753903626	0.15154909894697638	0.12098096608551075	0.189986286441366	0.10538861607835272	0.08593031652041529	0.12587374253307176	0.06850141261080825
