sampleID	pielou_e	faith_pd	observed_otus	shannon
St_Patrick	0.6581457091846827	33.35092	475	5.85208929127142
Abita	0.7350449802709934	40.64700000000001	628	6.831964324995412
Callopie	0.6932686341703889	40.54303	647	6.4734803823938565
Alana	0.6834077570015283	36.56909	530	6.184736698383544
Unknown	0.6524362401327456	37.65636	574	5.979517416406843
Dyani	0.6629874092871358	38.34459	556	6.045743117247014
Abu	0.5034851694861412	27.15237	337	4.227565981361491
Captive_Baby	0.4613757474430168	13.552370000000002	143	3.3033909896019615
Marra	0.5315006320888025	19.152380000000004	224	4.14961407601524
Nilsson	0.4090646432596943	16.98021	199	3.1238731261108863
Unknown_FRC5	0.6252112824045317	32.73206	439	5.4881528592026925
Nyx	0.6865096850375564	34.556259999999995	500	6.1550977453780416
Ariadne	0.7642290531187211	41.042429999999996	638	7.120637419333955
Luna	0.7220242513275223	36.76786	589	6.644156564524347
Minerva	0.7224941783584867	38.753960000000006	589	6.648480891251445
Jordan	0.6790619518412377	37.071810000000006	562	6.2028413659591966
Corey	0.7511430587266441	41.19338000000001	656	7.028860234942466
Theodora	0.6854351357897976	36.75123	532	6.206808745792728
Bathsheba	0.6455090172227127	34.06585	527	5.836472513036085
Odysseus	0.6597812836975325	37.9335	584	6.063274244412968
Ivy	0.7572471176885808	43.80092000000001	682	7.12844261624628
Ivanhoe	0.6474811785511687	32.40876	493	5.7920065178412585
Octavia	0.7401010328379778	41.23914	641	6.900835652920311
Unknown_G2.3	0.7056397384730286	35.96997	562	6.4456141997018435
Unknown_G2.2	0.7281399942535056	39.68241999999999	599	6.7181197210377
Wings	0.7664340267801532	39.56542	592	7.058438427463031
Orf	0.7166882243752427	43.7015	662	6.715861318760113
Juniper	0.7601732657064884	42.79012999999999	674	7.1430477430642165
Azalea	0.7241249672978994	42.59468	668	6.794974563920932
Mimosa	0.6684304745557451	35.67484	543	6.072562781908082
Agate	0.7570918229299141	35.67325	573	6.936771553485802
Zanahoria	0.7269258231739741	39.88707	648	6.789378151668348
Rambo_II	0.7415087513643276	40.77639	656	6.938706702771117
Siobhan	0.7246714910579444	40.32142	562	6.6194583414334325
Unknown_G2.1	0.7254276891126407	38.86105000000001	585	6.6683437340482605
Talia	0.7236992227975667	41.73217	619	6.711438667534858
URG.1	0.7042587184849413	35.59467	555	6.420264715409032
URG.10	0.6529964088180703	28.61597	364	5.555559347011376
URG.11	0.6824649406794743	33.541740000000004	489	6.096930662880751
URG.12	0.7166600211180754	40.25904	637	6.675795282004629
URG.13	0.7026887276707945	38.06762	569	6.431207391121111
URG.14	0.7463565288238624	40.7333	634	6.947339607650526
URG.2	0.7304403535364219	37.54704	578	6.701735959196193
URG.3	0.7146005590351288	37.47445	581	6.561744138223887
URG.4	0.6957738481854754	37.54165999999999	560	6.351916375874107
URG.5	0.7154591364929836	38.69566	603	6.607990738373778
URG.6	0.6884074677808484	36.14958	553	6.272173835354037
URG.7	0.6664597662149052	36.64249	524	6.020412981724997
URG.8	0.6818028743617564	38.47410000000001	604	6.298770905789112
URG.9	0.6924086628712792	36.22594	567	6.333603931088827
