	pielou_e
St_Patrick	0.6581457091846827
Abita	0.7350449802709934
Callopie	0.6932686341703889
Alana	0.6834077570015283
Unknown	0.6524362401327456
Dyani	0.6629874092871358
Abu	0.5034851694861412
Captive_Baby	0.4613757474430168
Marra	0.5315006320888025
Nilsson	0.40906464325969427
Unknown_FRC5	0.6252112824045317
Nyx	0.6865096850375564
Ariadne	0.7642290531187211
Luna	0.7220242513275223
Minerva	0.7224941783584867
Jordan	0.6790619518412377
Corey	0.751143058726644
Theodora	0.6854351357897976
Bathsheba	0.6455090172227127
Odysseus	0.6597812836975325
Ivy	0.7572471176885808
Ivanhoe	0.6474811785511687
Octavia	0.7401010328379778
Unknown_G2.3	0.7056397384730286
Unknown_G2.2	0.7281399942535056
Wings	0.7664340267801532
Orf	0.7166882243752427
Juniper	0.7601732657064884
Azalea	0.7241249672978994
Mimosa	0.6684304745557451
Agate	0.7570918229299141
Zanahoria	0.726925823173974
Rambo_II	0.7415087513643276
Siobhan	0.7246714910579444
Unknown_G2.1	0.7254276891126407
Talia	0.7236992227975667
URG.1	0.7042587184849413
URG.10	0.6529964088180703
URG.11	0.6824649406794743
URG.12	0.7166600211180754
URG.13	0.7026887276707945
URG.14	0.7463565288238624
URG.2	0.7304403535364219
URG.3	0.7146005590351288
URG.4	0.6957738481854754
URG.5	0.7154591364929836
URG.6	0.6884074677808484
URG.7	0.6664597662149052
URG.8	0.6818028743617564
URG.9	0.6924086628712792
