	faith_pd
St_Patrick	33.35092
Abita	40.64700000000001
Callopie	40.54303
Alana	36.56909
Unknown	37.65636
Dyani	38.344590000000004
Abu	27.152369999999998
Captive_Baby	13.55237
Marra	19.152380000000004
Nilsson	16.98021
Unknown_FRC5	32.73206
Nyx	34.55626
Ariadne	41.04243
Luna	36.76786
Minerva	38.753960000000006
Jordan	37.071810000000006
Corey	41.193380000000005
Theodora	36.75123
Bathsheba	34.06585
Odysseus	37.9335
Ivy	43.800920000000005
Ivanhoe	32.40876
Octavia	41.23914
Unknown_G2.3	35.96997
Unknown_G2.2	39.68241999999999
Wings	39.565419999999996
Orf	43.701499999999996
Juniper	42.79012999999999
Azalea	42.59468
Mimosa	35.674839999999996
Agate	35.67325
Zanahoria	39.88707
Rambo_II	40.77639
Siobhan	40.321419999999996
Unknown_G2.1	38.861050000000006
Talia	41.732169999999996
URG.1	35.59467
URG.10	28.61597
URG.11	33.54174
URG.12	40.25904
URG.13	38.06762
URG.14	40.7333
URG.2	37.54704
URG.3	37.47445
URG.4	37.54165999999999
URG.5	38.695660000000004
URG.6	36.14958
URG.7	36.642489999999995
URG.8	38.47410000000001
URG.9	36.22594
