	shannon
St_Patrick	5.852089291271419
Abita	6.831964324995412
Callopie	6.473480382393855
Alana	6.184736698383543
Unknown	5.979517416406843
Dyani	6.045743117247014
Abu	4.227565981361491
Captive_Baby	3.303390989601961
Marra	4.14961407601524
Nilsson	3.123873126110886
Unknown_FRC5	5.4881528592026925
Nyx	6.1550977453780416
Ariadne	7.120637419333955
Luna	6.644156564524346
Minerva	6.648480891251445
Jordan	6.2028413659591966
Corey	7.028860234942466
Theodora	6.206808745792728
Bathsheba	5.836472513036085
Odysseus	6.063274244412969
Ivy	7.1284426162462795
Ivanhoe	5.7920065178412585
Octavia	6.900835652920311
Unknown_G2.3	6.445614199701844
Unknown_G2.2	6.7181197210377
Wings	7.05843842746303
Orf	6.715861318760113
Juniper	7.143047743064216
Azalea	6.794974563920931
Mimosa	6.072562781908083
Agate	6.936771553485803
Zanahoria	6.789378151668349
Rambo_II	6.938706702771116
Siobhan	6.619458341433431
Unknown_G2.1	6.6683437340482605
Talia	6.711438667534858
URG.1	6.420264715409032
URG.10	5.555559347011375
URG.11	6.096930662880751
URG.12	6.67579528200463
URG.13	6.43120739112111
URG.14	6.947339607650525
URG.2	6.701735959196194
URG.3	6.561744138223886
URG.4	6.351916375874106
URG.5	6.607990738373777
URG.6	6.272173835354038
URG.7	6.020412981724996
URG.8	6.2987709057891115
URG.9	6.333603931088828
