	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.4699494097807757	0.5784148397976391	0.6020910623946037	0.6602360876897133	0.6628667790893761	0.9414502529510961	0.9945362563237774	0.9827318718381113	0.970185497470489	0.7109612141652614	0.5818549747048903	0.5883305227655986	0.5895446880269815	0.5698482293423272	0.6565261382799326	0.5957504215851602	0.540168634064081	0.5700505902192243	0.6572681281618887	0.5602698145025296	0.6261045531197302	0.6704890387858348	0.5438785834738618	0.5939966273187184	0.5577740303541315	0.5865092748735244	0.5633726812816189	0.6310286677908937	0.6304890387858347	0.5763237774030354	0.6363575042158516	0.6540303541315345	0.49470489038785836	0.5534569983136594	0.5950758853288364	0.5121753794266442	0.7811129848229342	0.5654637436762227	0.5462394603709949	0.5684317032040472	0.5894097807757167	0.5741652613827993	0.5193929173693086	0.5043507588532884	0.5240472175379427	0.5852276559865093	0.5197301854974705	0.5616863406408095	0.5197301854974705
Abita	0.4699494097807757	0.0	0.36290050590219225	0.4481618887015177	0.4754131534569983	0.44627318718381115	0.9267453625632378	0.9919730185497471	0.9537268128161889	0.9602023608768971	0.6706913996627318	0.483035413153457	0.3875885328836425	0.3988532883642496	0.4851264755480607	0.41801011804384486	0.4069477234401349	0.42711635750421584	0.45767284991568297	0.4694097807757167	0.3850927487352445	0.4911973018549747	0.5432040472175379	0.3987183811129848	0.396964586846543	0.3287689713322091	0.3281618887015177	0.3320741989881956	0.4433052276559865	0.47244519392917367	0.4074873524451939	0.44128161888701517	0.4191568296795953	0.4305564924114671	0.43561551433389545	0.43015177065767285	0.38718381112984823	0.6752782462057335	0.5149409780775717	0.41139966273187184	0.40688026981450254	0.38104553119730183	0.4209780775716695	0.445531197301855	0.42138279932546374	0.41949409780775715	0.4897133220910624	0.5223608768971332	0.3631028667790894	0.41288364249578413
Callopie	0.5784148397976391	0.36290050590219225	0.0	0.36856661045531197	0.33274873524451937	0.33625632377740305	0.937672849915683	0.993052276559865	0.9643844856661046	0.966070826306914	0.6764249578414839	0.4905902192242833	0.44391231028667794	0.4143001686340641	0.5516357504215852	0.4130185497470489	0.4547723440134907	0.48290050590219225	0.3675548060708263	0.3488026981450253	0.49079258010118043	0.42279932546374366	0.5636424957841484	0.4616526138279933	0.4414165261382799	0.4259696458684654	0.36674536256323775	0.4	0.518043844856661	0.421247892074199	0.40472175379426645	0.49807757166947725	0.45794266441821246	0.5043507588532884	0.5000337268128162	0.5003035413153457	0.4453962900505902	0.7063743676222597	0.5394940978077571	0.46468802698145023	0.4012141652613828	0.4547723440134907	0.44222596964586847	0.48688026981450255	0.4772344013490725	0.4712310286677909	0.4484991568296796	0.5725463743676222	0.35979763912310286	0.4536256323777403
Alana	0.6020910623946037	0.4481618887015177	0.36856661045531197	0.0	0.3760539629005059	0.3611467116357504	0.9304553119730186	0.9941989881956155	0.948735244519393	0.9497470489038786	0.7024620573355818	0.5420573355817875	0.5160202360876898	0.4866779089376054	0.6349409780775717	0.4735919055649241	0.5013153456998314	0.5879258010118044	0.41591905564924114	0.4464080944350759	0.5332883642495784	0.4656998313659359	0.5536593591905565	0.4608431703204047	0.46320404721753794	0.5141315345699832	0.42738617200674534	0.4787858347386172	0.4948397976391231	0.4221922428330523	0.44344013490725126	0.4509949409780776	0.49477234401349074	0.5745699831365936	0.5415851602023609	0.5315345699831366	0.43588532883642495	0.7811129848229342	0.5220236087689714	0.4017537942664418	0.4540303541315346	0.526610455311973	0.5035413153456998	0.4865430016863406	0.4827655986509275	0.42731871838111296	0.42799325463743676	0.5816526138279933	0.46070826306914	0.45369308600337266
Unknown	0.6602360876897133	0.4754131534569983	0.33274873524451937	0.3760539629005059	0.0	0.26806070826306916	0.9415177065767285	0.9956829679595278	0.9752445193929173	0.9596627318718381	0.7058347386172007	0.5879932546374368	0.5172344013490725	0.4735244519392917	0.6277234401349072	0.492141652613828	0.5087352445193929	0.5665430016863406	0.33888701517706576	0.27885328836424955	0.5837436762225969	0.4735919055649241	0.553929173693086	0.5351096121416526	0.4853962900505902	0.5261382799325464	0.4345362563237774	0.4672512647554806	0.5267453625632378	0.4754131534569983	0.47291736930860034	0.5253962900505902	0.4789881956155143	0.5979763912310286	0.5675548060708263	0.5698482293423272	0.5343676222596965	0.7852951096121417	0.5867116357504216	0.5204047217537943	0.4812141652613828	0.5065092748735245	0.446610455311973	0.5747723440134908	0.5718043844856661	0.5357841483979764	0.4837099494097808	0.6500505902192243	0.45834738617200677	0.5224283305227656
Dyani	0.6628667790893761	0.44627318718381115	0.33625632377740305	0.3611467116357504	0.26806070826306916	0.0	0.9400337268128162	0.9959527824620573	0.9747048903878583	0.9563575042158516	0.7546711635750422	0.5936593591905565	0.5411129848229342	0.4936930860033727	0.6252276559865093	0.48384485666104554	0.5537942664418213	0.555008431703204	0.4317032040472175	0.4112647554806071	0.5678246205733558	0.49888701517706574	0.6124114671163575	0.5176391231028667	0.4785160202360877	0.5067116357504216	0.4221922428330523	0.4775716694772344	0.5501517706576728	0.4827655986509275	0.5056998313659359	0.5406408094435076	0.5174367622259697	0.5897470489038786	0.5907588532883642	0.5669477234401349	0.5313322091062395	0.7556155143338954	0.6120741989881956	0.53106239460371	0.49403035413153457	0.5210118043844857	0.5362563237774031	0.5875885328836425	0.5759190556492412	0.5479932546374368	0.5118381112984823	0.6580101180438449	0.46077571669477235	0.5327487352445194
Abu	0.9414502529510961	0.9267453625632378	0.937672849915683	0.9304553119730186	0.9415177065767285	0.9400337268128162	0.0	0.9253962900505902	0.9511635750421585	0.2528161888701518	0.9391568296795952	0.9384822934232715	0.9253288364249579	0.9413153456998313	0.9370657672849916	0.9491399662731872	0.9409780775716695	0.9392242833052277	0.9352445193929174	0.9386846543001687	0.9266104553119731	0.9279595278246205	0.9450927487352445	0.9331534569983136	0.9315345699831366	0.9325463743676222	0.9314671163575042	0.9345699831365936	0.9291736930860034	0.9374704890387858	0.9436762225969646	0.9380101180438448	0.9365261382799326	0.92822934232715	0.9473861720067454	0.9344350758853288	0.9374030354131535	0.9090050590219224	0.9364586846543002	0.9336256323777403	0.9332209106239461	0.9405733558178752	0.9413827993254638	0.935716694772344	0.9386172006745362	0.9336256323777403	0.9313322091062395	0.9323440134907252	0.9353119730185497	0.9367284991568297
Captive_Baby	0.9945362563237774	0.9919730185497471	0.993052276559865	0.9941989881956155	0.9956829679595278	0.9959527824620573	0.9253962900505902	0.0	0.9841483979763912	0.9299831365935919	0.9896121416526138	0.9891399662731872	0.9918381112984823	0.9915682967959528	0.9879932546374368	0.994468802698145	0.9916357504215851	0.9939966273187184	0.993389544688027	0.9927150084317032	0.9915682967959528	0.9939966273187184	0.9946711635750421	0.989274873524452	0.9905564924114671	0.9755817875210793	0.9857672849915683	0.9900843170320405	0.9772006745362564	0.9935919055649242	0.9910961214165261	0.994468802698145	0.9923777403035413	0.9880607082630691	0.9925126475548061	0.9914333895446881	0.9926475548060708	0.8211129848229343	0.9953456998313659	0.9938617200674537	0.9937268128161889	0.9931871838111298	0.993052276559865	0.993389544688027	0.9926475548060708	0.993929173693086	0.9941989881956155	0.9898819561551433	0.9933220910623946	0.9929848229342327
Marra	0.9827318718381113	0.9537268128161889	0.9643844856661046	0.948735244519393	0.9752445193929173	0.9747048903878583	0.9511635750421585	0.9841483979763912	0.0	0.9770657672849916	0.9765261382799325	0.9732883642495784	0.937672849915683	0.9320741989881957	0.9526475548060708	0.9786846543001686	0.9690387858347386	0.9509612141652614	0.9662057335581787	0.9679595278246206	0.8903878583473862	0.9615514333895447	0.9629679595278247	0.9724114671163575	0.9071838111298482	0.9548060708263069	0.9676222596964587	0.951433389544688	0.9704553119730186	0.9825295109612142	0.9523777403035413	0.9741652613827994	0.9527824620573356	0.9691736930860033	0.894097807757167	0.8756155143338954	0.9724114671163575	0.9226306913996627	0.9604721753794266	0.9416526138279933	0.9740303541315346	0.9567622259696459	0.976256323777403	0.9573018549747049	0.963035413153457	0.9502192242833052	0.9647892074198988	0.9676897133220911	0.9728161888701518	0.9700505902192242
Nilsson	0.970185497470489	0.9602023608768971	0.966070826306914	0.9497470489038786	0.9596627318718381	0.9563575042158516	0.2528161888701518	0.9299831365935919	0.9770657672849916	0.0	0.9608094435075886	0.9618887015177066	0.9624283305227656	0.9716694772344013	0.9723440134907251	0.9648566610455312	0.9641821247892074	0.96	0.9631028667790894	0.9581787521079258	0.9639797639123103	0.9648566610455312	0.9699156829679595	0.9501517706576729	0.9595278246205734	0.9599325463743676	0.955008431703204	0.962158516020236	0.9501517706576729	0.9512310286677909	0.9718043844856661	0.9656661045531197	0.9599325463743676	0.9593254637436762	0.9731534569983137	0.9639797639123103	0.9632377740303542	0.9218212478920742	0.9645868465430016	0.9620236087689713	0.9602023608768971	0.9681618887015178	0.9697133220910624	0.9613490725126476	0.9626981450252952	0.9622259696458685	0.9596627318718381	0.9604721753794266	0.9645193929173693	0.9633726812816189
Unknown_FRC5	0.7109612141652614	0.6706913996627318	0.6764249578414839	0.7024620573355818	0.7058347386172007	0.7546711635750422	0.9391568296795952	0.9896121416526138	0.9765261382799325	0.9608094435075886	0.0	0.6773018549747049	0.661787521079258	0.6812816188870152	0.7361888701517707	0.7448903878583474	0.66070826306914	0.7338279932546374	0.6495109612141653	0.651602023608769	0.7130522765598651	0.735177065767285	0.6175379426644182	0.692681281618887	0.7040809443507589	0.6922765598650927	0.6912647554806071	0.675008431703204	0.683035413153457	0.6831703204047218	0.6688701517706577	0.6913996627318718	0.6942327150084318	0.6718381112984823	0.6464755480607083	0.6806745362563238	0.6455986509274874	0.8692074198988196	0.6590893760539629	0.6325801011804385	0.6422259696458684	0.6913322091062395	0.6205733558178752	0.6336593591905565	0.6393254637436763	0.624283305227656	0.6455311973018549	0.6290050590219224	0.7100168634064081	0.6499156829679595
Nyx	0.5818549747048903	0.483035413153457	0.4905902192242833	0.5420573355817875	0.5879932546374368	0.5936593591905565	0.9384822934232715	0.9891399662731872	0.9732883642495784	0.9618887015177066	0.6773018549747049	0.0	0.5030016863406408	0.42563237774030355	0.554468802698145	0.5295784148397976	0.5229679595278246	0.5113659359190557	0.4924789207419899	0.5527824620573356	0.5730860033726812	0.4839123102866779	0.6147048903878584	0.45929173693086	0.482495784148398	0.5504215851602023	0.49861720067453624	0.5386172006745362	0.6087689713322091	0.5211467116357504	0.4739966273187184	0.601956155143339	0.5873861720067454	0.49470489038785836	0.5791568296795953	0.5461045531197302	0.4615851602023609	0.7823946037099494	0.4963237774030354	0.49645868465430015	0.4573355817875211	0.5911635750421586	0.5211467116357504	0.5554131534569983	0.4984148397976391	0.4848566610455312	0.4881618887015177	0.5851602023608768	0.530185497470489	0.4911973018549747
Ariadne	0.5883305227655986	0.3875885328836425	0.44391231028667794	0.5160202360876898	0.5172344013490725	0.5411129848229342	0.9253288364249579	0.9918381112984823	0.937672849915683	0.9624283305227656	0.661787521079258	0.5030016863406408	0.0	0.42799325463743676	0.4269139966273187	0.4535581787521079	0.3664080944350759	0.4994266441821248	0.49551433389544686	0.46482293423271503	0.3824620573355818	0.5157504215851602	0.4766947723440135	0.45504215851602026	0.4275885328836425	0.4151096121416526	0.3973018549747049	0.38887015177065765	0.4752107925801012	0.4803372681281619	0.37166947723440136	0.4461382799325464	0.41875210792580103	0.45227655986509274	0.45436762225969646	0.3893423271500843	0.40094435075885326	0.7554131534569983	0.5129173693086003	0.43615514333895444	0.4556492411467116	0.39784148397976393	0.4111973018549747	0.4324451939291737	0.4409443507588533	0.42806070826306913	0.4996290050590219	0.5425295109612142	0.43966273187183813	0.4219224283305228
Luna	0.5895446880269815	0.3988532883642496	0.4143001686340641	0.4866779089376054	0.4735244519392917	0.4936930860033727	0.9413153456998313	0.9915682967959528	0.9320741989881957	0.9716694772344013	0.6812816188870152	0.42563237774030355	0.42799325463743676	0.0	0.4918043844856661	0.4909274873524452	0.42590219224283304	0.47129848229342325	0.45895446880269813	0.41686340640809444	0.49234401349072515	0.4930185497470489	0.5085328836424958	0.4428330522765599	0.3611467116357504	0.4464080944350759	0.40735244519392916	0.39831365935919055	0.5229679595278246	0.4745362563237774	0.3713322091062395	0.5308600337268128	0.43919055649241145	0.5084654300168634	0.4822934232715008	0.5004384485666105	0.4493086003372681	0.7705902192242833	0.5075210792580102	0.45713322091062397	0.4090387858347386	0.48411467116357504	0.4074873524451939	0.486070826306914	0.46293423271500844	0.4539629005059022	0.4661045531197302	0.5629005059021922	0.4410118043844857	0.4749409780775717
Minerva	0.5698482293423272	0.4851264755480607	0.5516357504215852	0.6349409780775717	0.6277234401349072	0.6252276559865093	0.9370657672849916	0.9879932546374368	0.9526475548060708	0.9723440134907251	0.7361888701517707	0.554468802698145	0.4269139966273187	0.4918043844856661	0.0	0.530725126475548	0.483035413153457	0.47831365935919057	0.5844182124789208	0.6000674536256324	0.46799325463743674	0.6221247892074199	0.6392580101180438	0.5299831365935919	0.5361214165261383	0.501247892074199	0.5038785834738617	0.5044856661045531	0.6092411467116358	0.6223946037099494	0.4762900505902192	0.5870489038785834	0.5601349072512648	0.41801011804384486	0.5311298482293423	0.3988532883642496	0.5061045531197302	0.7443507588532884	0.5850927487352445	0.5262057335581788	0.5450927487352445	0.5162225969645868	0.47433389544688026	0.4816188870151771	0.47075885328836425	0.4969983136593592	0.5997976391231029	0.576256323777403	0.52	0.5287015177065767
Jordan	0.6565261382799326	0.41801011804384486	0.4130185497470489	0.4735919055649241	0.492141652613828	0.48384485666104554	0.9491399662731872	0.994468802698145	0.9786846543001686	0.9648566610455312	0.7448903878583474	0.5295784148397976	0.4535581787521079	0.4909274873524452	0.530725126475548	0.0	0.4062731871838111	0.565193929173693	0.5209443507588533	0.4614502529510961	0.4922765598650927	0.4846543001686341	0.5537268128161889	0.46745362563237775	0.48350758853288367	0.4986846543001686	0.32499156829679593	0.467858347386172	0.4356829679595278	0.3970320404721754	0.4963912310286678	0.45929173693086	0.47763912310286677	0.6002023608768972	0.5554131534569983	0.4604384485666105	0.47858347386172007	0.7217537942664418	0.6179426644182124	0.4811467116357504	0.5019898819561551	0.5294435075885329	0.5361214165261383	0.5732209106239461	0.5529848229342327	0.5056323777403036	0.5398988195615514	0.6806745362563238	0.4043844856661046	0.5204721753794267
Corey	0.5957504215851602	0.4069477234401349	0.4547723440134907	0.5013153456998314	0.5087352445193929	0.5537942664418213	0.9409780775716695	0.9916357504215851	0.9690387858347386	0.9641821247892074	0.66070826306914	0.5229679595278246	0.3664080944350759	0.42590219224283304	0.483035413153457	0.4062731871838111	0.0	0.4945699831365936	0.5201349072512648	0.44822934232715006	0.4387858347386172	0.5763237774030354	0.489106239460371	0.4981450252951096	0.4245531197301855	0.40640809443507586	0.4066779089376054	0.3865767284991568	0.4623946037099494	0.48600337268128163	0.38765598650927485	0.46502529510961216	0.37497470489038787	0.4849241146711636	0.4975379426644182	0.4304890387858347	0.4737268128161889	0.726610455311973	0.5743676222596965	0.4559190556492411	0.4858010118043845	0.4167284991568297	0.4103204047217538	0.4927487352445194	0.48762225969645867	0.4526138279932546	0.5430691399662732	0.5712647554806071	0.4294097807757167	0.5077908937605397
