	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.5332446808510638	0.5428571428571428	0.5864978902953587	0.5669398907103825	0.5779310344827586	0.8093841642228738	0.956081081081081	0.8816	0.9022801302931596	0.6419019316493314	0.5576923076923077	0.5545454545454546	0.5563093622795116	0.546448087431694	0.5755494505494505	0.5737704918032787	0.5405797101449276	0.5520231213872833	0.5785234899328859	0.5803680981595092	0.5847953216374269	0.6119402985074627	0.5435393258426966	0.53077975376197	0.5619946091644205	0.5734002509410289	0.5901840490797546	0.607795371498173	0.6187245590230664	0.5702592087312415	0.6371359223300971	0.5844806007509387	0.5496503496503496	0.5752688172043011	0.5718015665796344	0.5694444444444444	0.755192878338279	0.532724505327245	0.5651612903225807	0.5418994413407822	0.5653298835705045	0.5634379263301501	0.571041948579161	0.5564853556485355	0.5432432432432432	0.5742024965325936	0.5500725689404935	0.5727513227513228	0.5527777777777778
Abita	0.5332446808510638	0.0	0.4767025089605735	0.5096525096525096	0.4823232323232323	0.4742268041237113	0.8188494492044064	0.9566982408660352	0.8833551769331586	0.8899328859060402	0.62853470437018	0.5538461538461539	0.48564593301435405	0.5176613885505481	0.504914004914005	0.5217391304347826	0.5017502917152858	0.5185185185185185	0.5154241645244216	0.5273390036452005	0.49942726231386025	0.5572715572715573	0.5546697038724373	0.5050251256281407	0.5054811205846529	0.5103785103785103	0.5	0.505166475315729	0.52894438138479	0.5525339925834364	0.5263803680981595	0.5350172215843858	0.4982456140350877	0.5362853628536285	0.524330900243309	0.5012019230769231	0.5119496855345912	0.7537688442211056	0.5642673521850899	0.5029585798816568	0.5	0.4922341696535245	0.5184275184275184	0.5201958384332925	0.5278810408921933	0.5132850241545893	0.5347394540942928	0.5491183879093199	0.4975609756097561	0.5301353013530136
Callopie	0.5428571428571428	0.4767025089605735	0.0	0.5213567839195979	0.5	0.4924812030075188	0.8058252427184466	0.955026455026455	0.8861892583120204	0.8794701986754967	0.6305170239596469	0.5839506172839506	0.5075493612078978	0.5338078291814946	0.5372781065088758	0.5451263537906137	0.5326576576576577	0.5426452410383189	0.5343320848938826	0.5500588928150766	0.5395604395604395	0.5421994884910486	0.5528089887640449	0.5274056029232643	0.5201900237529691	0.5161676646706587	0.5192307692307693	0.5322222222222223	0.5421286031042128	0.5662650602409639	0.5121951219512195	0.5674778761061947	0.5040183696900115	0.5776470588235294	0.5245508982035928	0.5364161849710982	0.5287637698898409	0.7456575682382134	0.5656565656565656	0.5104408352668214	0.5152625152625152	0.5104651162790698	0.5329341317365269	0.5432977461447213	0.5544910179640719	0.5242030696576151	0.5594237695078031	0.5578817733990148	0.5035885167464115	0.5249088699878494
Alana	0.5864978902953587	0.5096525096525096	0.5213567839195979	0.0	0.5101214574898786	0.5163934426229508	0.8155737704918032	0.9646153846153847	0.8960468521229868	0.8836140888208269	0.6037463976945245	0.5832187070151307	0.5544554455445545	0.5523932729624839	0.5727040816326531	0.5203252032520326	0.5554202192448234	0.5725806451612904	0.5480769230769231	0.5475880052151239	0.565680473372781	0.5732217573221757	0.5823244552058111	0.5243243243243243	0.541343669250646	0.5447470817120622	0.5392156862745098	0.5528846153846154	0.5408038976857491	0.5361527967257844	0.5656697009102731	0.554601226993865	0.5339925834363412	0.5909677419354838	0.5668380462724936	0.5691158156911582	0.5217983651226158	0.7283072546230441	0.5627644569816643	0.513375796178344	0.5346666666666666	0.5153061224489796	0.5591677503250976	0.5439056356487549	0.550531914893617	0.5418275418275418	0.5423956931359354	0.5698778833107191	0.5367741935483871	0.5527704485488126
Unknown	0.5669398907103825	0.4823232323232323	0.5	0.5101214574898786	0.0	0.3971631205673759	0.824516129032258	0.9623733719247467	0.8962655601659751	0.8972895863052782	0.6273712737127372	0.5886990801576872	0.5073891625615764	0.5184713375796178	0.5534825870646766	0.5435897435897435	0.5409252669039146	0.5272969374167776	0.510148849797023	0.5115681233933161	0.5596330275229358	0.5773333333333334	0.5638297872340425	0.5454545454545454	0.5133079847908745	0.547945205479452	0.5303210463733651	0.5505226480836237	0.5490654205607477	0.5587096774193548	0.5313700384122919	0.5538461538461539	0.51985559566787	0.5782227784730913	0.5384615384615384	0.5451219512195122	0.5394566623544631	0.7865459249676585	0.5635135135135135	0.5231707317073171	0.5058823529411764	0.5375302663438256	0.521181001283697	0.5489949748743719	0.5554140127388535	0.5504926108374384	0.5625	0.5647058823529412	0.5145018915510718	0.5334190231362468
Dyani	0.5779310344827586	0.4742268041237113	0.4924812030075188	0.5163934426229508	0.3971631205673759	0.0	0.7948717948717948	0.9567164179104478	0.8904694167852063	0.8831360946745562	0.623789764868603	0.572972972972973	0.5331695331695332	0.5451080050825922	0.5487959442332065	0.5518134715025906	0.5467625899280576	0.5435073627844712	0.5265306122448979	0.5214007782101168	0.5554259043173863	0.5727891156462585	0.5934195064629847	0.5308804204993429	0.524904214559387	0.5449936628643853	0.5307599517490953	0.554641598119859	0.5650644783118406	0.5652741514360313	0.5544174135723432	0.5700712589073634	0.5273390036452005	0.5685019206145967	0.5483460559796438	0.5367372353673724	0.5343007915567283	0.7533875338753387	0.562585969738652	0.5198511166253101	0.5294117647058824	0.5180572851805728	0.5442875481386393	0.538560411311054	0.56	0.5548628428927681	0.5559895833333334	0.5619174434087882	0.5241730279898219	0.5415584415584416
Abu	0.8093841642228738	0.8188494492044064	0.8058252427184466	0.8155737704918032	0.824516129032258	0.7948717948717948	0.0	0.8732394366197183	0.852760736196319	0.6256410256410256	0.8006182380216383	0.8161244695898161	0.828125	0.8203821656050956	0.832282471626734	0.84	0.8331374853113983	0.8208955223880597	0.8131868131868132	0.8326996197718631	0.83675799086758	0.8057553956834532	0.8412322274881516	0.8186596583442839	0.8285356695869838	0.8210659898477157	0.8315789473684211	0.8257839721254355	0.8204225352112676	0.8172043010752689	0.8451776649746193	0.8287752675386445	0.8303886925795053	0.8279009126466753	0.8358585858585859	0.8241082410824109	0.8293963254593176	0.8336106489184693	0.8097982708933718	0.8092909535452323	0.8233766233766234	0.8301204819277108	0.8314176245210728	0.8077922077922078	0.8212877792378449	0.8190954773869347	0.8133333333333334	0.7941176470588235	0.8296019900497512	0.8229166666666666
Captive_Baby	0.956081081081081	0.9566982408660352	0.955026455026455	0.9646153846153847	0.9623733719247467	0.9567164179104478	0.8732394366197183	0.0	0.8810975609756098	0.8523489932885906	0.9437386569872959	0.9459016393442623	0.9558823529411765	0.9572649572649573	0.9557774607703281	0.9586410635155096	0.9582790091264668	0.9469578783151326	0.964451313755796	0.9599427753934192	0.9609571788413098	0.9556650246305419	0.9602122015915119	0.9540059347181009	0.9519774011299436	0.9529914529914529	0.953185955786736	0.9498714652956298	0.9535483870967741	0.9542682926829268	0.9623188405797102	0.9619422572178478	0.9596354166666666	0.9571005917159763	0.9525179856115108	0.9561643835616438	0.9582089552238806	0.9212765957446809	0.9622331691297209	0.9613848202396804	0.9620991253644315	0.9708609271523179	0.9685264663805436	0.9552669552669553	0.9600591715976331	0.9581005586592178	0.9596412556053812	0.9496062992125984	0.9682320441988951	0.9574155653450808
Marra	0.8816	0.8833551769331586	0.8861892583120204	0.8960468521229868	0.8962655601659751	0.8904694167852063	0.852760736196319	0.8810975609756098	0.0	0.8868421052631579	0.8857142857142857	0.8878648233486943	0.8746736292428199	0.8801652892561983	0.8998646820027063	0.8706896551724138	0.8902900378310215	0.88	0.8824404761904762	0.8916323731138546	0.8856088560885609	0.8883720930232558	0.8853092783505154	0.886685552407932	0.8726027397260274	0.888283378746594	0.8784810126582279	0.8732747804265998	0.8919254658385093	0.87701317715959	0.8915159944367177	0.8877551020408163	0.8944723618090452	0.8929577464788733	0.8795013850415513	0.8789893617021277	0.8839541547277937	0.8648648648648649	0.8894080996884736	0.8904639175257731	0.8783592644978784	0.8914728682170543	0.9058663028649386	0.8803894297635605	0.8910891089108911	0.8839406207827261	0.8739130434782608	0.8717948717948718	0.8974700399467377	0.8859154929577465
Nilsson	0.9022801302931596	0.8899328859060402	0.8794701986754967	0.8836140888208269	0.8972895863052782	0.8831360946745562	0.6256410256410256	0.8523489932885906	0.8868421052631579	0.0	0.8687943262411347	0.8904761904761904	0.900131406044678	0.900976290097629	0.900976290097629	0.89067055393586	0.9024390243902439	0.8957703927492447	0.8847926267281107	0.8925035360678925	0.8959899749373433	0.8784440842787682	0.8961892247043364	0.89067055393586	0.9023383768913342	0.8921568627450981	0.8947368421052632	0.8893129770992366	0.8812903225806452	0.8842105263157894	0.9126760563380282	0.9085051546391752	0.8896103896103896	0.8986975397973951	0.9050279329608939	0.8990578734858681	0.9024745269286754	0.8672032193158954	0.8992	0.8897742363877822	0.8901734104046243	0.8996036988110965	0.9071729957805907	0.8873038516405135	0.8870967741935484	0.8937931034482759	0.8859259259259259	0.8842592592592593	0.896978021978022	0.9025787965616046
