	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.4299485962905761	0.4253432245895856	0.4406989558431459	0.44373677044263726	0.44685114552576044	0.6342091900950237	0.8082299543464087	0.6987791099362007	0.738266808687837	0.47850373292112397	0.43299753669105234	0.4449345799072266	0.4641333185135209	0.44040635817044893	0.447410095285508	0.4657130099050612	0.4379979983802621	0.41124946756275155	0.4402679123769203	0.46670757992294815	0.4690595331073653	0.4785270339834795	0.4641426668483941	0.40976706295218135	0.45740199633191897	0.47000914995176557	0.483475005032246	0.4788095605982191	0.48536641971705885	0.47822999414492623	0.4897107168719296	0.4589464697876308	0.45665349328050964	0.44449736272906193	0.47266585102748726	0.44631231869437166	0.5815983540167894	0.43706182135658045	0.4495009057963856	0.43692871853117043	0.45566469621755795	0.47921994842232346	0.4471444264599182	0.44372557073811764	0.4139467479585706	0.46137344574593114	0.44388683385147437	0.4623110562714735	0.44847652601591426
Abita	0.4299485962905761	0.0	0.3756711683587647	0.4098071801325431	0.3609162067451039	0.3682066790140694	0.6521495729819438	0.8377574121138449	0.7407075148924348	0.7538869126423049	0.47940445300061435	0.46640137122766534	0.38845205096522556	0.42827274773544804	0.39358640029251457	0.42123888773906176	0.39194411770198395	0.42505918402473736	0.39731425748166577	0.42066484026766726	0.3911611322180013	0.474230946704415	0.4276948430638909	0.43956083592685713	0.4014621560249057	0.39762541701153403	0.4084495002998783	0.40100768353592176	0.4122967086236234	0.44972367056384593	0.4456236877763988	0.4189493858422078	0.3955536497236318	0.44397668682500047	0.4137437284877038	0.4037234812251184	0.42148476970739507	0.6102026338863527	0.4398112097254429	0.39334971896072024	0.4025856664798705	0.39165235436626167	0.4125712825340448	0.4110818269926033	0.4269422987930525	0.3960340873834941	0.42529797642057315	0.43002632559599113	0.40031677820861405	0.43417215745268883
Callopie	0.4253432245895856	0.3756711683587647	0.0	0.40751172875083397	0.38041508925424045	0.3659747104130594	0.6381392778857281	0.8157070305800977	0.7386632604002956	0.7378273683516159	0.4839610417730479	0.4668313903092188	0.419937971353784	0.44497015701539483	0.4138143412613897	0.44052806975996356	0.43543143513700844	0.4270922450023696	0.4195672417364506	0.45028376217414035	0.42757615933914056	0.4525109646836552	0.42945174199143515	0.4683783882516714	0.4255590436719426	0.41361175578968273	0.4238327842336941	0.42857608926091895	0.42031871128432385	0.47625941031883845	0.41350439725601096	0.4440826075599723	0.41104980907478633	0.4594630175543801	0.4179195477551936	0.44001145210181647	0.44074413206445445	0.5836513818340706	0.4384309688609255	0.40805115387499896	0.4206429362341808	0.4233504809623888	0.44141645193409157	0.44745195384076675	0.4514724011882199	0.424365510298068	0.4420785367684992	0.43172094043459874	0.42570301546418726	0.4367455851381246
Alana	0.4406989558431459	0.4098071801325431	0.40751172875083397	0.0	0.39726388876425134	0.3977479317941635	0.6519291968350887	0.8302461710812227	0.7278310660919969	0.7418722824480277	0.45542722218075765	0.47175658918257685	0.4315344126883984	0.44105137125898203	0.4562437003099557	0.4106224546141625	0.4432975736482988	0.4512820275281575	0.44274186124114523	0.43725689156595665	0.45954046920826186	0.4578011691627542	0.4522027917239767	0.4583558348686846	0.42489500705315536	0.42820439022868256	0.4256661792617863	0.4268365764960079	0.41872270182993543	0.43544820735231976	0.4583752391550192	0.42291024601145605	0.40444808524238623	0.4676355168992283	0.42970730959716524	0.4530389294532956	0.4289692038502135	0.5621341236177125	0.44988884479429214	0.3955556040727489	0.4184835800682774	0.3999836483478152	0.45820833681093986	0.4333872294818374	0.4501093339591758	0.42984831438922083	0.4413070194596206	0.4319802308394838	0.4333078698599756	0.4539586985116322
Unknown	0.44373677044263726	0.3609162067451039	0.38041508925424045	0.39726388876425134	0.0	0.31051858014700895	0.6544174943077055	0.8361001549319338	0.7378421576758557	0.7532424234294552	0.4699074319469757	0.4655312734549805	0.4049274519945622	0.42613067116324466	0.4522395036287387	0.4288902477856041	0.422680587989802	0.42275265204344525	0.40051591392884006	0.4178688435140478	0.4498824912729925	0.4843496635045793	0.43214746117349406	0.45429411921626695	0.40988976178224074	0.43816114228629566	0.4416062990031229	0.4385892386843416	0.429918843976241	0.4398958048754464	0.44115206171310617	0.42698364456367205	0.41031248039003965	0.47520306122632316	0.42189942374840345	0.4448215852996361	0.4449811278081948	0.6195067855566379	0.42665311919199744	0.42426308931119494	0.4085255006251017	0.43477939658080783	0.4211474383189849	0.44520069287692327	0.4477074183607284	0.4423289331137139	0.4460170180024866	0.44584306846437033	0.4233508349338273	0.43166170129816295
Dyani	0.44685114552576044	0.3682066790140694	0.3659747104130594	0.3977479317941635	0.31051858014700895	0.0	0.6180393686679343	0.8227611928366196	0.735631174978981	0.7165974870139448	0.46929991944815036	0.4611951285601639	0.43034143891122434	0.451037066211444	0.4368898105926549	0.44532464005934963	0.4334065571766325	0.4206688957223986	0.42156528489131545	0.4326176169512999	0.42727215133786245	0.45385415674580565	0.4542847693053774	0.4434404074785133	0.41664813282705115	0.4231992273915894	0.4359792247122638	0.44267374647728286	0.4421361136766404	0.4621668735985689	0.46112629665073357	0.4482377369556392	0.4140033431061182	0.448629520425072	0.42728453876855926	0.4381580755019469	0.44519510229030224	0.5922677127877944	0.4382891780763532	0.42141669100733237	0.4290075235231452	0.4072079189895907	0.4233190448923187	0.42783566488725233	0.4442678410299372	0.437211250588187	0.4455289497231308	0.42704950920181317	0.4311205876214406	0.43669290680198264
Abu	0.6342091900950237	0.6521495729819438	0.6381392778857281	0.6519291968350887	0.6544174943077055	0.6180393686679343	0.0	0.6962672426100776	0.6750992854807446	0.49551493195609786	0.6037566612553665	0.6415047028529389	0.6384619116262248	0.6667411304744891	0.6552451014319639	0.6563787937099033	0.6561006206133027	0.6490670526062964	0.6349962619562248	0.6547725638962345	0.6608025940342785	0.6297542435558346	0.6600630005057054	0.6605907439978685	0.6604267966658423	0.6518586455505244	0.6747807054157002	0.6670713208248799	0.6507293813113371	0.627213751630707	0.6893077777448742	0.6615313014729863	0.6579165889859355	0.6617345817269198	0.6607077571996267	0.6602782539388214	0.6594237236020521	0.6481084102820519	0.6467727415481789	0.6460788319824091	0.6421848375547056	0.6658723753098825	0.6418258477453267	0.6252020123460834	0.6477930342210126	0.6386523887207396	0.6565429437177634	0.6049749117202738	0.6532897471655911	0.6530585395521239
Captive_Baby	0.8082299543464087	0.8377574121138449	0.8157070305800977	0.8302461710812227	0.8361001549319338	0.8227611928366196	0.6962672426100776	0.0	0.7241661667512163	0.6551870250550031	0.78516483877406	0.7961634781821085	0.8348321893898352	0.8424254206320353	0.8212137371061605	0.8219896959119591	0.8342428721657513	0.8080964035087093	0.8094706873122894	0.8288000004900794	0.839094347264139	0.8001102223386823	0.8293482990748323	0.8278214511345879	0.83603472320151	0.8198742599954953	0.8479594365777545	0.8354228238347955	0.8278549287554446	0.8199611188278035	0.8386467083416936	0.839378409565152	0.8368191019775487	0.8280938800867197	0.8231485785002891	0.8349629098740864	0.835635628694654	0.7788166594504614	0.8314273210576777	0.8388361478777164	0.8383982587117604	0.8473183309970994	0.83760996214405	0.8158138048522862	0.8272920341875433	0.8176204060900288	0.8300551055357159	0.8077666519819795	0.8394611327980832	0.8308237548406144
Marra	0.6987791099362007	0.7407075148924348	0.7386632604002956	0.7278310660919969	0.7378421576758557	0.735631174978981	0.6750992854807446	0.7241661667512163	0.0	0.6909103221735062	0.7089193149102708	0.7311171224024353	0.7180286690441646	0.7248051469559839	0.7470371972862727	0.707882273136462	0.7432642767503268	0.7380165022692979	0.7281382833363017	0.7246724544900092	0.7285405763607619	0.7103218245773097	0.7270540885516501	0.740251189133621	0.7247468233193697	0.7263289936869701	0.7318422519945845	0.728554775978194	0.7303120103201982	0.7171102137084738	0.7561323725383226	0.7209173341057901	0.7312323113591954	0.7384983086234135	0.7062292680198589	0.726716153942489	0.7340179943986763	0.6967812354935842	0.7484280567597711	0.7336944946233894	0.727457516738872	0.7349636979244911	0.7672519633028354	0.7191867203205452	0.7493246302595462	0.7284736591992779	0.7367068231500022	0.7094480785345706	0.7536048820403097	0.7514900620730846
Nilsson	0.738266808687837	0.7538869126423049	0.7378273683516159	0.7418722824480277	0.7532424234294552	0.7165974870139448	0.49551493195609786	0.6551870250550031	0.6909103221735062	0.0	0.6963256731116391	0.7388724293955474	0.7506227757989381	0.7640459434698099	0.756537395074664	0.7410386494313133	0.7510530158856559	0.7373941950801787	0.7274187264943314	0.7432593495556301	0.7616176663328292	0.7076613541880161	0.7500622612345567	0.7470930050638722	0.7623204122967335	0.7466673843981194	0.7662354504240039	0.7598747803812989	0.7444709724746614	0.7305737951450634	0.778082302160244	0.7648476236442852	0.7459266266216853	0.7537239319490534	0.7552645392091131	0.7612964610401476	0.7528452744057259	0.6998938152156762	0.7443626493152264	0.7439150727036973	0.7382835667265565	0.7723841733923109	0.7537525866565188	0.7394923861344671	0.7399727616483038	0.7395476340088096	0.7392121286580748	0.7386793822536523	0.758284976554132	0.7480696734147556
Unknown_FRC5	0.47850373292112397	0.47940445300061435	0.4839610417730479	0.45542722218075765	0.4699074319469757	0.46929991944815036	0.6037566612553665	0.78516483877406	0.7089193149102708	0.6963256731116391	0.0	0.48343706969115086	0.4635279309055037	0.4892898132745104	0.5004547762586142	0.4529410993953072	0.4813231073073477	0.4907637510086013	0.4662803013598478	0.4455271176228685	0.48915483265681897	0.5014395339077705	0.4568565195870887	0.5033913412554369	0.48405879480361663	0.47445219738493877	0.5100342364835608	0.5044885825819453	0.4877063857732016	0.464117178519982	0.5153599485957182	0.5046928129953369	0.47970159222848874	0.5159417438810253	0.4782068236857671	0.4981578975130004	0.4791031953965368	0.58096277895376	0.4988395949198552	0.4644792852243984	0.45693634239872866	0.4917256264962103	0.4879584833544101	0.446716703260384	0.464547722197779	0.4315722741289201	0.4907506998603417	0.4698973090136831	0.4614020342058377	0.48219186990371615
Nyx	0.43299753669105234	0.46640137122766534	0.4668313903092188	0.47175658918257685	0.4655312734549805	0.4611951285601639	0.6415047028529389	0.7961634781821085	0.7311171224024353	0.7388724293955474	0.48343706969115086	0.0	0.4474806037576134	0.4757354174376132	0.4842991771985662	0.4488994644945712	0.48290237876475184	0.44243637644984685	0.4277784361953879	0.4477597369349358	0.4654367134763003	0.4663639933051209	0.48350481348494895	0.47059074830873393	0.45112270540765764	0.475430030343597	0.48329826379964536	0.4947217443788851	0.47833893011031964	0.47892610365518834	0.48171549388373913	0.5015309102382443	0.48936920670318723	0.4552725872616642	0.4497075092202552	0.4802017754754487	0.4838895681409497	0.6122197244144766	0.4384523483552256	0.48066236059046086	0.445369494884364	0.5113923928829986	0.5003744734977025	0.47100434685100323	0.448064965265628	0.443281133067108	0.4708868578617389	0.4649334631304143	0.44436430474609273	0.46930763060779673
Ariadne	0.4449345799072266	0.38845205096522556	0.419937971353784	0.4315344126883984	0.4049274519945622	0.43034143891122434	0.6384619116262248	0.8348321893898352	0.7180286690441646	0.7506227757989381	0.4635279309055037	0.4474806037576134	0.0	0.42069336616842307	0.41930097041410724	0.4085486716710999	0.37292197642571023	0.4040175261383384	0.389181813827646	0.40526636559200246	0.3748884983385317	0.4790302148907572	0.38154441182986104	0.4338440212484097	0.4001296545531243	0.4163421893358971	0.4017792348324697	0.4057483352995694	0.40634059807853135	0.4077283959099286	0.4500899654054415	0.380787898760692	0.3969280604609442	0.45068101290569956	0.39964124681137425	0.39764807832808347	0.3891274597378022	0.6006600716479564	0.4212130282582886	0.3717636883328983	0.3972735230597439	0.38456365803722375	0.40698850086313276	0.3891405868371364	0.4125692999912254	0.3720052925809812	0.42524772776574316	0.3991142105986372	0.37226436058924245	0.4205012106727671
Luna	0.4641333185135209	0.42827274773544804	0.44497015701539483	0.44105137125898203	0.42613067116324466	0.451037066211444	0.6667411304744891	0.8424254206320353	0.7248051469559839	0.7640459434698099	0.4892898132745104	0.4757354174376132	0.42069336616842307	0.0	0.43634944449490926	0.42210924579981746	0.3884427801597135	0.44619043549792403	0.4413351754814928	0.4048178326701185	0.454720338173047	0.458104097828271	0.44151075208501683	0.45640159380854534	0.4033474238754589	0.41100876128935365	0.4254774528411569	0.44251215319533105	0.4542483050324461	0.4390037147028506	0.4084036497586818	0.4767589022631819	0.4299109266337719	0.48011592980079754	0.435139174160106	0.4336533736828283	0.41926347148013204	0.6202656710885149	0.45193461952312647	0.42932642862236753	0.43053107644985106	0.4350717980000109	0.43773991566775594	0.4335396493199393	0.4419893603774733	0.4218044333431781	0.42564721958794	0.42398811370832057	0.43148897733628955	0.4609558783324428
Minerva	0.44040635817044893	0.39358640029251457	0.4138143412613897	0.4562437003099557	0.4522395036287387	0.4368898105926549	0.6552451014319639	0.8212137371061605	0.7470371972862727	0.756537395074664	0.5004547762586142	0.4842991771985662	0.41930097041410724	0.43634944449490926	0.0	0.42091953730313575	0.41012471040853715	0.4053497579262666	0.42954206842508913	0.4496612452234984	0.41555523791810045	0.49216255381653645	0.4719849615269219	0.48119685631679104	0.41680356769798554	0.4292737397701928	0.41914394396048144	0.4296852400065471	0.4439783635104334	0.4792087754182177	0.44868105884035153	0.4654220042075526	0.43314773393456385	0.4354517899479276	0.44032221205516603	0.39212292149638783	0.4544739075829083	0.6063860973508867	0.44790267649236304	0.4256523051576366	0.45733417886963723	0.42118525020254094	0.4352021177200982	0.4200897558688237	0.4406058481271411	0.42719980865189594	0.4605645698547785	0.42172672925797133	0.4445888739497678	0.4644724991748476
Jordan	0.447410095285508	0.42123888773906176	0.44052806975996356	0.4106224546141625	0.4288902477856041	0.44532464005934963	0.6563787937099033	0.8219896959119591	0.707882273136462	0.7410386494313133	0.4529410993953072	0.4488994644945712	0.4085486716710999	0.42210924579981746	0.42091953730313575	0.0	0.4066305915195944	0.4122209648974855	0.4368626889922712	0.3930337592226458	0.42994443594860365	0.4879115526571509	0.40769328405276545	0.441811925617946	0.4219082981974929	0.4266429644837599	0.43894499643415025	0.4568459713629539	0.4426472293852352	0.4162584487222035	0.4540310239431881	0.43267544557402915	0.4154457412271844	0.4595707440237359	0.45135167685540656	0.4186351626182905	0.44106669957379085	0.5723914786635218	0.4494585347876682	0.42207089023027966	0.408246380194738	0.425113817518248	0.43049468365076565	0.40990435052380286	0.42977125506338676	0.39292383523177504	0.4475152656399469	0.42320599125856406	0.41716705132436066	0.4457103681332184
Corey	0.4657130099050612	0.39194411770198395	0.43543143513700844	0.4432975736482988	0.422680587989802	0.4334065571766325	0.6561006206133027	0.8342428721657513	0.7432642767503268	0.7510530158856559	0.4813231073073477	0.48290237876475184	0.37292197642571023	0.3884427801597135	0.41012471040853715	0.4066305915195944	0.0	0.42808828423245593	0.4305750708147512	0.40138157767723903	0.3983505295282832	0.4941290127078132	0.4051462498364229	0.45934779484899585	0.3946136569639838	0.3910743544312795	0.40783908012527775	0.3917825785344292	0.42226089077257145	0.44258733826230956	0.43196336089703985	0.42784197294933946	0.40710255053232036	0.4326232064284876	0.40705612236672917	0.40234680530129346	0.41484624291749156	0.5860257702407949	0.416785458122132	0.3817392495351402	0.4123655254603748	0.3978524523402481	0.4029063947976247	0.4067084546534029	0.4223761787779751	0.3761990893782291	0.4161597133514525	0.4414591072003267	0.374646208544507	0.4048373702233847
Theodora	0.4379979983802621	0.42505918402473736	0.4270922450023696	0.4512820275281575	0.42275265204344525	0.4206688957223986	0.6490670526062964	0.8080964035087093	0.7380165022692979	0.7373941950801787	0.4907637510086013	0.44243637644984685	0.4040175261383384	0.44619043549792403	0.4053497579262666	0.4122209648974855	0.42808828423245593	0.0	0.4039178425134706	0.4252262857156623	0.41034328805358933	0.46827732365565283	0.4533119178893665	0.43563088709035536	0.43240454550454155	0.41916650044696085	0.4169476678499062	0.43996967095002937	0.41036415863955356	0.45441295132773146	0.4315832994427208	0.45992108937651865	0.4326487291697749	0.4388009545859229	0.4346067961771767	0.42003378022785887	0.40947754498528127	0.5991948406967845	0.4250650313017783	0.42040616425812044	0.4353494744528939	0.42825753885831536	0.4242445902165218	0.41954453478776366	0.4405377656297789	0.4261352425527215	0.44855550199123995	0.42394113724876453	0.4169597217507151	0.4331401772013846
Bathsheba	0.41124946756275155	0.39731425748166577	0.4195672417364506	0.44274186124114523	0.40051591392884006	0.42156528489131545	0.6349962619562248	0.8094706873122894	0.7281382833363017	0.7274187264943314	0.4662803013598478	0.4277784361953879	0.389181813827646	0.4413351754814928	0.42954206842508913	0.4368626889922712	0.4305750708147512	0.4039178425134706	0.0	0.38208725244296055	0.43584519813958394	0.4427843156883687	0.4143126490080129	0.4139785651159076	0.415131923087393	0.44376625325150065	0.465306293909816	0.4434871842624374	0.43447732496201114	0.4315895079186578	0.42346637541951504	0.42648775067274125	0.42345153079714265	0.46776745389481106	0.4202564954101716	0.44233402792880294	0.40818778562758196	0.6207667596021086	0.4055110767756313	0.3956051712077804	0.41252982528730364	0.4347585072456888	0.417000083257512	0.39344526580138395	0.4352883694235467	0.398547938195457	0.41897947069427277	0.42593845443988754	0.40284225590989736	0.41547010916497845
Odysseus	0.4402679123769203	0.42066484026766726	0.45028376217414035	0.43725689156595665	0.4178688435140478	0.4326176169512999	0.6547725638962345	0.8288000004900794	0.7246724544900092	0.7432593495556301	0.4455271176228685	0.4477597369349358	0.40526636559200246	0.4048178326701185	0.4496612452234984	0.3930337592226458	0.40138157767723903	0.4252262857156623	0.38208725244296055	0.0	0.39923908792040463	0.46181133110443934	0.3320080295582401	0.4239759789542812	0.3929466484772086	0.4291627666042313	0.4342090652528329	0.42887107634170607	0.41005732037311515	0.43116905367343894	0.4341627968563217	0.41771539879664754	0.3892589968327739	0.4746827883450614	0.3959493594648062	0.43425067744830376	0.39303236617954285	0.6049080798333714	0.46225088734635517	0.3794611297459319	0.41683199427073675	0.41337890469770805	0.41280688325116816	0.3857502462404203	0.4191737121217935	0.3781999579386403	0.44877105619500596	0.4193622639464482	0.37875136410737986	0.4212655600620762
Ivy	0.46670757992294815	0.3911611322180013	0.42757615933914056	0.45954046920826186	0.4498824912729925	0.42727215133786245	0.6608025940342785	0.839094347264139	0.7285405763607619	0.7616176663328292	0.48915483265681897	0.4654367134763003	0.3748884983385317	0.454720338173047	0.41555523791810045	0.42994443594860365	0.3983505295282832	0.41034328805358933	0.43584519813958394	0.39923908792040463	0.0	0.47486203475357164	0.40087771164833136	0.42427186845658077	0.41800633986812713	0.4479839566666406	0.42229048967975913	0.4248440145442949	0.41179887656698605	0.4668936099487992	0.45572644426596637	0.4168427088568992	0.39788968602154784	0.4325281972327752	0.39383254985674604	0.38783867751014073	0.4263052729496894	0.5845651167106356	0.4693587403005841	0.39317249016203953	0.39992534050191075	0.395725056805207	0.4195333866594041	0.3735466550137403	0.4090308010803585	0.384476150174264	0.4543083254529457	0.4271451434849975	0.38666624876200867	0.42278476663458225
Ivanhoe	0.4690595331073653	0.474230946704415	0.4525109646836552	0.4578011691627542	0.4843496635045793	0.45385415674580565	0.6297542435558346	0.8001102223386823	0.7103218245773097	0.7076613541880161	0.5014395339077705	0.4663639933051209	0.4790302148907572	0.458104097828271	0.49216255381653645	0.4879115526571509	0.4941290127078132	0.46827732365565283	0.4427843156883687	0.46181133110443934	0.47486203475357164	0.0	0.49023637872163445	0.45529989046334823	0.46960640088768524	0.5011717958585595	0.4676975399068223	0.4766599385848591	0.4733367255361254	0.48055015102996856	0.44636642373103474	0.4996669191273199	0.4364780033099867	0.490672407729197	0.4835716992975516	0.49627694266917527	0.47134248918980665	0.6195174073673668	0.49376086008602343	0.4569151596366977	0.4581019983204728	0.47343923781037717	0.482096186905329	0.46185281864582356	0.4691890866244824	0.4633925490053239	0.49945501044638957	0.4678260392780268	0.4784638772549145	0.4728164136116599
Octavia	0.4785270339834795	0.4276948430638909	0.42945174199143515	0.4522027917239767	0.43214746117349406	0.4542847693053774	0.6600630005057054	0.8293482990748323	0.7270540885516501	0.7500622612345567	0.4568565195870887	0.48350481348494895	0.38154441182986104	0.44151075208501683	0.4719849615269219	0.40769328405276545	0.4051462498364229	0.4533119178893665	0.4143126490080129	0.3320080295582401	0.40087771164833136	0.49023637872163445	0.0	0.44356586196160536	0.41632446022462644	0.4469113926393623	0.45416405297167933	0.4267092534756349	0.43080469122374504	0.4326127653893799	0.4593080465870351	0.4019726014822224	0.40940842946096695	0.486780010206736	0.4052878618881672	0.4367154851582712	0.4078567118243746	0.6043275271675934	0.47620437129142074	0.38614621113599673	0.42088302731570587	0.41827559912892803	0.4310636188872955	0.3834542349786431	0.4357722042085608	0.37505033795835585	0.4649837341643188	0.41784816019911775	0.39570127415592243	0.4264451997499294
