	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.1579355077290309	0.2111332611616727	0.24450979309661486	0.2556007708111529	0.24869216506235675	0.3855486232771968	0.539408467631571	0.6595032599003567	0.43248057679935303	0.2639961726628682	0.20860665706221918	0.18907874619255619	0.21566212834528845	0.22004762772476708	0.28787062405165903	0.25023882394014363	0.2651810319399335	0.20381207523220776	0.27504139260544375	0.20692985298511715	0.22250871368000708	0.2539949901088909	0.18744225256289623	0.20612053760139623	0.21111228885786157	0.22425806767062864	0.205029545476948	0.24349116958792752	0.24768828109331864	0.19549554015448578	0.24333665951377703	0.26000516236614596	0.20069509167222657	0.21357000868073367	0.2766951163176999	0.17794361210067203	0.33331712070939096	0.19836443847803187	0.23764707453344733	0.20038440891640957	0.20282386979103373	0.22138448588632403	0.16945956282802502	0.1709874220918976	0.22023520884237902	0.19537651284124993	0.19373639804605916	0.20096835412982336	0.17586433454020428
Abita	0.1579355077290309	0.0	0.12467424420001653	0.1634998044667488	0.15240140738001182	0.1370808717271464	0.4128988577881294	0.5085159457254661	0.6124498340474976	0.46372333482895134	0.2631746143509275	0.1721600557572735	0.11104437021508942	0.12468781720659874	0.1756589637959912	0.16893069141368244	0.15579952524013732	0.22126220401707428	0.13170054191829436	0.17254814055434356	0.1492234974900269	0.13704410523673288	0.17598156951341437	0.13077546774712276	0.11747578336409366	0.10344945165231893	0.1021032195863551	0.09554364316227058	0.1553899580565305	0.1936786362380323	0.12672418195614546	0.1416283748226617	0.14556071566100104	0.1731099649317685	0.13841029596224555	0.20597868427119972	0.12043488900001141	0.26882045564921453	0.1863245421924813	0.1638400525745885	0.11439222533448665	0.10501502104715041	0.12554277111739995	0.14121770395306124	0.1529367238507546	0.15854683653567303	0.15459479930449946	0.21338134381457752	0.10400352702675189	0.12869600676689671
Callopie	0.2111332611616727	0.12467424420001653	0.0	0.1382172255055922	0.11045485674344917	0.1089746436407638	0.44669653411711713	0.5051440703577617	0.6054336875486777	0.49826970861186026	0.2665223791431972	0.17387156969083864	0.159660797456271	0.14220906988491439	0.20849077449609013	0.1514687383041522	0.1653605551955209	0.25537489567320365	0.12398313127755178	0.1239354663786961	0.1945969054598835	0.14286151958695853	0.19235773208072568	0.14633363537116698	0.16348783934445263	0.16031697472112755	0.1143304471141301	0.14860218272974215	0.170740632486344	0.14646997453109367	0.14342945370861065	0.15898711941277094	0.15064729553194742	0.21608075449821726	0.1834571608085524	0.2118699943934802	0.15549719792132913	0.27308174058141	0.19889687774421727	0.17641899958484097	0.12840198787099888	0.16135171793305045	0.1269890676361587	0.18247452763078773	0.1642014842836773	0.17317868607312034	0.14578228347992137	0.24799271063236789	0.12669179334781305	0.1696655252112715
Alana	0.24450979309661486	0.1634998044667488	0.1382172255055922	0.0	0.13175690127803732	0.1353997979398176	0.405717782905245	0.4754201183776434	0.5893603207120488	0.47065732091955514	0.26881399091877817	0.20275406855651518	0.19119797702517896	0.18681151517244104	0.2541628492970268	0.15436847211590182	0.1861261922427446	0.3253310539870219	0.13503823472427323	0.14702686553604533	0.21112157272406684	0.1562245019069727	0.15897776797744367	0.16260951021383513	0.1559069904554707	0.20464633544644067	0.1304938449344647	0.17925152463613203	0.13688260042067435	0.1406789852466673	0.17205382666348557	0.14914917116135118	0.14860726835908303	0.2622579974124427	0.20275061593492508	0.22418714981282825	0.14705551514723464	0.26425541943983827	0.18948369088798855	0.11724998869840263	0.1464349653122142	0.19310471460134274	0.14576355489080015	0.17938409464766525	0.17567090534594196	0.13157218427530476	0.13907337720926116	0.24644110918371495	0.1652423954226469	0.16556196717605487
Unknown	0.2556007708111529	0.15240140738001182	0.11045485674344917	0.13175690127803732	0.0	0.10111044349233905	0.43610996377736994	0.4936219505747246	0.5906227691030183	0.4881705932597345	0.30168505642417304	0.20872976524294098	0.18613202918045493	0.15459130081557984	0.24301134312566844	0.17255922969674262	0.18134059516223108	0.2972304066056918	0.10122651008992799	0.08116926134270079	0.22353148444073787	0.14838235426598778	0.19113562718187171	0.17759111324671575	0.16963933039399387	0.18898029446891207	0.1281399225687898	0.1665948812134735	0.17536935659338043	0.17287974912944093	0.17045801828804272	0.17302013905432861	0.16410037179326384	0.258652533899514	0.21625308075645772	0.2428571640511818	0.1837495739932911	0.291568735043472	0.21681024898591553	0.18550711791322658	0.1504319287884519	0.18171158542492813	0.12843231313114187	0.20967989659673653	0.21196728608717444	0.1853883450225752	0.15760817008670788	0.29194458726744305	0.16254571686281047	0.1845216719090967
Dyani	0.24869216506235675	0.1370808717271464	0.1089746436407638	0.1353997979398176	0.10111044349233905	0.0	0.4209996841314763	0.5102736407061731	0.5895675478526861	0.47436839858054847	0.31686056133000967	0.22629324319172134	0.1931138612490975	0.1594373190010308	0.24195985177710697	0.16051019384424844	0.20814829980280852	0.2827036261149252	0.137548497426422	0.1476160489709313	0.21606400521146407	0.15579252101411628	0.19304176443057833	0.17491391249501628	0.15746070535229265	0.17652309237370742	0.1256569061787285	0.1550729277751741	0.1631936887082137	0.1920969606842109	0.17958895122060523	0.16062855879881316	0.15532945937246073	0.25450467555042466	0.20633875090233064	0.24396012802673486	0.1583725636992236	0.26558112119287797	0.22920164877158392	0.18366968137534842	0.13888193093803972	0.14997343924656809	0.13933169005349488	0.20101812388359783	0.2031524246887637	0.19157521996907162	0.17166930477248912	0.29145450706347414	0.13678809955701524	0.1642965063868624
Abu	0.3855486232771968	0.4128988577881294	0.44669653411711713	0.405717782905245	0.43610996377736994	0.4209996841314763	0.0	0.6125147821566652	0.680841600096091	0.12921913884126335	0.39675906342113687	0.41369112378943124	0.3859715381300707	0.3963522034725903	0.3841983825244658	0.4215862457700911	0.4576249813413406	0.5060179668165118	0.4131414420534122	0.44121175808265045	0.3837264482252504	0.38620479100376004	0.382281389612556	0.3920374458429914	0.38027327206334827	0.41146116750038236	0.40435316825082646	0.40970487815938944	0.3718587414979834	0.4031754756279532	0.3899378902702081	0.3851605847638813	0.4400142100922031	0.4267371368787373	0.44091697562395826	0.46139708882594327	0.3775099829637123	0.48216042818657845	0.35997568417267584	0.39561611933400914	0.3903807371609328	0.41694327292849054	0.42940672181154504	0.37476929535744435	0.3745107245900528	0.3863637030168083	0.37947068488798524	0.3619476354651806	0.4238837639698993	0.37622775495826566
Captive_Baby	0.539408467631571	0.5085159457254661	0.5051440703577617	0.4754201183776434	0.4936219505747246	0.5102736407061731	0.6125147821566652	0.0	0.6839172707064402	0.655786208123279	0.5453377853225075	0.5102680254646189	0.5083612304474386	0.5176037156914424	0.5463040249380444	0.48411214010560777	0.4842859704219561	0.6081894357908011	0.48361622824275885	0.4882006081837095	0.543763051896529	0.48882846358592263	0.48469219882307063	0.5128786646637018	0.49008320311409587	0.5110476490776685	0.4886081029282521	0.5029043444547834	0.482017588565446	0.5011423994553427	0.508553294504254	0.4887887942685151	0.49724400871912366	0.5482612601507104	0.526838925426984	0.5444274632868908	0.5002221319698861	0.4270449346269939	0.5232443337318443	0.4980596663593416	0.491442032663915	0.5102419581511862	0.48236497649065324	0.5227404731404074	0.520199037003309	0.5024479232800578	0.497552557876382	0.5423338220674288	0.5043830399764628	0.5170536982907956
Marra	0.6595032599003567	0.6124498340474976	0.6054336875486777	0.5893603207120488	0.5906227691030183	0.5895675478526861	0.680841600096091	0.6839172707064402	0.0	0.7357917363359273	0.6943952179045821	0.6329119362639155	0.5958922897188828	0.5973997638778107	0.6012628899108676	0.5904129195945446	0.6170719140979999	0.6727529618148083	0.609575743690065	0.6103594086289341	0.5646781274499582	0.595619496099016	0.6067634053620858	0.6186853517459449	0.566552379187284	0.5923403769386095	0.5921469828596914	0.5957592012903499	0.5892684685139833	0.6381797025634093	0.5741818377668181	0.5957552911173072	0.5842585715923598	0.629246302635148	0.5395215156378805	0.528206962877992	0.6259085951353527	0.6117756836353203	0.6171324024184751	0.5725171759697985	0.60749817277674	0.6042661870106678	0.6012541565063996	0.6306445376287353	0.6445157477431024	0.5909188723185883	0.605451227511816	0.6514371136445695	0.6207580682620102	0.6307495712078738
Nilsson	0.43248057679935303	0.46372333482895134	0.49826970861186026	0.47065732091955514	0.4881705932597345	0.47436839858054847	0.12921913884126335	0.655786208123279	0.7357917363359273	0.0	0.45726459683810344	0.46942420796969864	0.44064204012928404	0.45106816518713505	0.4428335737770885	0.46697915175304855	0.5078266873482185	0.5469229954879181	0.46755567426914735	0.4968180037730315	0.44215682059056866	0.4383140909609449	0.44651570546525277	0.4417991720853302	0.44328773891426904	0.4619147426349125	0.4525645012287106	0.46122943879661354	0.434492865645535	0.45502751551815157	0.453280033394088	0.433980138973869	0.503890514336781	0.47387249545617965	0.5077697332793729	0.5233838956094214	0.4326221065693466	0.5255431742880897	0.42669742526653837	0.46510412417495933	0.4456913565695462	0.47131908349081286	0.48349739787594387	0.4392949083134199	0.43459025865939077	0.45659325118655314	0.4420424415294985	0.4280796416436275	0.46974456067217096	0.4300602616847217
