# Constructed from biom file
#OTU ID	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Abu	Captive_Baby	Marra	Nilsson	Unknown_FRC5	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
k__Archaea;p__Euryarchaeota	860.0	571.0	2032.0	412.0	591.0	283.0	0.0	0.0	0.0	0.0	1347.0	1256.0	1754.0	930.0	665.0	25.0	612.0	4016.0	862.0	932.0	1634.0	579.0	109.0	1057.0	343.0	641.0	809.0	612.0	50.0	1128.0	1198.0	189.0	193.0	2135.0	905.0	1407.0	343.0	41.0	1396.0	258.0	548.0	197.0	496.0	682.0	914.0	543.0	1197.0	885.0	279.0	493.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	92.0	271.0	547.0	133.0	53.0	150.0	144.0	9498.0	1351.0	105.0	247.0	320.0	469.0	280.0	255.0	209.0	239.0	401.0	208.0	165.0	592.0	335.0	53.0	355.0	165.0	241.0	745.0	272.0	112.0	157.0	308.0	113.0	97.0	712.0	232.0	211.0	162.0	1849.0	394.0	95.0	230.0	123.0	135.0	169.0	246.0	213.0	277.0	243.0	149.0	156.0
k__Bacteria;p__Bacteroidetes	21.0	143.0	296.0	1083.0	198.0	296.0	901.0	382.0	9927.0	361.0	112.0	47.0	614.0	33.0	324.0	65.0	154.0	66.0	70.0	231.0	2965.0	158.0	303.0	234.0	586.0	218.0	230.0	307.0	504.0	59.0	683.0	190.0	775.0	142.0	2907.0	3192.0	268.0	156.0	713.0	1156.0	274.0	292.0	238.0	515.0	377.0	1171.0	617.0	1256.0	212.0	238.0
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	2.0	30.0	12.0	17.0	11.0	12.0	13.0	204.0	0.0	9.0	63.0	3.0	8.0	14.0	6.0	7.0	8.0	4.0	7.0	51.0	10.0	3.0	67.0	7.0	64.0	54.0	37.0	95.0	73.0	15.0	27.0	16.0	28.0	1.0	92.0	6.0	15.0	2.0	10.0	26.0	6.0	21.0	41.0	18.0	26.0	20.0	15.0	36.0	24.0	6.0
k__Bacteria;p__Elusimicrobia	0.0	1.0	1.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Firmicutes	25200.0	33291.0	65181.0	33527.0	31617.0	35004.0	48271.0	33477.0	11337.0	49354.0	24821.0	24673.0	58490.0	42075.0	17010.0	14111.0	22612.0	28248.0	46697.0	64466.0	62809.0	40343.0	23040.0	37452.0	31854.0	33551.0	68492.0	35302.0	27541.0	37563.0	34262.0	38269.0	25758.0	25563.0	33526.0	29381.0	34019.0	19432.0	31625.0	22680.0	34160.0	23811.0	36014.0	31450.0	34772.0	29505.0	40997.0	26546.0	35736.0	36209.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Bacteria;p__Proteobacteria	131.0	100.0	965.0	94.0	216.0	83.0	114.0	5.0	3092.0	61.0	25.0	100.0	70.0	40.0	49.0	16.0	20.0	43.0	36.0	125.0	236.0	62.0	64.0	13.0	110.0	836.0	374.0	113.0	70.0	26.0	36.0	63.0	59.0	214.0	100.0	115.0	39.0	165.0	43.0	128.0	53.0	50.0	35.0	45.0	68.0	86.0	29.0	28.0	20.0	17.0
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	122.0	656.0	0.0	0.0	1515.0	1.0	0.0	190.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Tenericutes	2032.0	2489.0	2066.0	1404.0	1083.0	1185.0	235.0	299.0	1.0	10.0	1146.0	472.0	5172.0	1383.0	978.0	267.0	3437.0	1825.0	3238.0	2006.0	3795.0	1294.0	494.0	762.0	2741.0	3669.0	2213.0	3969.0	566.0	184.0	2299.0	334.0	2774.0	1988.0	2013.0	1255.0	1481.0	1.0	1061.0	444.0	1612.0	2212.0	3854.0	1663.0	1334.0	544.0	1483.0	3504.0	2503.0	1409.0
k__Bacteria;p__Verrucomicrobia	3.0	7.0	5.0	15.0	19.0	20.0	550.0	7.0	0.0	404.0	56.0	10.0	15.0	3.0	0.0	5.0	11.0	5.0	9.0	307.0	66.0	2.0	17.0	1.0	1.0	6.0	2.0	13.0	1.0	0.0	0.0	21.0	1.0	7.0	30.0	1.0	3.0	25.0	28.0	44.0	10.0	1.0	7.0	1.0	3.0	25.0	13.0	8.0	7.0	1.0
